"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.916369900E-2,-1.626222134E0,8.080263138E0,5.428118229E0
3.163422000E-2,-1.571187139E0,8.120941162E0,5.435296535E0
3.410411500E-2,-1.542473316E0,8.106583595E0,5.449653625E0
3.657390700E-2,-1.497009635E0,8.108976364E0,5.452046394E0
3.904369900E-2,-1.467996716E0,8.065905571E0,5.444868088E0
4.151354300E-2,-1.448854089E0,8.022834778E0,5.435296535E0
4.398338600E-2,-1.458425403E0,7.984549999E0,5.447260857E0
6.129526100E-2,-1.642971873E0,7.886444569E0,5.521438122E0
6.377041800E-2,-1.690828323E0,7.936693668E0,5.586343765E0
6.624515700E-2,-1.688435435E0,8.015656471E0,5.643771172E0
6.871958400E-2,-1.664507270E0,8.051548958E0,5.722734451E0
7.119364700E-2,-1.633400559E0,8.087441444E0,5.777769566E0
7.366750100E-2,-1.597508192E0,8.128119469E0,5.799304962E0
7.614114700E-2,-1.540080428E0,8.154440880E0,5.859125137E0
7.861458400E-2,-1.460818172E0,8.197810173E0,5.897410393E0
8.108786500E-2,-1.381855130E0,8.173882484E0,5.916553020E0
8.356099000E-2,-1.293320656E0,8.154440880E0,5.926124573E0
8.603395900E-2,-1.223928809E0,8.135297775E0,5.945266724E0
8.850672000E-2,-1.106680512E0,8.075477600E0,5.945266724E0
9.097937600E-2,-1.044467092E0,8.051548958E0,5.981159210E0
9.345192800E-2,-9.894321561E-1,8.025228500E0,5.983551979E0
9.592437600E-2,-9.655039310E-1,8.015656471E0,5.985944748E0
9.839672000E-2,-9.367900491E-1,7.974978924E0,5.988337994E0
1.008689070E-1,-9.367900491E-1,7.963014603E0,5.997909069E0
1.033409900E-1,-9.221340418E-1,7.963014603E0,5.997909069E0
1.058130220E-1,-9.101698995E-1,7.972586155E0,6.031408787E0
1.082849490E-1,-8.862416744E-1,7.951050758E0,6.062515259E0
1.107567720E-1,-8.312067389E-1,7.934300900E0,6.052944183E0
1.132285430E-1,-7.833502889E-1,7.907979965E0,6.081657887E0
1.157002090E-1,-7.235297561E-1,7.879265785E0,6.103492260E0
1.181717720E-1,-6.684948206E-1,7.872087479E0,6.158527374E0
1.206432300E-1,-6.158527136E-1,7.845766544E0,6.148955822E0
1.231146880E-1,-5.321039557E-1,7.793124199E0,6.223133564E0
1.255861470E-1,-5.488536954E-1,7.747660637E0,6.282954216E0
1.280357820E-1,-5.679962635E-1,7.659126282E0,6.309275150E0
1.304603650E-1,-6.134598851E-1,7.639983654E0,6.309275150E0
1.328819800E-1,-6.182455420E-1,7.635198116E0,6.323632240E0
1.353036470E-1,-6.230311990E-1,7.594220638E0,6.342774391E0
1.377244800E-1,-6.038886309E-1,7.608876705E0,6.359524250E0
1.401453130E-1,-5.608177781E-1,7.616055489E0,6.385845661E0
1.425669800E-1,-5.153541565E-1,7.616055489E0,6.407381058E0
1.449885950E-1,-4.459623098E-1,7.628019333E0,6.431309223E0
1.474094800E-1,-3.813561201E-1,7.594220638E0,6.452844620E0
1.498303130E-1,-3.499503136E-1,7.623233795E0,6.421737671E0
1.522519800E-1,-3.284149170E-1,7.613662720E0,6.400202274E0
1.546736470E-1,-3.068794906E-1,7.604091167E0,6.400202274E0
1.570944800E-1,-3.355933726E-1,7.589435101E0,6.412166595E0
1.595153130E-1,-3.212364316E-1,7.577471256E0,6.426523209E0
1.619369800E-1,-3.188436031E-1,7.539186001E0,6.419344902E0
1.643585950E-1,-3.212364316E-1,7.512865067E0,6.448058605E0
1.667794800E-1,-2.709871531E-1,7.481758118E0,6.450451851E0
1.692003130E-1,-2.542374134E-1,7.488936901E0,6.440880299E0
1.716219800E-1,-2.183450609E-1,7.457829952E0,6.452844620E0
1.740435950E-1,-1.728814393E-1,7.448258877E0,6.457630157E0
1.764644800E-1,-1.202393398E-1,7.445865631E0,6.481558323E0
1.788853130E-1,-4.127619043E-2,7.467401028E0,6.558128834E0
1.813069800E-1,-5.324030295E-2,7.431509018E0,6.553342819E0
1.837285950E-1,-6.041877344E-2,7.390830994E0,6.574878216E0
1.861494800E-1,-6.999006122E-2,7.378866673E0,6.627520561E0
1.885703130E-1,-7.238288224E-2,7.347760201E0,6.670890331E0
1.909919800E-1,-5.563312769E-2,7.350152969E0,6.728318214E0
1.934136470E-1,-7.716853172E-2,7.338188648E0,6.754639149E0
1.958344800E-1,-1.417747438E-1,7.328617573E0,6.778567314E0
1.982553130E-1,-1.680957973E-1,7.261618614E0,6.807281494E0
2.006769800E-1,-1.848455518E-1,7.254439831E0,6.819245338E0
2.030986470E-1,-2.255235314E-1,7.232904434E0,6.821638107E0
2.055194800E-1,-2.518445849E-1,7.197012424E0,6.828816891E0
2.079403130E-1,-2.805584669E-1,7.211369038E0,6.874280453E0
2.103619800E-1,-3.068794906E-1,7.208976269E0,6.879065990E0
2.127836470E-1,-3.284149170E-1,7.235297680E0,6.862316132E0
2.152044800E-1,-3.355933726E-1,7.254439831E0,6.831209660E0
2.176253130E-1,-3.092723191E-1,7.237690449E0,6.826424122E0
2.200469800E-1,-2.877369225E-1,7.254439831E0,6.780960083E0
2.224686470E-1,-3.020938635E-1,7.256833076E0,6.761817455E0
2.248894800E-1,-2.662015259E-1,7.285546780E0,6.773781776E0
2.273103130E-1,-2.398804724E-1,7.292725086E0,6.747460842E0
2.297319800E-1,-2.063809484E-1,7.333403111E0,6.694818497E0
2.321536470E-1,-1.657029688E-1,7.326224804E0,6.680461884E0
2.345744800E-1,-1.298106313E-1,7.321439266E0,6.651747704E0
2.369953130E-1,-1.034895778E-1,7.280761242E0,6.620342255E0
2.394169800E-1,-8.673982322E-2,7.275975227E0,6.605985165E0
2.418386470E-1,-7.238288224E-2,7.237690449E0,6.548557281E0
2.442594800E-1,-3.409772366E-2,7.242475986E0,6.519843578E0
2.466803130E-1,2.093719877E-2,7.228118896E0,6.498308182E0
2.491019800E-1,2.811566554E-2,7.206583500E0,6.517450809E0
2.515236470E-1,6.640082598E-2,7.192226887E0,6.503093719E0
2.539444800E-1,7.836493850E-2,7.189833641E0,6.522236347E0
2.563653130E-1,8.793623000E-2,7.182655334E0,6.546164513E0
2.587869800E-1,6.161518395E-2,7.187440872E0,6.560521603E0
2.612086470E-1,8.793623000E-2,7.161119938E0,6.594020844E0
2.636294800E-1,8.315058798E-2,7.173084259E0,6.632306099E0
2.660503130E-1,9.750752151E-2,7.156334400E0,6.658926487E0
2.684719800E-1,9.511470050E-2,7.130013466E0,6.718746662E0
2.708936470E-1,6.640082598E-2,7.153941631E0,6.749853611E0
2.733144800E-1,7.118647546E-2,7.168298244E0,6.776174545E0
2.757353130E-1,7.357929647E-2,7.180262566E0,6.761817455E0
2.781569800E-1,4.965107143E-2,7.201797962E0,6.771389008E0
2.805786470E-1,5.204389244E-2,7.177869797E0,6.766603470E0
2.829994800E-1,4.007977992E-2,7.180262566E0,6.780960083E0
2.854203130E-1,4.187439568E-3,7.165905476E0,6.768996239E0
2.878419800E-1,6.580262445E-3,7.161119938E0,6.761817455E0
