"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.316709380E-1,-4.756973088E-1,-6.053496599E-1,1.328592747E-1
1.340929700E-1,-4.805840850E-1,-6.212316751E-1,1.218640283E-1
1.365142720E-1,-4.866925478E-1,-6.346703172E-1,1.035386100E-1
1.389346880E-1,-4.879142344E-1,-6.603258848E-1,8.521319181E-2
1.413559380E-1,-4.964661002E-1,-6.737645268E-1,6.566607952E-2
1.437779700E-1,-4.976878166E-1,-6.933116317E-1,4.611896724E-2
1.461992200E-1,-5.001311898E-1,-7.104153633E-1,2.290677279E-2
1.486196880E-1,-5.050179958E-1,-7.214106321E-1,3.359660041E-3
1.510409380E-1,-5.135698318E-1,-7.275190949E-1,-1.252236869E-2
1.534630220E-1,-5.209000111E-1,-7.372926474E-1,-2.840439789E-2
1.558842720E-1,-5.294518471E-1,-7.446228266E-1,-4.306473210E-2
1.583046880E-1,-5.453338623E-1,-7.482879162E-1,-5.283828825E-2
1.607259380E-1,-5.563291311E-1,-7.495095730E-1,-6.139015034E-2
1.631479700E-1,-5.709894896E-1,-7.482879162E-1,-6.627693027E-2
1.655692200E-1,-5.832064152E-1,-7.482879162E-1,-6.994201243E-2
1.679896880E-1,-5.966450572E-1,-7.458444834E-1,-7.360709459E-2
1.704109380E-1,-6.088619828E-1,-7.397360206E-1,-7.238540053E-2
1.728329700E-1,-6.247440577E-1,-7.324058414E-1,-7.482878864E-2
1.752542200E-1,-6.369609833E-1,-7.201889157E-1,-7.605048269E-2
1.776746880E-1,-6.479562521E-1,-7.067502737E-1,-7.727217674E-2
1.800959380E-1,-6.528429985E-1,-6.933116317E-1,-7.727217674E-2
1.825179700E-1,-6.577298045E-1,-6.786513329E-1,-7.605048269E-2
1.849392200E-1,-6.577298045E-1,-6.652126908E-1,-7.605048269E-2
1.873596880E-1,-6.503996253E-1,-6.481089592E-1,-7.727217674E-2
1.897809380E-1,-6.369609833E-1,-6.322268844E-1,-7.605048269E-2
1.922030220E-1,-6.186355352E-1,-6.151232123E-1,-7.605048269E-2
1.946242200E-1,-6.015318632E-1,-5.955760479E-1,-7.605048269E-2
1.970446880E-1,-5.795413256E-1,-5.809157491E-1,-7.482878864E-2
1.994659380E-1,-5.538857579E-1,-5.662553906E-1,-7.360709459E-2
2.018880220E-1,-5.233433843E-1,-5.589252710E-1,-7.116370648E-2
2.043092200E-1,-4.928010404E-1,-5.503733754E-1,-6.749862432E-2
2.067296880E-1,-4.634803534E-1,-5.393781066E-1,-6.383354217E-2
2.091509380E-1,-4.292729199E-1,-5.332696438E-1,-5.894676223E-2
2.115730220E-1,-3.962871730E-1,-5.296045542E-1,-5.405998230E-2
2.139942200E-1,-3.657447994E-1,-5.259394646E-1,-4.672981426E-2
2.164146880E-1,-3.303156495E-1,-5.271611810E-1,-4.184303805E-2
2.188359380E-1,-3.046600819E-1,-5.234960914E-1,-3.573456407E-2
2.212580220E-1,-2.790044844E-1,-5.247178078E-1,-3.084778599E-2
2.236792200E-1,-2.545706034E-1,-5.283828974E-1,-2.840439789E-2
2.260996880E-1,-2.386885732E-1,-5.234960914E-1,-2.351761982E-2
2.285209380E-1,-2.228065431E-1,-5.210527182E-1,-1.740914769E-2
2.309430220E-1,-2.130329758E-1,-5.173876286E-1,-1.374406368E-2
2.333642200E-1,-2.044811249E-1,-5.137225389E-1,-1.007897966E-2
2.357846880E-1,-2.032594234E-1,-5.051707029E-1,-3.970507067E-3
2.382059380E-1,-1.995943487E-1,-5.002838969E-1,9.162708884E-4
2.406280220E-1,-1.995943487E-1,-4.929537475E-1,5.803049076E-3
2.430492200E-1,-2.044811249E-1,-4.844018817E-1,1.313321572E-2
2.454696880E-1,-2.081461996E-1,-4.807367921E-1,1.679829881E-2
2.478909380E-1,-2.142546773E-1,-4.709632397E-1,2.412846684E-2
2.503130220E-1,-2.228065431E-1,-4.599680007E-1,3.023693897E-2
2.527342200E-1,-2.289150059E-1,-4.563029110E-1,3.756710514E-2
2.551546880E-1,-2.350234836E-1,-4.501944184E-1,4.489727318E-2
2.575759380E-1,-2.423536479E-1,-4.440859556E-1,5.222744122E-2
2.599980220E-1,-2.521272004E-1,-4.379774928E-1,6.077930331E-2
2.624192200E-1,-2.582356930E-1,-4.330907166E-1,6.810946763E-2
2.648396880E-1,-2.667875290E-1,-4.269822240E-1,7.421794534E-2
2.672609380E-1,-2.728960216E-1,-4.196520746E-1,8.032641560E-2
2.696830220E-1,-2.777827978E-1,-4.172086716E-1,8.765657991E-2
2.721042200E-1,-2.838912606E-1,-4.074351192E-1,9.376505762E-2
2.745246880E-1,-2.899997234E-1,-4.025483429E-1,9.865183383E-2
2.769459380E-1,-2.887780368E-1,-4.025483429E-1,1.010952219E-1
2.793680220E-1,-2.985515893E-1,-3.952181637E-1,1.035386100E-1
2.817892200E-1,-3.022166789E-1,-3.915531039E-1,1.035386100E-1
2.842096880E-1,-3.119902313E-1,-3.817795515E-1,1.023169160E-1
2.866309380E-1,-3.156553209E-1,-3.781144619E-1,1.010952219E-1
2.890530220E-1,-3.217637837E-1,-3.720059693E-1,9.865183383E-2
2.914742200E-1,-3.290939629E-1,-3.658975065E-1,9.498675168E-2
2.938946880E-1,-3.339807391E-1,-3.573456407E-1,9.376505762E-2
2.963159380E-1,-3.400892019E-1,-3.512371778E-1,8.887827396E-2
2.987380220E-1,-3.437542915E-1,-3.439069986E-1,8.765657991E-2
3.011592200E-1,-3.474193811E-1,-3.414636254E-1,8.765657991E-2
3.035796880E-1,-3.376458287E-1,-3.487937748E-1,8.643488586E-2
3.060009380E-1,-3.437542915E-1,-3.414636254E-1,8.643488586E-2
3.084230220E-1,-3.400892019E-1,-3.402419090E-1,8.643488586E-2
3.108442200E-1,-3.352024257E-1,-3.390202224E-1,8.399149776E-2
3.132646880E-1,-3.315373361E-1,-3.341334462E-1,8.399149776E-2
3.156859380E-1,-3.242071867E-1,-3.316900730E-1,8.032641560E-2
3.181080220E-1,-3.156553209E-1,-3.255815804E-1,8.032641560E-2
3.205292200E-1,-3.083251417E-1,-3.219164908E-1,7.910472155E-2
3.229496880E-1,-3.022166789E-1,-3.133646548E-1,7.788302749E-2
3.253709380E-1,-2.912214398E-1,-3.096995652E-1,7.421794534E-2
3.277930220E-1,-2.814478874E-1,-3.011476994E-1,7.421794534E-2
3.302142200E-1,-2.728960216E-1,-2.938175201E-1,7.299624383E-2
3.326346880E-1,-2.631224692E-1,-2.852656841E-1,7.299624383E-2
3.350559380E-1,-2.484621257E-1,-2.791571915E-1,7.421794534E-2
3.374780220E-1,-2.411319613E-1,-2.706053257E-1,7.421794534E-2
3.398992200E-1,-2.313583940E-1,-2.620534599E-1,7.788302749E-2
3.423196880E-1,-2.203631550E-1,-2.547233105E-1,8.154810965E-2
3.447409380E-1,-2.118112892E-1,-2.449497581E-1,9.132166207E-2
3.471630220E-1,-2.020377368E-1,-2.388412803E-1,9.865183383E-2
3.495842200E-1,-1.959292591E-1,-2.327328026E-1,1.084253863E-1
3.520046880E-1,-1.898207814E-1,-2.302894145E-1,1.181989461E-1
3.544259380E-1,-1.788255423E-1,-2.339545041E-1,1.267508119E-1
3.568480220E-1,-1.739387512E-1,-2.339545041E-1,1.353026628E-1
3.592692200E-1,-1.702736765E-1,-2.376195788E-1,1.426328421E-1
3.616896880E-1,-1.653869003E-1,-2.388412803E-1,1.487413049E-1
3.641109380E-1,-1.605001241E-1,-2.400629669E-1,1.536280811E-1
3.665330220E-1,-1.556133330E-1,-2.449497581E-1,1.572931707E-1
3.689542200E-1,-1.556133330E-1,-2.400629669E-1,1.621799469E-1
3.713746880E-1,-1.495048702E-1,-2.425063550E-1,1.658450365E-1
3.737958860E-1,-1.458397806E-1,-2.425063550E-1,1.658450365E-1
