"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.020527000E-3,5.901564956E-1,-1.331580579E-1,-1.512675583E-1
9.004170000E-3,5.901564956E-1,-1.331580579E-1,-1.512675583E-1
1.101833000E-2,5.901564956E-1,-1.331580579E-1,-1.512675583E-1
1.300197200E-2,5.901564956E-1,-1.331580579E-1,-1.512675583E-1
1.501613300E-2,5.901564956E-1,-1.331580579E-1,-1.512675583E-1
1.703029300E-2,5.901564956E-1,-1.331580579E-1,-1.512675583E-1
1.901393500E-2,5.901564956E-1,-1.331580579E-1,-1.512675583E-1
2.099757800E-2,5.901564956E-1,-1.331580579E-1,-1.512675583E-1
2.298122000E-2,5.901564956E-1,-1.331580579E-1,-1.512675583E-1
2.502589800E-2,5.901564956E-1,-1.331580579E-1,-1.512675583E-1
2.697902300E-2,5.901564956E-1,-1.331580579E-1,-1.512675583E-1
2.896266600E-2,5.901564956E-1,-1.331580579E-1,-1.512675583E-1
3.094630800E-2,5.901564956E-1,-1.331580579E-1,-1.512675583E-1
3.292995100E-2,5.901564956E-1,-1.331580579E-1,-1.512675583E-1
3.494411100E-2,5.901564956E-1,-1.331580579E-1,-1.512675583E-1
3.695827100E-2,5.901564956E-1,-1.331580579E-1,-1.512675583E-1
3.897243100E-2,1.230380461E-1,2.743056118E-1,2.354234457E-1
4.098659200E-2,1.480717659E-1,3.387540877E-1,1.081243455E-1
4.300075200E-2,1.805623323E-1,3.163835406E-1,1.182443574E-1
4.501491200E-2,2.141181529E-1,2.945456207E-1,1.251685768E-1
4.699855400E-2,2.503371537E-1,2.716424465E-1,1.352885813E-1
4.898219700E-2,2.865561247E-1,2.609897852E-1,1.374191195E-1
5.099635700E-2,3.222424984E-1,2.455434501E-1,1.422128081E-1
5.298000000E-2,3.536677957E-1,2.247707993E-1,1.470064968E-1
5.499416000E-2,3.904194236E-1,2.039981484E-1,1.464738697E-1
5.700832000E-2,4.213120937E-1,1.778991669E-1,1.491370201E-1
5.899196300E-2,4.506068528E-1,1.496696621E-1,1.533980817E-1
6.097560500E-2,4.745753109E-1,1.193096191E-1,1.597896665E-1
6.295924800E-2,4.958806038E-1,8.575379103E-2,1.656486243E-1
6.500392500E-2,5.134574771E-1,4.633900523E-2,1.789644361E-1
6.695705000E-2,5.262406468E-1,1.225054078E-2,1.885518134E-1
6.894069300E-2,5.374259353E-1,-3.036003746E-2,2.082591951E-1
7.092433600E-2,5.422195792E-1,-5.006742850E-2,2.173139453E-1
7.290797800E-2,5.496764779E-1,-9.427590668E-2,2.391518652E-1
7.489162100E-2,5.576659441E-1,-1.342233270E-1,2.641855776E-1
7.690578100E-2,5.651227832E-1,-1.805623323E-1,2.918824553E-1
7.888942400E-2,5.715143681E-1,-2.210423797E-1,3.190467060E-1
8.090358400E-2,5.768406987E-1,-2.663161159E-1,3.419498801E-1
8.291774400E-2,5.811017752E-1,-3.067961633E-1,3.680488765E-1
8.493190400E-2,5.885586143E-1,-3.675162494E-1,4.079962969E-1
8.691554700E-2,5.965480804E-1,-4.063983858E-1,4.308994710E-1
8.889918900E-2,5.997439027E-1,-4.239752591E-1,4.420847595E-1
9.091334900E-2,6.087986231E-1,-4.527373910E-1,4.633900523E-1
