Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
14.00,-0.57,0.09,-0.57
14.00,-0.58,0.10,-0.59
14.00,-0.60,0.12,-0.60
14.00,-0.61,0.15,-0.61
14.01,-0.61,0.17,-0.62
14.01,-0.62,0.20,-0.62
14.01,-0.62,0.22,-0.61
14.01,-0.62,0.23,-0.61
14.02,-0.62,0.24,-0.60
14.02,-0.61,0.26,-0.59
14.02,-0.59,0.28,-0.58
14.02,-0.58,0.30,-0.57
14.03,-0.56,0.31,-0.56
14.03,-0.53,0.33,-0.54
14.03,-0.50,0.35,-0.53
14.03,-0.47,0.36,-0.51
14.04,-0.44,0.37,-0.49
14.04,-0.40,0.37,-0.46
14.04,-0.35,0.38,-0.44
14.04,-0.31,0.39,-0.40
14.05,-0.27,0.39,-0.38
14.05,-0.22,0.40,-0.35
14.05,-0.18,0.41,-0.32
14.05,-0.13,0.42,-0.30
14.06,-0.09,0.43,-0.27
14.06,-0.05,0.44,-0.24
14.06,-0.02,0.46,-0.21
14.06,0.02,0.47,-0.19
14.07,0.05,0.49,-0.16
14.07,0.08,0.50,-0.14
14.07,0.10,0.52,-0.12
14.07,0.13,0.53,-0.10
14.08,0.14,0.55,-0.08
14.08,0.16,0.56,-0.06
14.08,0.17,0.57,-0.05
14.08,0.18,0.57,-0.03
14.09,0.19,0.58,-0.02
14.09,0.19,0.58,0.00
14.09,0.19,0.58,0.01
14.09,0.19,0.58,0.02
14.10,0.18,0.57,0.02
14.10,0.17,0.55,0.03
14.10,0.16,0.54,0.03
14.10,0.15,0.53,0.03
14.11,0.14,0.51,0.03
14.11,0.13,0.49,0.03
14.11,0.12,0.46,0.03
14.11,0.11,0.44,0.02
14.12,0.11,0.42,0.02
14.12,0.10,0.39,0.01
14.12,0.09,0.37,0.01
14.12,0.09,0.34,0.01
14.13,0.08,0.31,0.00
14.13,0.08,0.28,-0.01
14.13,0.08,0.26,-0.01
14.13,0.07,0.23,-0.02
14.14,0.07,0.21,-0.03
14.14,0.07,0.18,-0.03
14.14,0.06,0.15,-0.04
14.14,0.06,0.13,-0.04
14.15,0.05,0.10,-0.05
14.15,0.05,0.07,-0.06
14.15,0.05,0.04,-0.06
14.15,0.05,0.02,-0.06
14.16,0.04,0.00,-0.06
14.16,0.04,-0.02,-0.07
14.16,0.04,-0.04,-0.07
14.16,0.04,-0.05,-0.07
14.17,0.04,-0.07,-0.07
14.17,0.04,-0.07,-0.06
14.17,0.04,-0.08,-0.06
14.17,0.04,-0.09,-0.06
14.18,0.04,-0.09,-0.06
14.18,0.05,-0.10,-0.05
14.18,0.05,-0.10,-0.05
14.18,0.06,-0.11,-0.04
14.19,0.06,-0.11,-0.03
14.19,0.07,-0.11,-0.02
