Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
20.00,-1.35,-1.24,0.52
20.00,-1.31,-1.25,0.54
20.00,-1.26,-1.27,0.57
20.00,-1.21,-1.27,0.60
20.01,-1.16,-1.27,0.62
20.01,-1.12,-1.25,0.62
20.01,-1.06,-1.24,0.61
20.01,-1.01,-1.21,0.62
20.02,-0.96,-1.17,0.62
20.02,-0.90,-1.13,0.62
20.02,-0.84,-1.07,0.62
20.02,-0.77,-1.01,0.62
20.03,-0.71,-0.95,0.63
20.03,-0.65,-0.89,0.64
20.03,-0.58,-0.82,0.65
20.03,-0.51,-0.76,0.66
20.04,-0.45,-0.69,0.66
20.04,-0.38,-0.63,0.65
20.04,-0.32,-0.57,0.64
20.04,-0.26,-0.51,0.63
20.05,-0.20,-0.45,0.62
20.05,-0.15,-0.40,0.59
20.05,-0.10,-0.35,0.58
20.05,-0.06,-0.31,0.56
20.06,-0.03,-0.27,0.54
20.06,0.01,-0.23,0.53
20.06,0.04,-0.20,0.52
20.06,0.06,-0.16,0.50
20.07,0.07,-0.13,0.49
20.07,0.09,-0.11,0.48
20.07,0.09,-0.10,0.47
20.07,0.11,-0.08,0.45
20.08,0.11,-0.07,0.44
20.08,0.11,-0.07,0.42
20.08,0.12,-0.06,0.40
20.08,0.12,-0.07,0.38
20.09,0.12,-0.07,0.36
20.09,0.12,-0.08,0.33
20.09,0.12,-0.10,0.30
20.09,0.12,-0.12,0.27
20.10,0.11,-0.14,0.24
20.10,0.11,-0.17,0.20
20.10,0.09,-0.20,0.17
20.10,0.08,-0.24,0.13
20.11,0.07,-0.27,0.09
20.11,0.06,-0.31,0.06
20.11,0.05,-0.34,0.02
20.11,0.03,-0.38,-0.02
20.12,0.02,-0.42,-0.06
20.12,0.01,-0.45,-0.10
20.12,0.00,-0.48,-0.14
20.12,-0.01,-0.50,-0.17
20.13,-0.02,-0.52,-0.20
20.13,-0.03,-0.54,-0.23
20.13,-0.03,-0.55,-0.27
20.13,-0.03,-0.55,-0.29
20.14,-0.03,-0.55,-0.32
20.14,-0.04,-0.55,-0.35
20.14,-0.04,-0.54,-0.38
20.14,-0.04,-0.52,-0.41
20.15,-0.05,-0.50,-0.44
