Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
21.00,1.92,6.54,4.04
21.00,1.97,6.55,4.02
21.00,2.03,6.62,4.07
21.00,2.08,6.65,4.15
21.01,2.16,6.66,4.21
21.01,2.38,6.65,4.19
21.01,2.51,6.72,4.20
21.01,2.62,6.80,4.17
21.02,2.71,6.89,4.19
21.02,2.85,6.91,4.23
21.02,2.93,6.89,4.30
21.02,2.97,6.97,4.35
21.03,3.06,6.97,4.47
21.03,3.19,7.01,4.52
21.03,3.30,7.00,4.63
21.03,3.40,7.00,4.75
21.04,3.54,6.98,4.89
21.04,3.60,6.90,5.10
21.04,3.71,6.84,5.25
21.04,3.78,6.83,5.37
21.05,3.88,6.75,5.47
21.05,3.97,6.70,5.53
21.05,4.06,6.68,5.61
21.05,4.09,6.66,5.60
21.06,4.25,6.64,5.61
21.06,4.44,6.59,5.63
21.06,4.58,6.60,5.59
21.06,4.69,6.57,5.54
21.07,4.88,6.57,5.53
21.07,5.00,6.60,5.57
21.07,5.11,6.54,5.61
21.07,5.23,6.42,5.72
21.08,5.33,6.29,5.79
21.08,5.39,6.14,5.84
21.08,5.41,5.96,5.97
21.08,5.41,5.81,6.09
21.09,5.37,5.66,6.15
21.09,5.22,5.48,6.15
21.09,5.06,5.35,6.23
21.09,4.92,5.27,6.34
21.10,4.89,5.19,6.36
21.10,4.82,5.11,6.36
21.10,4.73,5.08,6.43
21.10,4.65,5.10,6.44
21.11,4.59,5.12,6.43
21.11,4.57,5.20,6.46
21.11,4.52,5.33,6.48
21.11,4.45,5.45,6.45
21.12,4.41,5.61,6.48
21.12,4.35,5.70,6.46
21.12,4.24,5.79,6.49
21.12,4.14,5.88,6.53
21.13,4.09,5.95,6.48
21.13,4.10,6.03,6.46
21.13,4.10,6.01,6.42
21.13,4.10,6.06,6.37
21.14,4.15,6.15,6.33
21.14,4.23,6.18,6.12
21.14,4.30,6.28,6.02
21.14,4.45,6.36,5.88
21.15,4.64,6.45,5.69
21.15,4.82,6.57,5.34
21.15,4.95,6.75,5.00
21.15,5.06,7.01,4.69
21.16,5.03,7.40,4.35
21.16,4.94,7.87,4.09
21.16,4.76,8.46,3.71
21.16,4.64,9.07,3.45
21.17,4.44,9.57,3.35
21.17,4.25,10.08,3.28
21.17,4.06,10.58,3.32
21.17,3.97,10.98,3.44
21.18,3.86,11.29,3.69
21.18,3.94,11.50,3.84
21.18,4.02,11.63,3.90
21.18,4.07,11.70,3.91
21.19,4.10,11.75,3.93
21.19,4.08,11.77,3.84
21.19,4.02,11.86,3.65
21.19,4.02,11.98,3.55
21.20,4.01,12.10,3.35
21.20,3.99,12.25,3.12
21.20,3.96,12.40,2.87
21.20,3.94,12.52,2.60
21.21,3.92,12.67,2.23
21.21,3.85,12.77,1.95
21.21,3.81,12.89,1.72
21.21,3.82,12.96,1.56
21.22,3.78,13.01,1.51
21.22,3.75,13.07,1.55
21.22,3.64,13.08,1.76
21.22,3.67,13.01,2.11
21.23,3.83,12.76,2.58
21.23,3.99,12.47,3.12
21.23,4.25,12.14,3.63
21.23,4.40,11.73,4.08
21.24,4.60,11.33,4.47
21.24,4.64,10.86,4.71
21.24,4.50,10.39,4.82
21.24,4.32,9.91,4.78
21.25,3.92,9.32,4.71
21.25,3.49,8.75,4.53
21.25,3.14,8.14,4.27
21.25,2.81,7.65,3.84
21.26,2.60,7.26,3.49
21.26,2.34,7.01,3.12
21.26,2.09,6.87,2.72
21.26,1.95,6.78,2.24
21.27,1.81,6.81,1.95
21.27,1.65,6.80,1.66
21.27,1.48,6.95,1.49
21.27,1.28,7.14,1.43
21.28,1.23,7.32,1.40
21.28,1.26,7.39,1.52
21.28,1.02,7.59,1.81
21.28,0.63,7.84,2.00
21.29,0.20,8.11,2.20
21.29,-0.21,8.34,2.45
21.29,-0.49,8.49,2.67
21.29,-0.66,8.59,2.82
21.30,-0.74,8.77,2.90
21.30,-0.81,8.99,3.08
21.30,-0.94,9.14,3.20
21.30,-0.99,9.36,3.36
21.31,-1.02,9.54,3.39
21.31,-1.17,9.64,3.59
21.31,-1.29,9.86,3.79
21.31,-1.50,10.02,3.97
21.32,-1.78,10.26,4.14
21.32,-1.98,10.46,4.20
21.32,-2.22,10.66,4.32
21.32,-2.31,10.85,4.27
21.33,-2.20,10.93,4.26
21.33,-2.06,10.89,4.15
21.33,-1.96,10.89,3.99
21.33,-1.78,10.83,3.78
21.34,-1.61,10.76,3.53
21.34,-1.54,10.66,3.20
21.34,-1.39,10.58,2.89
21.34,-1.28,10.34,2.70
21.35,-1.15,10.14,2.49
21.35,-0.97,9.97,2.33
21.35,-0.77,9.66,2.24
21.35,-0.46,9.48,2.13
21.36,-0.05,9.34,2.09
21.36,0.27,9.25,2.18
21.36,0.61,9.20,2.37
21.36,0.93,9.24,2.45
21.37,1.17,9.25,2.65
21.37,1.38,9.30,2.78
21.37,1.59,9.44,3.06
21.37,1.79,9.57,3.25
21.38,2.10,9.71,3.46
21.38,2.25,9.72,3.62
21.38,2.40,9.74,3.78
21.38,2.72,9.53,3.87
21.39,2.39,9.65,3.98
21.39,1.86,10.10,3.97
21.39,1.57,10.38,4.15
21.39,1.53,10.50,4.40
21.40,1.69,10.55,4.61
21.40,1.94,10.61,4.88
21.40,2.23,10.57,5.15
21.40,2.45,10.51,5.34
21.41,2.70,10.46,5.45
21.41,2.98,10.30,5.28
21.41,3.15,10.08,4.98
21.41,2.94,9.93,4.64
21.42,2.95,9.82,4.40
21.42,3.00,9.67,4.11
21.42,2.64,9.47,3.99
21.42,2.44,9.33,3.64
21.43,2.46,9.20,3.26
21.43,2.35,9.11,2.90
21.43,1.95,9.16,2.86
21.43,1.66,9.15,2.95
21.44,1.42,9.18,2.91
21.44,1.09,9.31,2.91
21.44,0.78,9.37,2.99
21.44,0.54,9.37,3.07
21.45,0.40,9.35,3.20
21.45,0.23,9.35,3.36
21.45,0.17,9.30,3.46
21.45,0.06,9.28,3.56
21.46,-0.02,9.31,3.72
21.46,-0.12,9.24,3.83
21.46,-0.21,9.17,3.92
21.46,-0.29,9.13,4.15
21.47,-0.34,9.08,4.31
21.47,-0.33,9.01,4.44
21.47,-0.32,8.99,4.58
21.47,-0.30,9.01,4.63
21.48,-0.26,9.02,4.68
21.48,-0.30,8.92,4.68
21.48,-0.22,8.87,4.71
21.48,-0.11,8.87,4.71
21.49,0.00,8.91,4.57
21.49,0.07,8.75,4.55
21.49,0.14,8.69,4.49
21.49,0.23,8.64,4.41
21.50,0.33,8.60,4.37
21.50,0.47,8.58,4.31
21.50,0.60,8.54,4.23
21.50,0.65,8.59,4.13
21.51,0.68,8.61,4.08
21.51,0.84,8.59,4.04
21.51,1.04,8.57,3.91
21.51,1.19,8.66,3.80
21.52,1.30,8.74,3.67
21.52,1.36,8.76,3.64
21.52,1.42,8.77,3.58
21.52,1.45,8.76,3.51
21.53,1.51,8.77,3.48
21.53,1.60,8.73,3.47
21.53,1.66,8.60,3.42
21.53,1.77,8.62,3.41
21.54,1.89,8.63,3.45
21.54,1.93,8.73,3.47
21.54,1.87,8.64,3.55
21.54,1.79,8.60,3.61
21.55,1.77,8.63,3.58
21.55,1.78,8.59,3.49
21.55,1.79,8.54,3.44
21.55,1.74,8.52,3.42
21.56,1.81,8.60,3.34
21.56,1.77,8.69,3.36
21.56,1.74,8.72,3.42
21.56,1.70,8.71,3.29
21.57,1.59,8.78,3.10
21.57,1.48,8.79,2.96
21.57,1.42,8.75,2.91
21.57,1.14,8.63,2.87
21.58,0.88,8.51,3.12
21.58,0.81,8.45,3.36
21.58,0.76,8.40,3.37
21.58,0.64,8.37,3.44
21.59,0.60,8.38,3.47
21.59,0.48,8.31,3.42
21.59,0.36,8.29,3.39
21.59,0.31,8.36,3.37
21.60,0.25,8.48,3.35
21.60,0.28,8.54,3.37
21.60,0.31,8.62,3.39
21.60,0.26,8.66,3.34
21.61,0.23,8.68,3.29
21.61,0.16,8.59,3.19
21.61,0.10,8.55,3.14
21.61,0.06,8.52,3.17
21.62,0.02,8.54,3.15
21.62,-0.10,8.56,3.08
21.62,-0.09,8.54,3.10
21.62,-0.07,8.53,3.19
21.63,-0.03,8.50,3.20
21.63,-0.03,8.48,3.22
21.63,-0.10,8.50,3.21
21.63,-0.10,8.48,3.23
21.64,-0.09,8.39,3.18
21.64,-0.08,8.41,3.27
21.64,-0.07,8.33,3.27
21.64,-0.04,8.34,3.36
21.65,-0.02,8.36,3.39
21.65,-0.03,8.33,3.36
21.65,-0.02,8.34,3.33
21.65,0.02,8.32,3.38
21.66,0.11,8.34,3.40
21.66,0.17,8.33,3.42
21.66,0.17,8.30,3.45
21.66,0.18,8.26,3.49
21.67,0.20,8.18,3.45
21.67,0.20,8.21,3.47
21.67,0.31,8.24,3.48
21.67,0.39,8.22,3.50
21.68,0.39,8.20,3.57
21.68,0.47,8.16,3.67
21.68,0.54,8.18,3.65
21.68,0.56,8.21,3.60
21.69,0.60,8.20,3.68
21.69,0.62,8.18,3.70
21.69,0.69,8.16,3.76
21.69,0.74,8.18,3.80
21.70,0.85,8.24,3.79
21.70,0.90,8.30,3.84
21.70,0.93,8.38,3.79
21.70,0.93,8.42,3.76
21.71,0.90,8.52,3.76
21.71,0.95,8.57,3.76
21.71,0.95,8.56,3.67
21.71,1.03,8.64,3.65
21.72,1.10,8.73,3.57
21.72,1.13,8.92,3.49
21.72,1.21,9.07,3.32
21.72,1.19,9.15,2.93
21.73,1.10,9.01,2.95
21.73,0.97,8.77,3.39
21.73,0.86,8.53,3.75
21.73,0.79,8.44,3.84
21.74,0.67,8.29,3.95
21.74,0.50,8.14,3.95
21.74,0.48,8.14,3.93
21.74,0.53,8.19,4.01
21.75,0.48,8.17,3.91
21.75,0.48,8.20,3.92
21.75,0.49,8.35,4.03
21.75,0.48,8.42,3.99
21.76,0.49,8.55,3.91
21.76,0.45,8.62,3.85
21.76,0.30,8.62,3.72
21.76,0.14,8.66,3.59
21.77,-0.06,8.60,3.60
21.77,-0.13,8.61,3.60
21.77,-0.15,8.66,3.62
21.77,-0.08,8.66,3.67
21.78,-0.12,8.62,3.55
21.78,-0.28,8.58,3.51
21.78,-0.28,8.55,3.45
21.78,-0.31,8.54,3.54
21.79,-0.49,8.39,3.71
21.79,-0.78,8.26,3.87
21.79,-0.72,8.19,3.98
21.79,-0.62,8.20,4.04
21.80,-0.54,8.23,4.08
21.80,-0.50,8.26,3.99
21.80,-0.42,8.39,3.91
21.80,-0.35,8.47,3.86
21.81,-0.28,8.56,3.80
21.81,-0.23,8.61,3.70
21.81,-0.18,8.64,3.65
21.81,-0.03,8.74,3.51
21.82,0.07,8.82,3.44
21.82,0.13,8.86,3.37
21.82,0.25,8.91,3.34
21.82,0.27,8.94,3.30
21.83,0.32,8.92,3.35
21.83,0.41,8.96,3.34
21.83,0.49,8.94,3.32
21.83,0.60,9.06,3.29
21.84,0.58,9.09,3.33
21.84,0.68,9.14,3.29
21.84,0.76,9.24,3.31
21.84,0.75,9.28,3.30
21.85,0.79,9.34,3.30
21.85,0.80,9.41,3.23
21.85,0.91,9.41,3.20
21.85,0.98,9.47,3.09
21.86,1.05,9.53,3.01
21.86,1.16,9.52,2.95
21.86,1.26,9.55,2.87
21.86,1.34,9.57,2.84
21.87,1.40,9.59,2.80
21.87,1.42,9.54,2.70
21.87,1.39,9.50,2.69
21.87,1.35,9.49,2.70
21.88,1.30,9.49,2.73
21.88,1.26,9.47,2.78
21.88,1.15,9.45,2.83
21.88,1.17,9.43,2.85
21.89,1.17,9.43,2.94
21.89,1.11,9.31,3.06
21.89,1.13,9.26,3.16
21.89,1.11,9.22,3.20
21.90,1.07,9.12,3.25
21.90,0.98,9.12,3.23
21.90,0.94,9.08,3.24
21.90,0.79,9.01,3.26
21.91,0.69,9.00,3.23
21.91,0.61,8.87,3.16
21.91,0.60,8.72,3.10
21.91,0.55,8.63,2.97
21.92,0.48,8.45,2.93
21.92,0.39,8.28,2.83
21.92,0.34,8.13,2.69
21.92,0.34,7.96,2.67
21.93,0.26,7.76,2.55
21.93,0.27,7.63,2.39
21.93,0.24,7.50,2.29
21.93,0.24,7.27,2.23
21.94,0.19,7.11,2.15
21.94,0.17,6.93,2.09
21.94,0.13,6.75,2.01
21.94,0.12,6.61,1.99
21.95,0.06,6.43,2.03
21.95,0.00,6.34,2.00
21.95,-0.03,6.18,1.98
21.95,-0.08,6.01,1.97
21.96,-0.10,5.89,1.93
21.96,-0.20,5.80,1.92
21.96,-0.20,5.70,1.87
21.96,-0.22,5.61,1.84
21.97,-0.24,5.46,1.83
21.97,-0.24,5.31,1.84
21.97,-0.27,5.24,1.83
21.97,-0.37,5.25,1.85
21.98,-0.43,5.10,1.84
21.98,-0.45,5.00,1.78
21.98,-0.47,4.92,1.75
21.98,-0.51,4.89,1.72
21.99,-0.49,4.86,1.67
