Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
25.00,2.88,10.51,3.57
25.00,3.03,10.50,3.69
25.00,3.09,10.56,3.82
25.00,2.95,10.63,3.84
25.01,2.78,10.80,3.86
25.01,2.54,10.96,3.90
25.01,2.33,11.16,4.00
25.01,2.26,11.53,4.02
25.02,2.14,12.03,4.02
25.02,1.79,12.61,4.08
25.02,1.39,13.29,4.17
25.02,0.96,14.10,4.18
25.03,0.54,14.86,4.07
25.03,-0.03,15.86,3.88
25.03,-0.60,16.83,3.68
25.03,-1.06,17.64,3.35
25.04,-1.28,18.39,3.01
25.04,-1.33,18.96,2.60
25.04,-1.03,19.25,2.23
25.04,-0.32,19.15,1.81
25.05,0.67,18.62,1.44
25.05,1.64,17.56,1.05
25.05,2.46,16.16,0.69
25.05,2.95,14.69,0.36
25.06,3.04,13.45,-0.07
25.06,2.64,12.49,-0.50
25.06,1.91,11.68,-0.52
25.06,1.20,11.11,-0.10
25.07,0.69,10.63,0.30
25.07,0.41,10.20,0.87
25.07,0.33,9.88,1.64
25.07,0.37,9.62,2.49
25.08,0.68,9.30,3.44
25.08,1.08,9.13,4.31
25.08,1.60,9.08,5.08
25.08,2.04,9.03,5.57
25.09,2.40,9.04,5.77
25.09,2.79,9.00,5.59
25.09,3.16,8.95,5.03
25.09,3.31,8.86,4.32
25.10,3.33,8.65,3.73
25.10,3.19,8.46,3.16
25.10,3.12,8.31,2.36
25.10,2.90,8.15,1.62
25.11,2.38,8.10,0.94
25.11,1.91,8.02,0.46
25.11,1.36,8.04,0.19
25.11,0.86,8.08,-0.05
25.12,0.32,8.11,-0.03
25.12,-0.36,8.21,0.04
25.12,-1.14,8.45,0.32
25.12,-2.07,8.66,0.52
25.13,-3.07,8.88,0.79
25.13,-3.98,9.19,1.13
25.13,-4.62,9.43,1.39
25.13,-4.80,9.67,1.83
25.14,-4.96,9.80,2.38
25.14,-4.95,9.87,2.89
25.14,-4.94,9.82,3.51
25.14,-4.73,9.80,4.23
25.15,-4.33,9.63,5.12
25.15,-3.95,9.45,5.71
25.15,-3.71,9.40,6.39
25.15,-3.67,9.30,6.83
25.16,-3.75,9.23,7.11
25.16,-3.89,9.23,7.39
25.16,-4.10,9.25,7.67
25.16,-4.38,9.19,7.88
25.17,-4.40,9.08,7.97
25.17,-4.41,8.91,7.91
25.17,-4.35,8.70,7.65
25.17,-4.41,8.53,7.38
25.18,-4.52,8.27,7.03
25.18,-4.53,8.00,6.83
25.18,-4.45,7.69,6.53
25.18,-4.39,7.47,6.14
25.19,-4.47,7.23,5.94
25.19,-4.45,7.02,5.69
25.19,-4.25,6.85,5.35
25.19,-3.98,6.73,5.12
25.20,-3.57,6.54,4.91
25.20,-3.10,6.36,4.64
25.20,-2.70,6.19,4.52
25.20,-2.09,5.98,4.33
25.21,-1.49,5.96,4.19
25.21,-1.05,5.91,4.10
25.21,-0.75,5.92,3.90
25.21,-0.48,6.08,3.67
25.22,-0.04,6.03,3.69
25.22,0.33,5.99,4.12
25.22,0.48,6.13,4.68
25.22,0.64,6.27,4.93
25.23,0.72,6.38,5.11
25.23,0.70,6.53,5.08
25.23,0.69,6.74,4.94
25.23,0.66,7.03,4.73
25.24,0.68,7.25,4.49
25.24,0.69,7.46,4.32
25.24,0.71,7.72,4.11
25.24,0.64,8.00,3.81
