Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
25.00,0.35,0.75,0.00
25.00,0.43,0.68,-0.04
25.00,0.52,0.59,-0.09
25.00,0.59,0.49,-0.15
25.01,0.64,0.38,-0.21
25.01,0.68,0.25,-0.26
25.01,0.70,0.10,-0.31
25.01,0.70,-0.07,-0.34
25.02,0.69,-0.24,-0.38
25.02,0.68,-0.40,-0.40
25.02,0.66,-0.56,-0.41
25.02,0.64,-0.72,-0.40
25.03,0.61,-0.85,-0.38
25.03,0.59,-0.95,-0.34
25.03,0.56,-1.02,-0.27
25.03,0.53,-1.06,-0.18
25.04,0.48,-1.06,-0.06
25.04,0.43,-1.04,0.06
25.04,0.36,-0.98,0.18
25.04,0.28,-0.90,0.27
25.05,0.19,-0.80,0.33
25.05,0.09,-0.69,0.33
25.05,-0.01,-0.58,0.28
25.05,-0.12,-0.47,0.18
25.06,-0.25,-0.35,0.06
25.06,-0.38,-0.22,-0.07
25.06,-0.53,-0.07,-0.18
25.06,-0.67,0.05,-0.25
25.07,-0.80,0.15,-0.30
25.07,-0.89,0.24,-0.33
25.07,-0.95,0.33,-0.33
25.07,-0.97,0.42,-0.32
25.08,-0.94,0.49,-0.30
25.08,-0.87,0.55,-0.27
25.08,-0.75,0.58,-0.25
25.08,-0.60,0.59,-0.23
25.09,-0.44,0.57,-0.22
25.09,-0.27,0.53,-0.22
25.09,-0.12,0.49,-0.25
25.09,0.01,0.46,-0.30
25.10,0.11,0.44,-0.37
25.10,0.18,0.42,-0.46
25.10,0.25,0.39,-0.57
25.10,0.29,0.37,-0.68
25.11,0.29,0.36,-0.81
25.11,0.28,0.37,-0.94
25.11,0.23,0.38,-1.08
25.11,0.18,0.39,-1.21
25.12,0.12,0.38,-1.36
25.12,0.04,0.37,-1.50
25.12,-0.02,0.34,-1.64
25.12,-0.08,0.31,-1.76
25.13,-0.14,0.27,-1.85
25.13,-0.18,0.24,-1.90
25.13,-0.22,0.22,-1.93
25.13,-0.25,0.23,-1.95
25.14,-0.28,0.24,-1.94
25.14,-0.28,0.27,-1.90
25.14,-0.29,0.35,-1.85
25.14,-0.28,0.46,-1.79
25.15,-0.26,0.58,-1.74
25.15,-0.22,0.71,-1.69
25.15,-0.18,0.84,-1.66
25.15,-0.12,0.98,-1.63
25.16,-0.07,1.12,-1.61
25.16,-0.01,1.25,-1.57
25.16,0.04,1.37,-1.52
25.16,0.09,1.47,-1.48
25.17,0.15,1.53,-1.41
25.17,0.19,1.57,-1.34
25.17,0.23,1.61,-1.28
25.17,0.26,1.65,-1.23
25.18,0.28,1.70,-1.18
25.18,0.29,1.76,-1.12
25.18,0.31,1.83,-1.07
25.18,0.32,1.90,-1.03
25.19,0.33,1.99,-0.97
25.19,0.35,2.08,-0.91
25.19,0.35,2.17,-0.85
25.19,0.36,2.27,-0.79
25.20,0.37,2.36,-0.72
25.20,0.38,2.45,-0.66
25.20,0.39,2.53,-0.61
25.20,0.40,2.60,-0.56
25.21,0.40,2.66,-0.53
25.21,0.42,2.71,-0.50
25.21,0.43,2.76,-0.48
25.21,0.44,2.79,-0.46
25.22,0.46,2.83,-0.45
25.22,0.47,2.84,-0.44
25.22,0.51,2.81,-0.43
25.22,0.56,2.74,-0.42
25.23,0.62,2.66,-0.42
25.23,0.69,2.57,-0.41
25.23,0.75,2.48,-0.40
25.23,0.82,2.41,-0.39
25.24,0.88,2.35,-0.38
25.24,0.93,2.29,-0.37
25.24,0.98,2.23,-0.37
25.24,1.02,2.18,-0.36
25.25,1.05,2.14,-0.36
25.25,1.07,2.09,-0.36
25.25,1.09,2.04,-0.36
25.25,1.10,2.00,-0.36
25.26,1.11,1.96,-0.36
25.26,1.11,1.92,-0.38
25.26,1.10,1.89,-0.39
25.26,1.09,1.86,-0.41
25.27,1.08,1.84,-0.43
25.27,1.05,1.83,-0.46
25.27,0.98,1.86,-0.49
25.27,0.85,2.03,-0.53
