Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
32.54,0.34,9.53,0.89
32.54,0.34,9.47,0.89
32.54,0.32,9.49,0.91
32.55,0.32,9.45,0.93
32.55,0.34,9.44,0.89
32.55,0.35,9.44,0.92
32.55,0.33,9.42,0.97
32.56,0.36,9.42,0.93
32.56,0.38,9.42,0.93
32.56,0.40,9.42,0.90
32.56,0.41,9.34,0.93
32.57,0.33,9.34,0.93
32.57,0.37,9.36,0.90
32.57,0.40,9.36,0.91
32.57,0.37,9.29,0.92
32.58,0.41,9.26,0.97
32.58,0.37,9.29,0.97
32.58,0.38,9.30,0.93
32.58,0.34,9.23,0.92
32.59,0.39,9.22,0.93
32.59,0.38,9.22,0.89
32.59,0.35,9.15,0.90
32.59,0.36,9.17,0.92
32.60,0.35,9.17,0.90
32.60,0.35,9.16,0.91
32.60,0.30,9.16,0.93
32.60,0.25,9.14,0.92
32.61,0.29,9.12,0.96
32.61,0.26,9.17,0.96
32.61,0.25,9.16,0.97
32.61,0.21,9.19,0.98
32.62,0.22,9.23,0.97
32.62,0.22,9.29,1.00
32.62,0.22,9.29,0.99
32.62,0.21,9.28,0.98
32.63,0.22,9.32,0.97
32.63,0.18,9.34,0.92
32.63,0.18,9.33,0.87
32.63,0.20,9.33,0.91
32.64,0.17,9.34,0.87
32.64,0.15,9.33,0.84
32.64,0.20,9.35,0.84
32.64,0.15,9.35,0.78
32.65,0.14,9.36,0.77
32.65,0.13,9.36,0.76
32.65,0.08,9.40,0.73
32.65,0.08,9.43,0.72
32.66,0.05,9.40,0.67
32.66,-0.02,9.41,0.66
32.66,-0.01,9.46,0.61
32.66,-0.04,9.51,0.55
32.67,-0.05,9.51,0.51
32.67,-0.10,9.56,0.54
32.67,-0.12,9.62,0.57
32.67,-0.17,9.62,0.55
32.68,-0.15,9.65,0.55
32.68,-0.18,9.69,0.62
32.68,-0.20,9.66,0.59
32.68,-0.16,9.72,0.61
32.69,-0.15,9.79,0.63
32.69,-0.17,9.79,0.67
32.69,-0.15,9.83,0.67
32.69,-0.17,9.90,0.71
32.70,-0.10,9.95,0.72
32.70,-0.01,9.95,0.70
32.70,-0.03,9.97,0.74
32.70,-0.01,9.99,0.80
32.71,-0.02,10.02,0.87
32.71,0.03,10.02,0.84
32.71,0.10,10.02,0.83
32.71,0.10,10.03,0.88
32.72,0.13,10.03,0.86
32.72,0.16,10.04,0.87
32.72,0.18,10.04,0.89
32.72,0.26,10.02,0.87
32.73,0.28,10.01,0.91
32.73,0.30,9.94,0.90
32.73,0.32,9.93,0.91
32.73,0.39,9.87,0.85
32.74,0.42,9.83,0.82
32.74,0.39,9.75,0.86
32.74,0.40,9.73,0.97
32.74,0.41,9.69,0.99
32.75,0.39,9.66,1.11
32.75,0.37,9.58,1.17
32.75,0.37,9.53,1.24
32.75,0.36,9.48,1.28
32.76,0.33,9.44,1.31
32.76,0.29,9.41,1.36
32.76,0.25,9.35,1.43
32.76,0.28,9.29,1.50
32.77,0.27,9.24,1.52
32.77,0.27,9.18,1.56
32.77,0.28,9.15,1.60
32.77,0.29,9.07,1.62
32.78,0.27,9.04,1.67
32.78,0.27,9.05,1.71
32.78,0.28,9.01,1.75
32.78,0.22,8.99,1.83
32.79,0.21,9.03,1.77
32.79,0.25,9.01,1.72
32.79,0.27,9.02,1.83
32.79,0.26,9.01,1.85
32.80,0.29,8.99,1.85
32.80,0.29,9.02,1.86
32.80,0.28,8.99,1.81
32.80,0.32,9.02,1.83
32.81,0.34,8.96,1.83
32.81,0.32,8.99,1.78
32.81,0.36,9.06,1.81
32.81,0.32,9.01,1.82
32.82,0.37,9.08,1.81
32.82,0.37,9.13,1.82
32.82,0.37,9.16,1.84
32.82,0.37,9.15,1.83
32.83,0.42,9.19,1.88
32.83,0.39,9.17,1.85
32.83,0.39,9.15,1.79
32.83,0.35,9.11,1.77
32.84,0.41,9.14,1.77
32.84,0.48,9.18,1.84
32.84,0.47,9.16,1.91
32.84,0.49,9.18,1.98
32.85,0.48,9.14,2.03
32.85,0.47,9.13,1.96
32.85,0.48,9.11,2.00
32.85,0.49,9.11,2.01
32.86,0.48,9.08,2.04
32.86,0.51,9.10,2.04
32.86,0.52,9.11,2.03
32.86,0.50,9.06,2.04
32.87,0.52,9.03,2.05
32.87,0.51,9.05,2.09
32.87,0.56,9.05,2.14
32.87,0.60,9.00,2.15
32.88,0.64,9.05,2.17
32.88,0.68,9.06,2.19
32.88,0.75,9.06,2.17
32.88,0.80,9.06,2.18
32.89,0.80,9.03,2.16
32.89,0.85,9.04,2.19
32.89,0.94,9.03,2.16
32.89,0.93,9.02,2.15
32.90,1.01,9.04,2.12
32.90,1.00,9.03,2.10
32.90,1.05,9.01,2.18
32.90,1.11,9.02,2.18
32.91,1.18,9.02,2.15
32.91,1.19,9.01,2.13
32.91,1.19,8.99,2.11
32.91,1.23,8.95,2.10
32.92,1.27,8.96,2.06
32.92,1.33,8.98,2.04
32.92,1.34,8.93,1.96
32.92,1.37,8.92,1.92
32.93,1.37,8.94,1.92
32.93,1.33,8.92,1.91
32.93,1.39,8.96,1.89
32.93,1.37,8.94,1.91
32.94,1.39,8.94,1.90
32.94,1.43,8.94,1.89
32.94,1.47,8.94,1.98
