Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
30.03,3.75,7.66,4.37
30.03,3.85,7.58,4.41
30.04,3.92,7.46,4.41
30.04,3.96,7.42,4.41
30.04,4.01,7.41,4.41
30.04,4.07,7.42,4.42
30.05,4.11,7.40,4.34
30.05,4.13,7.43,4.34
30.05,4.13,7.45,4.23
30.05,4.18,7.45,4.22
30.06,4.17,7.49,4.16
30.06,4.22,7.56,4.16
30.06,4.21,7.59,4.14
30.06,4.24,7.65,4.08
30.07,4.25,7.75,4.09
30.07,4.28,7.76,4.05
30.07,4.29,7.79,4.06
30.07,4.31,7.86,3.99
30.08,4.34,7.91,3.97
30.08,4.32,7.97,3.94
30.08,4.35,8.00,3.86
30.08,4.31,8.03,3.76
30.09,4.29,8.03,3.71
30.09,4.34,8.10,3.65
30.09,4.29,8.12,3.58
30.09,4.23,8.09,3.54
30.10,4.21,8.06,3.48
30.10,4.13,8.09,3.45
30.10,4.03,8.06,3.43
30.10,3.99,8.07,3.47
30.11,3.96,8.10,3.47
30.11,3.84,8.02,3.49
30.11,3.74,7.98,3.53
30.11,3.63,7.95,3.56
30.12,3.58,7.81,3.67
30.12,3.46,7.71,3.73
30.12,3.33,7.67,3.81
30.12,3.22,7.62,3.89
30.13,3.25,7.48,3.92
30.13,3.41,7.36,3.96
30.13,3.52,7.31,3.98
30.13,3.71,7.25,4.00
30.14,3.85,7.24,4.01
30.14,3.89,7.32,3.95
30.14,3.92,7.38,3.89
30.14,3.99,7.48,3.81
30.15,4.02,7.56,3.79
30.15,4.01,7.66,3.77
30.15,3.98,7.77,3.78
30.15,3.97,7.88,3.66
30.16,3.93,7.95,3.67
30.16,3.94,8.00,3.67
30.16,3.86,8.11,3.70
30.16,3.84,8.22,3.72
30.17,3.86,8.29,3.69
30.17,3.79,8.41,3.71
30.17,3.78,8.51,3.69
30.17,3.78,8.60,3.66
30.18,3.76,8.69,3.69
30.18,3.77,8.84,3.64
30.18,3.78,8.98,3.67
30.18,3.75,9.08,3.68
30.19,3.80,9.24,3.65
30.19,3.84,9.37,3.68
30.19,3.94,9.46,3.68
30.20,4.06,9.57,3.71
30.20,4.11,9.66,3.70
30.20,4.25,9.70,3.72
30.20,4.42,9.75,3.71
30.20,4.56,9.82,3.70
30.21,4.63,9.85,3.73
30.21,4.77,9.86,3.69
30.21,4.88,9.88,3.74
30.21,4.93,9.89,3.73
30.22,4.98,9.87,3.72
30.22,5.07,9.86,3.68
30.22,5.10,9.85,3.69
30.22,5.13,9.83,3.66
30.23,5.18,9.78,3.66
30.23,5.20,9.72,3.64
30.23,5.17,9.68,3.65
30.23,5.15,9.62,3.63
30.24,5.08,9.62,3.58
30.24,5.07,9.64,3.46
30.24,5.01,9.65,3.33
30.24,4.97,9.69,3.24
30.25,4.95,9.77,3.17
30.25,4.82,9.82,3.10
30.25,4.69,9.87,3.01
30.25,4.57,9.91,2.91
30.26,4.37,9.97,2.89
30.26,4.22,10.01,2.93
30.26,4.02,10.00,2.88
30.26,3.85,10.02,2.92
30.27,3.70,10.08,3.00
30.27,3.50,10.20,3.12
30.27,3.27,10.24,3.15
30.27,3.05,10.39,3.21
30.28,2.88,10.57,3.31
30.28,2.67,10.70,3.49
30.28,2.53,10.86,3.58
30.28,2.37,11.00,3.66
30.29,2.27,11.11,3.69
30.29,2.16,11.18,3.84
30.29,2.08,11.17,3.92
30.29,2.04,11.09,3.99
30.30,2.01,10.97,4.06
30.30,2.07,10.82,4.18
30.30,2.09,10.59,4.14
30.30,2.07,10.41,4.03
30.31,2.07,10.36,3.89
30.31,2.13,10.28,3.64
30.31,2.17,10.32,3.39
30.31,2.16,10.42,3.08
30.32,2.23,10.58,2.86
30.32,2.32,10.72,2.60
30.32,2.42,10.83,2.29
30.32,2.54,10.90,2.00
30.33,2.60,10.90,1.84
30.33,2.64,10.91,1.68
30.33,2.46,10.90,1.56
30.33,2.43,10.84,1.43
30.34,2.34,10.79,1.36
30.34,2.34,10.72,1.26
30.34,2.43,10.62,1.18
30.34,2.49,10.57,0.99
30.35,2.46,10.51,0.76
30.35,2.37,10.42,0.72
30.35,2.12,10.32,0.86
30.35,1.96,10.30,1.00
30.36,1.76,10.28,1.11
30.36,1.53,10.21,1.20
30.36,1.38,10.21,1.28
30.36,1.30,10.18,1.32
30.37,1.22,10.14,1.18
30.37,1.17,10.10,1.14
30.37,1.04,10.05,1.03
30.37,0.90,10.00,0.90
30.38,0.81,9.88,0.87
30.38,0.87,9.77,0.77
30.38,0.85,9.65,0.59
30.38,0.87,9.61,0.48
30.39,0.85,9.50,0.34
30.39,0.86,9.41,0.22
30.39,0.86,9.33,0.13
30.39,0.90,9.23,0.07
30.40,0.98,9.08,0.00
30.40,1.08,8.92,-0.05
30.40,1.11,8.82,-0.15
30.40,1.23,8.70,-0.26
30.41,1.31,8.52,-0.36
30.41,1.29,8.35,-0.49
30.41,1.34,8.20,-0.52
30.41,1.46,8.03,-0.50
30.42,1.48,7.83,-0.40
30.42,1.54,7.68,-0.31
30.42,1.66,7.49,-0.19
30.42,1.69,7.31,-0.13
30.43,1.66,7.16,-0.02
30.43,1.59,7.08,0.07
30.43,1.54,7.03,0.17
30.43,1.43,7.04,0.26
30.44,1.32,6.99,0.38
30.44,1.19,6.95,0.47
30.44,1.01,6.94,0.50
30.44,0.90,7.01,0.55
30.45,0.81,7.10,0.60
30.45,0.76,7.16,0.70
30.45,0.73,7.23,0.79
30.45,0.69,7.33,0.87
30.46,0.64,7.49,1.10
30.46,0.64,7.67,1.39
30.46,0.77,7.79,1.29
30.46,0.76,8.00,1.03
30.47,0.66,8.23,0.85
30.47,0.57,8.43,0.85
30.47,0.54,8.69,0.84
30.47,0.36,9.02,0.71
30.48,0.23,9.13,0.57
30.48,0.32,9.08,0.50
30.48,0.17,9.36,0.63
30.48,-0.11,9.51,0.75
30.49,-0.30,9.68,0.89
30.49,-0.43,9.81,1.10
30.49,-0.58,10.01,1.30
