Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
30.31,0.70,-0.92,0.15
30.31,0.73,-0.96,0.14
30.31,0.74,-0.98,0.13
30.32,0.74,-1.00,0.12
30.32,0.74,-1.00,0.12
30.32,0.72,-1.00,0.11
30.32,0.70,-0.99,0.11
30.33,0.67,-0.97,0.11
30.33,0.63,-0.94,0.10
30.33,0.60,-0.90,0.10
30.33,0.55,-0.85,0.11
30.34,0.52,-0.79,0.11
30.34,0.47,-0.73,0.13
30.34,0.42,-0.67,0.13
30.34,0.38,-0.60,0.13
30.35,0.32,-0.51,0.13
30.35,0.26,-0.43,0.13
30.35,0.20,-0.35,0.12
30.35,0.15,-0.28,0.12
30.36,0.10,-0.22,0.12
30.36,0.05,-0.18,0.12
30.36,0.02,-0.14,0.12
30.36,-0.02,-0.11,0.12
30.37,-0.04,-0.10,0.12
30.37,-0.06,-0.08,0.11
30.37,-0.08,-0.07,0.11
30.37,-0.08,-0.05,0.09
30.38,-0.08,-0.04,0.08
30.38,-0.08,-0.04,0.07
30.38,-0.08,-0.04,0.05
30.38,-0.07,-0.05,0.04
30.39,-0.05,-0.06,0.02
30.39,-0.04,-0.07,0.01
30.39,-0.02,-0.09,0.00
30.39,0.01,-0.12,-0.01
30.40,0.04,-0.14,-0.02
30.40,0.07,-0.16,-0.02
30.40,0.10,-0.18,-0.03
30.40,0.13,-0.20,-0.03
30.41,0.15,-0.20,-0.03
30.41,0.17,-0.21,-0.04
30.41,0.18,-0.21,-0.03
30.41,0.18,-0.21,-0.03
30.42,0.19,-0.20,-0.03
30.42,0.18,-0.19,-0.03
30.42,0.17,-0.19,-0.02
30.42,0.16,-0.18,-0.03
30.43,0.14,-0.17,-0.03
30.43,0.12,-0.17,-0.03
30.43,0.10,-0.16,-0.04
30.43,0.07,-0.16,-0.04
30.44,0.04,-0.16,-0.04
30.44,0.02,-0.17,-0.05
30.44,-0.01,-0.16,-0.04
30.44,-0.05,-0.17,-0.03
30.45,-0.08,-0.17,-0.03
30.45,-0.11,-0.16,-0.02
