Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
17.52,2.81,8.93,2.19
17.53,2.77,8.89,2.20
17.53,2.77,8.88,2.24
17.53,2.77,8.91,2.22
17.53,2.75,8.85,2.24
17.54,2.78,8.89,2.23
17.54,2.79,8.87,2.24
17.54,2.82,8.88,2.22
17.54,2.77,8.86,2.21
17.55,2.87,8.87,2.21
17.55,2.95,8.80,2.21
17.55,2.95,8.85,2.21
17.55,2.94,8.85,2.19
17.56,2.97,8.82,2.15
17.56,3.00,8.83,2.12
17.56,3.01,8.82,2.13
17.56,2.98,8.83,2.17
17.57,3.02,8.82,2.09
17.57,3.03,8.83,2.07
17.57,3.05,8.84,2.12
17.57,3.06,8.82,2.04
17.58,3.04,8.87,2.05
17.58,3.03,8.85,2.11
17.58,3.02,8.84,2.14
17.58,3.04,8.86,2.13
17.59,3.03,8.87,2.15
17.59,3.00,8.90,2.15
17.59,3.04,8.89,2.15
17.59,3.05,8.85,2.15
17.60,3.08,8.83,2.15
17.60,3.09,8.86,2.15
17.60,3.06,8.85,2.17
17.60,3.09,8.79,2.15
17.61,3.08,8.83,2.16
17.61,3.06,8.82,2.10
17.61,3.04,8.77,2.11
17.61,3.06,8.75,2.13
17.62,3.04,8.75,2.04
17.62,3.06,8.77,2.03
17.62,3.08,8.83,2.00
17.62,3.07,8.83,1.99
17.63,3.03,8.82,1.99
17.63,3.03,8.85,1.95
17.63,3.07,8.85,2.03
17.63,3.04,8.85,2.04
17.64,3.01,8.81,2.09
17.64,3.03,8.83,2.13
17.64,3.10,8.86,2.11
17.64,3.08,8.86,2.11
17.65,3.08,8.88,2.19
17.65,3.08,8.88,2.15
17.65,3.11,8.91,2.15
17.65,3.08,8.89,2.14
17.66,3.09,8.90,2.12
17.66,3.11,8.93,2.13
17.66,3.13,8.91,2.14
17.66,3.11,8.88,2.15
17.67,3.08,8.90,2.10
17.67,3.12,8.87,2.07
17.67,3.11,8.86,2.07
17.67,3.10,8.84,2.09
17.68,3.09,8.88,2.04
17.68,3.05,8.88,2.07
17.68,3.06,8.87,2.09
17.68,3.06,8.83,2.06
17.69,3.10,8.85,2.10
17.69,3.07,8.83,2.15
17.69,3.07,8.85,2.13
17.69,3.09,8.85,2.15
17.70,3.13,8.88,2.15
17.70,3.09,8.91,2.17
17.70,3.11,8.89,2.17
17.70,3.11,8.89,2.18
17.71,3.11,8.93,2.18
17.71,3.15,8.93,2.18
17.71,3.16,8.93,2.15
17.71,3.12,8.95,2.17
17.72,3.16,8.90,2.16
17.72,3.13,8.92,2.12
17.72,3.19,8.95,2.07
17.72,3.17,8.92,2.02
17.73,3.13,8.94,2.04
17.73,3.16,8.94,2.06
17.73,3.15,8.92,2.02
17.73,3.14,8.94,2.05
17.74,3.11,8.92,1.98
17.74,3.09,8.91,2.00
17.74,3.11,8.90,1.96
17.74,3.03,8.92,1.99
17.75,3.05,8.93,2.04
17.75,3.11,8.96,2.03
17.75,3.11,8.98,2.03
17.75,3.09,8.99,2.08
17.76,3.09,8.96,2.11
17.76,3.06,8.91,2.09
17.76,3.09,8.93,2.08
17.76,3.12,8.88,2.15
17.77,3.03,8.85,2.17
17.77,3.07,8.86,2.21
17.77,3.09,8.81,2.22
17.77,3.09,8.79,2.22
17.78,3.10,8.79,2.25
17.78,3.12,8.78,2.21
