"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.078163300E-2,-2.676970243E0,3.847060680E0,8.057231903E0
1.825272700E-2,-2.710469961E0,3.731606960E0,7.760521889E0
2.086324800E-2,-2.720041037E0,3.760320902E0,7.822735310E0
2.335361200E-2,-2.734398127E0,3.765106440E0,7.808378696E0
2.584397700E-2,-2.796611547E0,3.736392498E0,7.774878979E0
2.833434200E-2,-2.810968399E0,3.813561201E0,7.789236069E0
3.082470600E-2,-2.873181820E0,3.789034605E0,7.832306862E0
3.331340400E-2,-2.955136061E0,3.847060680E0,7.894520283E0
3.580205000E-2,-2.959921598E0,3.914059639E0,7.942376614E0
3.829074800E-2,-3.007778168E0,3.966701746E0,8.023732185E0
4.078111200E-2,-3.017349243E0,4.071985722E0,8.110472679E0
4.327158100E-2,-3.036491871E0,4.076771736E0,8.115258217E0
4.576194600E-2,-3.108276606E0,4.095914364E0,8.158329010E0
4.825231000E-2,-3.127419233E0,4.100699902E0,8.182256699E0
5.074267500E-2,-3.122633457E0,4.081557274E0,8.225327492E0
5.323304000E-2,-3.151347399E0,4.028914928E0,8.239685059E0
5.572340400E-2,-3.136990547E0,4.081557274E0,8.282755852E0
5.821382100E-2,-3.093919754E0,4.009772778E0,8.344968796E0
6.070418500E-2,-3.113062143E0,3.961916208E0,8.383254051E0
6.304012300E-2,-3.079562664E0,3.937987804E0,8.493324280E0
6.553048700E-2,-3.108276606E0,3.890131474E0,8.617751122E0
6.802085200E-2,-3.113062143E0,3.899702787E0,8.747561455E0
7.051121700E-2,-3.069991350E0,3.798605919E0,8.862417221E0
7.300163300E-2,-3.041277647E0,3.722035646E0,8.848059654E0
7.549199800E-2,-2.988635540E0,3.722035646E0,8.848059654E0
7.798236200E-2,-2.935395241E0,3.688536167E0,8.809774399E0
8.047277900E-2,-2.930609465E0,3.683750391E0,8.771489143E0
8.296314400E-2,-2.911466837E0,3.683750391E0,8.723632812E0
8.545350800E-2,-2.916252613E0,3.760320902E0,8.714061737E0
8.794392500E-2,-2.863610506E0,3.793820381E0,8.694919586E0
9.043429000E-2,-2.825325251E0,3.813561201E0,8.670990944E0
9.292465400E-2,-2.830111027E0,3.851846218E0,8.666205406E0
9.516621700E-2,-2.901895761E0,3.861417532E0,8.723632812E0
9.765652900E-2,-2.916252613E0,3.870988846E0,8.728418350E0
1.001468940E-1,-2.887538671E0,3.866203070E0,8.804988861E0
1.026373100E-1,-2.839682341E0,3.861417532E0,8.838488579E0
1.051276750E-1,-2.820539713E0,3.779463291E0,8.857631683E0
1.076180920E-1,-2.772683144E0,3.745963812E0,8.905488014E0
1.101084560E-1,-2.715255499E0,3.678964853E0,8.900702477E0
1.125988210E-1,-2.710469961E0,3.664607763E0,8.929415703E0
1.150891850E-1,-2.729612350E0,3.650250912E0,8.972486496E0
