"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.145163300E-2,-2.350170314E-1,-4.660394415E-2,2.848166823E-1
7.394199800E-2,-2.318213433E-1,-4.979964346E-2,2.869471312E-1
7.643236200E-2,-2.318213433E-1,-7.110430300E-2,2.837514579E-1
7.892277900E-2,-2.339518070E-1,-9.347419441E-2,2.837514579E-1
8.141314400E-2,-2.403431982E-1,-1.115831584E-1,2.805557549E-1
8.390350800E-2,-2.477998286E-1,-1.179745570E-1,2.773600519E-1
8.639392500E-2,-2.563216984E-1,-1.179745570E-1,2.773600519E-1
8.888429000E-2,-2.680392563E-1,-1.243659556E-1,2.762948275E-1
9.137465400E-2,-2.786915898E-1,-1.350182891E-1,2.773600519E-1
9.361621700E-2,-2.861482203E-1,-1.467358470E-1,2.826862037E-1
9.610652900E-2,-2.914743721E-1,-1.552577168E-1,2.880123854E-1
9.859689400E-2,-2.968005538E-1,-1.627143472E-1,2.933385372E-1
1.010873100E-1,-2.999962568E-1,-1.659100503E-1,3.007951677E-1
1.035776750E-1,-2.957353294E-1,-1.701709777E-1,3.029256463E-1
1.060680920E-1,-2.978657782E-1,-1.691057384E-1,3.039908707E-1
1.085584560E-1,-2.968005538E-1,-1.691057384E-1,3.071865737E-1
1.110488210E-1,-2.936048508E-1,-1.680405140E-1,3.093170524E-1
1.135391850E-1,-2.904091477E-1,-1.659100503E-1,3.071865737E-1
1.160296020E-1,-2.872134447E-1,-1.659100503E-1,3.093170524E-1
1.185199670E-1,-2.861482203E-1,-1.648448110E-1,3.135779798E-1
1.210103830E-1,-2.808220685E-1,-1.563229412E-1,3.146432042E-1
1.235007480E-1,-2.776263654E-1,-1.499315500E-1,3.189041317E-1
1.257451230E-1,-2.669740319E-1,-1.392792165E-1,3.231650591E-1
1.282354350E-1,-2.563216984E-1,-1.350182891E-1,3.274259865E-1
1.307258000E-1,-2.467346042E-1,-1.296921223E-1,3.359478712E-1
1.332162170E-1,-2.350170314E-1,-1.211702600E-1,3.423392773E-1
1.357065810E-1,-2.232994735E-1,-1.147788614E-1,3.455349505E-1
1.381969460E-1,-2.105166763E-1,-1.137136221E-1,3.497959077E-1
1.406873620E-1,-1.998643428E-1,-1.105179265E-1,3.551220596E-1
1.431777270E-1,-1.913424879E-1,-1.115831584E-1,3.593829870E-1
1.456680920E-1,-1.796249151E-1,-1.137136221E-1,3.615134656E-1
1.481585080E-1,-1.711030602E-1,-1.201050207E-1,3.625786901E-1
1.506488730E-1,-1.647116542E-1,-1.286268830E-1,3.647091687E-1
1.531392900E-1,-1.561897993E-1,-1.403444558E-1,3.636439145E-1
1.556296540E-1,-1.519288570E-1,-1.499315500E-1,3.583177626E-1
1.578777790E-1,-1.497983932E-1,-1.616491079E-1,3.593829870E-1
1.603680920E-1,-1.487331539E-1,-1.712362021E-1,3.561872840E-1
1.628584560E-1,-1.476679295E-1,-1.840189993E-1,3.529915810E-1
1.653488730E-1,-1.476679295E-1,-1.946713328E-1,3.476654291E-1
1.678392370E-1,-1.625811905E-1,-1.797580719E-1,3.199693561E-1
1.703296540E-1,-1.870815456E-1,-1.499315500E-1,2.688381970E-1
1.728200190E-1,-2.083862126E-1,-1.296921223E-1,2.315550297E-1
1.753103830E-1,-2.275604010E-1,-1.254311949E-1,2.070546746E-1
1.778007480E-1,-2.435389012E-1,-1.371487528E-1,1.846847683E-1
1.802911650E-1,-2.520607710E-1,-1.573881805E-1,1.676410437E-1
1.827815290E-1,-2.563216984E-1,-1.754971445E-1,1.612496525E-1
1.852719460E-1,-2.605826259E-1,-1.936061084E-1,1.601844132E-1
1.877623100E-1,-2.563216984E-1,-2.095845938E-1,1.623148769E-1
1.898702270E-1,-2.531259954E-1,-2.276935577E-1,1.793586165E-1
1.923605920E-1,-2.509955168E-1,-2.479329854E-1,1.974675655E-1
1.948510080E-1,-2.446041405E-1,-2.617810071E-1,2.198374718E-1
1.973413730E-1,-2.424736619E-1,-2.692376375E-1,2.400768995E-1
1.998317900E-1,-2.371474952E-1,-2.745638192E-1,2.613815665E-1
2.023221540E-1,-2.254299372E-1,-2.756290436E-1,2.794905007E-1
2.048125190E-1,-2.190385461E-1,-2.745638192E-1,3.007951677E-1
2.073029350E-1,-2.115819156E-1,-2.734985650E-1,3.167736828E-1
2.097933520E-1,-2.030600458E-1,-2.703028917E-1,3.274259865E-1
2.122836650E-1,-1.924077123E-1,-2.660419345E-1,3.380783200E-1
2.147740810E-1,-1.806901544E-1,-2.628462613E-1,3.466002047E-1
2.172644460E-1,-1.721682847E-1,-2.553896308E-1,3.529915810E-1
2.196585080E-1,-1.625811905E-1,-2.458025217E-1,3.540568352E-1
2.221487690E-1,-1.551245600E-1,-2.372806519E-1,3.466002047E-1
2.246391850E-1,-1.444722265E-1,-2.298240215E-1,3.412740231E-1
2.271295500E-1,-1.380808353E-1,-2.244978547E-1,3.338173926E-1
2.296199150E-1,-1.306242049E-1,-2.191716880E-1,3.274259865E-1
2.321103310E-1,-1.252980381E-1,-2.170412242E-1,3.199693561E-1
2.346006960E-1,-1.146457046E-1,-2.127802968E-1,3.103822768E-1
2.370910600E-1,-1.082543060E-1,-2.138455361E-1,3.050560951E-1
2.395814770E-1,-1.029281393E-1,-2.170412242E-1,2.986647189E-1
2.420718420E-1,-9.547150880E-2,-2.181064636E-1,2.944037914E-1
2.445622060E-1,-8.801487833E-2,-2.234326303E-1,2.880123854E-1
2.470526230E-1,-7.949301600E-2,-2.330197245E-1,2.837514579E-1
2.495429870E-1,-7.097115368E-2,-2.447372824E-1,2.794905007E-1
2.517888210E-1,-6.457975507E-2,-2.543243766E-1,2.709686458E-1
2.542791850E-1,-6.138405204E-2,-2.671071887E-1,2.613815665E-1
2.567694980E-1,-5.605788901E-2,-2.766942680E-1,2.539249361E-1
2.592599150E-1,-5.073172227E-2,-2.884118557E-1,2.432725877E-1
2.617502790E-1,-4.647079110E-2,-2.969337106E-1,2.294245660E-1
2.642406440E-1,-4.434032366E-2,-3.054555655E-1,2.209026963E-1
2.667310600E-1,-4.220985994E-2,-3.129121959E-1,2.091851383E-1
2.692214250E-1,-4.114462435E-2,-3.193036020E-1,1.964023411E-1
2.717117900E-1,-3.794892505E-2,-3.256950080E-1,1.825543046E-1
2.742022060E-1,-3.901416063E-2,-3.299559355E-1,1.708367467E-1
2.766925710E-1,-3.688369319E-2,-3.310211599E-1,1.601844132E-1
2.791829870E-1,-3.368799388E-2,-3.278254569E-1,1.527277827E-1
2.816733520E-1,-3.475322574E-2,-3.246297538E-1,1.420754492E-1
2.839152270E-1,-3.368799388E-2,-3.150426745E-1,1.324883550E-1
2.864055400E-1,-3.262276202E-2,-3.033251166E-1,1.260969639E-1
2.888959040E-1,-3.049229458E-2,-2.937380075E-1,1.229012609E-1
2.913863210E-1,-2.729659714E-2,-2.841508985E-1,1.207707971E-1
2.938766850E-1,-2.729659714E-2,-2.809551954E-1,1.154446304E-1
2.963670500E-1,-2.516612969E-2,-2.756290436E-1,1.143793985E-1
2.988574670E-1,-2.516612969E-2,-2.745638192E-1,1.143793985E-1
3.013478310E-1,-2.410089783E-2,-2.788247466E-1,1.154446304E-1
