"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.354022700E-2,-2.840177417E-1,-3.438039720E-1,2.443378270E-1
7.602975800E-2,-2.808220685E-1,-3.288906813E-1,2.475335300E-1
7.851923800E-2,-2.882786989E-1,-3.097164929E-1,2.549901605E-1
8.100876900E-2,-2.914743721E-1,-2.852161527E-1,2.688381970E-1
8.349830000E-2,-2.904091477E-1,-2.521939278E-1,2.837514579E-1
8.598788300E-2,-2.872134447E-1,-2.202369273E-1,2.933385372E-1
8.847736300E-2,-2.850829959E-1,-1.904104054E-1,3.082517982E-1
9.096689400E-2,-2.754958868E-1,-1.616491079E-1,3.274259865E-1
9.314017500E-2,-2.659088075E-1,-1.360835135E-1,3.476654291E-1
9.562965400E-2,-2.520607710E-1,-1.137136221E-1,3.657743931E-1
9.811918600E-2,-2.392779738E-1,-9.240896255E-2,3.838833570E-1
1.006087170E-1,-2.243647128E-1,-7.110430300E-2,4.041227698E-1
1.030981960E-1,-2.137123793E-1,-5.619104207E-2,4.243622124E-1
1.055877270E-1,-2.041252851E-1,-4.660394415E-2,4.392754734E-1
1.080772580E-1,-1.924077123E-1,-4.021254554E-2,4.541887343E-1
1.105667900E-1,-1.817553788E-1,-4.127778113E-2,4.680367708E-1
1.130563210E-1,-1.742987484E-1,-4.447348043E-2,4.797543287E-1
1.155458520E-1,-1.668421179E-1,-5.406057462E-2,4.893414080E-1
1.180353830E-1,-1.593854874E-1,-6.790860742E-2,4.978632927E-1
1.205249150E-1,-1.540593207E-1,-9.240896255E-2,5.042546988E-1
1.230144460E-1,-1.551245600E-1,-1.254311949E-1,5.117112994E-1
1.255039250E-1,-1.604507267E-1,-1.595186442E-1,5.170374513E-1
1.279934560E-1,-1.636464298E-1,-2.063889056E-1,5.212984085E-1
1.304829880E-1,-1.711030602E-1,-2.553896308E-1,5.149070024E-1
1.329725190E-1,-1.870815456E-1,-3.011946380E-1,5.021241903E-1
1.354620500E-1,-2.051905096E-1,-3.406082690E-1,4.999937415E-1
1.379515810E-1,-2.286256403E-1,-3.768261969E-1,4.999937415E-1
1.404411130E-1,-2.627131045E-1,-3.970656097E-1,5.063851476E-1
1.429306440E-1,-2.957353294E-1,-3.981308341E-1,5.223636627E-1
1.454201230E-1,-3.298227787E-1,-3.991960883E-1,5.404726267E-1
1.479096540E-1,-3.649754524E-1,-3.906742036E-1,5.617772937E-1
1.503991860E-1,-4.011933804E-1,-3.533910513E-1,5.852124095E-1
1.528887170E-1,-4.331503808E-1,-3.150426745E-1,6.139736772E-1
1.553783000E-1,-4.608464241E-1,-2.916075289E-1,6.438001990E-1
1.578677790E-1,-4.800206423E-1,-2.820204496E-1,6.651048660E-1
1.603573110E-1,-4.906729758E-1,-2.841508985E-1,6.810833812E-1
1.628468420E-1,-4.991948307E-1,-2.894770801E-1,6.981270909E-1
1.653363730E-1,-5.013253093E-1,-2.969337106E-1,7.119750977E-1
1.672779880E-1,-5.045210123E-1,-3.022598624E-1,7.258231640E-1
1.697674670E-1,-5.023905039E-1,-3.033251166E-1,7.364754677E-1
1.722569980E-1,-5.013253093E-1,-3.011946380E-1,7.503235340E-1
1.747465290E-1,-4.981296062E-1,-2.884118557E-1,7.641715407E-1
1.772360610E-1,-4.938686490E-1,-2.734985650E-1,7.769543529E-1
1.797255920E-1,-4.832163453E-1,-2.585853040E-1,7.897371054E-1
1.822151230E-1,-4.714987576E-1,-2.394111156E-1,8.057156205E-1
1.847046020E-1,-4.597811997E-1,-2.244978547E-1,8.163679838E-1
1.871941330E-1,-4.459331632E-1,-2.063889056E-1,8.195636868E-1
1.896836650E-1,-4.288894534E-1,-1.446053833E-1,7.876066566E-1
1.921731960E-1,-4.246285260E-1,-5.086487532E-2,7.354102731E-1
1.946627270E-1,-4.256937504E-1,3.648423031E-2,7.130403519E-1
1.971522580E-1,-4.278241992E-1,1.366161406E-1,7.023880482E-1
1.996417900E-1,-4.203675687E-1,2.303566486E-1,7.013227940E-1
2.021313210E-1,-3.958672285E-1,2.878792286E-1,6.991923451E-1
2.046208520E-1,-3.585840762E-1,3.145100474E-1,6.949313879E-1
2.071103310E-1,-3.095833361E-1,3.187709749E-1,6.853442788E-1
2.095999150E-1,-2.520607710E-1,3.187709749E-1,6.746919751E-1
2.120893940E-1,-1.913424879E-1,3.102491200E-1,6.640396118E-1
2.142273630E-1,-1.274285018E-1,2.857487500E-1,6.533873081E-1
2.167168940E-1,-6.457975507E-2,2.548570037E-1,6.448654532E-1
2.192064250E-1,-7.057168987E-3,2.218347788E-1,6.331478953E-1
2.216959560E-1,4.726971686E-2,1.760297567E-1,6.150389314E-1
2.241854360E-1,8.668334037E-2,1.355509013E-1,6.001256704E-1
2.266749670E-1,1.122489274E-1,1.078548431E-1,5.873428583E-1
2.291644980E-1,1.250317246E-1,8.335448056E-2,5.798861980E-1
2.316540290E-1,1.186403260E-1,6.844121963E-2,5.671034455E-1
2.341435610E-1,1.005313694E-1,6.631075591E-2,5.585815907E-1
2.366330920E-1,7.070484012E-2,6.737598777E-2,5.489944816E-1
2.391226230E-1,3.768261895E-2,7.802832127E-2,5.394073725E-1
2.416121540E-1,4.660394508E-3,8.974587917E-2,5.330159664E-1
2.441016860E-1,-3.262276202E-2,9.933298081E-2,5.223636627E-1
2.465911650E-1,-6.671021879E-2,1.089200750E-1,5.127765536E-1
2.490806960E-1,-9.547150880E-2,1.153114736E-1,5.085155964E-1
2.515702270E-1,-1.231675670E-1,1.238333359E-1,5.010589957E-1
2.537820500E-1,-1.455374658E-1,1.376813650E-1,4.957328141E-1
2.562715290E-1,-1.647116542E-1,1.536598653E-1,4.957328141E-1
2.587610610E-1,-1.828206182E-1,1.707035899E-1,4.967980385E-1
2.612505920E-1,-1.945381761E-1,1.941387206E-1,5.010589957E-1
2.637401230E-1,-2.009295821E-1,2.239652425E-1,5.074504018E-1
2.662296540E-1,-2.083862126E-1,2.569874525E-1,5.149070024E-1
2.687191860E-1,-2.041252851E-1,2.889444530E-1,5.244941115E-1
2.712086650E-1,-1.956034154E-1,3.262276053E-1,5.330159664E-1
2.736981960E-1,-1.828206182E-1,3.656412363E-1,5.436683297E-1
2.761877270E-1,-1.572550237E-1,4.082505703E-1,5.511249304E-1
2.786772580E-1,-1.327546686E-1,4.508598745E-1,5.553858876E-1
2.811667900E-1,-1.039933711E-1,4.913387299E-1,5.575163364E-1
2.836563210E-1,-6.671021879E-2,5.264914036E-1,5.607120395E-1
2.861458520E-1,-3.794892505E-2,5.158390999E-1,5.607120395E-1
2.886353830E-1,-1.344856713E-2,4.274247587E-1,5.564510822E-1
2.911248630E-1,5.725627299E-3,2.537917793E-1,5.500596762E-1
2.932994460E-1,2.170412242E-2,4.287562892E-2,5.330159664E-1
2.957889250E-1,4.194355011E-2,-1.211702600E-1,5.010589957E-1
2.982784560E-1,7.922670245E-2,-1.797580719E-1,4.573844373E-1
3.007679880E-1,1.197055578E-1,-1.893451661E-1,4.041227698E-1
3.032575190E-1,1.559234858E-1,-1.989322603E-1,3.551220596E-1
3.057470500E-1,1.868152469E-1,-2.255630940E-1,3.125127256E-1
3.082365290E-1,2.102503628E-1,-2.575200796E-1,2.816209793E-1
3.107260610E-1,2.219679356E-1,-2.756290436E-1,2.571206093E-1
3.132155920E-1,2.294245660E-1,-2.703028917E-1,2.422073632E-1
3.157051230E-1,2.294245660E-1,-2.436720580E-1,2.315550297E-1
