"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.863100200E-2,-3.553939819E0,4.014558315E0,8.584251404E0
2.110272100E-2,-3.530011654E0,4.024129391E0,8.718847275E0
2.357444000E-2,-3.433700562E0,3.976273060E0,8.833703041E0
2.605829400E-2,-3.357130051E0,4.000201225E0,8.919844627E0
2.854209600E-2,-3.309273720E0,3.995415688E0,9.039485931E0
3.101381500E-2,-3.304488182E0,3.976273060E0,9.125627518E0
3.348553400E-2,-3.299702406E0,3.947559118E0,9.226723671E0
3.599824200E-2,-3.304488182E0,3.937987804E0,9.355937004E0
3.851089800E-2,-3.294916868E0,3.942773581E0,9.427721024E0
4.098261700E-2,-3.314059258E0,3.985844374E0,9.480362892E0
4.345438800E-2,-3.366701365E0,4.024129391E0,9.494720459E0
4.592610700E-2,-3.390629768E0,4.024129391E0,9.470791817E0
4.839787700E-2,-3.424129248E0,4.014558315E0,9.442078590E0
5.086959600E-2,-3.385843992E0,4.033700943E0,9.365508080E0
5.334131500E-2,-3.381058455E0,4.043272018E0,9.308079720E0
5.581308600E-2,-3.404986620E0,4.110270977E0,9.317651749E0
5.828480500E-2,-3.433700562E0,4.119842529E0,9.265008926E0
6.075652300E-2,-3.390629768E0,4.167698860E0,9.154341698E0
6.322829400E-2,-3.376272678E0,4.210769653E0,9.029914856E0
6.556662700E-2,-3.419343472E0,4.249054909E0,8.862417221E0
6.803834600E-2,-3.414557934E0,4.369294167E0,8.598608017E0
7.051011700E-2,-3.342773199E0,4.493721008E0,8.373682976E0
7.298183600E-2,-3.323630571E0,4.488935471E0,8.287541389E0
7.545355500E-2,-3.294916868E0,4.474578381E0,8.095517159E0
7.792532500E-2,-3.309273720E0,4.479363918E0,7.990232944E0
8.039704400E-2,-3.270988464E0,4.450650215E0,7.779664516E0
8.286881500E-2,-3.323630571E0,4.469792843E0,7.597810268E0
8.534053400E-2,-3.318845034E0,4.445864677E0,7.463213921E0
8.781230500E-2,-3.347558975E0,4.369294167E0,7.281359196E0
9.028402300E-2,-3.337987661E0,4.383651257E0,7.286144733E0
9.275574200E-2,-3.309273720E0,4.493721008E0,7.319644451E0
9.540084600E-2,-3.333201885E0,4.527220249E0,7.334001541E0
9.787251300E-2,-3.337987661E0,4.541577339E0,7.343572617E0
1.003442320E-1,-3.366701365E0,4.488935471E0,7.334001541E0
1.028160020E-1,-3.347558975E0,4.488935471E0,7.401000500E0
1.052877210E-1,-3.347558975E0,4.431507587E0,7.463213921E0
1.077594920E-1,-3.337987661E0,4.436293125E0,7.463213921E0
1.102312110E-1,-3.280559778E0,4.402793884E0,7.520641804E0
1.127029820E-1,-3.237488985E0,4.436293125E0,7.621738434E0
1.151747000E-1,-3.160918713E0,4.393222332E0,7.693522930E0
1.176464190E-1,-3.122633457E0,4.374079704E0,7.798807144E0
1.201181900E-1,-3.065205812E0,4.398007870E0,7.884948730E0
1.225899090E-1,-3.022135019E0,4.402793884E0,8.033304214E0
1.250616800E-1,-2.964707375E0,4.320839405E0,8.105088234E0
1.274974610E-1,-3.007778168E0,4.316053867E0,8.148757935E0
1.299691800E-1,-2.998206854E0,4.350151539E0,8.206185341E0
1.324408980E-1,-3.026920557E0,4.316053867E0,8.210970879E0
1.349126170E-1,-3.084348440E0,4.229912281E0,8.191828728E0
1.373843880E-1,-3.122633457E0,3.736392498E0,8.071588516E0
1.398561070E-1,-3.208775282E0,3.137588739E0,7.722237110E0
1.423278770E-1,-3.093919754E0,3.631108284E0,7.832306862E0
1.447995960E-1,-2.925823927E0,3.674179077E0,8.095517159E0
1.472713150E-1,-2.911466837E0,3.789034605E0,8.129614830E0
1.497430860E-1,-2.925823927E0,3.933202267E0,8.196614265E0
1.522148050E-1,-2.925823927E0,4.019343853E0,8.167900085E0
1.546865750E-1,-2.930609465E0,4.057629108E0,8.134400368E0
1.571582940E-1,-3.041277647E0,4.134199142E0,8.023732185E0
1.596561070E-1,-3.146561861E0,4.172484398E0,8.047660828E0
1.621277730E-1,-3.208775282E0,4.148556232E0,7.985447407E0
1.645994920E-1,-3.290131092E0,4.162913322E0,7.985447407E0
1.670712630E-1,-3.323630571E0,4.201198578E0,8.052446365E0
1.695429820E-1,-3.376272678E0,4.220340729E0,7.980661869E0
1.720147520E-1,-3.395415306E0,4.239483356E0,7.990232944E0
1.744864710E-1,-3.385843992E0,4.244269371E0,8.038089752E0
1.769582420E-1,-3.448057413E0,4.210769653E0,8.018946648E0
1.794299610E-1,-3.482155085E0,4.172484398E0,7.990232944E0
1.819016800E-1,-3.544368505E0,4.191627026E0,7.947162151E0
1.843734500E-1,-3.510869026E0,4.167698860E0,7.947162151E0
1.868451690E-1,-3.501297712E0,4.119842529E0,7.956733704E0
1.893169400E-1,-3.530011654E0,4.115056515E0,7.932805061E0
1.916456380E-1,-3.496512175E0,4.100699902E0,7.875377655E0
1.941174090E-1,-3.452843189E0,4.076771736E0,7.875377655E0
1.965891270E-1,-3.424129248E0,4.119842529E0,7.908876896E0
1.990608980E-1,-3.448057413E0,4.086342812E0,7.861020565E0
2.015326170E-1,-3.525225878E0,4.091128349E0,7.870592117E0
2.040043360E-1,-3.563511133E0,4.105485439E0,7.918448448E0
2.064761070E-1,-3.592225075E0,4.038486481E0,7.961519241E0
2.089478250E-1,-3.587439299E0,3.981058598E0,8.081160545E0
2.114195960E-1,-3.549154282E0,3.995415688E0,8.177471161E0
2.138913150E-1,-3.510869026E0,3.928416491E0,8.254041672E0
2.163630340E-1,-3.471985579E0,3.894917011E0,8.297112465E0
2.188348050E-1,-3.395415306E0,3.870988846E0,8.344968796E0
2.214262630E-1,-3.256631613E0,3.885345697E0,8.330612183E0
2.238979820E-1,-3.184846878E0,3.894917011E0,8.364111900E0
2.263697000E-1,-3.180061340E0,3.923630953E0,8.349754333E0
2.288414190E-1,-3.175275564E0,3.952344894E0,8.292326927E0
2.313131900E-1,-3.247060299E0,4.057629108E0,8.239685059E0
2.337849090E-1,-3.299702406E0,4.138985157E0,8.182256699E0
2.362566800E-1,-3.280559778E0,4.220340729E0,8.187042236E0
2.387283980E-1,-3.270988464E0,4.287340164E0,8.196614265E0
2.412001170E-1,-3.304488182E0,4.378865242E0,8.187042236E0
2.436718880E-1,-3.299702406E0,4.383651257E0,8.163114548E0
2.461436070E-1,-3.270988464E0,4.407579422E0,8.143971443E0
2.486153770E-1,-3.261417150E0,4.383651257E0,8.105088234E0
2.510870960E-1,-3.294916868E0,4.421936035E0,8.110472679E0
2.535586070E-1,-3.328416348E0,4.551148891E0,8.167900085E0
2.560303250E-1,-3.232703447E0,4.402793884E0,8.081160545E0
2.585020440E-1,-3.117847919E0,4.306482315E0,8.071588516E0
2.609737630E-1,-3.060420275E0,4.201198578E0,8.124829292E0
2.634455340E-1,-2.988635540E0,4.119842529E0,8.172685623E0
2.659172520E-1,-2.945564747E0,4.024129391E0,8.095517159E0
2.683890230E-1,-2.959921598E0,3.990629911E0,8.052446365E0
2.708607420E-1,-2.950350285E0,4.033700943E0,8.047660828E0
2.733324610E-1,-2.935395241E0,4.033700943E0,8.100302696E0
2.758042320E-1,-2.969492912E0,3.952344894E0,8.124829292E0
2.782759500E-1,-3.002992392E0,3.981058598E0,8.239685059E0
2.807477210E-1,-3.017349243E0,3.981058598E0,8.301898003E0
2.832194400E-1,-2.983849764E0,3.957130432E0,8.407182693E0
2.855903250E-1,-3.017349243E0,3.971487284E0,8.450253487E0
2.880620440E-1,-2.993421078E0,3.942773581E0,8.469395638E0
2.905337630E-1,-2.964707375E0,3.894917011E0,8.488538742E0
2.930055340E-1,-2.868396044E0,3.928416491E0,8.459824562E0
2.954772520E-1,-2.810968399E0,3.894917011E0,8.445467949E0
2.979489710E-1,-2.753540754E0,3.870988846E0,8.397610664E0
3.004207420E-1,-2.767897606E0,3.803391695E0,8.416753769E0
3.028924610E-1,-2.720041037E0,3.774677753E0,8.402397156E0
3.053642320E-1,-2.777468920E0,3.707678795E0,8.455039024E0
3.078359500E-1,-2.734398127E0,3.597608805E0,8.512466431E0
3.103076690E-1,-2.715255499E0,3.530609846E0,8.545966148E0
3.127794400E-1,-2.696112871E0,3.506681681E0,8.647063255E0
3.153869400E-1,-2.720041037E0,3.430111170E0,8.685347557E0
3.178586070E-1,-2.710469961E0,3.343969584E0,8.656634331E0
3.203303250E-1,-2.734398127E0,3.242872953E0,8.675776482E0
3.228020960E-1,-2.796611547E0,3.118446112E0,8.718847275E0
3.252738150E-1,-2.791825771E0,3.084946632E0,8.709276199E0
3.277455860E-1,-2.806182861E0,2.998805046E0,8.709276199E0
3.302173050E-1,-2.834896564E0,2.903092146E0,8.666205406E0
3.326890750E-1,-2.897109985E0,2.874378204E0,8.589036942E0
3.351607940E-1,-2.892324448E0,2.883949518E0,8.522037506E0
3.376325130E-1,-2.935395241E0,2.874378204E0,8.445467949E0
3.401042840E-1,-3.007778168E0,2.874378204E0,8.330612183E0
3.425760020E-1,-3.093919754E0,2.936591625E0,8.191828728E0
3.450477730E-1,-3.237488985E0,2.879163742E0,8.100302696E0
3.475170440E-1,-3.807579041E0,2.318645239E0,8.349754333E0
3.499887110E-1,-3.922434568E0,2.285145521E0,8.047660828E0
3.524604300E-1,-3.668795347E0,2.500499725E0,7.899305820E0
3.549322000E-1,-3.482155085E0,2.490928411E0,7.813164234E0
3.574039190E-1,-3.395415306E0,2.452643156E0,7.779664516E0
3.598756900E-1,-3.328416348E0,2.500499725E0,7.760521889E0
3.623474090E-1,-3.256631613E0,2.543570518E0,7.664809227E0
3.648191800E-1,-3.184846878E0,2.586641312E0,7.549355507E0
3.672908980E-1,-3.151347399E0,2.754737139E0,7.420143127E0
3.697626170E-1,-3.074777126E0,2.998805046E0,7.319644451E0
3.722343880E-1,-2.950350285E0,3.132802963E0,7.286144733E0
3.747061070E-1,-2.863610506E0,3.242872953E0,7.195217609E0
3.771778770E-1,-2.720041037E0,3.329612732E0,7.109076023E0
3.796207420E-1,-2.595614433E0,3.439682484E0,7.152146816E0
3.820924610E-1,-2.466402054E0,3.535395384E0,7.286144733E0
3.845641800E-1,-2.370090723E0,3.602394581E0,7.612166882E0
3.870358980E-1,-2.365305185E0,3.578466177E0,8.009375572E0
3.895076690E-1,-2.437688112E0,3.607180119E0,8.392825127E0
3.919794400E-1,-2.509472847E0,3.631108284E0,8.737990379E0
3.944511590E-1,-2.609971285E0,3.607180119E0,9.005986214E0
3.969228770E-1,-2.700898647E0,3.549752474E0,9.274580956E0
3.993945960E-1,-2.720041037E0,3.525824070E0,9.394221306E0
4.018663670E-1,-2.734398127E0,3.439682484E0,9.446864128E0
4.043380860E-1,-2.729612350E0,3.343969584E0,9.442078590E0
4.068098570E-1,-2.710469961E0,3.266801119E0,9.413364410E0
4.092815750E-1,-2.638685226E0,3.156731367E0,9.399007797E0
4.117860550E-1,-2.600399971E0,3.080160856E0,9.399007797E0
4.142577210E-1,-2.581257343E0,3.008376360E0,9.399007797E0
4.167294400E-1,-2.514258385E0,2.965305567E0,9.245866776E0
4.192012110E-1,-2.471187592E0,2.970091105E0,9.082556725E0
4.216729300E-1,-2.403590441E0,2.960519791E0,9.025128365E0
4.241447000E-1,-2.394019127E0,2.950948477E0,8.776275635E0
4.266164190E-1,-2.331805706E0,2.922234535E0,8.579465866E0
4.290881380E-1,-2.279163599E0,2.903092146E0,8.474181175E0
4.315599090E-1,-2.207378864E0,2.903092146E0,8.440681458E0
4.340316270E-1,-2.164308071E0,2.860021353E0,8.397610664E0
4.365033980E-1,-2.082952023E0,2.888735056E0,8.407182693E0
4.389751170E-1,-2.082952023E0,2.874378204E0,8.364111900E0
4.414468880E-1,-2.073380709E0,2.893520832E0,8.340183258E0
4.439150650E-1,-1.987239242E0,2.898306370E0,8.431110382E0
4.463867320E-1,-1.953739643E0,2.812164783E0,8.455039024E0
4.488584500E-1,-2.044667006E0,2.816950560E0,8.536395073E0
4.513302210E-1,-2.087737799E0,2.715853691E0,8.694919586E0
4.538019400E-1,-2.178664923E0,2.658426046E0,8.699705124E0
4.562737110E-1,-2.193022013E0,2.572284460E0,8.656634331E0
4.587454300E-1,-2.145165443E0,2.500499725E0,8.675776482E0
4.612172000E-1,-2.025524378E0,2.404786825E0,8.579465866E0
4.636889190E-1,-2.020738840E0,2.347358942E0,8.397610664E0
4.661606380E-1,-2.044667006E0,2.294716835E0,8.120043755E0
4.686324090E-1,-1.977667928E0,2.318645239E0,7.875377655E0
4.711041270E-1,-1.886740685E0,2.323430777E0,7.693522930E0
4.735758980E-1,-1.852642894E0,2.313859463E0,7.669594765E0
4.760483460E-1,-1.723430514E0,2.280359983E0,7.703094482E0
4.785200130E-1,-1.565504193E0,2.294716835E0,7.703094482E0
4.809917320E-1,-1.584646821E0,2.328216314E0,7.703094482E0
4.834635020E-1,-1.838286042E0,2.289931297E0,7.923233986E0
4.859352730E-1,-1.852642894E0,2.045265198E0,7.803592682E0
4.884069920E-1,-1.603789330E0,2.073979139E0,7.357929707E0
4.908787110E-1,-1.330409408E0,2.232503414E0,7.774878979E0
4.933504820E-1,-1.210768223E0,2.285145521E0,8.167900085E0
4.958222000E-1,-1.292124271E0,2.352144718E0,8.120043755E0
4.982939190E-1,-1.450648785E0,2.433500528E0,8.052446365E0
5.007656900E-1,-1.455434322E0,2.471785784E0,8.047660828E0
5.032374090E-1,-1.493719578E0,2.581855536E0,8.081160545E0
5.057091800E-1,-1.512862086E0,2.677568436E0,8.148757935E0
5.081814190E-1,-1.421934843E0,2.701496840E0,8.196614265E0
5.106530860E-1,-1.402792215E0,2.725425005E0,8.273183823E0
5.131248050E-1,-1.503290772E0,2.855235577E0,8.464610100E0
5.155965750E-1,-1.488933921E0,2.821736097E0,8.636893272E0
5.180682940E-1,-1.436291814E0,2.788236618E0,8.752346992E0
5.205400650E-1,-1.532004714E0,2.893520832E0,8.790632248E0
5.230117840E-1,-1.608574986E0,2.936591625E0,8.915059090E0
5.254835550E-1,-1.560718536E0,2.946162939E0,8.905488014E0
5.279552730E-1,-1.632503271E0,3.032304525E0,8.948558807E0
5.304269920E-1,-1.670788407E0,3.032304525E0,9.077771187E0
5.328987630E-1,-1.733001828E0,3.041875839E0,9.116056442E0
5.353704820E-1,-1.752144337E0,3.094517946E0,9.120841980E0
5.378422520E-1,-1.737787485E0,3.046661377E0,9.087342262E0
5.403116800E-1,-1.823929071E0,3.022733212E0,9.015557289E0
5.427834500E-1,-1.881955028E0,2.974876642E0,8.862417221E0
5.452552210E-1,-1.886740685E0,3.151945591E0,9.312865257E0
5.477269920E-1,-2.025524378E0,3.123231649E0,9.604789734E0
5.501987630E-1,-1.871785522E0,2.998805046E0,9.413364410E0
5.526705340E-1,-1.728216171E0,3.003590584E0,9.058628082E0
5.551423050E-1,-1.584646821E0,2.998805046E0,8.761918068E0
5.576140750E-1,-1.465005636E0,2.998805046E0,8.574680328E0
5.600858460E-1,-1.369292736E0,3.171088219E0,8.431110382E0
5.625576690E-1,-1.320838094E0,3.320041418E0,8.416753769E0
5.650294400E-1,-1.325623751E0,3.434896946E0,8.421539307E0
5.675012110E-1,-1.378864050E0,3.621536970E0,8.258827209E0
5.699729820E-1,-1.277767301E0,3.573680639E0,8.321041107E0
5.724481900E-1,-1.110269666E0,3.530609846E0,8.220541954E0
5.749199610E-1,-1.062413216E0,3.626322746E0,8.038089752E0
5.773917320E-1,-1.009771109E0,3.774677753E0,7.861020565E0
5.798635020E-1,-8.853443861E-1,4.067200184E0,7.616952896E0
5.823352730E-1,-8.087740541E-1,4.460221291E0,7.434499741E0
5.848070440E-1,-7.651050687E-1,4.901099205E0,7.343572617E0
5.872788150E-1,-6.502495408E-1,5.384449005E0,7.190432072E0
5.897505860E-1,-5.641079545E-1,5.935396671E0,7.204789162E0
5.922224090E-1,-4.971089065E-1,6.438487530E0,7.252645493E0
5.946941800E-1,-3.056831062E-1,6.616154671E0,7.558926582E0
5.971659500E-1,-1.663011760E-1,6.510870457E0,7.961519241E0
5.996377210E-1,-2.285145670E-1,6.544369698E0,8.047660828E0
6.021094920E-1,-3.918247223E-1,6.587440968E0,7.990232944E0
6.044585020E-1,-4.492524564E-1,6.409773827E0,7.837092400E0
6.069302730E-1,-4.157529473E-1,6.180062771E0,7.597810268E0
6.094020440E-1,-8.973085135E-2,5.930611134E0,7.674380302E0
6.118738150E-1,3.798605800E-1,5.877968788E0,7.865806103E0
6.143455860E-1,7.196413875E-1,6.242276192E0,7.607381344E0
6.168173570E-1,1.055234790E0,6.855436802E0,6.711269379E0
6.192891270E-1,1.284945726E0,7.191030025E0,5.268995285E0
6.217608980E-1,1.443470240E0,7.415955544E0,5.388636589E0
6.242326690E-1,1.414756417E0,7.612765312E0,6.198606968E0
6.267044920E-1,1.083948612E0,7.947760582E0,7.166503906E0
6.291762630E-1,7.196413875E-1,8.259425163E0,7.846663475E0
6.316480340E-1,4.325026870E-1,8.546564102E0,8.354539871E0
6.341198050E-1,2.261217386E-1,8.815158844E0,8.450253487E0
6.367106380E-1,1.351944804E-1,9.092725754E0,8.598608017E0
6.391824090E-1,1.830509305E-1,9.509675026E0,8.862417221E0
6.416541800E-1,4.085744619E-1,9.763913155E0,8.881559372E0
6.441259500E-1,6.095715761E-1,9.811769485E0,8.584251404E0
6.465977210E-1,1.208375469E-1,8.977870941E0,7.985447407E0
6.490694920E-1,-1.014556766E0,7.622336388E0,7.558926582E0
6.515412630E-1,-2.116451740E0,6.261418819E0,7.722237110E0
6.540130340E-1,-2.566900492E0,5.145166874E0,7.937591076E0
6.564848050E-1,-2.940180779E0,3.928416491E0,7.573882103E0
6.589566270E-1,-3.745365620E0,2.807379246E0,6.495316982E0
6.614283980E-1,-4.057030678E0,1.954337835E0,6.524629116E0
6.639001690E-1,-3.941577196E0,1.355534077E0,7.017550468E0
6.663719400E-1,-3.606581926E0,1.019940615E0,7.463213921E0
6.688335550E-1,-3.160918713E0,8.476574421E-1,7.884948730E0
6.713053250E-1,-2.566900492E0,8.668000102E-1,8.330612183E0
6.737770960E-1,-1.939382792E0,1.005583763E0,8.589036942E0
6.762488670E-1,-1.320838094E0,1.188036442E0,8.790632248E0
6.787206380E-1,-7.938188910E-1,1.470389485E0,9.015557289E0
6.811924090E-1,-3.966103494E-1,1.671386600E0,9.039485931E0
6.836641800E-1,-1.232303679E-1,1.738983870E0,8.986844063E0
6.861359500E-1,1.399801224E-1,1.748555183E0,8.972486496E0
6.886077210E-1,3.894318938E-1,1.695913076E0,8.867202759E0
6.910794920E-1,5.138586760E-1,1.604387641E0,8.819346428E0
6.935513150E-1,6.000002623E-1,1.556531072E0,8.833703041E0
6.960230860E-1,6.000002623E-1,1.513460279E0,8.723632812E0
6.984948570E-1,4.229314029E-1,1.556531072E0,8.584251404E0
7.009769400E-1,2.937189937E-1,1.705484390E0,8.388039589E0
7.034487110E-1,2.548356056E-1,1.647458434E0,8.445467949E0
7.059204820E-1,1.830509305E-1,1.729412556E0,8.502895355E0
7.083922520E-1,1.639083475E-1,1.691127419E0,8.378468513E0
7.108640230E-1,1.878365725E-1,1.691127419E0,8.220541954E0
7.133357940E-1,2.500499785E-1,1.676770449E0,8.206185341E0
7.158075650E-1,2.937189937E-1,1.633101463E0,8.158329010E0
7.182793360E-1,3.942175210E-1,1.623530149E0,8.143971443E0
7.207511070E-1,4.037888348E-1,1.642672777E0,8.172685623E0
7.232229300E-1,3.702892959E-1,1.724626899E0,8.148757935E0
7.256947000E-1,3.559323549E-1,1.710269928E0,8.105088234E0
7.281664710E-1,3.655036688E-1,1.671386600E0,8.139185905E0
7.306382420E-1,3.655036688E-1,1.671386600E0,8.120043755E0
7.331089190E-1,3.511467278E-1,1.599601984E0,8.182256699E0
7.355806900E-1,3.415754437E-1,1.523031592E0,8.239685059E0
7.380524610E-1,3.128615618E-1,1.475175142E0,8.263612747E0
7.405242320E-1,2.404786795E-1,1.518245935E0,8.187042236E0
7.429960020E-1,1.974078715E-1,1.499103427E0,8.129614830E0
7.454677730E-1,5.862415582E-2,1.518245935E0,8.076375008E0
7.479395440E-1,-6.101697683E-2,1.556531072E0,8.028517723E0
7.504113150E-1,-8.015955985E-2,1.532602906E0,8.076375008E0
7.528830860E-1,-9.451649338E-2,1.470389485E0,8.071588516E0
7.553549090E-1,-1.471585929E-1,1.561316729E0,7.995018482E0
7.578266800E-1,-1.615155339E-1,1.556531072E0,7.985447407E0
7.602984500E-1,-2.093719840E-1,1.556531072E0,8.047660828E0
7.627702210E-1,-1.854437590E-1,1.532602906E0,8.153543472E0
7.652206900E-1,-2.524427772E-1,1.556531072E0,8.187042236E0
7.676924090E-1,-3.056831062E-1,1.542174220E0,8.316255569E0
7.701641800E-1,-3.966103494E-1,1.508674622E0,8.392825127E0
7.726359500E-1,-4.301098585E-1,1.523031592E0,8.517251968E0
7.751077730E-1,-4.731806815E-1,1.551745534E0,8.622536659E0
7.775795440E-1,-5.018945336E-1,1.494317770E0,8.690134048E0
7.800513150E-1,-4.875376225E-1,1.393819213E0,8.742775917E0
7.825230860E-1,-6.358926296E-1,1.734198213E0,8.804988861E0
7.849948570E-1,-8.949156404E-1,1.872981906E0,8.876773834E0
7.874666270E-1,-8.901300430E-1,1.666600943E0,9.336793900E0
7.899383980E-1,-7.746763229E-1,1.532602906E0,9.614361763E0
7.924102210E-1,-6.693921089E-1,1.355534077E0,9.835099220E0
7.948819920E-1,-5.210371017E-1,1.101296663E0,9.973882675E0
7.973618360E-1,-2.620140910E-1,8.476574421E-1,1.010309505E1
7.998336070E-1,-1.136590764E-1,7.328019142E-1,1.051047325E1
8.023053770E-1,-2.273181453E-2,6.849454641E-1,1.096092224E1
8.047771480E-1,4.426721856E-2,5.551348329E-1,1.117149067E1
8.072489190E-1,1.878365725E-1,4.546363056E-1,1.127677536E1
8.097206900E-1,4.037888348E-1,1.866401732E-1,1.103749275E1
8.121924610E-1,5.234299302E-1,1.339980662E-1,1.113320541E1
8.146642320E-1,6.526423693E-1,2.679961324E-1,1.154058361E1
8.171360020E-1,7.435696125E-1,3.780659735E-1,1.145444202E1
8.196078250E-1,8.494520187E-1,3.637090325E-1,1.144008541E1
8.220795960E-1,9.308080077E-1,3.828516304E-1,1.127198887E1
8.245513670E-1,1.045663476E0,3.206382394E-1,1.112841988E1
8.270231380E-1,1.261017561E0,1.866401732E-1,1.078863907E1
8.294891270E-1,1.438684583E0,1.627119333E-1,1.063490009E1
8.319608980E-1,1.539183140E0,2.536391914E-1,1.077847004E1
8.344326690E-1,1.658824325E0,2.488535494E-1,1.078385353E1
8.369044400E-1,1.759322882E0,2.297109663E-1,1.076889801E1
8.393762110E-1,1.768894196E0,3.254238665E-1,1.064925671E1
8.418479820E-1,1.744965911E0,4.402793646E-1,1.060618591E1
8.443197520E-1,1.620539188E0,5.168496966E-1,1.052483082E1
8.467915230E-1,1.453041553E0,6.658028960E-1,1.025683403E1
8.492632940E-1,1.284945726E0,7.854440212E-1,9.993025780E0
8.517351170E-1,1.203589797E0,8.907282352E-1,9.930811882E0
8.542068880E-1,1.131805062E0,9.912267923E-1,9.878170013E0
8.566786590E-1,9.643075466E-1,1.465603828E0,9.739386559E0
8.591504300E-1,9.020941257E-1,1.647458434E0,9.638289452E0
8.616295440E-1,9.882357717E-1,1.384247899E0,9.451649666E0
8.641013150E-1,1.069591761E0,1.154536963E0,9.461220741E0
8.665730860E-1,1.217946768E0,9.912267923E-1,9.485149384E0
8.690448570E-1,1.280160069E0,9.720842242E-1,9.432506561E0
8.715166270E-1,1.131805062E0,1.365105271E0,9.144769669E0
8.739883980E-1,1.241874933E0,1.173679471E0,9.676574707E0
8.764601690E-1,1.644467354E0,9.002995491E-1,9.978668213E0
8.789319400E-1,2.094916344E0,7.423732281E-1,1.011266708E1
8.814037110E-1,2.574079037E0,3.876372576E-1,1.017488003E1
8.838755340E-1,3.029313564E0,-2.452643216E-2,1.000738239E1
8.863473050E-1,3.393022537E0,-1.872383654E-1,1.024187946E1
8.888190750E-1,3.738187075E0,-2.015953064E-1,1.066361427E1
8.912908460E-1,4.308277130E0,-4.989035130E-1,1.086999512E1
8.937744400E-1,4.868795872E0,-6.999006271E-1,1.120499039E1
8.962462110E-1,5.252245903E0,-6.999006271E-1,1.162672520E1
8.987179820E-1,5.520241737E0,-6.472585201E-1,1.196710396E1
9.011897520E-1,5.678766251E0,-6.520441771E-1,1.238345528E1
9.036615230E-1,5.831906796E0,-6.759724021E-1,1.272862053E1
9.061332940E-1,5.798407555E0,-7.812566161E-1,1.274776268E1
9.086050650E-1,5.769693375E0,-8.961120844E-1,1.250369453E1
9.110768360E-1,5.683551788E0,-1.059422255E0,1.221117210E1
9.135486070E-1,5.558526993E0,-1.121635556E0,1.184686470E1
9.160204300E-1,5.400600910E0,-1.097707391E0,1.144487095E1
9.184922000E-1,5.271388054E0,-9.870393276E-1,1.107099247E1
9.209639710E-1,5.170889854E0,-8.769695163E-1,1.076411247E1
9.234357420E-1,5.055436134E0,-7.046862841E-1,1.039561844E1
9.257565230E-1,4.806582451E0,-2.829512656E-1,1.014616585E1
9.282282420E-1,4.605585575E0,-1.154536903E-1,9.902098656E0
9.307000650E-1,4.418346882E0,1.854437590E-2,9.647860527E0
9.331718360E-1,4.226921082E0,7.657032460E-2,9.379864693E0
9.356436070E-1,4.073780537E0,-5.324030295E-2,9.202795982E0
9.381153770E-1,3.910470486E0,6.161518395E-2,9.077771187E0
9.405871480E-1,3.685544968E0,1.914258152E-1,8.915059090E0
9.430589190E-1,3.532404423E0,4.211367965E-1,8.838488579E0
9.455306900E-1,3.436093330E0,5.120640397E-1,8.752346992E0
9.480025130E-1,3.354737282E0,4.881358147E-1,8.848059654E0
9.504742840E-1,3.215953588E0,7.232306600E-1,8.709276199E0
9.529460550E-1,2.909074068E0,1.019940615E0,8.612964630E0
9.555728770E-1,2.684148788E0,1.168893814E0,8.598608017E0
9.580446480E-1,2.372483730E0,1.460818172E0,8.694919586E0
9.605164190E-1,2.061416626E0,1.686341763E0,8.776275635E0
9.629881900E-1,1.898704767E0,1.594816327E0,8.824131966E0
9.654599610E-1,1.634896040E0,1.513460279E0,8.790632248E0
9.679317320E-1,1.462612867E0,1.341177106E0,8.742775917E0
9.704035020E-1,1.261017561E0,1.086939692E0,8.675776482E0
9.728752730E-1,1.112662554E0,8.141579032E-1,8.694919586E0
9.753470440E-1,1.103091240E0,5.024927258E-1,8.694919586E0
9.778188670E-1,1.127019525E0,2.919243574E-1,8.718847275E0
9.802906380E-1,1.174875975E0,1.196411327E-1,8.785846710E0
9.827624090E-1,1.107876897E0,8.135596663E-2,8.785846710E0
