"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.318791653E-3,-2.812052307E0,4.256698151E0,1.006282425E1
1.634979167E-2,-2.877017212E0,3.940705261E0,1.028122009E1
2.638079168E-2,-2.696342926E0,3.498973846E0,1.012838791E1
3.641179169E-2,-2.510728912E0,3.155587921E0,9.679770813E0
4.644279170E-2,-2.036065979E0,3.095712433E0,9.414971466E0
5.647479172E-2,-1.274000702E0,2.969524841E0,9.639504547E0
6.650579162E-2,-7.785310364E-1,2.526895294E0,9.887987823E0
7.653679163E-2,-6.066883850E-1,2.361040192E0,1.033271301E1
8.656779164E-2,-5.102888489E-1,2.729573822E0,1.044782364E1
9.659879166E-2,-4.221221924E-2,2.774330750E0,1.043465103E1
1.066297917E-1,1.489402771E-1,2.245181122E0,1.053673874E1
1.166607917E-1,3.206332397E-1,1.723066864E0,9.779313812E0
1.266917917E-1,5.547463989E-1,1.635498962E0,9.595795441E0
1.367227917E-1,2.871029663E-1,1.798959045E0,9.484427032E0
1.467547917E-1,-3.049159241E-1,2.040406952E0,9.280101929E0
1.567857916E-1,-5.984555054E-1,2.415676575E0,9.009015656E0
1.668167916E-1,-4.572990417E-1,2.759960632E0,8.552764435E0
1.768477916E-1,-1.504371643E-1,2.814447327E0,8.377179565E0
1.868787917E-1,2.984793091E-1,2.783761139E0,8.173752594E0
1.969097917E-1,8.039781189E-1,2.810106354E0,8.125852203E0
2.069407917E-1,1.235680389E0,2.811154175E0,8.274044037E0
2.169717917E-1,1.423689423E0,2.733765106E0,8.437953186E0
2.270027917E-1,1.498683472E0,2.504591675E0,8.858129425E0
2.370347916E-1,1.591340790E0,2.270777893E0,9.314081268E0
2.470657916E-1,1.649120636E0,2.009571075E0,9.192833405E0
2.570967916E-1,1.594484253E0,1.689386902E0,8.734187164E0
2.671277917E-1,1.382075958E0,1.485061798E0,8.887468414E0
2.771587917E-1,1.185085602E0,1.460662537E0,9.125623169E0
2.871897917E-1,1.046024780E0,1.488804016E0,8.944649506E0
2.972207917E-1,9.729766846E-1,1.479074249E0,8.641679535E0
3.072517917E-1,1.638642426E0,1.715432739E0,8.989705811E0
3.172837917E-1,3.808530121E0,2.427352295E0,8.792416077E0
3.273147916E-1,2.295027466E0,2.272424469E0,8.958121490E0
3.373457916E-1,2.367327118E0,1.163979492E0,1.054871384E1
3.473767916E-1,2.202819214E0,1.207987976E0,1.147977768E1
3.574077917E-1,2.801424408E0,1.567989349E0,1.153950348E1
3.674387917E-1,2.222578125E0,2.407743073E0,1.087892715E1
3.774684584E-1,1.044527893E0,1.621428223E0,9.113049316E0
3.874994584E-1,1.013392639E-1,5.285508728E-1,6.585255890E0
3.975304583E-1,1.770069122E0,1.179547119E-1,6.346203003E0
4.075624583E-1,2.853516083E0,-1.193019104E-1,7.506440277E0
4.175934583E-1,3.247796173E0,-1.457968140E-1,8.192313995E0
4.276244583E-1,3.817960510E0,-7.619155884E-2,7.689659271E0
4.376554583E-1,4.195475464E0,-9.250762939E-2,7.619155884E0
4.476864584E-1,3.587589569E0,-2.477348328E-1,9.213490448E0
4.577174584E-1,3.116219788E0,-3.001258850E-1,1.101963455E1
4.677484584E-1,2.525548096E0,-6.107299805E-2,1.189561295E1
4.777794584E-1,2.292183380E0,-1.422042847E-1,1.172092621E1
4.878114583E-1,2.148631897E0,-3.715274048E-1,1.130374374E1
4.978424583E-1,1.854792938E0,-6.957531738E-1,1.118638779E1
5.078734583E-1,1.376836853E0,-1.036744080E0,1.201850739E1
5.179044583E-1,1.083896027E0,-5.801934814E-1,1.100257004E1
5.279354583E-1,1.354084167E0,-5.418731689E-2,9.337582397E0
5.379664584E-1,1.520687714E0,3.589535522E-1,8.884025574E0
5.479974584E-1,1.510808258E0,7.816744995E-1,9.491761780E0
5.580284584E-1,1.309776306E-1,1.198557587E0,9.342971191E0
5.680604583E-1,1.273851013E0,1.226549377E0,1.078192886E1
5.780914583E-1,2.435884552E0,1.450184326E0,9.687105560E0
5.881224583E-1,1.481618958E0,9.490264893E-1,8.725205841E0
5.981534583E-1,3.182531891E0,2.481838989E-1,1.016820511E1
6.081844583E-1,2.798280945E0,1.842668152E-1,9.345815277E0
6.182154584E-1,1.831740875E0,-1.321751404E-1,9.598190460E0
6.282464584E-1,1.192570038E0,-2.312690735E-1,1.171044800E1
6.382784584E-1,-1.137634277E-1,-2.703378296E-1,9.784552917E0
6.483094583E-1,-1.155447235E0,-1.780098267E0,8.514743500E0
6.583404583E-1,-2.563868408E0,-3.355272675E0,9.117539978E0
6.683714583E-1,-3.873345337E0,-3.698059845E0,9.146729279E0
6.784024583E-1,-4.115242310E0,-3.011737061E0,9.563013611E0
6.884334583E-1,-3.243455200E0,-1.967807922E0,9.673034821E0
6.984644583E-1,-2.537223816E0,-1.421444092E0,9.992021484E0
7.084954584E-1,-2.068548431E0,-1.425485687E0,1.009351044E1
7.185274584E-1,-1.578317871E0,-9.735754395E-1,9.886940002E0
7.285584584E-1,-2.271676025E0,-5.634283447E-1,9.418563995E0
7.385894583E-1,-2.776725769E0,-3.095562744E-1,8.769064636E0
7.486204583E-1,-2.412832489E0,-3.983216858E-1,8.400680695E0
7.586514583E-1,-2.418221283E0,-1.321751404E0,7.679480438E0
7.686824583E-1,-2.964585114E0,-2.890788574E0,7.051386566E0
7.787134583E-1,-3.284469910E0,-4.076772308E0,6.676566010E0
7.887454584E-1,-3.830234985E0,-4.885091400E0,6.332880707E0
7.987764584E-1,-3.650159454E0,-5.642666016E0,5.779331818E0
8.088074584E-1,-3.292253723E0,-6.244264984E0,4.880750427E0
8.188384584E-1,-3.144510956E0,-5.977519684E0,4.431085510E0
8.288694583E-1,-3.116219788E0,-5.745352478E0,5.143454132E0
8.389004583E-1,-3.851041718E0,-6.245013428E0,4.117936707E0
8.489314583E-1,-5.267845459E0,-6.175108795E0,2.769241333E-1
8.589634583E-1,-7.395820313E0,-5.026696930E0,2.882406006E0
8.689944583E-1,-7.310946808E0,-4.649930420E0,4.416715393E0
8.790254584E-1,-7.533983002E0,-5.734125824E0,4.083957367E0
8.890564584E-1,-8.456963654E0,-7.033124542E0,2.957699432E0
8.990874584E-1,-8.832382965E0,-7.630981293E0,3.575165405E0
9.091184584E-1,-9.003177795E0,-7.362739105E0,4.272714844E0
9.191494583E-1,-9.093440094E0,-7.117399292E0,5.167554016E0
9.291804583E-1,-9.407636719E0,-7.030879211E0,4.710853729E0
9.392124583E-1,-1.042971130E1,-7.222630463E0,4.016896820E0
9.492434583E-1,-1.181597855E1,-7.289391632E0,3.972888336E0
9.592744583E-1,-1.287802002E1,-6.766528931E0,4.707560577E0
9.693054584E-1,-1.324535614E1,-5.532794495E0,5.577102356E0
9.793364584E-1,-1.313353867E1,-4.289180603E0,5.714965668E0
9.893674584E-1,-1.279269745E1,-3.629203033E0,5.743855591E0
9.993984583E-1,-1.246637604E1,-3.378773804E0,6.490951996E0
1.009430458E0,-1.154010223E1,-3.743415527E0,6.076912994E0
1.019461458E0,-1.136900803E1,-3.910617828E0,5.257816315E0
1.029492458E0,-1.137754028E1,-4.127965851E0,4.531975708E0
1.039523458E0,-1.169128784E1,-4.566703491E0,3.502117310E0
1.049554458E0,-1.213960556E1,-5.476361847E0,2.757565613E0
1.059585458E0,-1.213451614E1,-6.177653503E0,2.521656189E0
1.069616458E0,-1.168619843E1,-6.462960205E0,2.509681091E0
1.079647458E0,-1.088311844E1,-6.473438416E0,2.707419891E0
1.089679458E0,-1.021191422E1,-6.532864838E0,3.166215820E0
1.099710458E0,-9.654174042E0,-6.685098267E0,2.945125580E0
1.109741458E0,-9.318871307E0,-7.076983337E0,2.215243378E0
1.119772458E0,-9.256151733E0,-7.543114014E0,1.532513123E0
1.129803458E0,-9.254056091E0,-7.795489197E0,1.011895752E0
1.139834458E0,-8.906628571E0,-7.874225464E0,3.739224243E-1
1.149865458E0,-8.525670776E0,-7.727231140E0,-3.010240173E-1
1.159896458E0,-8.465645599E0,-7.495213623E0,-8.596623230E-1
1.169928458E0,-8.485853577E0,-7.445067902E0,-9.415420532E-1
1.179959458E0,-8.326884155E0,-7.609426117E0,-1.731299744E0
1.189990458E0,-8.727301483E0,-7.922724609E0,-2.365830231E0
1.200021458E0,-8.821605377E0,-7.765401764E0,-2.397863617E0
1.210052458E0,-8.394842834E0,-7.372169495E0,-2.648143158E0
1.220083458E0,-8.263416138E0,-7.191495209E0,-2.737207947E0
1.230114458E0,-7.948770447E0,-7.160958710E0,-2.527494049E0
1.240146458E0,-7.523205414E0,-7.382797394E0,-2.226320343E0
1.250177458E0,-7.464228058E0,-7.868836670E0,-2.051034851E0
1.260208458E0,-7.486232300E0,-8.385113068E0,-2.055226135E0
1.270239458E0,-7.475155334E0,-8.737330627E0,-2.145638123E0
1.280270458E0,-7.516319733E0,-8.588689728E0,-2.301015015E0
1.290301458E0,-7.510930939E0,-8.449329529E0,-2.991379395E0
1.300332458E0,-7.093299408E0,-8.396489410E0,-3.680097198E0
1.310363458E0,-6.785389709E0,-8.486901398E0,-4.118385773E0
1.320395458E0,-6.448290710E0,-8.294102325E0,-2.643652496E0
1.330426458E0,-5.991889801E0,-7.889044647E0,-1.434467010E0
1.340457458E0,-5.249583435E0,-7.961194611E0,-1.672472076E0
1.350488458E0,-4.334087219E0,-7.898774414E0,-1.662592621E0
1.360519458E0,-4.115242310E0,-7.966433716E0,-1.323098602E0
1.370550458E0,-4.475692749E0,-7.449408875E0,-2.031425629E0
1.380582333E0,-4.977748718E0,-6.373446350E0,-2.171234894E0
1.390613333E0,-5.417983246E0,-5.876479797E0,-1.307980042E0
1.400645333E0,-5.483696594E0,-5.607938232E0,-1.374741211E0
1.410676333E0,-5.291047211E0,-5.410947876E0,-1.565594330E0
1.420707333E0,-4.890031128E0,-5.466781769E0,-1.689985657E0
1.430738333E0,-4.501439209E0,-5.568570099E0,-2.080224152E0
1.440769333E0,-4.131109314E0,-5.475164337E0,-2.875220947E0
1.450800333E0,-3.742367706E0,-5.396278381E0,-2.548899536E0
1.460831333E0,-3.322041779E0,-4.811893616E0,-3.275488586E0
1.470862333E0,-3.212469635E0,-4.617447968E0,-2.755619659E0
1.480894333E0,-3.254981232E0,-5.023703156E0,-2.316283264E0
1.490925333E0,-3.110232239E0,-5.176535339E0,-3.741918640E0
1.500956333E0,-3.090922394E0,-4.727319489E0,-4.092339935E0
1.510987333E0,-2.953208771E0,-4.861141205E0,-3.801195374E0
1.521018333E0,-2.732866974E0,-5.567372589E0,-4.185596008E0
1.531049333E0,-3.215463409E0,-6.179000702E0,-5.585784302E0
1.541080333E0,-4.001029816E0,-6.585405579E0,-5.425617371E0
1.551111333E0,-4.420906677E0,-7.320377197E0,-4.696932678E0
1.561143333E0,-4.539160767E0,-7.459587708E0,-5.401816864E0
1.571174333E0,-5.244494019E0,-7.096592560E0,-5.973478088E0
1.581205333E0,-6.175857239E0,-7.183561707E0,-4.543052673E0
1.591236333E0,-6.066584473E0,-7.169640656E0,-4.925806732E0
1.601267333E0,-5.841302948E0,-6.740034027E0,-5.008584595E0
1.611298333E0,-5.203928375E0,-6.962770844E0,-3.438499603E0
1.621329333E0,-4.267924805E0,-6.898554382E0,-3.376378784E0
1.631360333E0,-3.471281433E0,-7.325167236E0,-2.790497131E0
1.641392333E0,-2.046095123E0,-7.725434875E0,-3.866160278E0
1.651423333E0,-1.853296051E0,-8.039631500E0,-4.320465546E0
1.661454333E0,-2.039508820E0,-8.716224518E0,-3.588487701E0
1.671485333E0,-2.083068237E0,-8.966204681E0,-4.357887726E0
1.681516333E0,-2.240690460E0,-9.785451050E0,-5.122647400E0
1.691547333E0,-2.863694916E0,-1.048554520E1,-6.493347015E0
1.701578333E0,-3.899989929E0,-1.016176849E1,-5.109774170E0
1.711609333E0,-4.354594574E0,-9.019344177E0,-4.619842987E0
1.721640333E0,-4.751868439E0,-8.477471008E0,-4.424648895E0
1.731672333E0,-5.387895813E0,-7.517816620E0,-3.646417236E0
1.741703333E0,-5.056634674E0,-6.111191711E0,-4.179458771E0
1.751734333E0,-4.542753296E0,-6.392307129E0,-5.269192657E0
1.761765333E0,-4.988376617E0,-6.243217163E0,-3.520978088E0
1.771796333E0,-4.633314972E0,-5.534740448E0,-3.293301544E0
1.781827333E0,-4.600533142E0,-6.518045654E0,-2.869083710E0
1.791858333E0,-4.756359100E0,-7.843838654E0,-2.757565613E0
1.801889333E0,-5.254822540E0,-8.893006897E0,-2.784359894E0
1.811921333E0,-5.375771027E0,-9.936786346E0,-2.973566437E0
1.821952333E0,-5.433101807E0,-1.020113663E1,-2.636467438E0
1.831983333E0,-5.522316284E0,-9.848769379E0,-1.595083008E0
1.842014333E0,-4.467609558E0,-9.809850311E0,-7.363188171E-1
1.852045333E0,-3.103196869E0,-9.834399261E0,-4.520599365E-2
1.862076333E0,-1.627565460E0,-1.030711624E1,9.550140381E-2
1.872107333E0,-1.017583923E0,-1.020907013E1,8.060737610E-1
1.882138333E0,-1.493743744E0,-9.695787506E0,1.548829193E0
1.892169333E0,-1.312770081E0,-7.546556854E0,6.104306030E-1
1.902201333E0,-8.126600647E-1,-6.376889191E0,-1.608704681E0
1.912232333E0,-1.005608826E0,-7.784262543E0,-1.783241730E0
1.922263333E0,-1.825603638E0,-8.202043762E0,-1.099463654E0
1.932294333E0,-1.933828583E0,-7.984546051E0,-2.677482147E0
1.942325333E0,-1.486858063E0,-8.250243530E0,-7.280859375E-1
1.952356333E0,-7.824229431E-1,-9.745184784E0,6.388714600E-1
1.962387333E0,-5.508544922E-2,-1.229573090E1,-2.454146576E0
1.972418333E0,-8.277786255E-2,-1.203437439E1,-5.699248352E0
1.982450333E0,3.715274048E-1,-1.003528152E1,-4.325405273E0
1.992481333E0,1.689087524E0,-8.708590393E0,-4.926255798E0
2.002512333E0,2.802621918E0,-7.870333557E0,-4.680915985E0
2.012543333E0,3.063529358E0,-7.404502258E0,-1.970202942E0
2.022574333E0,2.615361328E0,-8.088729401E0,6.218069458E-1
2.032605333E0,1.980381775E0,-9.394763489E0,2.979553986E0
2.042636333E0,1.361418915E0,-1.103595062E1,2.824027405E0
2.052667333E0,5.477110291E-1,-1.208871140E1,1.470392303E0
2.062698333E0,-5.417234802E-1,-1.284808228E1,-2.903961182E-2
2.072730333E0,-1.284478912E0,-1.333606750E1,-1.617835693E0
2.082761333E0,-1.886526947E0,-1.283011963E1,-2.148332520E0
2.092792333E0,-2.218985596E0,-1.208990891E1,-2.277214508E0
2.102823333E0,-1.919009399E0,-1.115540222E1,-2.480641479E0
2.112854333E0,-1.614692230E0,-1.051293823E1,-2.405946808E0
2.122885333E0,-1.534459076E0,-1.053928345E1,-2.284998322E0
2.132916333E0,-1.259031830E0,-1.060305084E1,-1.892364807E0
2.142947333E0,-7.520361328E-1,-1.059047699E1,-1.520238647E0
2.152978333E0,-2.401007080E-1,-1.040231827E1,-1.000669098E0
2.163010333E0,2.559677124E-1,-1.024679169E1,-7.461982727E-1
2.173041333E0,6.032455444E-1,-1.019844223E1,-7.240443420E-1
2.183072333E0,8.390052795E-1,-9.850415955E0,-8.542735291E-1
2.193103333E0,9.969268799E-1,-9.156459045E0,-1.301244049E0
2.203134333E0,9.571096802E-1,-9.196725311E0,-1.636397095E0
2.213165333E0,9.494755554E-1,-9.181756439E0,-1.944755859E0
2.223196333E0,9.846524048E-1,-8.970545654E0,-2.097138977E0
2.233227333E0,1.180744629E0,-8.659941559E0,-2.436183929E0
2.243259333E0,1.418150940E0,-7.807913361E0,-2.971321106E0
2.253290333E0,1.360969849E0,-6.221212921E0,-2.890638885E0
2.263321333E0,1.364712067E0,-6.280489655E0,-2.563569031E0
2.273352333E0,1.007105713E0,-6.962920532E0,-2.094743958E0
2.283383333E0,1.654060364E-1,-7.785010986E0,-1.149309998E0
2.293414333E0,-2.209405518E-1,-7.838000793E0,-1.130598907E0
2.303445333E0,-4.047583008E-1,-6.988816681E0,-1.665137329E0
2.313476333E0,-7.194039917E-1,-6.346502380E0,-1.506766663E0
2.323507333E0,-8.958869934E-1,-5.938001862E0,-1.298250275E0
2.333539333E0,-8.771759033E-1,-5.214107208E0,-1.290915527E0
2.343570333E0,-6.191125488E-1,-5.281167755E0,-1.613195343E0
