"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.026375005E-3,-2.755020905E0,7.409441986E0,6.420298920E0
1.200537500E-2,-2.789149933E0,7.330556030E0,6.434669037E0
2.198437499E-2,-2.840493164E0,7.304061127E0,6.305188293E0
3.196437500E-2,-2.903362427E0,7.264992371E0,6.172115021E0
4.194337499E-2,-2.956352234E0,7.214397583E0,6.048771515E0
5.195337500E-2,-3.023562469E0,7.206015015E0,5.870192871E0
6.196237500E-2,-3.090323639E0,7.240593109E0,5.695506134E0
7.197237499E-2,-3.288661194E0,7.295528870E0,5.529800720E0
8.195137500E-2,-3.217708740E0,7.332052917E0,5.596711578E0
9.196137500E-2,-2.916235657E0,7.200626221E0,5.664819946E0
1.019713750E-1,-2.487227783E0,7.032675476E0,5.723497925E0
1.119503750E-1,-2.037562866E0,6.998396759E0,5.839806061E0
1.219603750E-1,-1.609752502E0,7.072642365E0,5.924529877E0
1.319703750E-1,-1.355281677E0,7.116501160E0,5.992638245E0
1.419793750E-1,-1.237177277E0,7.190297699E0,5.991141357E0
1.519593750E-1,-1.181942139E0,7.284451904E0,6.042035522E0
1.619683750E-1,-1.126856689E0,7.332052917E0,6.160139923E0
1.719783750E-1,-1.032702484E0,7.265142059E0,6.279441833E0
1.819883750E-1,-9.181906128E-1,7.198081512E0,6.357878723E0
1.919673750E-1,-7.942483521E-1,7.189848633E0,6.478677521E0
2.019773750E-1,-5.777984619E-1,7.151827698E0,6.643185425E0
2.119873750E-1,-3.351530457E-1,7.100484467E0,6.764133911E0
2.219663750E-1,-1.481918335E-1,7.134463806E0,6.977590027E0
2.319763750E-1,-2.664459229E-2,7.130871277E0,7.003785553E0
2.419853750E-1,8.217910767E-2,7.044201508E0,6.911876678E0
2.519953750E-1,2.252815247E-1,6.972201233E0,6.862030334E0
2.619743750E-1,4.037104797E-1,6.899003448E0,6.953340454E0
2.719843750E-1,6.246510315E-1,6.697672119E0,7.025640106E0
2.819943750E-1,7.837701416E-1,6.268664246E0,7.101831665E0
2.920043750E-1,8.439450073E-1,5.812562714E0,7.209607544E0
3.019833750E-1,7.156617737E-1,5.643414459E0,7.438780975E0
3.119933750E-1,6.655160522E-1,5.460494843E0,7.411088562E0
3.220033750E-1,5.679190063E-1,5.268444214E0,6.882238312E0
3.320123750E-1,7.294331360E-1,5.329666901E0,6.581513672E0
3.419923750E-1,9.304650879E-1,5.468428345E0,6.762038269E0
3.520013750E-1,9.187893677E-1,5.441933441E0,6.735543365E0
3.620113750E-1,7.539820862E-1,5.267246704E0,6.522536316E0
3.719903750E-1,9.087602234E-1,5.194348297E0,6.285429382E0
3.820003750E-1,9.788145447E-1,5.404361572E0,6.702911224E0
3.920103750E-1,8.872050476E-1,5.667364655E0,6.764732666E0
4.020203750E-1,7.277865601E-1,5.810317383E0,6.687792664E0
4.119993750E-1,6.047424316E-1,5.950426025E0,6.700216827E0
4.220093750E-1,5.442681885E-1,5.989195404E0,6.587950287E0
4.320183750E-1,3.736230469E-1,6.109096069E0,6.518794098E0
4.420283750E-1,3.025209045E-1,6.293063507E0,6.698121185E0
4.520073750E-1,1.007405090E0,6.077212372E0,6.459367676E0
4.620173750E-1,1.898801422E0,6.698121185E0,6.857539673E0
4.720273750E-1,2.667752380E0,7.641908569E0,7.332352295E0
4.820373750E-1,3.579057312E0,7.456593933E0,7.503296814E0
4.920163750E-1,3.739224243E0,7.342231750E0,7.464677124E0
5.020263750E-1,3.520529022E0,7.298822021E0,6.918163605E0
5.120363750E-1,2.856809235E0,7.240742798E0,6.633006592E0
5.220153750E-1,2.555186462E0,7.433841248E0,6.505471802E0
5.320253750E-1,3.031346283E0,7.652985535E0,5.723946991E0
5.420343750E-1,3.288212128E0,7.794141998E0,5.508395233E0
5.520443750E-1,3.083288269E0,8.286917267E0,4.930297394E0
5.620233750E-1,2.640359344E0,8.491841125E0,4.343068542E0
5.720333750E-1,2.448458405E0,8.289012909E0,5.254223785E0
5.820433750E-1,3.012485504E0,7.591463470E0,6.869065704E0
5.920533750E-1,3.177143097E0,7.460036774E0,6.932084656E0
6.020323750E-1,3.098855896E0,7.530390472E0,6.650819550E0
6.120423750E-1,3.157384186E0,7.390281830E0,6.828949127E0
6.220513750E-1,3.199147339E0,7.431146851E0,7.255561981E0
6.320313750E-1,3.160677338E0,7.403454437E0,7.552394714E0
6.420403750E-1,3.130290527E0,7.241640930E0,7.443720703E0
6.520503750E-1,3.161126404E0,7.097191315E0,6.940616913E0
6.620603750E-1,3.205583954E0,7.115004272E0,6.358926544E0
6.720393750E-1,3.412603455E0,7.314838715E0,5.791157227E0
6.820493750E-1,3.833677826E0,7.315138092E0,5.417683868E0
6.920593750E-1,4.084855499E0,7.135511627E0,5.270689545E0
7.020683750E-1,3.995491333E0,7.015610962E0,5.122647400E0
7.120483750E-1,3.909120941E0,6.957681427E0,4.937632141E0
7.220573750E-1,3.850143585E0,6.950945435E0,4.671635284E0
7.320673750E-1,3.734134827E0,7.051985321E0,4.558320923E0
7.420773750E-1,3.672463074E0,7.204667816E0,4.532724152E0
7.520563750E-1,3.623065796E0,7.373367004E0,4.406835938E0
7.620663750E-1,3.654051361E0,7.523355103E0,4.384083252E0
7.720663750E-1,3.908671875E0,7.487280121E0,4.496798859E0
7.820453750E-1,4.049379272E0,7.325466614E0,4.601730652E0
7.920553750E-1,3.943699036E0,7.364235992E0,4.684658203E0
8.020653750E-1,4.077071686E0,7.484436035E0,5.022505646E0
8.120743750E-1,4.248764648E0,7.513475647E0,5.214107208E0
8.220543750E-1,4.274361420E0,7.608078918E0,4.975802765E0
8.320633750E-1,4.160148926E0,7.801776123E0,4.285737762E0
8.420733750E-1,4.176165619E0,7.693251801E0,3.867657166E0
8.520833750E-1,3.987408142E0,7.569010162E0,4.444258118E0
8.620623750E-1,4.051025848E0,7.316036224E0,4.681065674E0
8.720723750E-1,4.497996368E0,7.247927856E0,4.623884583E0
8.820823750E-1,4.649181976E0,7.419171753E0,4.702321472E0
8.920613750E-1,4.360582123E0,7.467521210E0,4.960684204E0
9.020713750E-1,4.310885468E0,7.465126190E0,4.582869873E0
9.120803750E-1,4.621489563E0,7.852670288E0,4.046834564E0
9.220903750E-1,4.820725250E0,8.333919525E0,3.805386658E0
9.320693750E-1,4.768184509E0,8.638536072E0,3.736080780E0
9.420793750E-1,4.592300262E0,8.264314270E0,3.951931915E0
9.520893750E-1,4.399201813E0,7.868686981E0,4.095034332E0
9.620993750E-1,4.409979401E0,8.030949554E0,4.097878418E0
9.720783750E-1,4.361480255E0,8.171058197E0,4.342918854E0
9.820883750E-1,4.423601074E0,7.990533600E0,4.423301697E0
9.920983750E-1,4.612508240E0,7.765401764E0,4.259691925E0
1.002107375E0,4.751419373E0,7.560777283E0,4.239334259E0
1.012087375E0,4.836891632E0,7.403753815E0,4.433929596E0
1.022096375E0,4.946613464E0,7.372468872E0,4.517904968E0
1.032106375E0,5.115612030E0,7.282056885E0,4.646038513E0
1.042085375E0,5.286855927E0,7.152127075E0,4.578678589E0
1.052095375E0,5.529950409E0,7.086114349E0,4.422852631E0
1.062105375E0,5.799689484E0,6.959627380E0,4.676575012E0
1.072115375E0,5.984105988E0,6.942562866E0,5.036426697E0
1.082094375E0,6.302194519E0,7.109316101E0,4.977599030E0
1.092104375E0,6.652765503E0,7.358398132E0,4.431384888E0
1.102113375E0,6.845414886E0,7.609875183E0,3.968098297E0
1.112123375E0,6.915768585E0,7.659571838E0,3.805686035E0
1.122102375E0,6.902895355E0,7.439828796E0,3.935765533E0
1.132112375E0,6.813980255E0,7.099586334E0,4.197271729E0
1.142122375E0,6.687642975E0,6.866820374E0,3.942501526E0
1.152132375E0,6.377937012E0,7.058272247E0,3.488345947E0
1.162111375E0,6.110892334E0,7.397167511E0,3.489693146E0
1.172121375E0,6.042035522E0,7.606582031E0,3.628005524E0
1.182131375E0,5.990243225E0,7.526797943E0,3.614832916E0
1.192110375E0,5.889652405E0,7.208859100E0,3.541635132E0
1.202120375E0,5.229375458E0,6.712940369E0,3.073857880E0
1.212129375E0,3.585044861E0,6.225254517E0,2.208208008E0
1.222139375E0,3.337010651E0,6.507866821E0,2.411634979E0
1.232118375E0,4.412374420E0,7.306456146E0,4.687502289E0
1.242128375E0,4.446653137E0,7.747588806E0,4.999303894E0
1.252138375E0,5.437592468E0,8.316555634E0,3.582949219E0
1.262148375E0,5.890550537E0,8.632997589E0,3.030448151E0
1.272127375E0,5.442532196E0,8.791517944E0,2.811603241E0
1.282137375E0,4.646188202E0,8.556506653E0,2.635718994E0
1.292146375E0,3.988905029E0,8.234376526E0,3.042423248E0
1.302126375E0,3.099155273E0,7.874524841E0,3.335513763E0
1.312135375E0,2.810256042E0,7.903414764E0,1.483265533E0
1.322145375E0,3.428021393E0,7.990982666E0,1.053060150E0
1.332155375E0,3.473975830E0,7.972421265E0,1.236728210E0
1.342134375E0,3.697311401E0,7.958051147E0,1.499431915E0
1.352144375E0,3.698508911E0,8.008346558E0,1.777254181E0
1.362154375E0,3.672014008E0,8.035889282E0,1.622176666E0
1.372163375E0,3.671714630E0,8.156388702E0,1.421294403E0
1.382143375E0,3.556604004E0,8.336913300E0,1.207838287E0
1.392152375E0,3.381617889E0,8.677754517E0,1.138083344E0
1.402162375E0,3.420237579E0,9.156159668E0,1.300345917E0
1.412172375E0,3.232527924E0,9.587861938E0,1.445843353E0
1.422151375E0,3.002755737E0,9.856553192E0,1.882635040E0
1.432161375E0,2.992427216E0,9.990823975E0,2.155517578E0
1.442171375E0,2.747237091E0,1.005025040E1,2.618804169E0
1.452150375E0,2.947221222E0,9.728419647E0,1.367406464E0
1.462160375E0,2.979853363E0,9.269474030E0,7.505392456E-1
1.472170375E0,3.208128662E0,9.166188812E0,4.234693909E-1
1.482179375E0,3.221750336E0,9.482630768E0,-1.633103943E-1
1.492159375E0,2.913541260E0,9.941726074E0,-5.560935974E-1
