"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.639833750E-1,-2.389280200E-1,-1.311541438E0,5.160537362E-1
1.739623750E-1,-2.372068167E-1,-1.051881433E0,5.266405940E-1
1.839723750E-1,-2.489331365E-1,-8.981362581E-1,5.270030499E-1
1.939813750E-1,-3.018597066E-1,-8.012571335E-1,5.418051481E-1
2.039913750E-1,-3.698503971E-1,-7.111579776E-1,5.822187662E-1
2.139703750E-1,-4.020480216E-1,-6.971841455E-1,6.403137445E-1
2.239803750E-1,-3.734154999E-1,-7.752642035E-1,7.015902400E-1
2.339903750E-1,-2.759613693E-1,-9.070270061E-1,7.591400743E-1
2.440003750E-1,-1.344875395E-1,-1.003185630E0,8.091954589E-1
2.539793750E-1,3.841685876E-2,-1.041730046E0,8.410335779E-1
2.639893750E-1,2.215444893E-1,-1.023168445E0,8.637172580E-1
2.739983750E-1,3.518034220E-1,-9.500747919E-1,8.933486342E-1
2.839783750E-1,4.046871066E-1,-8.767071962E-1,9.337875247E-1
2.939873750E-1,3.348001540E-1,-8.216807246E-1,9.463299513E-1
3.039973750E-1,1.930228621E-1,-8.494905233E-1,9.570693970E-1
3.140073750E-1,2.123859897E-2,-7.062358856E-1,9.681078792E-1
3.239863750E-1,-1.261207610E-1,-3.781643212E-1,9.740208983E-1
3.339963750E-1,-1.916829944E-1,-1.199833602E-1,9.587900639E-1
3.440063750E-1,-1.348635554E-1,6.541302800E-2,9.357807040E-1
3.540163750E-1,7.349243388E-3,2.912616134E-1,8.485059738E-1
3.639953750E-1,1.815431118E-1,6.245403886E-1,7.622280121E-1
3.740053750E-1,3.168950677E-1,7.909839749E-1,7.203154564E-1
3.840143750E-1,3.883216977E-1,8.441600204E-1,7.433309555E-1
3.939943750E-1,3.956698775E-1,8.096781969E-1,8.043602109E-1
4.040033750E-1,3.276238143E-1,6.314923167E-1,8.827435374E-1
4.140133750E-1,1.919221580E-1,3.247957826E-1,9.871061444E-1
4.240233750E-1,1.945067383E-2,-1.890994608E-2,1.093415856E0
4.340023750E-1,-1.323942542E-1,-4.510624409E-1,1.167225599E0
4.440123750E-1,-1.173057184E-1,-6.223443151E-1,1.074213386E0
4.540223750E-1,1.753304005E-1,-4.982061684E-1,5.275911093E-1
4.640313750E-1,3.570213020E-1,-5.549616218E-1,-4.676861316E-2
