"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.615979167E-2,-4.283941498E0,4.139940948E0,7.871381378E0
2.618079167E-2,-4.181404724E0,3.985312500E0,7.987240448E0
3.620179166E-2,-4.037553864E0,3.905678101E0,8.136629791E0
4.622279166E-2,-3.813769226E0,4.010909271E0,8.208330688E0
5.624379165E-2,-3.700305176E0,4.198169861E0,8.221054230E0
6.626479165E-2,-3.706741791E0,4.381089478E0,8.358019409E0
7.628579164E-2,-3.868555298E0,4.443210297E0,8.319549408E0
8.630679164E-2,-3.804338837E0,4.270020447E0,8.026159515E0
9.632779163E-2,-3.534150696E0,3.922443237E0,7.829468536E0
1.063487917E-1,-3.304079132E0,3.642375641E0,7.965236206E0
1.163697917E-1,-3.213966522E0,3.531605988E0,8.209528198E0
1.263907917E-1,-3.281176758E0,3.518134003E0,8.333171082E0
1.364117917E-1,-3.459006958E0,3.553310852E0,8.398435364E0
1.464327917E-1,-3.606001282E0,3.636537781E0,8.358019409E0
1.564537917E-1,-3.752396851E0,3.779939575E0,8.365054779E0
1.664773333E-1,-3.846101990E0,3.986959076E0,8.500074005E0
1.764973333E-1,-3.763773193E0,4.157155151E0,8.542435913E0
1.865183333E-1,-3.709735565E0,4.107757874E0,8.428672485E0
1.965393333E-1,-3.573369141E0,3.835025024E0,8.306376801E0
2.065603333E-1,-3.328029327E0,3.586392059E0,8.096213837E0
2.165813333E-1,-3.207978973E0,3.552861786E0,7.981103210E0
2.266023333E-1,-3.177741852E0,3.645818481E0,7.873177643E0
2.366233333E-1,-3.214265900E0,3.646417236E0,7.863597565E0
2.466443333E-1,-3.316802673E0,3.656596069E0,7.871830444E0
2.566653333E-1,-3.368894348E0,3.692221985E0,7.940537567E0
2.666863333E-1,-3.333867188E0,3.746558990E0,8.051606598E0
2.767073333E-1,-3.328628082E0,3.748205566E0,8.228089600E0
2.867283333E-1,-3.294948120E0,3.749852142E0,8.243507538E0
2.967493333E-1,-3.270099792E0,3.761827240E0,8.016280060E0
3.067703333E-1,-3.297492828E0,3.771557007E0,7.875422974E0
3.167913333E-1,-3.238066406E0,3.760779419E0,7.771539001E0
3.268123333E-1,-3.137026520E0,3.745511169E0,7.727979584E0
3.368333333E-1,-3.168012085E0,3.737278290E0,7.915539551E0
3.468543333E-1,-3.275638275E0,3.739373932E0,8.166118469E0
3.568753333E-1,-3.359463959E0,3.702251129E0,8.277636566E0
3.668963333E-1,-3.253783722E0,3.652255096E0,8.349487152E0
3.769173333E-1,-2.872227173E0,3.679648132E0,8.481063538E0
3.869383333E-1,-2.227667542E0,4.006867676E0,8.721164246E0
3.969593333E-1,-1.709445190E0,4.453089752E0,8.994645538E0
4.069803333E-1,-1.155596924E0,4.805756378E0,9.146878967E0
4.170013333E-1,-4.433779907E-1,4.694687347E0,9.279802551E0
4.270223333E-1,2.468367004E-1,4.226161652E0,9.437873840E0
4.370423333E-1,5.701643372E-1,3.580254822E0,9.267827454E0
4.470633333E-1,4.987628174E-1,2.947969666E0,9.094637604E0
4.570843333E-1,-1.577719116E-1,2.662513275E0,8.966953125E0
4.671053333E-1,-3.209326172E-1,2.843636627E0,9.102122040E0
4.771263333E-1,-4.894821167E-2,2.932252350E0,9.767039337E0
4.871473333E-1,1.064286804E-1,3.019969940E0,9.756112061E0
4.971683333E-1,6.152206421E-1,3.508104858E0,1.015742752E1
5.071893333E-1,9.379495239E-1,3.566633148E0,1.044557831E1
5.172103333E-1,7.405101013E-1,3.513044586E0,9.533524933E0
5.272313333E-1,8.521778870E-1,3.254532166E0,9.685309296E0
5.372523333E-1,8.970845032E-1,2.735561371E0,1.024424698E1
5.472733333E-1,7.638615417E-1,2.082619171E0,1.059421921E1
5.572943333E-1,4.806504822E-1,1.857786713E0,1.036474640E1
5.673153333E-1,1.104702759E-1,1.815873871E0,9.037007446E0
5.773363333E-1,-1.630110168E-1,1.609752502E0,8.547225952E0
5.873573333E-1,-1.178050232E-1,1.442250824E0,8.996890869E0
5.973783333E-1,2.685415649E-1,1.525627441E0,9.052425385E0
6.073993333E-1,7.478448486E-1,1.761836243E0,8.980275421E0
6.174203333E-1,1.165027313E0,2.145338745E0,9.154812469E0
6.274413333E-1,1.160386963E0,2.622845764E0,9.021290131E0
6.374623333E-1,9.710307312E-1,3.124302979E0,8.702153778E0
6.474833333E-1,7.252418518E-1,3.636986847E0,8.680448914E0
6.575043333E-1,5.360353088E-1,4.137994995E0,8.900790710E0
6.675253334E-1,2.766247559E-1,4.306394806E0,8.903185730E0
6.775463333E-1,6.212081909E-2,4.180207214E0,8.997938690E0
6.875673333E-1,3.378474426E-1,3.982767792E0,9.187294922E0
6.975883333E-1,7.442523193E-1,3.629053345E0,8.965007172E0
7.076093333E-1,1.009051666E0,3.065774689E0,8.448880463E0
7.176293333E-1,1.085991669E0,2.481539612E0,8.058192902E0
7.276503333E-1,1.041234741E0,2.028731232E0,7.888445892E0
7.376713333E-1,8.851094055E-1,1.777403870E0,7.963140564E0
7.476923333E-1,6.111790466E-1,1.827998657E0,8.346493378E0
7.577133333E-1,5.001100159E-1,2.156116333E0,8.727900238E0
7.677343333E-1,6.051914978E-1,2.677931213E0,8.778794403E0
7.777553333E-1,6.113287354E-1,3.195255432E0,8.801846466E0
7.877763333E-1,7.057823181E-1,3.510050812E0,9.227112122E0
7.977973333E-1,8.512797546E-1,3.422782288E0,9.719887390E0
8.078183333E-1,9.499246216E-1,2.967129822E0,9.867480469E0
8.178393333E-1,9.855505371E-1,2.472109222E0,9.651928711E0
8.278603333E-1,1.048868866E0,2.088606720E0,9.610464935E0
8.378813333E-1,1.245110779E0,1.862427063E0,9.642049255E0
8.479023333E-1,1.424437866E0,1.747615814E0,9.539362793E0
8.579233333E-1,1.266067200E0,1.774110718E0,9.628726959E0
8.679443333E-1,1.045725403E0,1.897304535E0,9.945767670E0
8.779653333E-1,1.015637970E0,2.015259247E0,1.012255005E1
8.879863333E-1,1.113235016E0,2.054777069E0,1.037342834E1
8.980073333E-1,1.259929962E0,2.028880920E0,1.061307999E1
9.080283333E-1,1.142124939E0,2.045945435E0,1.049437683E1
9.180493333E-1,1.154249725E0,2.045496368E0,1.017179764E1
9.280703333E-1,1.119821320E0,1.622925110E0,9.679022369E0
9.380913333E-1,1.035995636E0,1.137035522E0,9.335187378E0
9.481123333E-1,9.395960999E-1,5.008584595E-1,9.246122589E0
9.581333333E-1,8.455915833E-1,-5.867797852E-2,9.473799133E0
9.681543333E-1,1.141675873E0,-5.050497437E-1,9.332193604E0
9.781753334E-1,1.315314789E0,-5.851332092E-1,9.235045624E0
9.881963333E-1,1.160087585E0,-3.454815674E-1,9.152118073E0
9.982173333E-1,7.249424744E-1,-2.974314880E-1,9.613458710E0
1.008238333E0,4.016148376E-1,-2.100132751E-1,1.047147446E1
1.018258333E0,4.758604431E-1,-6.286926270E-2,1.044258453E1
1.028279333E0,6.554869080E-1,-1.035845947E-1,9.893226929E0
1.038300333E0,5.186714172E-1,-2.252815247E-1,9.701475677E0
1.048321333E0,4.065545654E-1,-2.459385681E-1,9.519154816E0
1.058342333E0,4.038601685E-1,-1.254391479E-1,8.979077911E0
1.068363333E0,4.541555786E-1,5.089416504E-2,8.485703888E0
1.078384333E0,4.258644104E-1,1.706451416E-1,8.451425171E0
1.088405333E0,2.851570129E-1,2.908451843E-1,9.124275970E0
1.098426333E0,1.833686829E-1,4.375401306E-1,1.056502991E1
1.108447333E0,3.121009827E-1,4.951702881E-1,1.085871918E1
1.118468333E0,5.559439087E-1,4.158352661E-1,1.029858398E1
1.128489333E0,5.237608337E-1,9.056167603E-2,1.024903702E1
1.138510333E0,3.791615295E-1,-1.315763855E-1,1.029439270E1
1.148531333E0,5.532495117E-1,2.933898926E-2,1.023257126E1
1.158549417E0,1.047072601E0,4.716691589E-1,1.028870453E1
1.168570417E0,1.239572296E0,8.596623230E-1,9.820328522E0
1.178591417E0,1.274599457E0,7.890092468E-1,9.639803925E0
1.188612417E0,9.605525208E-1,6.346801758E-1,1.010982651E1
1.198633417E0,5.742059326E-1,6.950047302E-1,9.948761444E0
1.208654417E0,4.760101318E-1,6.524931335E-1,9.806407471E0
1.218675417E0,5.234614563E-1,6.637197876E-1,9.613159332E0
1.228696417E0,5.514532471E-1,6.056405640E-1,9.454189911E0
1.238717417E0,4.902305603E-1,3.761677551E-1,9.346114655E0
1.248738417E0,3.448828125E-1,2.091151428E-1,9.202114105E0
1.258759417E0,1.764830017E-1,2.421963501E-1,9.174721069E0
1.268780417E0,1.332229614E-1,3.514691162E-1,9.230255585E0
1.278801417E0,1.984872437E-1,4.996609497E-1,9.269474030E0
1.288822417E0,3.085084534E-1,7.131170654E-1,9.294022980E0
1.298843417E0,5.099894714E-1,9.267228699E-1,9.210796051E0
1.308864417E0,6.671626282E-1,1.096619568E0,9.099577332E0
1.318885417E0,6.153703308E-1,1.250948639E0,9.162147217E0
1.328905417E0,6.486012268E-1,1.343456268E0,9.082213440E0
1.338926417E0,7.188052368E-1,1.354084167E0,8.873397675E0
1.348947417E0,6.873706055E-1,1.287622375E0,8.769364014E0
1.358968417E0,5.701643372E-1,1.210981750E0,8.895401917E0
1.368989417E0,5.222639465E-1,1.259929962E0,9.204509125E0
1.379010417E0,7.119195557E-1,1.385967865E0,9.261839905E0
1.389031417E0,8.520281982E-1,1.477577362E0,9.181606750E0
1.399052417E0,8.381071472E-1,1.591789856E0,9.354946289E0
1.409073417E0,8.725355530E-1,1.776356049E0,9.534123688E0
1.419094417E0,9.723779297E-1,1.946851501E0,9.539512482E0
1.429115417E0,1.049916687E0,2.011816406E0,9.479187927E0
1.439136417E0,1.022823029E0,2.003882904E0,9.485624542E0
1.449157417E0,9.958790588E-1,1.995350647E0,9.514664154E0
1.459178417E0,9.816586304E-1,1.929936676E0,9.479337616E0
1.469199417E0,8.994795227E-1,1.848356323E0,9.651779022E0
1.479220417E0,8.584648132E-1,1.914668427E0,9.939929810E0
1.489241417E0,8.804690552E-1,1.989063721E0,1.000998413E1
1.499262417E0,9.689350891E-1,1.940414886E0,1.006611740E1
1.509283417E0,9.529183960E-1,1.833836517E0,1.010024643E1
1.519304417E0,8.524772644E-1,1.725761261E0,1.011895752E1
1.529325417E0,7.114704895E-1,1.629361725E0,1.015099091E1
1.539346417E0,6.132746887E-1,1.605561218E0,1.010368927E1
1.549367417E0,5.483097839E-1,1.545236664E0,9.921069031E0
1.559388417E0,5.733078003E-1,1.416204987E0,9.773026886E0
1.569409417E0,5.291496277E-1,1.316362610E0,9.679022369E0
1.579430417E0,4.117936707E-1,1.326092377E0,9.756710815E0
1.589451417E0,3.677851868E-1,1.447489929E0,9.930200043E0
1.599472417E0,4.067042542E-1,1.531165924E0,1.001761826E1
1.609493417E0,5.047503662E-1,1.514849854E0,9.942773895E0
1.619514417E0,5.641767883E-1,1.452429657E0,9.806257782E0
1.629535417E0,5.496569824E-1,1.381626892E0,9.712253265E0
1.639556417E0,4.676275635E-1,1.351389771E0,9.673483887E0
1.649577417E0,3.653901672E-1,1.343456268E0,9.644294586E0
1.659598417E0,2.995271301E-1,1.405726776E0,9.588610382E0
1.669618417E0,2.624043274E-1,1.487756195E0,9.645941162E0
1.679639417E0,3.179388428E-1,1.534908142E0,9.502988434E0
1.689660417E0,3.740721130E-1,1.490450592E0,9.314081268E0
1.699681417E0,2.869532776E-1,1.429377594E0,9.278305664E0
1.709702417E0,2.218386841E-1,1.420246582E0,9.352102203E0
1.719723417E0,2.559677124E-1,1.429826660E0,9.400152283E0
1.729744417E0,2.912942505E-1,1.435814209E0,9.389374695E0
1.739765417E0,3.427871704E-1,1.399290161E0,9.306297455E0
1.749786417E0,3.514691162E-1,1.329984283E0,9.221873016E0
1.759807417E0,2.883004761E-1,1.294807434E0,9.134155426E0
1.769828417E0,2.163002014E-1,1.306932220E0,9.119336243E0
1.779849417E0,1.395098877E-1,1.335373077E0,9.200317841E0
1.789870417E0,1.359173584E-1,1.344055023E0,9.229357452E0
1.799891417E0,1.923500061E-1,1.318308563E0,9.299860840E0
1.809912417E0,2.323168945E-1,1.353186035E0,9.439670105E0
1.819933417E0,2.980302429E-1,1.423090668E0,9.557175751E0
1.829954417E0,3.152444458E-1,1.456471252E0,9.643845520E0
