"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.220499996E-3,-4.387675781E0,5.992937622E0,6.531667328E0
1.524049998E-2,-4.445455627E0,6.036347351E0,6.563401337E0
2.525949996E-2,-4.311484222E0,6.005361786E0,6.663243713E0
3.527850000E-2,-4.150868225E0,5.974525909E0,6.711293793E0
4.529849999E-2,-4.117337952E0,5.890700226E0,6.730304260E0
5.531749997E-2,-4.189487915E0,5.768703918E0,6.704408112E0
6.533649995E-2,-4.328698425E0,5.688021698E0,6.636599121E0
7.535549998E-2,-4.440366211E0,5.689368896E0,6.577172699E0
8.537549997E-2,-4.438869324E0,5.672304382E0,6.532864838E0
9.539449995E-2,-4.388873291E0,5.621559906E0,6.501130829E0
1.054135000E-1,-4.361031189E0,5.565426636E0,6.509663086E0
1.154335000E-1,-4.342020721E0,5.579048309E0,6.532116394E0
1.254525000E-1,-4.358336792E0,5.671256561E0,6.561156006E0
1.354715000E-1,-4.369114380E0,5.721701660E0,6.601571960E0
1.454915000E-1,-4.338727570E0,5.675896912E0,6.617888031E0
1.555105000E-1,-4.284240875E0,5.584437103E0,6.618037720E0
1.655295000E-1,-4.258793793E0,5.533243561E0,6.580016785E0
1.755485000E-1,-4.242477722E0,5.550607452E0,6.519692230E0
1.855685000E-1,-4.227658539E0,5.554499359E0,6.457272034E0
1.955875000E-1,-4.217479706E0,5.534590759E0,6.406677246E0
2.056065000E-1,-4.215683441E0,5.560037842E0,6.409970398E0
2.156265000E-1,-4.193379822E0,5.569468231E0,6.441255341E0
2.256454999E-1,-4.176764374E0,5.577551422E0,6.488706665E0
2.356645000E-1,-4.192481689E0,5.643264771E0,6.518195343E0
2.456835000E-1,-4.153712311E0,5.673950958E0,6.599176941E0
2.557034999E-1,-4.096531219E0,5.627547455E0,6.658753052E0
2.657225000E-1,-4.094734955E0,5.608836365E0,6.701264648E0
2.757415000E-1,-4.083358612E0,5.641767883E0,6.746620331E0
2.857615000E-1,-4.095034332E0,5.656437378E0,6.796017609E0
2.957805000E-1,-4.078119507E0,5.610033875E0,6.854246521E0
3.057995000E-1,-4.081861725E0,5.570216675E0,6.896608429E0
3.158195000E-1,-4.104015656E0,5.553002472E0,6.934779053E0
3.258385000E-1,-4.102818146E0,5.480403442E0,6.956034851E0
3.358575000E-1,-4.066294098E0,5.410648499E0,6.949448547E0
3.458765000E-1,-4.085603943E0,5.414091339E0,6.924300842E0
3.558965000E-1,-4.100572815E0,5.475763092E0,6.852599945E0
3.659155000E-1,-4.096980286E0,5.478607178E0,6.829098816E0
3.759345000E-1,-4.108356628E0,5.492228851E0,6.800208893E0
3.859544999E-1,-4.095034332E0,5.539979553E0,6.833439789E0
3.959735000E-1,-4.057013397E0,5.551655273E0,6.871610413E0
4.059925000E-1,-4.029021606E0,5.521268463E0,6.927144928E0
4.160124999E-1,-3.982767792E0,5.466931458E0,6.947053528E0
4.260315000E-1,-3.933669891E0,5.438191223E0,6.976242828E0
4.360507500E-1,-3.924838257E0,5.404960327E0,7.005581818E0
4.460697499E-1,-3.928430786E0,5.381908264E0,6.982829132E0
4.560897500E-1,-3.897445221E0,5.481750641E0,7.123686218E0
4.661087500E-1,-4.290827179E0,5.330115967E0,6.612499237E0
4.761277499E-1,-3.902834015E0,5.357059937E0,7.069648590E0
4.861477500E-1,-3.910767517E0,5.384003906E0,6.904990997E0
4.961667500E-1,-3.997437286E0,5.426814880E0,6.796017609E0
5.061857500E-1,-3.950734406E0,5.432353363E0,6.978787537E0
5.162057500E-1,-4.052373047E0,5.421725464E0,6.954987030E0
5.262247500E-1,-4.071832581E0,5.433251495E0,7.000492401E0
5.362437500E-1,-4.076921997E0,5.421575775E0,7.049889679E0
5.462627500E-1,-4.089495850E0,5.421575775E0,7.068301392E0
5.562827500E-1,-4.039050751E0,5.394482117E0,7.032525787E0
5.663017500E-1,-3.942202148E0,5.359754333E0,7.001091156E0
5.763207500E-1,-3.881428528E0,5.315446472E0,6.970704346E0
5.863407500E-1,-3.859124908E0,5.295837250E0,6.961872711E0
5.963597500E-1,-3.887416077E0,5.283562775E0,6.965315552E0
6.063787499E-1,-3.946094055E0,5.304818573E0,6.964267731E0
6.163987500E-1,-3.986060944E0,5.335355072E0,6.955136719E0
6.264177500E-1,-3.980522461E0,5.345234528E0,6.972650299E0
6.364367499E-1,-3.965703278E0,5.353317719E0,6.984775085E0
6.464557500E-1,-3.977378998E0,5.315745850E0,6.987319794E0
6.564757500E-1,-4.027674408E0,5.257067871E0,6.997947693E0
6.664947500E-1,-4.026776276E0,5.167703705E0,7.023544464E0
6.765137500E-1,-3.968846741E0,5.058430939E0,7.107519836E0
6.865337500E-1,-3.929927673E0,4.979694672E0,7.254065094E0
6.965527500E-1,-3.902983704E0,4.966072998E0,7.267986145E0
7.065717500E-1,-3.887116699E0,4.931195526E0,7.397466888E0
7.165917500E-1,-3.978426819E0,4.860692139E0,7.519762573E0
7.266107500E-1,-4.105961609E0,4.865931244E0,7.637866974E0
7.366297500E-1,-4.296215973E0,4.896018677E0,7.878416748E0
7.466487500E-1,-4.378245392E0,4.974006500E0,7.625293121E0
7.566687500E-1,-4.339026947E0,4.860392761E0,7.816295929E0
7.666877499E-1,-4.159699860E0,4.663701782E0,7.762258301E0
7.767067500E-1,-3.753893738E0,4.523293762E0,7.531587982E0
7.867267500E-1,-2.926115112E0,4.384831696E0,7.512577515E0
7.967457499E-1,-3.772754517E0,4.086951141E0,7.569608917E0
8.067647500E-1,-3.414998474E0,4.001628571E0,7.837851105E0
8.167837500E-1,-2.665956116E0,4.018842773E0,7.970625000E0
8.268037500E-1,-2.586172028E0,4.112697601E0,8.230783997E0
8.368227500E-1,-2.398761749E0,4.020938416E0,8.708740082E0
8.468417500E-1,-2.127076721E0,3.923640747E0,8.673563232E0
8.568617500E-1,-1.788480835E0,3.924688568E0,8.415799255E0
8.668807500E-1,-1.567540283E0,3.967649231E0,8.521329803E0
8.768997500E-1,-1.500330048E0,3.927532654E0,8.701704712E0
8.869197500E-1,-1.611698456E0,3.801943817E0,8.786129150E0
8.969387500E-1,-1.540895691E0,3.585942993E0,8.887318726E0
9.069577500E-1,-4.737648010E-1,3.118764496E0,8.953181763E0
9.169767500E-1,-2.189496918E0,2.928959198E0,8.412057037E0
9.269967499E-1,-2.250719604E0,3.284619598E0,9.211245117E0
9.370157500E-1,-1.273551636E0,3.820056152E0,9.338330841E0
9.470347500E-1,-1.442550201E0,3.895050201E0,9.058113556E0
9.570547499E-1,-1.403182068E0,3.698808289E0,9.276509399E0
9.670737500E-1,-1.127006378E0,3.440445557E0,9.510023804E0
9.770927500E-1,-1.102158051E0,3.181184692E0,9.685009918E0
9.871127500E-1,-1.265318756E0,2.951861572E0,1.002091141E1
9.971317500E-1,-1.251248016E0,2.786305847E0,1.016955231E1
1.007150750E0,-9.500743103E-1,2.714155884E0,9.916578369E0
1.017169750E0,-7.794291687E-1,2.729274445E0,9.781259766E0
1.027189750E0,-8.280780029E-1,2.815046082E0,9.849966888E0
1.037208750E0,-1.148561554E0,2.994373169E0,9.567953339E0
1.047227750E0,-2.083367615E0,3.885170746E0,8.413853302E0
1.057247750E0,-1.255738678E0,3.545676727E0,1.091275681E1
1.067266750E0,-8.482859802E-1,3.049608307E0,1.158515854E1
1.077285750E0,-6.396199036E-1,3.115471344E0,9.792785797E0
1.087304750E0,-2.303709412E-1,2.509082336E0,1.015368530E1
1.097324750E0,-4.770579529E-1,1.821562042E0,1.065454376E1
1.107343750E0,-6.117778015E-1,1.317260742E0,1.026804749E1
1.117362750E0,-5.315446472E-1,9.785151672E-1,9.996811523E0
1.127382750E0,-4.974156189E-1,6.207591248E-1,1.010698242E1
1.137401750E0,-4.623884583E-1,2.451901245E-1,9.984537048E0
1.147420750E0,-4.258644104E-1,-2.365081787E-2,9.389674072E0
1.157440750E0,-5.304968262E-1,-2.180964661E-1,8.645272064E0
1.167459750E0,-1.500629425E0,-2.963836670E-1,8.501271515E0
1.177478750E0,-3.721560974E0,2.948867798E-2,8.536298676E0
1.187497750E0,-4.483775940E0,1.399589539E0,7.998018036E0
1.197517750E0,-3.303779755E0,2.141147461E0,8.384664001E0
1.207536750E0,-2.926713867E0,1.466949463E0,9.822274475E0
1.217555750E0,-8.367599487E-1,-1.145118713E-1,8.906927948E0
1.227575750E0,3.761976929E0,-1.614243164E0,8.816515961E0
1.237594750E0,3.812721405E0,-2.297123108E0,9.928852844E0
1.247613750E0,2.151326294E0,-2.163301392E0,9.606423340E0
1.257633750E0,1.779798889E-1,-1.504671021E0,9.499096527E0
1.267652750E0,-1.831441498E0,-6.280938721E-1,1.011087433E1
1.277671750E0,-2.621947632E0,3.885919189E-1,9.897567902E0
1.287690750E0,-2.556833038E0,1.147663422E0,9.278006287E0
1.297710750E0,-2.527044983E0,1.474583588E0,9.375154266E0
1.307729750E0,-2.581681366E0,1.441502380E0,9.535321198E0
1.317748750E0,-2.221679993E0,1.477277985E0,9.436676331E0
1.327768750E0,-1.972897339E0,1.772613831E0,9.545949097E0
1.337787750E0,-1.289718018E0,2.207758942E0,1.001103195E1
1.347806750E0,-1.049617310E0,1.864223328E0,9.982291718E0
1.357825750E0,-1.506616974E0,1.095571747E0,9.617350616E0
1.367845750E0,-1.714085541E0,6.863227844E-1,9.161548462E0
1.377864750E0,-1.903142395E0,1.251996460E0,8.462202759E0
1.387883750E0,-1.182391205E0,3.653452606E0,7.797734528E0
1.397903750E0,-1.399739227E0,3.393592987E0,7.029532013E0
1.407922750E0,-1.693129120E0,1.926942902E0,7.118896179E0
1.417941750E0,-8.833131409E-1,1.143023071E0,7.249424744E0
1.427960750E0,-1.091979218E0,6.527925110E-1,7.228618011E0
1.437983708E0,-1.867217102E0,-4.125421143E-1,8.433911591E0
