"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.398449996E-2,-1.176341102E-1,-1.157572865E-1,-6.958194077E-2
2.400449995E-2,-9.963779151E-2,-8.873685449E-2,-1.147038788E-1
3.402349999E-2,-7.662081718E-2,-7.160226256E-2,-1.343848407E-1
4.404249997E-2,-5.527052283E-2,-7.611978054E-2,-1.290065944E-1
5.406249996E-2,-4.054743052E-2,-1.016652584E-1,-1.090482697E-1
6.408149999E-2,-2.890196070E-2,-1.247234344E-1,-8.313597739E-2
7.410049997E-2,-2.080363408E-2,-1.480235904E-1,-5.973890051E-2
8.411949995E-2,-6.940550171E-3,-1.588496119E-1,-4.068531469E-2
9.413950000E-2,-2.469288185E-3,-1.540917158E-1,-3.148743138E-2
1.041585000E-1,-1.825070009E-3,-1.466644257E-1,-3.259078041E-2
1.141775000E-1,-1.263643056E-2,-1.340036988E-1,-5.015745759E-2
1.241974999E-1,-1.637976989E-2,-1.160417348E-1,-7.216688246E-2
1.342165000E-1,-1.130156312E-2,-1.074982360E-1,-1.039148197E-1
1.442355000E-1,-8.669295348E-3,-9.991488606E-2,-1.177027971E-1
1.542554999E-1,-9.896311909E-3,-9.669766575E-2,-1.156659573E-1
1.642745000E-1,-1.128621586E-2,-1.077287421E-1,-9.358648956E-2
1.742935000E-1,-1.421027817E-2,-1.385349035E-1,-6.794832647E-2
1.843124999E-1,-1.315220445E-2,-1.730867475E-1,-4.677166045E-2
1.943325000E-1,-2.390082739E-2,-2.040684670E-1,-3.494274989E-2
2.043515000E-1,-4.547030479E-2,-2.251218259E-1,-3.325244039E-2
2.143704999E-1,-7.665776461E-2,-2.387341708E-1,-4.112088308E-2
2.243905000E-1,-9.778115898E-2,-2.310709208E-1,-6.831894815E-2
2.344095000E-1,-1.029864028E-1,-2.244114578E-1,-9.747869521E-2
2.444285000E-1,-1.069649011E-1,-2.255395651E-1,-1.202745512E-1
2.544475000E-1,-1.164265946E-1,-2.318697721E-1,-1.372605860E-1
2.644675000E-1,-1.273636669E-1,-2.495720834E-1,-1.438047737E-1
2.744865000E-1,-1.345465034E-1,-2.653449774E-1,-1.415407360E-1
2.845055000E-1,-1.338202655E-1,-2.734265924E-1,-1.367917806E-1
2.945255000E-1,-1.204739064E-1,-2.617187500E-1,-1.290165782E-1
3.045445000E-1,-1.020698696E-1,-2.374592274E-1,-1.117308140E-1
3.145635000E-1,-8.116130531E-2,-2.102865130E-1,-9.067328274E-2
3.245835000E-1,-6.595066190E-2,-1.876381934E-1,-7.093446702E-2
3.346025000E-1,-5.812109262E-2,-1.639011502E-1,-5.143364519E-2
3.446214999E-1,-5.204349011E-2,-1.377488971E-1,-3.617692739E-2
3.546405000E-1,-4.415726289E-2,-1.272936463E-1,-3.354384378E-2
3.646605000E-1,-4.862365127E-2,-1.337177157E-1,-5.250768363E-2
3.746794999E-1,-6.593701988E-2,-1.451275200E-1,-8.099517226E-2
3.846985000E-1,-8.640474826E-2,-1.648929715E-1,-1.088851243E-1
3.947185000E-1,-1.012683436E-1,-1.758840829E-1,-1.317414492E-1
4.047374999E-1,-9.571485221E-2,-1.810112000E-1,-1.427379102E-1
4.147565000E-1,-8.796159178E-2,-1.751824319E-1,-1.404528469E-1
4.247765000E-1,-7.482528687E-2,-1.725235283E-1,-1.183049455E-1
4.347955000E-1,-5.850160494E-2,-1.570558697E-1,-9.662362933E-2
4.448147500E-1,-5.849521235E-2,-1.416034102E-1,-7.373775542E-2
4.548337500E-1,-8.545370400E-2,-8.490940183E-2,-1.007774770E-1
4.648537500E-1,-6.544724107E-2,-3.849316761E-2,-1.098918840E-1
