"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.808083293E-3,-4.820726439E-2,-3.568553329E-1,1.715498865E-1
1.482808334E-2,-1.962201744E-1,-3.215633929E-1,9.458347410E-2
2.484708332E-2,-2.358594835E-1,-3.348693252E-1,5.303257331E-2
3.486708330E-2,-1.966753304E-1,-3.577440381E-1,5.018219352E-2
4.488608328E-2,-1.593926996E-1,-3.988494277E-1,7.086137682E-2
5.490608333E-2,-1.396080852E-1,-4.535784423E-1,9.433394670E-2
6.492508331E-2,-1.286441386E-1,-5.290993452E-1,1.204946041E-1
7.494508330E-2,-1.312484443E-1,-6.445380449E-1,1.474572420E-1
8.496408333E-2,-1.765336692E-1,-7.598829269E-1,1.764945984E-1
9.498408332E-2,-2.699885070E-1,-8.235309124E-1,1.932293624E-1
1.050040833E-1,-3.776422441E-1,-7.957538962E-1,1.780392230E-1
1.150230833E-1,-4.726963341E-1,-7.454073429E-1,1.577161103E-1
1.250430833E-1,-5.313280225E-1,-6.862776875E-1,1.358848512E-1
1.350620833E-1,-4.953316152E-1,-6.675722003E-1,1.151244491E-1
1.450820833E-1,-3.119086921E-1,-6.277753711E-1,1.262985766E-1
1.551010833E-1,-1.034822464E-1,-5.661823153E-1,2.212586403E-1
1.651210833E-1,1.424068399E-2,-5.059130788E-1,3.981226385E-1
1.751400833E-1,6.159408391E-2,-4.212908745E-1,5.693942308E-1
1.851600833E-1,1.115937755E-1,-3.419279456E-1,6.734409332E-1
1.951790833E-1,2.031444609E-1,-3.517323732E-1,7.012624741E-1
2.051990833E-1,2.895938158E-1,-4.548962414E-1,6.481211185E-1
2.152190833E-1,3.078982532E-1,-6.048470736E-1,5.486195683E-1
2.252380833E-1,2.444330752E-1,-7.137100101E-1,4.357013404E-1
2.352580833E-1,1.625592411E-1,-7.295888662E-1,3.005656302E-1
2.452770833E-1,1.057591811E-1,-7.433317304E-1,1.729218215E-1
2.552970833E-1,1.048763469E-1,-8.106836081E-1,1.625978053E-1
2.653160833E-1,1.831882596E-1,-8.941584826E-1,2.850586176E-1
2.753360833E-1,3.862857223E-1,-9.295479059E-1,4.584439695E-1
2.853550833E-1,6.906181574E-1,-8.391529322E-1,6.337653995E-1
2.953750833E-1,9.881076217E-1,-6.741620898E-1,7.706971765E-1
3.053950833E-1,1.188343644E0,-4.698852301E-1,8.737290502E-1
3.154140833E-1,1.272765636E0,-2.581343651E-1,9.437568784E-1
3.254340833E-1,1.274712920E0,-1.294454038E-1,9.688408375E-1
3.354530833E-1,1.272444963E0,-1.323559731E-1,9.678804874E-1
3.454730833E-1,1.295534015E0,-2.394576073E-1,9.205724597E-1
3.554920833E-1,1.315829754E0,-4.236170948E-1,7.824007869E-1
3.655120833E-1,1.277684927E0,-6.194521785E-1,5.379596353E-1
3.755310833E-1,1.128904462E0,-6.916083694E-1,2.293077856E-1
