"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.295750001E-3,-1.672322388E0,6.434818726E0,6.131549377E0
1.296975000E-2,-1.763782196E0,7.694299622E0,6.159990234E0
2.261275000E-2,-1.303489380E0,8.096962280E0,6.515500946E0
3.228675000E-2,-1.176852722E0,7.768096161E0,6.634503479E0
4.196075000E-2,-1.280587006E0,7.359445953E0,6.872358856E0
5.163475000E-2,-1.186283112E0,6.871311035E0,7.255861359E0
6.130875000E-2,-1.164578247E0,6.461613007E0,7.507488098E0
7.098275000E-2,-1.237177277E0,6.246660004E0,7.787106628E0
8.065775000E-2,-1.313368835E0,6.121520233E0,7.928263092E0
9.030075000E-2,-1.229243774E0,6.075865173E0,7.908204803E0
9.997475000E-2,-1.035247192E0,6.030808868E0,7.721542969E0
1.096487500E-1,-9.309141541E-1,6.103707275E0,7.504045258E0
1.193227500E-1,-7.447013855E-1,5.970184937E0,7.756719818E0
1.289967500E-1,-5.942642212E-1,5.829178162E0,7.982300720E0
1.386707500E-1,-2.185455322E-1,5.894592133E0,8.178991699E0
1.483457500E-1,4.559518433E-1,5.786965942E0,8.425978088E0
1.579887500E-1,3.891906738E-1,5.944438477E0,8.514893188E0
1.676627500E-1,7.544311523E-2,6.187233582E0,8.444090424E0
1.773367500E-1,-1.930984497E-2,6.331084442E0,8.532107391E0
1.870107500E-1,-7.214996338E-2,6.026767273E0,8.945397949E0
1.966847500E-1,-2.727328491E-1,6.156397705E0,8.982071686E0
2.063587500E-1,-2.272274780E-1,6.293063507E0,8.819809113E0
2.160337500E-1,-2.207908630E-1,6.331084442E0,8.878337402E0
2.256767500E-1,-2.050735474E-1,6.197262726E0,8.959468689E0
2.353507500E-1,-8.981323242E-2,5.972579956E0,9.075028381E0
2.450247500E-1,-2.017803955E-1,6.046376495E0,9.128766632E0
2.546987500E-1,-1.646575928E-2,6.183641052E0,9.465117188E0
2.643727500E-1,4.550537109E-2,6.798412628E0,9.394314423E0
2.740467500E-1,1.454974365E-1,7.630532227E0,9.087153168E0
2.837217500E-1,3.170407104E-1,8.181087341E0,8.895701294E0
2.933957500E-1,5.504054260E-1,8.504714355E0,8.860225067E0
3.030387500E-1,5.162763977E-1,8.484805756E0,9.029972076E0
3.127127500E-1,2.148033142E-1,8.363857269E0,9.062604218E0
3.223867500E-1,1.144819336E0,8.902287598E0,8.974287872E0
3.320607500E-1,2.400558014E0,9.825118561E0,8.422235870E0
3.417347500E-1,2.715353394E0,1.017344421E1,7.786956940E0
3.514097500E-1,6.137237549E-1,8.894354095E0,6.787036285E0
3.610527500E-1,-6.722520447E-1,8.522826691E0,6.738088074E0
3.707267500E-1,-3.592529297E-3,8.926686859E0,7.221882019E0
3.804007500E-1,6.756948853E-1,9.423952789E0,7.619155884E0
3.900747500E-1,1.083446960E0,9.760902100E0,8.044421539E0
3.997487500E-1,1.544637909E0,1.025038422E1,8.537645874E0
4.094227500E-1,2.080523529E0,1.073178314E1,9.142388306E0
4.190667500E-1,2.657124481E0,1.089898544E1,9.549242249E0
4.287407500E-1,3.235970764E0,1.073941727E1,9.519304504E0
4.384147500E-1,3.915557556E0,1.046084656E1,9.356143799E0
4.480887500E-1,4.543352051E0,9.742939453E0,9.270970917E0
4.577627500E-1,4.909790039E0,9.093290405E0,9.179810486E0
4.674367500E-1,5.187911682E0,8.196654968E0,8.792116699E0
4.771107500E-1,5.337750092E0,7.376360779E0,8.370443573E0
4.867547500E-1,5.442232819E0,6.590345306E0,8.055049438E0
4.964287500E-1,5.567222900E0,5.976322174E0,7.996521149E0
5.061027500E-1,5.730832672E0,5.570965118E0,7.828271027E0
5.157767500E-1,6.109545135E0,5.385051727E0,7.547904053E0
5.254245000E-1,6.774612122E0,5.053341522E0,7.317084045E0
5.350985000E-1,7.495812378E0,4.508624268E0,6.941664734E0
5.447725000E-1,7.959398346E0,3.923341370E0,6.370302887E0
5.544465000E-1,8.344846802E0,3.422333221E0,5.969436493E0
5.641215000E-1,8.381969604E0,3.020119629E0,5.741759949E0
5.737955000E-1,8.487350464E0,2.513722687E0,5.326822815E0
5.834695000E-1,8.668174438E0,2.343825989E0,4.864134979E0
5.931435000E-1,8.697513428E0,2.217189331E0,4.472698975E0
6.028175000E-1,8.612190857E0,2.417023773E0,4.156855774E0
6.124915000E-1,8.568631439E0,2.329455872E0,4.094585266E0
6.221655000E-1,8.434061279E0,2.198627930E0,4.012855225E0
6.318095000E-1,8.190368042E0,2.010169830E0,3.820954285E0
6.414835000E-1,7.699389038E0,1.905687103E0,3.295097809E0
6.511575000E-1,7.124584351E0,2.048190765E0,2.126777344E0
6.608315000E-1,6.937772827E0,2.346221008E0,8.391549683E-1
6.705055000E-1,7.048991547E0,2.533032532E0,4.763095093E-1
6.801795000E-1,7.191644897E0,2.431393890E0,6.926097107E-1
6.898225000E-1,7.211553497E0,2.191293182E0,8.913963318E-1
6.994975000E-1,7.248526611E0,2.037862244E0,1.151854706E0
7.091715000E-1,7.435487823E0,1.991309052E0,1.411414948E0
7.188455000E-1,7.540120239E0,2.032473450E0,1.652713165E0
7.285195000E-1,7.636370087E0,2.009571075E0,1.772314453E0
7.381935000E-1,7.734416199E0,1.836231537E0,1.708846436E0
7.478675000E-1,7.531438293E0,1.908082123E0,1.704206085E0
7.575415000E-1,6.936275940E0,2.222428436E0,1.312770081E0
7.672155000E-1,6.419101410E0,2.808310089E0,5.146298218E-1
7.768895000E-1,6.108796692E0,3.176843719E0,8.607101440E-2
7.865635000E-1,6.135141907E0,2.847678223E0,-6.486012268E-1
7.962075000E-1,5.954018555E0,2.471660156E0,-1.158441010E0
8.058815000E-1,5.903124390E0,2.171534271E0,-1.082848206E0
8.155555000E-1,5.968837738E0,2.223326569E0,-6.143225098E-1
8.252295000E-1,6.261329498E0,2.362088013E0,3.427871704E-1
8.349035000E-1,6.547234955E0,2.364782410E0,1.101559296E0
8.445775000E-1,6.606661377E0,2.599344635E0,1.407822418E0
8.542515000E-1,6.557862854E0,2.917882233E0,1.446292419E0
8.639255000E-1,6.534960480E0,3.320993958E0,1.055006104E0
8.735995000E-1,6.477779388E0,3.608695679E0,4.649331665E-1
8.832735000E-1,6.454877014E0,3.903283081E0,-1.636097717E-1
8.929175000E-1,6.618636475E0,4.014052734E0,-6.348298645E-1
9.025915000E-1,6.869215393E0,3.998934174E0,-9.560618591E-1
9.122655000E-1,6.974147186E0,4.014352112E0,-1.127904510E0
9.219395000E-1,7.046446838E0,4.149221649E0,-1.125659180E0
9.315835000E-1,7.070546722E0,4.476441193E0,-1.021924896E0
9.412575000E-1,7.150031433E0,4.737648010E0,-1.007704468E0
9.509315000E-1,7.133116608E0,4.663552094E0,-9.000782776E-1
9.606055000E-1,6.708749084E0,4.410278778E0,-8.756790161E-1
9.702795000E-1,6.116131439E0,4.339476013E0,-1.111139374E0
9.799235000E-1,5.903124390E0,4.581073608E0,-1.313219147E0
9.895975000E-1,5.889802094E0,4.581672363E0,-1.214274902E0
9.992715000E-1,6.085744629E0,4.557572479E0,-1.257984009E0
1.008945500E0,6.512058105E0,4.599784698E0,-1.187330933E0
1.018619500E0,7.016958160E0,4.644841003E0,-9.702822876E-1
1.028262500E0,7.340136108E0,4.935386810E0,-6.644682312E-1
1.037936500E0,8.102500763E0,6.929989014E0,2.480042725E0
1.047611500E0,8.656798096E0,8.761430511E0,5.384752350E0
1.057285500E0,9.016051025E0,9.665999451E0,6.302344208E0
1.066959500E0,8.942853241E0,7.929161224E0,3.325334930E0
1.076602500E0,8.798253937E0,5.741011505E0,1.474733276E0
1.086276500E0,8.406219177E0,3.626358948E0,9.235794067E-1
1.095950500E0,8.326435089E0,2.931204529E0,-6.092330933E-2
1.105624500E0,8.357270966E0,2.284249878E0,-7.324269104E-1
1.115299500E0,8.843010864E0,1.857337646E0,-1.119372253E0
1.124942500E0,1.023077499E1,1.712438965E0,-5.643264771E-1
1.134616500E0,8.981023865E0,2.763553162E0,1.062789917E-1
1.144290500E0,9.368567963E0,3.177442474E0,5.123844910E-1
1.153964500E0,9.630523224E0,3.015778656E0,1.535656586E0
1.163608500E0,9.740544434E0,2.911744995E0,2.281256104E0
1.173282500E0,9.642198944E0,2.784359894E0,2.591111755E0
1.182956500E0,9.428443451E0,2.681673431E0,2.609373779E0
1.192630500E0,9.045539703E0,2.705024872E0,2.422562256E0
1.202304500E0,8.534352722E0,3.126847687E0,1.841770020E0
1.211948500E0,8.083490295E0,3.678450623E0,1.045575714E0
1.221622500E0,7.819439392E0,4.101321259E0,-5.837860107E-2
1.231296500E0,7.682025146E0,4.342619476E0,-9.991722107E-1
1.240970500E0,7.916437683E0,4.353696442E0,-1.749262390E0
1.250644500E0,8.064928894E0,4.450545044E0,-1.910776520E0
1.260318500E0,7.844587097E0,4.665348358E0,-1.607507172E0
1.269962500E0,7.564669189E0,4.757107544E0,-1.216071167E0
1.279636500E0,7.062912598E0,4.340823212E0,-1.347198486E0
1.289310500E0,7.786507874E0,4.204007721E0,-1.600172424E0
1.298984500E0,7.783065033E0,4.886737976E0,-1.739382935E0
1.308658500E0,7.857460327E0,4.999453583E0,-1.468596039E0
1.318332500E0,7.907755737E0,5.014572144E0,-1.082548828E0
1.327976500E0,7.673043823E0,5.072501678E0,-1.008752289E0
1.337650500E0,7.328011322E0,4.954696655E0,-8.976832581E-1
1.347324500E0,7.157665558E0,4.720583496E0,-4.818479919E-1
1.356998500E0,7.103777618E0,4.650080109E0,3.652404785E-2
1.366672500E0,7.112459564E0,4.436324615E0,6.258485413E-1
1.376346500E0,6.638694763E0,4.819078674E0,1.287173309E0
1.386020500E0,6.216572571E0,6.571783905E0,1.581760712E0
1.395664500E0,6.357130280E0,8.836274872E0,2.363884277E0
1.405338500E0,5.933361511E0,1.128473328E1,3.044219513E0
1.415012500E0,6.070626068E0,1.331032104E1,1.829345856E0
1.424686500E0,6.932084656E0,1.325463684E1,4.481680298E-1
1.434360500E0,7.291936340E0,1.284957916E1,-8.476872253E-1
1.444034500E0,7.758965149E0,1.136631363E1,-1.972448273E0
