"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.146826500E-2,-5.852355957E-1,1.281738281E-1,2.624511719E-1
5.394018900E-2,-5.916137695E-1,1.217803955E-1,2.645874023E-1
5.641211300E-2,-6.033325195E-1,5.360412598E-2,2.581939697E-1
5.888403600E-2,-5.958862305E-1,-9.872436523E-2,2.454071045E-1
6.135596000E-2,-5.841674805E-1,-1.956634521E-1,2.400817871E-1
6.382788400E-2,-5.809631348E-1,-2.244262695E-1,2.454071045E-1
6.629980800E-2,-5.820312500E-1,-2.308197021E-1,2.528686523E-1
6.877173200E-2,-5.894927979E-1,-2.350769043E-1,2.624511719E-1
7.121313800E-2,-6.022796631E-1,-2.382659912E-1,2.741699219E-1
7.368506200E-2,-6.171875000E-1,-2.361450195E-1,2.869567871E-1
7.615698600E-2,-6.289062500E-1,-2.382659912E-1,2.976074219E-1
7.862890900E-2,-6.416931152E-1,-2.382659912E-1,3.103942871E-1
8.107031600E-2,-6.544647217E-1,-2.350769043E-1,3.231658936E-1
8.354223900E-2,-6.704559326E-1,-2.340087891E-1,3.327636719E-1
8.598364600E-2,-6.811065674E-1,-2.297515869E-1,3.380889893E-1
8.845557000E-2,-6.928253174E-1,-2.286834717E-1,3.498077393E-1
9.092749300E-2,-7.066650391E-1,-2.297515869E-1,3.562011719E-1
9.339941700E-2,-7.151947021E-1,-2.276153564E-1,3.540649414E-1
9.584082300E-2,-7.162628174E-1,-2.191009521E-1,3.529968262E-1
9.831274700E-2,-7.247772217E-1,-2.073822021E-1,3.540649414E-1
1.007846710E-1,-7.301025391E-1,-1.903381348E-1,3.487396240E-1
1.032260770E-1,-7.301025391E-1,-1.647644043E-1,3.402099609E-1
1.056980010E-1,-7.279815674E-1,-1.392059326E-1,3.253021240E-1
1.081699250E-1,-7.620697021E-1,-1.669006348E-1,3.093261719E-1
1.106418490E-1,-7.823028564E-1,-2.020568848E-1,2.922821045E-1
1.130832550E-1,-7.769775391E-1,-2.116394043E-1,2.805633545E-1
1.155551790E-1,-7.599334717E-1,-2.105712891E-1,2.688446045E-1
1.179965850E-1,-7.354278564E-1,-1.988525391E-1,2.539367676E-1
1.204685090E-1,-7.119903564E-1,-1.775512695E-1,2.443389893E-1
1.229404330E-1,-6.928253174E-1,-1.573181152E-1,2.347564697E-1
1.253818390E-1,-6.779022217E-1,-1.381378174E-1,2.326202393E-1
1.278537630E-1,-6.704559326E-1,-1.242828369E-1,2.283630371E-1
1.303256870E-1,-6.661834717E-1,-1.051177979E-1,2.251739502E-1
1.327976110E-1,-6.576690674E-1,-8.914184570E-2,2.283630371E-1
1.352390170E-1,-6.523437500E-1,-6.996154785E-2,2.294311523E-1
1.377109410E-1,-6.491394043E-1,-5.078125000E-2,2.358245850E-1
1.401828640E-1,-6.480865479E-1,-3.480529785E-2,2.400817871E-1
1.426242710E-1,-6.448822021E-1,-1.136779785E-2,2.443389893E-1
1.450961950E-1,-6.448822021E-1,9.933471680E-3,2.475433350E-1
1.475681180E-1,-6.448822021E-1,3.123474121E-2,2.507324219E-1
1.500095250E-1,-6.395568848E-1,4.827880859E-2,2.539367676E-1
1.524814480E-1,-6.416931152E-1,6.320190430E-2,2.571258545E-1
1.549533720E-1,-6.363677979E-1,6.959533691E-2,2.624511719E-1
1.574252960E-1,-6.363677979E-1,7.492065430E-2,2.667083740E-1
1.598667020E-1,-6.374206543E-1,8.343505859E-2,2.677764893E-1
1.623386260E-1,-6.363677979E-1,8.557128906E-2,2.656402588E-1
1.648105500E-1,-6.374206543E-1,9.301757812E-2,2.635192871E-1
1.672519560E-1,-6.384887695E-1,9.622192383E-2,2.635192871E-1
1.697238800E-1,-6.395568848E-1,9.941101074E-2,2.624511719E-1
