"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.573881400E-2,-7.833502889E-1,4.288237095E0,7.910970688E0
3.816048000E-2,-7.785646915E-1,4.290630341E0,7.999505043E0
4.058178300E-2,-7.761718631E-1,4.312165737E0,8.083253860E0
4.300266800E-2,-7.761718631E-1,4.278666019E0,8.162217140E0
4.542391800E-2,-8.001000881E-1,4.304986954E0,8.245965958E0
4.784522000E-2,-7.953144312E-1,4.293023109E0,8.351549149E0
5.026688700E-2,-8.240283132E-1,4.293023109E0,8.406583786E0
5.268813700E-2,-8.431708813E-1,4.304986954E0,8.509475708E0
5.510902200E-2,-8.623134494E-1,4.302594185E0,8.605188370E0
5.753074100E-2,-8.742775917E-1,4.333701134E0,8.691329956E0
7.482772000E-2,-8.694919348E-1,4.388735771E0,8.930911064E0
7.730318900E-2,-8.814560175E-1,4.386343002E0,8.928518295E0
7.977824100E-2,-8.958129883E-1,4.376771927E0,8.911768913E0
8.225303300E-2,-8.886345029E-1,4.367200375E0,8.875576973E0
8.472756400E-2,-9.125627279E-1,4.381557465E0,8.842078209E0
8.720188700E-2,-9.293124676E-1,4.383950233E0,8.794221878E0
8.967594900E-2,-9.535398483E-1,4.415056705E0,8.739186287E0
9.214980300E-2,-9.535398483E-1,4.415056705E0,8.674580574E0
9.462350100E-2,-9.702895880E-1,4.424628258E0,8.617152214E0
9.709699100E-2,-9.678967595E-1,4.438984871E0,8.576474190E0
9.957032400E-2,-9.774680734E-1,4.472484589E0,8.502297401E0
1.020435010E-1,-9.918249846E-1,4.484448910E0,8.449654579E0
1.045165220E-1,-1.001396298E0,4.520340919E0,8.420941353E0
1.069893870E-1,-9.918249846E-1,4.568197727E0,8.406583786E0
1.094620430E-1,-9.942178130E-1,4.606482506E0,8.363512993E0
1.119345950E-1,-1.006181955E0,4.639982224E0,8.332107544E0
1.144070950E-1,-9.678967595E-1,4.702195644E0,8.332107544E0
1.168794910E-1,-9.583254457E-1,4.709373951E0,8.337192535E0
1.193517300E-1,-9.631111026E-1,4.733302116E0,8.301000595E0
1.218238660E-1,-9.487541914E-1,4.747659206E0,8.281858444E0
1.242959490E-1,-9.559326172E-1,4.783551693E0,8.279465675E0
1.267679280E-1,-9.197412133E-1,4.773980141E0,8.272287369E0
1.292398030E-1,-9.149555564E-1,4.769194603E0,8.236394882E0
1.317115740E-1,-8.958129883E-1,4.764409065E0,8.207680702E0
1.341832410E-1,-8.862416744E-1,4.723731041E0,8.212466240E0
1.366549080E-1,-9.245268703E-1,4.685445786E0,8.143074989E0
1.391264700E-1,-9.583254457E-1,4.671088696E0,8.085646629E0
1.415979280E-1,-1.070788145E0,4.572983265E0,8.033004761E0
1.440693870E-1,-1.377069473E0,4.362414837E0,7.875078201E0
1.465408450E-1,-1.434497118E0,4.319344044E0,7.735995770E0
1.490121990E-1,-1.209571838E0,4.470091820E0,7.683353424E0
1.514834490E-1,-1.022931695E0,4.630411148E0,7.654639721E0
1.539546990E-1,-8.551349640E-1,4.783551693E0,7.712067604E0
1.564259490E-1,-6.924230456E-1,4.877170563E0,7.728816986E0
1.588970950E-1,-5.440680385E-1,4.972883701E0,7.817650795E0
1.613681370E-1,-4.507479668E-1,4.999204636E0,7.899006844E0
1.638391780E-1,-3.765704632E-1,4.951348305E0,7.982755661E0
1.663102200E-1,-3.355933726E-1,4.896313190E0,8.083253860E0
1.687811580E-1,-2.805584669E-1,4.826921463E0,8.164609909E0
1.712519910E-1,-2.877369225E-1,4.745266438E0,8.224430084E0
1.737228240E-1,-2.781656384E-1,4.663910389E0,8.274680138E0
1.761713660E-1,-3.140579760E-1,4.608875751E0,8.301000595E0
1.785946470E-1,-3.164508045E-1,4.577768803E0,8.308178902E0
1.810155330E-1,-3.116651475E-1,4.527519703E0,8.310571671E0
1.834371990E-1,-3.308077157E-1,4.489234447E0,8.298607826E0
1.858588660E-1,-3.355933726E-1,4.503591537E0,8.315358162E0
1.882797510E-1,-3.260220885E-1,4.517948151E0,8.327322006E0
1.907006370E-1,-3.068794906E-1,4.513162613E0,8.346763611E0
