Time(s),X(rad/s),Y(rad/s),Z(rad/s)
0.178997998,-0.756251156,-0.507018149,-1.754404902
0.198988623,-0.756251156,-0.507018149,-1.754404902
0.219010498,-0.756251156,-0.507018149,-1.754404902
0.239001123,0.031764992,0.228463605,-0.085521132
0.258991748,0.063529983,0.252898216,-0.0842994
0.278982373,0.048869219,0.285884917,-0.078190751
0.29900581,0.020769417,0.296880513,-0.073303826
0.318996435,0.006108652,0.260228604,-0.064751714
0.33898706,0.028099801,0.166155338,-0.048869219
0.359008935,0.003665191,0.195476875,-0.035430186
0.37899956,0.006108652,0.217468023,-0.035430186
0.398991748,0.015882496,0.194255143,-0.042760566
0.418982373,0.021991149,0.163711891,-0.04642576
0.439004248,0.041538835,0.102625363,-0.037873644
0.458994873,0.035430186,0.095294975,-0.034208454
0.478985498,0.017104227,0.113620937,-0.040317107
0.499008935,0.02321288,0.112399206,-0.047647487
0.516356251,0.034208454,0.114842661,-0.052534409
0.533983935,0.047647487,0.106290549,-0.048869219
0.55400581,0.059864793,0.087964594,-0.02687807
0.573997998,0.04642576,0.087964594,-0.008552114
0.593988623,0.028099801,0.089186326,-0.008552114
0.614010498,0.013439035,0.090408057,-0.020769417
0.634001123,0.008552114,0.083077669,-0.029321531
0.653991748,0.021991149,0.064751714,-0.028099801
0.673982373,0.034208454,0.086742863,-0.030543262
0.69400581,0.037873644,0.10751228,-0.028099801
0.713996435,0.037873644,0.116064392,-0.019547688
0.73398706,0.012217305,0.118507855,-0.012217305
0.754008935,-0.002443461,0.096516706,-0.008552114
0.774001123,-0.00122173,0.070860371,0
0.793991748,-0.004886922,0.078190751,0.00122173
0.813982373,-0.008552114,0.091629788,-0.009773844
0.834004248,-0.012217305,0.090408057,-0.014660765
0.853994873,-0.010995574,0.062308256,-0.013439035
0.87398706,-0.012217305,0.042760566,0.004886922
0.894008935,-0.021991149,0.054977871,0.010995574
0.914001123,-0.041538835,0.072082095,0.008552114
0.933990185,-0.035430186,0.065973446,0.003665191
0.95398081,-0.02687807,0.073303826,-0.002443461
0.974004248,-0.006108652,0.0842994,-0.003665191
0.993994873,0.00122173,0.085521132,-0.012217305
1.013985498,0.012217305,0.074525557,-0.018325957
1.034007373,0.014660765,0.068416908,-0.020769417
1.053997998,-0.00122173,0.07696902,-0.024434609
1.073988623,-0.010995574,0.079412483,-0.015882496
1.09398081,-0.021991149,0.0842994,-0.003665191
1.114002685,-0.02321288,0.085521132,0.007330383
1.13399331,-0.029321531,0.0842994,0.013439035
1.153983935,-0.034208454,0.080634214,0.009773844
1.17400581,-0.047647487,0.098960169,0.007330383
1.193997998,-0.067195177,0.111177474,-0.002443461
1.213988623,-0.072082095,0.122173049,-0.019547688
1.234010498,-0.07696902,0.112399206,-0.02687807
1.254001123,-0.086742863,0.103847086,-0.028099801
1.27399331,-0.080634214,0.058643062,-0.015882496
1.293983935,-0.086742863,0.036651913,0.003665191
1.31400581,-0.095294975,0.017104227,0.008552114
1.333996435,-0.10751228,-0.017104227,0.009773844
1.35398706,-0.119729586,-0.042760566,-0.004886922
1.374008935,-0.127059966,-0.062308256,-0.031764992
1.394001123,-0.097738437,-0.096516706,-0.039095376
1.414015185,-0.056199603,-0.142942458,-0.021991149
1.433982373,-0.047647487,-0.149051115,0.010995574
1.454004248,-0.094073243,-0.109955743,0.021991149
1.473996435,-0.12339478,-0.098960169,0.004886922
1.49398706,-0.146607652,-0.136833817,-0.018325957
1.514008935,-0.17715092,-0.141720742,-0.035430186
1.53399956,-0.180816114,-0.150272846,-0.021991149
1.553990185,-0.156381503,-0.136833817,0.007330383
1.57398081,-0.106290549,-0.152716309,0.037873644
1.594004248,-0.098960169,-0.147829384,0.047647487
1.613994873,-0.138055548,-0.169820532,0.020769417
1.633985498,-0.195476875,-0.238237441,-0.021991149
1.654007373,-0.229685322,-0.249233022,-0.021991149
1.673997998,-0.235793978,-0.202807263,-0.025656341
1.693988623,-0.25167647,-0.166155338,-0.039095376
1.71398081,-0.272445887,-0.230907053,-0.061086524
1.734002685,-0.254119933,-0.353080094,-0.079412483
1.75399331,-0.182037845,-0.443488151,-0.105068818
1.773983935,-0.139277279,-0.511905074,-0.114842661
1.794007373,-0.087964594,-0.529009283,-0.124616511
1.813997998,-0.039095376,-0.551000416,-0.116064392
1.833988623,-0.017104227,-0.531452775,-0.116064392
1.854010498,0.014660765,-0.465479314,-0.131946892
1.874001123,0.094073243,-0.370184332,-0.164933607
1.89399331,0.2003638,-0.250454754,-0.195476875
1.913985498,0.313984722,-0.161268428,-0.197920337
1.93400581,0.353080094,-0.136833817,-0.180816114
