"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.203924000E-3,2.315179259E-1,1.227839142E-1,-8.429940045E-2
8.187567000E-3,2.315179259E-1,1.227839142E-1,-8.429940045E-2
1.020172700E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
1.221588700E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
1.416901200E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
1.618317200E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
1.816681500E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
2.018097500E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
2.216461800E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
2.420929500E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
2.616242000E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
2.817658100E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
3.016022300E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
3.217438300E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
3.418854300E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
3.614166800E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
3.815582900E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
4.013947100E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
4.215363100E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
4.416779200E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
4.618195200E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
4.816559400E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
5.014923700E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
5.216339700E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
5.414704000E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
5.613068200E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
5.814484200E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
6.012848500E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
6.214264500E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
6.415680500E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
6.614044800E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
6.812409000E-2,2.315179259E-1,1.227839142E-1,-8.429940045E-2
7.013825100E-2,-5.955936313E-1,-6.267477274E-1,7.867944241E-1
7.215241100E-2,-5.870414972E-1,-6.389650702E-1,7.984008789E-1
7.410553600E-2,-5.748242140E-1,-6.560692787E-1,7.947356701E-1
7.611969600E-2,-5.687155724E-1,-6.670648456E-1,7.898487449E-1
7.810333800E-2,-5.552765131E-1,-6.823364496E-1,8.081747293E-1
8.008698100E-2,-5.406157374E-1,-6.994407177E-1,8.252789378E-1
