"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.280513000E-3,-3.869029999E0,6.153098345E-1,8.916007042E0
7.264156000E-3,-3.873818398E0,6.129156351E-1,8.954314232E0
9.247798000E-3,-3.852270603E0,6.153098345E-1,8.987833023E0
1.126195800E-2,-3.837905407E0,5.961562395E-1,9.026140213E0
1.324560100E-2,-3.804386616E0,5.865794420E-1,9.062053680E0
1.522924300E-2,-3.794809580E0,5.746083856E-1,9.076418877E0
1.721288600E-2,-3.775655985E0,5.434837937E-1,9.062053680E0
1.919652900E-2,-3.751713991E0,5.386953950E-1,9.042900085E0
2.121068900E-2,-3.730166197E0,5.243301988E-1,9.035717010E0
2.322484900E-2,-3.715801001E0,5.051765442E-1,9.016563416E0
2.520849200E-2,-3.718195200E0,4.955997467E-1,8.995016098E0
2.722265200E-2,-3.708618402E0,4.955997467E-1,8.978256226E0
2.923681200E-2,-3.730166197E0,4.764461517E-1,8.978256226E0
3.122045400E-2,-3.732560396E0,4.548983276E-1,8.985439301E0
3.320409700E-2,-3.706224203E0,4.453215301E-1,9.002198219E0
3.521825700E-2,-3.655946016E0,4.213795066E-1,8.973467827E0
3.720190000E-2,-3.629609823E0,4.070142806E-1,8.961497307E0
3.921606000E-2,-3.574543238E0,4.165911078E-1,8.959102631E0
4.123022000E-2,-3.524264812E0,3.926490843E-1,8.990227699E0
4.321386300E-2,-3.500322819E0,3.830722570E-1,8.937555313E0
4.522802300E-2,-3.450044632E0,3.806780577E-1,8.858546257E0
4.721166500E-2,-3.433285236E0,3.854664862E-1,8.810662270E0
4.919530800E-2,-3.411737442E0,3.878606856E-1,8.779537201E0
5.117895100E-2,-3.361459255E0,3.950432837E-1,8.738836288E0
5.319311100E-2,-3.303998232E0,4.261679053E-1,8.736441612E0
5.517675300E-2,-3.258508444E0,4.381389022E-1,8.731653214E0
5.719091300E-2,-3.222595453E0,4.548983276E-1,8.705317497E0
5.917455600E-2,-3.258508444E0,4.525041282E-1,8.664615631E0
6.115819900E-2,-3.296815634E0,4.548983276E-1,8.638279915E0
6.317235900E-2,-3.409343243E0,4.453215301E-1,8.585607529E0
6.515600100E-2,-3.454833031E0,4.453215301E-1,8.549694061E0
6.717016100E-2,-3.519476414E0,4.477157295E-1,8.501810074E0
6.915380400E-2,-3.591302633E0,4.357447028E-1,8.465897560E0
