"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.294673000E-3,4.825835302E-2,2.348776817E0,-9.395107627E-1
9.308833000E-3,4.825835302E-2,2.348776817E0,-9.395107627E-1
1.129247600E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
1.327611800E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
1.529027900E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
1.724340400E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
1.925756400E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
2.124120600E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
2.325536700E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
2.526952700E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
2.728368700E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
2.926732900E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
3.125097200E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
3.326513200E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
3.524877500E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
3.726293500E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
3.924657700E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
4.126073800E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
4.327489800E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
4.528905800E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
4.724218300E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
4.922582600E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
5.123998600E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
5.322362800E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
5.523778800E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
5.722143100E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
5.920507400E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
6.121923400E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
6.320287600E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
6.521703600E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
6.720067900E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
6.921483900E-2,4.825835302E-2,2.348776817E0,-9.395107627E-1
7.119848200E-2,-1.649336144E-2,1.258382350E-1,-1.325577646E-1
7.324315900E-2,-1.954768784E-2,1.496619880E-1,-1.435533315E-1
7.522680200E-2,-3.115412779E-2,1.679879427E-1,-1.350012124E-1
7.721044500E-2,-3.481931984E-2,1.734857261E-1,-1.197295859E-1
7.922460500E-2,-4.459316283E-2,1.985312104E-1,-1.142318025E-1
8.123876500E-2,-5.436700583E-2,2.235766798E-1,-1.221730486E-1
8.319189000E-2,-5.864306539E-2,2.370157093E-1,-1.160643995E-1
8.520605000E-2,-7.086037099E-2,2.541199327E-1,-9.590584040E-2
8.722021000E-2,-8.185594529E-2,2.809980214E-1,-9.590584040E-2
8.923437000E-2,-8.735372871E-2,2.883284092E-1,-9.896016866E-2
9.121801300E-2,-9.651670605E-2,3.066543639E-1,-8.918632567E-2
9.323217300E-2,-1.075122803E-1,3.310889602E-1,-8.002334833E-2
9.521581600E-2,-1.130100712E-1,3.390302062E-1,-8.429940045E-2
9.719945800E-2,-1.240056455E-1,3.518583775E-1,-8.552113175E-2
9.921361800E-2,-1.313360333E-1,3.628539443E-1,-7.941248268E-2
1.011972610E-1,-1.350012124E-1,3.701843321E-1,-7.452555746E-2
1.031809040E-1,-1.417207420E-1,3.781255782E-1,-7.635815442E-2
1.052255810E-1,-1.478293836E-1,3.848451078E-1,-8.002334833E-2
1.071787060E-1,-1.478293836E-1,3.854559660E-1,-7.696902007E-2
1.091928670E-1,-1.502728462E-1,3.921754956E-1,-7.574728876E-2
1.111765090E-1,-1.508837193E-1,3.921754956E-1,-8.002334833E-2
1.131601520E-1,-1.527163088E-1,3.946189582E-1,-8.429940045E-2
1.151437940E-1,-1.521054506E-1,3.866777122E-1,-8.857546002E-2
1.171579540E-1,-1.508837193E-1,3.885102868E-1,-8.613199741E-2
1.191721150E-1,-1.478293836E-1,3.793473244E-1,-1.001819000E-1
1.211557570E-1,-1.453859210E-1,3.744603992E-1,-1.117883399E-1
1.231699170E-1,-1.392772794E-1,3.689626157E-1,-1.148426682E-1
1.251840770E-1,-1.368338168E-1,3.567453027E-1,-1.209513173E-1
1.271372020E-1,-1.105666086E-1,3.170390725E-1,-1.197295859E-1
1.291513630E-1,-8.307767659E-2,2.773328125E-1,-1.117883399E-1
1.311044880E-1,1.649336144E-2,1.032362282E-1,-7.757988572E-2
1.331186480E-1,1.392772794E-1,-1.551597714E-1,-6.536258012E-2
1.351022900E-1,1.899790913E-1,-2.241875380E-1,-7.819075137E-2
1.370859330E-1,2.333505303E-1,-1.453859210E-1,-1.075122803E-1
1.391000930E-1,2.266310006E-1,-6.108652428E-2,-1.087340117E-1
1.410532180E-1,1.881465018E-1,6.047565863E-2,-8.552113175E-2
1.430673780E-1,1.618792862E-1,9.529497474E-2,-7.513642311E-2
1.450815380E-1,1.569923609E-1,1.044579595E-1,-7.819075137E-2
1.470651810E-1,1.466076523E-1,1.185078546E-1,-8.857546002E-2
1.490488240E-1,1.215621829E-1,1.594358236E-1,-1.087340117E-1
1.510324660E-1,1.056796908E-1,1.942551434E-1,-1.191187203E-1
1.530466260E-1,8.185594529E-2,2.712241709E-1,-1.276708394E-1
