"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.104069500E-2,-8.348763734E-2,3.422060981E-2,9.853405878E-3
6.357481000E-2,4.434032366E-2,-3.701684624E-2,5.246272683E-2
6.606423700E-2,8.362079412E-2,-6.151720881E-2,6.524552405E-2
6.855371600E-2,6.351451576E-2,-6.471290439E-2,5.139749497E-2
7.104314300E-2,6.457975507E-2,-7.003907114E-2,4.713656008E-2
7.353257000E-2,6.031882018E-2,-7.323476672E-2,4.394086078E-2
7.602199800E-2,5.605788901E-2,-7.749570161E-2,4.181039706E-2
7.851142500E-2,4.753602296E-2,-8.069140464E-2,3.754946589E-2
8.100085200E-2,3.475322574E-2,-8.601756394E-2,3.754946589E-2
8.349027900E-2,1.877473295E-2,-8.814803511E-2,3.861469775E-2
8.597970600E-2,-1.464695437E-3,-8.921326697E-2,4.287562892E-2
8.846913300E-2,-1.957365684E-2,-9.240896255E-2,4.926702753E-2
9.095861200E-2,-3.235645220E-2,-8.814803511E-2,5.246272683E-2
9.348455000E-2,-4.513924941E-2,-8.708280325E-2,5.565842614E-2
9.597397700E-2,-5.685681105E-2,-8.495233208E-2,6.098458916E-2
9.846340400E-2,-6.857437640E-2,-8.175663650E-2,6.737598777E-2
1.009528310E-1,-7.709623873E-2,-7.643046975E-2,7.696308941E-2
1.034423100E-1,-8.561810106E-2,-7.323476672E-2,8.441971987E-2
1.059317370E-1,-9.413997084E-2,-6.684337556E-2,8.974587917E-2
1.084211640E-1,-1.005313694E-1,-6.258244067E-2,9.826774895E-2
1.109105910E-1,-1.037270650E-1,-6.364767253E-2,1.003982127E-1
1.134000180E-1,-1.069227681E-1,-6.364767253E-2,1.046591476E-1
1.158894450E-1,-1.111836955E-1,-6.151720881E-2,1.121157780E-1
1.183788730E-1,-1.186403260E-1,-6.045197323E-2,1.163767055E-1
1.208683000E-1,-1.239664927E-1,-6.364767253E-2,1.227681041E-1
1.233580910E-1,-1.314231306E-1,-6.151720881E-2,1.280942708E-1
1.258475180E-1,-1.399449855E-1,-5.619104207E-2,1.323551983E-1
1.283369450E-1,-1.474016160E-1,-5.619104207E-2,1.376813650E-1
1.308263730E-1,-1.537930220E-1,-5.512581021E-2,1.430075318E-1
1.333158520E-1,-1.569887102E-1,-5.725627393E-2,1.515294015E-1
1.358052790E-1,-1.633801162E-1,-6.684337556E-2,1.568555683E-1
1.382947060E-1,-1.644453406E-1,-7.216953486E-2,1.653774232E-1
1.407841330E-1,-1.623148769E-1,-8.069140464E-2,1.749645174E-1
1.432735600E-1,-1.623148769E-1,-9.347419441E-2,1.813559234E-1
1.457629870E-1,-1.569887102E-1,-1.019960642E-1,1.898777932E-1
1.482524140E-1,-1.644453406E-1,-8.601756394E-2,2.143781483E-1
1.507418410E-1,-1.740324497E-1,-7.749570161E-2,2.484655976E-1
1.532315810E-1,-1.804238409E-1,-9.240896255E-2,2.729659677E-1
1.557210080E-1,-1.782933772E-1,-1.158440933E-1,2.921401560E-1
1.582104350E-1,-1.740324497E-1,-1.382139921E-1,2.985315621E-1
1.606998620E-1,-1.665758193E-1,-1.637795717E-1,2.995967865E-1
1.631893410E-1,-1.569887102E-1,-1.882799417E-1,3.027924895E-1
1.656787680E-1,-1.516625583E-1,-2.117150575E-1,3.038577139E-1
1.681681950E-1,-1.484668553E-1,-2.308892608E-1,3.091838956E-1
1.706576230E-1,-1.410102248E-1,-2.394111156E-1,3.134448230E-1
1.731470500E-1,-1.388797611E-1,-2.426068187E-1,3.219666779E-1
1.756364770E-1,-1.378145218E-1,-2.468677461E-1,3.347494900E-1
1.781259040E-1,-1.388797611E-1,-2.500634491E-1,3.390104175E-1
1.806153310E-1,-1.346188188E-1,-2.479329854E-1,3.432713449E-1
1.831051230E-1,-1.324883550E-1,-2.479329854E-1,3.400756419E-1
1.855945500E-1,-1.271621883E-1,-2.458025217E-1,3.283580840E-1
1.880839770E-1,-1.229012609E-1,-2.468677461E-1,3.145100474E-1
1.905734040E-1,-1.197055578E-1,-2.458025217E-1,3.006620109E-1
1.930628830E-1,-1.133141592E-1,-2.426068187E-1,2.868140042E-1
1.955523100E-1,-1.111836955E-1,-2.394111156E-1,2.740311921E-1
1.980417370E-1,-1.090532318E-1,-2.362154275E-1,2.665745616E-1
2.005311640E-1,-1.058575287E-1,-2.362154275E-1,2.633788586E-1
2.030205910E-1,-1.015966013E-1,-2.330197245E-1,2.633788586E-1
2.055100180E-1,-9.200949967E-2,-2.330197245E-1,2.708354890E-1
2.079994450E-1,-8.348763734E-2,-2.383458912E-1,2.772268951E-1
2.104888730E-1,-6.857437640E-2,-2.372806519E-1,2.889444530E-1
2.129786640E-1,-5.579157919E-2,-2.383458912E-1,2.995967865E-1
2.154680910E-1,-4.300878197E-2,-2.394111156E-1,3.123795986E-1
2.179575180E-1,-2.809552103E-2,-2.415415943E-1,3.251623809E-1
2.204469450E-1,-1.105179265E-2,-2.426068187E-1,3.379451632E-1
2.229364250E-1,8.122402243E-3,-2.404763550E-1,3.539236784E-1
2.254258520E-1,2.410089783E-2,-2.394111156E-1,3.677717149E-1
2.279152790E-1,4.007939249E-2,-2.404763550E-1,3.816197217E-1
2.304047060E-1,4.966649041E-2,-2.330197245E-1,3.944025338E-1
2.328941330E-1,5.818835273E-2,-2.213021666E-1,4.018591642E-1
2.353835600E-1,6.351451576E-2,-2.085193694E-1,4.071853161E-1
2.378729870E-1,6.777545065E-2,-1.914756298E-1,4.125114977E-1
2.403624140E-1,6.777545065E-2,-1.733666807E-1,4.167724252E-1
2.428521540E-1,6.457975507E-2,-1.509967744E-1,4.210333526E-1
2.453415810E-1,5.392742157E-2,-1.286268830E-1,4.210333526E-1
2.478310080E-1,4.220985994E-2,-1.041265279E-1,4.272916019E-1
2.503204350E-1,2.729659714E-2,-8.175663650E-2,4.347482324E-1
2.528099140E-1,1.025286783E-2,-5.832150951E-2,4.464657903E-1
2.552993410E-1,-1.211702544E-2,-4.021254554E-2,4.581833482E-1
2.577887680E-1,-3.342168778E-2,-1.797580719E-2,4.677704573E-1
2.602781950E-1,-5.579157919E-2,2.263620263E-3,4.816184938E-1
2.627676230E-1,-7.496577501E-2,1.717688330E-2,4.933360517E-1
2.652570500E-1,-9.627043456E-2,2.676397935E-2,5.050535798E-1
2.677464770E-1,-1.197055578E-1,3.528584540E-2,5.146406889E-1
2.702359040E-1,-1.388797611E-1,3.528584540E-2,5.210320950E-1
2.727256950E-1,-1.591191888E-1,3.102491237E-2,5.252930522E-1
2.752151230E-1,-1.782933772E-1,2.676397935E-2,5.284887552E-1
2.777045500E-1,-1.953371018E-1,2.037258074E-2,5.274235010E-1
2.801939770E-1,-2.155765295E-1,7.589785382E-3,5.210320950E-1
2.826834560E-1,-2.368811965E-1,-5.193010904E-3,5.146406889E-1
2.851728830E-1,-2.539249361E-1,-1.797580719E-2,5.061188340E-1
2.876623100E-1,-2.784252763E-1,-3.062544949E-2,4.912055731E-1
2.901517370E-1,-2.986647189E-1,-4.021254554E-2,4.784227908E-1
2.926411640E-1,-3.199693561E-1,-4.234301299E-2,4.581833482E-1
2.951305910E-1,-3.402087986E-1,-3.808208182E-2,4.294220507E-1
2.976200180E-1,-3.583177626E-1,-3.595161438E-2,4.093157947E-1
3.001094450E-1,-3.764267266E-1,-3.062544949E-2,3.954677582E-1
3.025992370E-1,-3.934704363E-1,-2.010627277E-2,3.880111277E-1
3.050886640E-1,-4.115794003E-1,-6.258244161E-3,3.826849759E-1
3.075780910E-1,-4.286231399E-1,5.459319334E-3,3.965329826E-1
3.100675180E-1,-4.456668794E-1,1.824211515E-2,4.220985770E-1
3.125569980E-1,-4.584496617E-1,2.569874749E-2,4.422048628E-1
3.150464250E-1,-4.744281471E-1,4.274247587E-2,4.592485726E-1
3.175358520E-1,-4.850804806E-1,7.043853402E-2,4.709661603E-1
3.200252790E-1,-4.978632927E-1,9.067796171E-2,4.848141670E-1
3.225147060E-1,-5.042546988E-1,1.045259908E-1,4.944012761E-1
3.250041330E-1,-5.106461048E-1,1.151783243E-1,4.954665005E-1
3.274935600E-1,-5.117112994E-1,1.268958896E-1,4.890751243E-1
3.299829870E-1,-5.127765536E-1,1.386134475E-1,4.773575366E-1
3.324727790E-1,-5.149070024E-1,1.460700780E-1,4.656399786E-1
3.349622060E-1,-5.138418078E-1,1.631138027E-1,4.603138268E-1
3.374516330E-1,-5.085155964E-1,1.854836941E-1,4.539224207E-1
3.399410600E-1,-5.074504018E-1,2.110492885E-1,4.464657903E-1
3.424305390E-1,-5.021241903E-1,2.483324558E-1,4.368786812E-1
3.449199660E-1,-4.957328141E-1,2.952027023E-1,4.220985770E-1
3.474093930E-1,-4.914718866E-1,3.442034125E-1,4.050548673E-1
3.498988200E-1,-4.882761836E-1,4.017260075E-1,3.794892728E-1
3.523882480E-1,-4.818847775E-1,4.592485726E-1,3.560541272E-1
3.548776750E-1,-4.818847775E-1,5.199668407E-1,3.422061205E-1
3.573671020E-1,-4.840152562E-1,5.774894357E-1,3.358147144E-1
3.598565290E-1,-4.850804806E-1,6.380745769E-1,3.358147144E-1
3.623462680E-1,-4.904066622E-1,6.998580694E-1,3.304885328E-1
3.648356950E-1,-4.936023653E-1,7.627068162E-1,3.230319023E-1
3.673251230E-1,-4.978632927E-1,8.191642165E-1,3.123795986E-1
3.698145500E-1,-5.042546988E-1,8.639039993E-1,3.081186414E-1
3.723040290E-1,-5.095808506E-1,9.075785279E-1,3.091838956E-1
3.747934560E-1,-5.170374513E-1,9.533835649E-1,3.091838956E-1
3.772828830E-1,-5.255593657E-1,9.970580935E-1,3.049229383E-1
3.797723100E-1,-5.392742157E-1,1.048189282E0,2.953358591E-1
3.822617370E-1,-5.563179255E-1,1.102516174E0,2.825530469E-1
3.847511640E-1,-5.754921436E-1,1.163234472E0,2.537917793E-1
3.872405910E-1,-6.021229625E-1,1.228080511E0,2.303566486E-1
3.897300180E-1,-6.308842301E-1,1.290929317E0,2.165086120E-1
3.922198100E-1,-6.649717093E-1,1.352712750E0,2.133129090E-1
3.947092370E-1,-7.011896372E-1,1.419822454E0,2.154433727E-1
3.971986640E-1,-7.342118621E-1,1.484801650E0,2.229000032E-1
3.996880910E-1,-7.736254930E-1,1.550846100E0,2.356828004E-1
4.021775700E-1,-8.066477180E-1,1.613694906E0,2.527265251E-1
4.046669980E-1,-8.375394940E-1,1.659499884E0,2.655093372E-1
4.071564250E-1,-8.716269135E-1,1.690391660E0,2.782921195E-1
4.096458520E-1,-9.067795873E-1,1.708500624E0,2.900096774E-1
4.121352790E-1,-9.451280236E-1,1.713826776E0,2.995967865E-1
4.146247060E-1,-9.888025522E-1,1.721283436E0,3.038577139E-1
4.171141330E-1,-1.030346632E0,1.721283436E0,3.091838956E-1
4.196035600E-1,-1.075086474E0,1.725544333E0,3.070534170E-1
4.220933520E-1,-1.116630554E0,1.728740096E0,3.070534170E-1
4.245827790E-1,-1.163367629E0,1.730870485E0,3.070534170E-1
4.270722060E-1,-1.211303115E0,1.722348690E0,3.049229383E-1
4.295616330E-1,-1.257108092E0,1.699978709E0,3.017272651E-1
4.320511120E-1,-1.303978324E0,1.672282696E0,2.910749316E-1
4.345405390E-1,-1.352979064E0,1.643521428E0,2.793573737E-1
4.370299660E-1,-1.406240702E0,1.614760160E0,2.591179311E-1
4.395193930E-1,-1.460567594E0,1.583868384E0,2.282261699E-1
4.420088200E-1,-1.513829231E0,1.552976608E0,1.952039450E-1
4.444982480E-1,-1.572417140E0,1.528476238E0,1.504641622E-1
4.469876750E-1,-1.629939675E0,1.514628172E0,9.933298081E-2
4.494771020E-1,-1.689592719E0,1.512497783E0,4.500609636E-2
4.519668410E-1,-1.748180509E0,1.525280595E0,-1.677742042E-2
4.544562680E-1,-1.803439498E0,1.544454694E0,-7.856093347E-2
4.569456950E-1,-1.854570746E0,1.571085572E0,-1.414096802E-1
4.594351230E-1,-1.900375724E0,1.606238246E0,-2.030600458E-1
4.619246020E-1,-1.941919804E0,1.642456174E0,-2.627131045E-1
4.644140290E-1,-1.980268240E0,1.677608848E0,-3.202356696E-1
4.669034560E-1,-2.013290405E0,1.717022538E0,-3.852148950E-1
4.693928830E-1,-2.037790775E0,1.767088413E0,-4.469984174E-1
4.718823100E-1,-2.055899620E0,1.815955997E0,-5.119776130E-1
4.743717370E-1,-2.070812941E0,1.866021991E0,-5.812177658E-1
4.768611640E-1,-2.076139212E0,1.911826968E0,-6.472622156E-1
4.793505910E-1,-2.077204466E0,1.956566811E0,-7.186328173E-1
4.818403830E-1,-2.075073957E0,1.987458467E0,-8.015878797E-1
4.843298100E-1,-2.069747686E0,2.019415617E0,-9.006544948E-1
4.868192370E-1,-2.066552162E0,2.057763815E0,-1.012503982E0
4.893086640E-1,-2.069747686E0,2.101438522E0,-1.097722650E0
4.917981430E-1,-2.078269720E0,2.155765295E0,-1.156310439E0
4.942875700E-1,-2.095313311E0,2.212222576E0,-1.195724010E0
4.967769980E-1,-2.115552902E0,2.277201891E0,-1.209572077E0
4.992664250E-1,-2.140053034E0,2.341115952E0,-1.197854519E0
5.017558520E-1,-2.168814421E0,2.392246962E0,-1.166962743E0
5.042452790E-1,-2.206097603E0,2.427266598E0,-1.126483917E0
5.067347060E-1,-2.243380785E0,2.440049410E0,-1.077483177E0
5.092241330E-1,-2.279598713E0,2.444310427E0,-1.029547691E0
5.117139250E-1,-2.272141933E0,2.557224989E0,-9.986559749E-1
5.142033520E-1,-2.238054514E0,2.692509651E0,-9.943950176E-1
5.166927790E-1,-2.238054514E0,2.655226469E0,-1.005047321E0
5.191822060E-1,-2.242315531E0,2.620073795E0,-1.015699744E0
5.216716850E-1,-2.245511293E0,2.627530336E0,-1.021025896E0
5.241611120E-1,-2.248706818E0,2.610486746E0,-1.015699744E0
5.266505390E-1,-2.249772072E0,2.562551260E0,-1.005047321E0
5.291399660E-1,-2.254033089E0,2.522072315E0,-9.954602718E-1
5.316293930E-1,-2.251902580E0,2.496506691E0,-9.848079085E-1
5.341188200E-1,-2.242315531E0,2.474136829E0,-9.794817567E-1
5.366082480E-1,-2.235924006E0,2.456027985E0,-9.826774597E-1
5.390976750E-1,-2.227402210E0,2.446440697E0,-9.954602718E-1
5.415873620E-1,-2.211423874E0,2.427266598E0,-1.011438727E0
5.440768930E-1,-2.186923504E0,2.403964520E0,-1.045526266E0
5.465664250E-1,-2.161357880E0,2.363485813E0,-1.092396498E0
5.490559040E-1,-2.128335476E0,2.308093548E0,-1.147788525E0
5.515454350E-1,-2.093182802E0,2.251636267E0,-1.215963483E0
5.540349660E-1,-2.053769350E0,2.201570272E0,-1.284138441E0
5.565244980E-1,-2.005833864E0,2.151504517E0,-1.353378534E0
5.590139770E-1,-1.951506853E0,2.104634047E0,-1.424615979E0
5.615035080E-1,-1.897179961E0,2.053503036E0,-1.498117089E0
5.639930390E-1,-1.843918324E0,2.004502296E0,-1.571618199E0
5.664825700E-1,-1.785330534E0,1.962958097E0,-1.642988801E0
5.689720500E-1,-1.725810647E0,1.934196830E0,-1.712228894E0
5.714609040E-1,-1.662961960E0,1.901174664E0,-1.777208090E0
5.739504350E-1,-1.602243662E0,1.880935192E0,-1.832600236E0
5.764399660E-1,-1.545786262E0,1.868152380E0,-1.876274824E0
5.789294450E-1,-1.489328980E0,1.872413397E0,-1.915688396E0
5.814189770E-1,-1.438197732E0,1.882000446E0,-1.942319274E0
5.839085080E-1,-1.388131738E0,1.897978902E0,-1.960428238E0
5.863980390E-1,-1.346587658E0,1.925675035E0,-1.971080542E0
5.888875180E-1,-1.308239341E0,1.955501556E0,-1.979602456E0
5.913770500E-1,-1.269890904E0,1.990654230E0,-1.978537202E0
5.938665810E-1,-1.235803485E0,2.033263445E0,-1.974276304E0
5.963561120E-1,-1.208107352E0,2.082264185E0,-1.966819644E0
5.988455910E-1,-1.179346085E0,2.134460688E0,-1.956167340E0
6.013343930E-1,-1.151650071E0,2.186657190E0,-1.948710680E0
6.038239250E-1,-1.125152349E0,2.237788200E0,-1.941254020E0
6.063134560E-1,-1.098521590E0,2.292115211E0,-1.929536462E0
6.088029350E-1,-1.074021220E0,2.342181206E0,-1.921014547E0
6.112924660E-1,-1.048455596E0,2.390116692E0,-1.913558006E0
6.137819980E-1,-1.022889972E0,2.433657885E0,-1.910362244E0
6.162715290E-1,-1.002650619E0,2.469875813E0,-1.906101346E0
6.187610080E-1,-9.781502485E-1,2.503963470E0,-1.902905583E0
6.212505390E-1,-9.536498785E-1,2.526333332E0,-1.903970838E0
6.237400700E-1,-9.302147627E-1,2.535920382E0,-1.908231854E0
6.262296020E-1,-9.046491385E-1,2.533789873E0,-1.914623260E0
6.287190810E-1,-8.844097257E-1,2.524202824E0,-1.919949412E0
6.312078830E-1,-8.694964647E-1,2.503963470E0,-1.925275564E0
6.336974140E-1,-8.524527550E-1,2.463484526E0,-1.933797359E0
6.361869450E-1,-8.396699429E-1,2.408225536E0,-1.941254020E0
6.386764250E-1,-8.396699429E-1,2.335789680E0,-1.949775934E0
6.411659560E-1,-8.428656459E-1,2.243114471E0,-1.959362984E0
6.436554870E-1,-8.535179496E-1,2.134460688E0,-1.964689136E0
6.461450180E-1,-8.599093556E-1,2.011958838E0,-1.966819644E0
6.486344980E-1,-8.716269135E-1,1.877739549E0,-1.967884898E0
6.511240290E-1,-8.790835738E-1,1.733000994E0,-1.970015287E0
6.536135600E-1,-8.833444715E-1,1.579607368E0,-1.971080542E0
6.561030910E-1,-8.822792768E-1,1.417691946E0,-1.972145796E0
6.585925700E-1,-8.801487684E-1,1.255776525E0,-1.973211050E0
6.610814250E-1,-8.790835738E-1,1.087602973E0,-1.978537202E0
6.635709560E-1,-8.726921678E-1,9.256874919E-1,-1.982798100E0
6.660604870E-1,-8.641703129E-1,7.680330276E-1,-1.982798100E0
6.685499660E-1,-8.524527550E-1,6.189003587E-1,-1.984928608E0
6.710394980E-1,-8.354089856E-1,4.837489426E-1,-1.981732845E0
6.735290290E-1,-8.141043186E-1,3.559209704E-1,-1.978537202E0
6.760185600E-1,-7.906692028E-1,2.323539555E-1,-1.972145796E0
6.785080390E-1,-7.576469779E-1,1.226349548E-1,-1.959362984E0
6.809975700E-1,-7.256900072E-1,2.250304818E-2,-1.942319274E0
6.834871020E-1,-6.905373335E-1,-6.684337556E-2,-1.917818904E0
6.859766330E-1,-6.500584483E-1,-1.478010863E-1,-1.892253280E0
6.884661120E-1,-6.106448174E-1,-2.223673910E-1,-1.860296369E0
6.909549140E-1,-5.701659918E-1,-2.916075289E-1,-1.823013186E0
6.934444450E-1,-5.276898146E-1,-3.533910513E-1,-1.777208090E0
6.959339770E-1,-4.893414080E-1,-4.119788706E-1,-1.733533621E0
6.984234560E-1,-4.509930313E-1,-4.641752839E-1,-1.683467627E0
7.009129870E-1,-4.115794003E-1,-5.131760240E-1,-1.631271243E0
7.034025180E-1,-3.764267266E-1,-5.568505526E-1,-1.574813843E0
7.058920500E-1,-3.412740231E-1,-5.941337347E-1,-1.516226053E0
7.083815290E-1,-3.103822768E-1,-6.292864084E-1,-1.457638264E0
7.108710600E-1,-2.762948275E-1,-6.557840705E-1,-1.395987868E0
7.133605910E-1,-2.422073632E-1,-6.845453978E-1,-1.334204316E0
7.158501230E-1,-2.134460658E-1,-7.090457082E-1,-1.272420883E0
7.183396020E-1,-1.836195439E-1,-7.228937745E-1,-1.212767839E0
7.208284040E-1,-1.548582464E-1,-7.303503752E-1,-1.153114796E0
7.233179350E-1,-1.239664927E-1,-7.346113324E-1,-1.091331244E0
7.258074660E-1,-9.200949967E-2,-7.441984415E-1,-1.031678200E0
7.282969450E-1,-5.898727849E-2,-7.484593391E-1,-9.752208591E-1
7.307864770E-1,-2.276935615E-2,-7.452636361E-1,-9.155677557E-1
7.332760080E-1,1.664426550E-2,-7.356765866E-1,-8.505885601E-1
7.357655390E-1,6.564498693E-2,-7.239589691E-1,-7.814815640E-1
7.382550180E-1,1.091863886E-1,-7.090457082E-1,-7.101109624E-1
7.407445500E-1,1.571218669E-1,-6.920019984E-1,-6.302185059E-1
7.432340810E-1,2.029268891E-1,-6.792191863E-1,-5.428693891E-1
7.457236120E-1,2.444709837E-1,-6.664364338E-1,-4.608464241E-1
7.482130910E-1,2.849498391E-1,-6.643059254E-1,-3.788234890E-1
7.507019450E-1,3.190372884E-1,-6.664364338E-1,-3.085181117E-1
7.531914770E-1,3.499290347E-1,-6.813496947E-1,-2.456693649E-1
7.556810080E-1,3.744294047E-1,-7.037195563E-1,-1.870815456E-1
7.581704870E-1,4.010602236E-1,-7.260894775E-1,-1.328878254E-1
7.606600180E-1,4.330172241E-1,-7.165023685E-1,-7.536523789E-2
7.631495500E-1,4.798874855E-1,-6.749582887E-1,-1.571218669E-2
