Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
0.014742277,-1.877054095,7.058106422,-3.179499865
0.034764152,-1.848323703,7.709329605,-4.204218388
0.054756339,-1.043871999,7.603984833,-4.261679173
0.074746964,-0.019153614,6.732495308,-4.395754337
0.094768839,0.277727395,6.358999729,-4.060565948
0.114759464,0.708683729,6.110002518,-3.246537447
0.134750089,0.92895025,6.627150536,-2.949656487
0.154742277,-0.172382519,7.7284832,-3.49553442
0.174764152,-1.216254473,6.617573261,-3.246537447
0.194754777,-0.794874966,4.395754337,-3.12203908
0.214745402,-0.737414122,2.41335535,-2.901772499
0.234767277,0.37349546,0.641646028,-3.313575268
0.254757902,-0.986411095,1.101332784,-2.317587137
0.274748527,-2.442085743,5.257667065,-4.27125597
0.294740714,-5.832275391,17.20952225,-3.179499865
0.314762589,-12.46900272,33.57628632,-11.38682365
0.334753214,-8.858546257,25.83822441,-3.878606796
0.354743839,-3.916913986,15.13135433,-6.617573261
0.374767277,-2.317587137,12.10508347,-7.824251175
0.394757902,-2.652775526,11.76031876,-7.000645638
0.414748527,-2.786850691,11.27190113,-5.123591423
0.434739152,-5.35343504,10.6398325,-5.506663799
0.454762589,-4.778826714,8.015787125,-3.543418407
0.474753214,-3.064578056,6.234501362,-2.260126352
0.494743839,-1.63763392,5.583278179,-2.585737944
0.514765714,-1.340752959,5.104437828,-2.537853718
0.534756339,-2.355894566,4.663905144,-2.327163935
0.554746964,-2.624045134,4.587290287,-1.8579005
0.574739152,-2.997540474,4.060565948,-1.18752408
0.594761027,-2.920926094,4.127603531,-1.283292055
0.614751652,-2.317587137,4.979939461,-2.240972757
0.634742277,-2.15478158,5.621585369,-2.365471363
0.654765714,-0.775721371,7.307103634,-2.212242365
0.674756339,-1.158793569,7.575253963,-1.723825216
0.694746964,-1.63763392,6.397306919,-1.733402014
0.714768839,-2.260126352,4.941632271,-1.762132406
0.734759464,-2.461239338,5.171475887,-0.9672575
0.754750089,-2.346317768,7.747636795,0.756567717
0.774742277,-1.426944256,9.078812599,-0.900219858
0.794764152,4.558559895,19.05784607,-0.92895025
0.814754777,4.874594688,14.32690334,-3.141192675
0.834745402,-0.268150598,14.51843929,-10.19929886
0.854767277,-6.071695328,20.04425621,-17.18079185
0.874759464,-0.89064306,8.446743965,-6.780379295
0.894750089,4.644751072,12.88080502,-4.23294878
0.914740714,4.118026733,22.50549507,-4.242525578
0.934762589,-0.114921682,18.44492912,-2.949656487
0.954753214,-1.580173135,11.46343803,-5.075707436
0.974743839,-1.647210717,8.868123055,-4.865017891
0.994767277,-1.618480325,7.632715225,-5.190629482
1.014757902,-0.794874966,6.129156113,-3.150769472
1.034748527,-0.440533102,5.085284233,-3.131615877
1.054739152,-0.881066203,4.242525578,-3.256114244
1.074762589,-1.120486379,3.514688015,-2.853888512
1.094753214,-1.244984865,2.940079689,-2.777273893
1.114743839,-1.340752959,2.882618904,-2.624045134
1.134765714,-0.842759013,3.045424461,-2.19308877
1.154756339,-0.172382519,3.505111217,-1.810016513
1.174746964,-0.105344877,4.280832767,-1.944091797
1.194739152,-1.00556469,5.066130638,-2.145204782
1.214761027,-0.785298169,5.98550415,-2.844311714
