Time(s),X(rad/s),Y(rad/s),Z(rad/s)
0.0180865,1.740965962,-0.019547688,-0.817337692
0.03810213,0.933402062,-0.098960169,-0.372627795
0.05806775,0.134390354,-0.2651155,-0.068416908
0.07808963,-0.412944913,-0.403171063,0.047647487
0.09808025,-0.780685782,-1.332907915,-0.746477306
0.11807244,-0.615752161,-0.497244299,-1.894904017
0.13811306,-0.278554559,0.741590381,-0.420275271
0.15808494,0.438601226,0.653625786,0.557109118
0.17807556,0.105068818,0.952949762,0.839328826
0.19806619,-1.050688148,1.182635069,0.928515136
0.21808963,-1.363451242,0.889419794,1.023810148
0.23808025,-1.385442376,1.663996935,0.042760566
0.25807088,-1.049466491,1.987755537,0.041538835
0.27809431,-0.466701031,2.2186625,-0.080634214
0.29808338,-1.160643935,1.951103568,0.105068818
0.318074,-1.058018565,1.92056036,0.43371433
0.33809744,-0.734260023,1.353677392,0.248011291
0.35808806,-1.139874578,0.96028018,0.0842994
0.37807869,-1.461189628,0.779464066,-0.035430186
0.39807088,-1.567480206,0.627969444,0.017104227
0.41809275,-1.442863703,0.598647952,0.191811681
0.43808338,-1.274264932,0.411723167,0.449596822
0.45810681,-1.120326877,0.386066824,0.741590381
0.47809588,-1.048244715,0.553443909,0.821002901
0.49808806,-0.984714747,0.648738861,0.735481739
0.51807713,-0.810007274,0.443488151,0.520457208
0.53806931,-0.529009283,0.068416908,0.179594383
0.55809119,-0.441044688,0.018325957,-0.006108652
0.57808181,-0.419053555,0.197920337,-0.041538835
0.59807556,-0.036651913,0.127059966,-0.109955743
0.61809588,0.502131224,0.146607652,-0.316428185
0.6380865,0.946841121,0.348193198,-0.569326401
0.65807713,1.255938888,-0.224798411,-0.673173487
0.67806775,1.466076612,-0.671951771,-1.00670588
0.69808963,1.448972344,-0.430049121,-1.070235848
0.71808181,1.522276163,-1.016479731,-1.185078502
0.73807244,2.052507162,-0.664621353,-0.239459172
0.75809431,2.310292244,-0.295658767,-0.139277279
0.77808494,1.952325344,-0.615752161,-0.381179899
0.79807556,1.236391187,-1.330464482,-0.477696627
0.81808025,0.888198078,-1.502728462,-0.543670058
0.83808963,1.080009699,-1.475850463,-0.522900641
0.85808025,1.213178396,-1.626123309,-0.398284137
0.87807088,0.994488597,-1.727526903,-0.301767439
0.89809431,0.713490605,-1.563814998,-0.189368218
0.91808338,0.37751472,-1.214400053,0.081855945
0.938074,0.205250725,-1.089783549,0.271224171
0.95806619,-0.039095376,-1.021366715,0.498466045
0.97808806,-0.16737707,-0.825889826,0.75502944
0.99807869,-0.263893783,-0.482583523,0.976162672
1.01806931,-0.41050145,-0.150272846,1.011592865
1.03809275,-0.498466045,-0.075747289,0.945619404
1.05808338,-0.202807263,-0.30787608,0.460592389
1.078074,0.531452775,-0.320093393,-0.131946892
1.09809588,1.156978726,-0.133168623,-0.432492584
1.11809119,0.689055979,0.021991149,-0.183259577
1.13807713,0.029321531,-0.397062391,-0.003665191
1.15806931,-0.277332813,-0.383623362,-0.245567828
1.17809119,-0.525344074,-1.342681766,-1.563814998
