Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
0.008768358,-0.114921682,9.538499832,-3.955221176
0.02875742,0.660799682,9.059659004,-4.041412354
0.048780858,1.216254473,9.346963882,-3.620033026
0.068773045,1.647210717,10.01733971,-3.466804028
0.088762108,1.043871999,10.69729328,-3.620033026
0.108752733,0.239420176,11.31978607,-3.830722809
0.12877617,-0.143652096,12.14339066,-3.543418407
0.148766795,0.067037649,12.90953541,-2.873042107
0.16875742,-1.89620769,13.05318737,-3.629609823
0.188779295,-0.143652096,12.83292103,-2.930502892
0.20876992,0.689530075,11.73158836,-1.972822189
0.228762108,-1.589749932,9.500192642,-0.536301196
0.248752733,-2.422932148,7.06768322,0.076614454
0.268774608,-2.681505919,6.512228489,-0.459686726
0.288765233,-2.710236311,8.054094315,-1.235408068
0.308798045,-3.629609823,10.76433086,-0.478840351
0.328777733,-4.050989151,12.19127464,-0.986411095
0.34876992,-3.256114244,10.93671322,-1.59932673
0.368760545,-2.298433542,10.71644688,-1.790862918
0.38875117,-1.618480325,9.883264542,-0.727837324
0.408773045,-1.312022567,9.730035782,-1.024718285
0.42876367,-1.666364431,8.35097599,-1.810016513
0.448755858,-2.011129379,9.31823349,-2.45166254
0.468777733,-1.18752408,9.557653427,-1.608903527
0.48876992,-2.059013367,8.868123055,-1.733402014
0.508760545,-3.754108191,7.460332394,-1.388636947
0.528787108,-5.583278179,6.550535679,-2.164358377
0.548773045,-6.378153324,6.646304131,-3.303998232
0.56876367,-5.008669853,7.527369976,-2.968810081
0.588754295,-3.907337189,7.747636795,-2.719813108
0.608777733,-3.639186621,7.316680431,-3.696647406
0.628768358,-3.955221176,6.7612257,-4.587290287
0.648758983,-3.936067581,6.330269337,-4.673481941
0.668780858,-4.003105164,5.564124584,-4.865017891
0.688771483,-4.23294878,5.640739441,-4.797980309
0.708762108,-5.085284233,5.899312973,-4.759673119
0.728754295,-5.956773758,6.856993675,-4.290409565
0.74877617,-6.828263283,8.599972725,-3.620033026
0.768766795,-7.259219646,9.567230225,-3.45722723
0.78875742,-7.354987621,15.39950562,-5.918466568
0.808779295,-5.861005783,13.5320282,-4.34787035
0.828771483,-4.156333923,8.73404789,-2.901772499
0.848762108,-2.001552582,7.422025204,-2.729389906
0.868790233,-0.814028561,7.402871609,-2.719813108
0.888774608,-0.699106872,7.000645638,-3.840299606
0.908765233,0.517147541,6.732495308,-3.687070608
0.928755858,0.105344877,7.115567684,-2.968810081
0.948779295,-1.771709204,9.35654068,-2.240972757
0.968774608,-2.815581083,10.14183807,-2.786850691
0.988760545,-2.930502892,9.54807663,-3.629609823
1.008752733,-3.351882458,9.117119789,-2.23139596
1.028774608,-3.08373189,8.686163902,-2.011129379
1.048765233,-2.863465309,8.791508675,-2.336740971
1.068755858,-2.087743998,9.720458984,-2.882618904
1.088777733,-1.848323703,9.595960617,-3.217807055
1.10880117,-1.168370485,9.021351814,-3.648763418
1.128760545,-0.440533102,9.54807663,-4.050989151
1.14875117,-0.009576807,8.791508675,-3.706224203
1.168773045,-0.019153614,8.638279915,-4.098873138
1.18876367,-0.59376204,9.088389397,-4.395754337
1.208754295,-1.790862918,9.385271072,-3.821146011
1.228777733,-2.499546528,9.442731857,-3.859453201
1.248768358,-2.52827692,9.35654068,-4.127603531
1.268783983,-2.509123325,8.973467827,-3.983951569
1.28878242,-1.18752408,8.647856712,-3.447650433
1.308773045,0.057460841,8.446743965,-2.892195702
1.32876367,0.354341865,8.896853447,-1.388636947
1.348754295,-1.379060149,10.54406452,-0.660799682
1.368779295,-1.426944256,11.5783596,-1.915361404
1.388766795,-1.877054095,11.04205799,-2.298433542
1.408758983,-2.260126352,8.81066227,-1.149216771
1.428780858,-2.987963676,7.115567684,-0.383072257
1.448771483,-3.112462282,7.479485989,-0.536301196
1.468762108,-4.42448473,9.557653427,-0.459686726
1.488752733,-6.081272125,13.29260826,-1.216254473
1.508774608,-2.394201756,11.50174522,-0.191536129
1.528768358,-2.595314741,10.90798283,-0.948103845
1.548755858,-2.480392933,10.90798283,-0.584185243
1.568779295,-0.938527048,8.628703117,-1.302445769
1.58876992,-1.110909581,8.935160637,-2.403778553
1.608760545,-0.325611442,8.188169479,-1.8579005
1.628752733,-2.164358377,6.636727333,-2.087743998
1.648774608,-4.481945515,7.019799232,-2.624045134
1.668765233,-6.196194172,7.929595947,-2.681505919
1.688768358,-7.508216381,9.31823349,-2.901772499
1.708777733,-7.06768322,9.212887764,-3.12203908
1.728768358,-6.291962147,7.862558365,-3.782838583
1.748758983,-4.635174274,6.397306919,-5.16189909
1.76875117,-2.987963676,5.228936672,-5.16189909
1.78880742,-3.323152065,4.223371983,-5.142745018
1.80876367,-4.481945515,4.654327869,-4.405331135
1.828755858,-3.41892004,5.066130638,-2.719813108
1.848777733,-5.908889771,7.939172745,-4.280832767
1.868768358,-3.189076662,14.07790565,-4.290409565
1.888758983,-4.836287498,13.45541382,-1.484405041
1.90878242,-2.853888512,7.814674377,-3.45722723
1.928771483,-0.239420176,6.483498096,-2.662352324
1.94876367,0.047884032,8.61912632,-2.547430515
1.968760545,-0.775721371,10.64940929,-3.313575268
1.988777733,-2.518700123,11.20486355,-3.466804028
2.008798045,-3.38061285,10.34295177,-3.16034627
2.028758983,-3.466804028,10.40041256,-3.332728863
2.048780858,-2.691082716,10.22802925,-3.438073635
2.068771483,-2.020706177,9.203310966,-1.963245392
2.088762108,-2.844311714,8.552088737,-3.236960649
2.108754295,-2.145204782,8.983044624,-1.886630893
2.12877617,-0.59376204,9.979032516,-3.313575268
2.148766795,-0.287304193,9.289502144,-3.79241538
2.16875742,-0.430956304,8.743624687,-3.351882458
2.188779295,-0.775721371,8.42759037,-4.127603531
2.20876992,-2.384624958,9.605537415,-5.219359875
2.228760545,-2.518700123,9.500192642,-4.989516258
2.248752733,-2.662352324,9.35654068,-3.677493811
2.268774608,-2.700659513,8.73404789,-3.629609823
2.288765233,-2.461239338,7.65186882,-4.223371983
2.308760545,-2.183511972,7.460332394,-3.945644379
2.328779295,-1.034295082,7.354987621,-3.08373189
2.348768358,-0.737414122,8.149862289,-1.618480325
2.368760545,-1.589749932,9.126696587,-1.053448796
2.388752733,-1.388636947,11.0133276,-1.302445769
2.408773045,-1.379060149,11.10909557,-0.679953277
2.42876367,-1.810016513,9.452308655,0.153228909
2.448755858,-3.007117271,7.441178799,-0.153228909
2.468787108,-3.715801001,7.84340477,-0.852335811
2.488768358,-6.569689274,12.24873543,-1.752555609
2.508760545,-3.591302633,10.0460701,-1.053448796
2.52878242,-4.118026733,11.12824917,-1.503558636
2.548771483,-3.399766445,12.73715305,-1.18752408
2.56876367,-1.120486379,10.90798283,-0.33518824
2.588754295,-2.317587137,9.097966194,-1.570596337
2.60877617,-1.369483352,8.236053467,-1.551442742
2.628774608,-0.430956304,7.335834026,-1.484405041
2.648758983,-2.183511972,6.157886982,-1.991975784
2.668780858,-4.481945515,6.138733387,-2.288856745
2.688771483,-6.349422932,6.694188118,-3.08373189
2.708762108,-5.995080948,7.240066051,-3.055001259
2.728752733,-5.324704647,7.575253963,-3.16034627
2.74877617,-4.750096321,6.110002518,-4.060565948
2.768766795,-4.34787035,4.472368717,-4.826710701
2.788760545,-4.367023945,4.242525578,-5.430049419
2.808779295,-5.267243862,4.23294878,-5.746084213
2.82876992,-6.157886982,4.548983097,-5.35343504
2.848762108,-6.91445446,5.573701382,-4.960785866
2.868752733,-7.95832634,7.058106422,-4.46279192
2.888773045,-9.490615845,10.85052204,-3.859453201
2.908765233,-7.10599041,14.96854877,-5.698200226
2.92875742,-7.84340477,12.10508347,-4.999093056
2.948779295,-4.568136692,8.331821442,-4.118026733
2.96876992,-1.388636947,6.607996464,-3.016694069
2.988760545,0.641646028,5.861005783,-3.696647406
3.008752733,0.507570744,7.517793179,-3.667917013
3.028774608,-0.258573771,10.11310768,-3.773261786
3.048765233,-1.063025594,11.93270111,-3.294421434
3.068755858,-1.790862918,11.51132202,-3.112462282
3.088777733,-2.19308877,9.299078941,-3.773261786
3.108768358,-3.217807055,8.590395927,-3.49553442
3.128760545,-3.955221176,9.35654068,-3.16034627
3.14878242,-3.102885485,8.149862289,-2.298433542
3.168773045,-2.844311714,7.546523571,-2.624045134
3.18876367,-1.618480325,8.54251194,-2.710236311
3.208754295,-0.105344877,9.47146225,-4.299986362
3.22877617,-0.306457818,8.791508675,-3.34230566
3.248768358,-1.426944256,7.795520782,-2.671929121
3.268758983,-0.565031588,6.148310184,-3.41892004
3.288780858,0.105344877,6.090848923,-3.955221176
3.308771483,-0.105344877,8.044517517,-3.38061285
3.328762108,-1.158793569,7.412448406,-3.265691042
3.348755858,-1.685518026,7.144298077,-2.710236311
3.36877617,-1.771709204,7.326257229,-3.007117271
3.388766795,-0.92895025,8.446743965,-3.485957623
3.40875742,-0.057460841,9.883264542,-4.022258759
3.428779295,0.33518824,10.24718285,-4.884171486
3.44879492,0.067037649,10.0460701,-5.650316238
3.468760545,-0.038307227,10.18972206,-5.305551052
3.488752733,-0.153228909,10.65898609,-4.730942726
3.508773045,-0.421379507,11.23359394,-3.208230257
3.528766795,-0.057460841,12.77546024,-0.919373453
3.54875742,-2.930502892,13.24472427,-1.63763392
3.568779295,-2.298433542,13.46499062,-2.355894566
3.58876992,-0.995987892,13.01488018,-2.652775526
3.608760545,-2.164358377,9.021351814,-0.459686726
3.62875117,-3.294421434,4.874594688,0.239420176
3.648774608,-4.769249916,6.636727333,-1.130063176
3.66876367,-6.052541733,7.603984833,-0.277727395
3.688755858,-5.16189909,6.531382084,-0.354341865
3.708777733,-3.840299606,6.617573261,-0.603338838
3.72876992,-2.863465309,8.714894295,-1.302445769
3.748760545,-1.752555609,10.76433086,-2.221819162
3.768812108,-0.986411095,12.04762268,-2.097320795
