Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
0.02398081,0.9672575,9.902418137,-0.986411095
0.044002685,1.082179189,9.921571732,-1.00556469
0.063994873,1.244984865,9.998186111,-0.833182216
0.083985498,1.369483352,10.0269165,-0.794874966
0.104007373,1.312022567,10.0269165,-1.053448796
0.123997998,1.254561663,9.950302124,-1.00556469
0.143988623,1.216254473,9.777919769,-0.995987892
0.16398081,1.130063176,9.672574997,-0.948103845
0.184002685,1.024718285,9.62469101,-1.168370485
0.20399331,0.814028561,9.749189377,-1.206677675
0.223983935,0.59376204,9.902418137,-1.149216771
0.24400581,0.622492433,9.873687744,-1.350329757
0.263997998,0.708683729,9.730035782,-1.388636947
0.283988623,0.679953277,9.643844604,-1.321599364
0.304010498,0.660799682,9.672574997,-1.254561663
0.324001123,0.746990919,9.931148529,-1.063025594
0.343991748,0.814028561,9.892841339,-1.484405041
0.363983935,0.622492433,9.844957352,-1.312022567
0.38400581,0.603338838,9.844957352,-1.158793569
0.403996435,0.574608386,9.806650162,-1.168370485
0.42398706,0.651222885,9.797073364,-1.101332784
0.444008935,0.814028561,9.768342972,-1.379060149
0.46399956,0.92895025,9.749189377,-1.379060149
0.483991748,0.986411095,9.787496567,-1.206677675
0.503982373,1.015141487,9.825803757,-1.321599364
0.524004248,0.881066203,9.806650162,-1.197100878
0.543994873,0.833182216,9.873687744,-1.254561663
0.563985498,0.804451764,9.854534149,-1.244984865
0.584008935,0.823605359,9.777919769,-1.26413846
0.60399956,0.852335811,9.710882187,-1.455674648
0.623990185,0.737414122,9.691728592,-1.340752959
0.64398081,0.689530075,9.797073364,-1.359906554
0.664002685,0.603338838,9.854534149,-1.340752959
0.683994873,0.603338838,9.844957352,-1.273715258
0.703985498,0.679953277,9.816226959,-1.254561663
0.724007373,0.718260527,9.758766174,-1.312022567
0.743997998,0.679953277,9.844957352,-1.254561663
0.763988623,0.660799682,9.873687744,-1.206677675
0.78398081,0.641646028,9.797073364,-1.273715258
0.804002685,0.651222885,9.787496567,-1.273715258
0.82399331,0.67037648,9.797073364,-1.22583127
0.843983935,0.766144514,9.806650162,-1.235408068
0.864007373,0.823605359,9.940725327,-1.216254473
0.883997998,0.871489406,9.940725327,-1.158793569
0.903988623,0.919373453,9.797073364,-1.197100878
0.92401206,0.938527048,9.777919769,-1.197100878
0.944001123,0.938527048,9.777919769,-1.312022567
0.963991748,0.756567717,9.777919769,-1.22583127
0.983983935,0.63206923,9.739612579,-1.130063176
1.00400581,0.574608386,9.768342972,-1.024718285
1.023996435,0.612915635,9.825803757,-1.034295082
1.04398706,0.679953277,9.902418137,-1.082179189
1.064008935,0.785298169,10.0269165,-1.00556469
1.084001123,0.909796655,9.950302124,-1.00556469
1.103991748,0.986411095,9.864110947,-1.015141487
1.123982373,1.053448796,9.825803757,-1.101332784
1.144004248,1.024718285,9.797073364,-1.139639974
1.163994873,0.948103845,9.892841339,-1.139639974
1.18398706,0.842759013,9.873687744,-1.158793569
1.204008935,0.804451764,9.749189377,-1.206677675
1.22399956,0.785298169,9.768342972,-1.216254473
1.243990185,0.842759013,9.797073364,-1.197100878
1.26398081,0.92895025,9.825803757,-1.130063176
1.284004248,0.814028561,9.883264542,-1.292868972
1.303994873,0.746990919,9.844957352,-1.321599364
1.323985498,0.727837324,9.816226959,-1.388636947
1.344007373,0.785298169,9.768342972,-1.369483352
1.363997998,0.814028561,9.653421402,-1.254561663
1.383988623,0.842759013,9.691728592,-1.139639974
1.40398081,0.909796655,9.864110947,-1.149216771
1.424002685,0.9672575,9.959878922,-1.292868972
1.44399331,0.92895025,9.854534149,-1.369483352
1.463983935,0.871489406,9.682151794,-1.168370485
1.484007373,0.881066203,9.730035782,-1.043871999
1.503997998,0.919373453,9.873687744,-0.957680702
1.523988623,1.00556469,10.0269165,-0.881066203
1.544010498,1.177947283,9.902418137,-0.986411095
1.564002685,1.197100878,9.710882187,-1.043871999
1.583991748,1.139639974,9.538499832,-1.091755986
1.603983935,1.168370485,9.643844604,-1.130063176
1.62400581,0.938527048,9.892841339,-1.120486379
1.643996435,0.565031588,10.0269165,-1.024718285
1.66398706,0.517147541,10.17056847,-0.986411095
1.684010498,0.603338838,10.0364933,-1.139639974
1.704001123,0.794874966,9.854534149,-1.177947283
1.723991748,0.823605359,9.662998199,-0.900219858
1.743982373,0.689530075,9.720458984,-0.277727395
1.76400581,0.363918662,9.844957352,-0.162805721
1.783994873,0.354341865,9.988609314,-0.067037649
1.80398706,0.574608386,10.00776291,-0.220266551
1.824008935,0.823605359,9.797073364,-0.507570744
1.84399956,0.756567717,9.768342972,-0.59376204
1.863991748,0.545877993,9.921571732,-0.383072257
1.883982373,0.306457818,10.0364933,-0.019153614
1.904004248,0.076614454,10.07480049,0.220266551
1.923994873,0,10.0364933,0.268150598
1.943985498,-0.220266551,9.959878922,0.201112941
1.964007373,-0.354341865,9.998186111,0.134075299
1.983997998,-0.37349546,10.15141487,-0.009576807
2.003990185,-0.076614454,10.30464458,-0.019153614
2.02398081,0.258573771,10.38125896,0.172382519
2.044002685,0.622492433,10.27591324,0.220266551
2.06399331,0.622492433,10.14183807,0.134075299
2.083985498,0.277727395,9.959878922,0.02873042
2.104007373,-0.02873042,9.797073364,-0.153228909
2.123997998,-0.316034615,9.739612579,-0.402225882
2.143988623,-0.497993946,9.777919769,-0.59376204
2.164010498,-0.469263524,9.768342972,-0.699106872
2.184001123,-0.306457818,9.797073364,-0.814028561
2.20399331,-0.153228909,9.892841339,-0.766144514
2.223983935,-0.248996973,9.931148529,-0.497993946
2.24400581,-0.33518824,9.988609314,-0.478840351
2.263996435,-0.33518824,10.13226128,-0.574608386
2.28398706,-0.316034615,10.0364933,-0.708683729
2.304010498,-0.565031588,9.940725327,-0.995987892
2.324001123,-0.603338838,9.902418137,-1.158793569
2.343991748,-0.67037648,9.806650162,-1.283292055
2.363982373,-0.804451764,9.739612579,-1.139639974
2.384004248,-0.909796655,9.691728592,-1.110909581
2.403996435,-1.024718285,9.576807022,-1.273715258
2.42398706,-0.89064306,9.43315506,-1.407790542
2.444008935,-0.718260527,9.212887764,-1.59932673
2.46399956,-0.718260527,9.021351814,-1.742978811
2.483991748,-0.603338838,8.6957407,-1.742978811
2.503982373,-0.679953277,8.801085472,-1.59932673
2.524004248,-0.565031588,9.299078941,-1.608903527
2.543994873,-0.517147541,9.720458984,-1.838746905
2.563985498,-0.440533102,10.58237171,-1.312022567
2.584008935,-0.124498487,11.77947235,-0.162805721
2.60399956,0.526724398,12.03804588,-0.114921682
2.623990185,0.708683729,11.0133276,-1.484405041
2.64398081,0.603338838,9.62469101,-1.407790542
2.664002685,0.842759013,8.944737434,-0.555454791
2.68399331,1.168370485,8.791508675,-0.804451764
2.703985498,1.56101954,9.174580574,-1.580173135
2.724007373,1.771709204,9.634267807,-2.020706177
2.743997998,2.394201756,9.873687744,-2.106897593
2.763988623,2.327163935,9.911994934,-1.455674648
2.784010498,2.135627985,9.682151794,-1.407790542
2.804002685,1.532289028,9.232041359,-2.375048161
2.82399331,1.22583127,9.212887764,-2.624045134
2.843983935,1.22583127,9.519346237,-2.240972757
2.864007373,1.714248419,9.998186111,-1.848323703
2.883997998,1.742978811,10.12268448,-1.963245392
2.903988623,0.9672575,9.634267807,-2.15478158
2.924010498,0.804451764,9.54807663,-2.183511972
2.944001123,0.861912608,9.423578262,-2.509123325
2.963991748,1.149216771,9.500192642,-2.442085743
2.983983935,1.369483352,9.576807022,-2.48996973
3.00400581,1.388636947,9.720458984,-2.288856745
3.023996435,1.244984865,9.662998199,-2.327163935
3.04398706,1.206677675,9.58638382,-2.480392933
3.064008935,1.091755986,9.538499832,-2.537853718
3.084001123,1.139639974,9.31823349,-2.537853718
3.103990185,1.551442742,9.222464561,-2.260126352
3.123982373,1.647210717,9.222464561,-2.317587137
3.144004248,1.915361404,9.117119789,-2.681505919
3.163994873,1.685518026,9.107542992,-2.422932148
3.18398706,1.455674648,9.212887764,-2.422932148
3.204008935,1.340752959,9.375694275,-2.384624958
3.22399956,1.56101954,9.117119789,-2.279279947
3.243990185,1.570596337,9.222464561,-2.384624958
3.26398081,2.576161146,9.030928612,-2.461239338
3.284004248,3.141192675,8.944737434,-2.633621931
3.30399331,2.777273893,9.030928612,-2.557007313
3.323985498,3.150769472,9.327810287,-2.643198729
3.344007373,3.41892004,9.749189377,-2.777273893
3.36399956,3.524264812,9.835380554,-3.12203908
3.383988623,3.236960649,10.08437729,-2.758120298
3.40398081,1.81959331,10.58237171,-2.164358377
3.424002685,1.197100878,10.49618053,-2.011129379
3.44399331,1.053448796,9.62469101,-1.8579005
3.463983935,0.478840351,8.561665535,-1.723825216
3.484007373,0.268150598,7.517793179,-0.37349546
3.503997998,1.216254473,7.230489254,0.019153614
3.523988623,1.053448796,9.691728592,-0.976834297
3.544010498,-1.407790542,17.48724937,1.283292055
3.564001123,3.275267839,15.26543045,0.354341865
3.583991748,1.63763392,13.81933212,0.727837324
3.603983935,0.239420176,12.82334423,1.752555609
3.62400581,0.440533102,11.15697956,1.465251446
3.643996435,-0.92895025,9.710882187,-0.9672575
3.66398706,-2.183511972,9.203310966,-1.953668594
3.684008935,-2.892195702,9.117119789,-2.748543501
3.704001123,-0.354341865,8.523358345,-2.729389906
3.723991748,0.794874966,8.638279915,-2.815581083
3.743982373,1.474828243,8.42759037,-1.848323703
3.764004248,1.963245392,7.469909191,-1.695094824
3.783994873,1.551442742,7.354987621,-2.15478158
3.80398706,1.235408068,7.038952827,-2.882618904
3.824008935,0.545877993,6.91445446,-3.552995205
3.84399956,-0.363918662,7.048529625,-3.773261786
3.863990185,-1.417367458,7.603984833,-3.687070608
3.88398081,-2.135627985,8.226476669,-3.552995205
3.904004248,-3.217807055,9.279925346,-3.466804028
3.923994873,-3.524264812,9.643844604,-3.217807055
3.943985498,-3.639186621,9.902418137,-2.997540474
3.964007373,-3.687070608,10.08437729,-3.19865346
3.98399956,-3.572149038,10.07480049,-3.552995205
4.003988623,-3.45722723,10.0269165,-3.275267839
4.02398081,-3.620033026,10.25675964,-2.997540474
4.044002685,-3.438073635,10.77390766,-2.700659513
4.06399331,-1.829170108,11.32936287,-2.011129379
4.083983935,0.459686726,12.81376743,-2.825158119
4.10400581,3.007117271,14.09705925,-2.719813108
4.123997998,3.055001259,12.50730991,-4.041412354
4.143988623,-1.110909581,8.686163902,-4.443638325
4.164010498,-0.402225882,6.924031258,-2.212242365
4.184001123,0.210689753,6.91445446,-0.363918662
4.203991748,0.33518824,7.594407558,0.153228909
4.223983935,0.210689753,9.155426979,-1.570596337
4.24400581,1.388636947,11.72201157,-2.317587137
4.263997998,2.202665567,13.31176186,-3.246537447
4.28398706,0.526724398,10.53448772,-2.126051188
4.304010498,0.33518824,8.063671112,-1.26413846
4.324001123,0.756567717,6.512228489,-2.221819162
4.343991748,2.595314741,9.050082207,-3.801992416
4.363982373,5.410895824,8.216899872,-4.50109911
4.384004248,3.53384161,7.852981567,-4.702212334
4.403996435,-0.976834297,8.07324791,-3.725377798
4.42398706,-1.149216771,8.111555099,-3.361459255
4.444008935,-1.733402014,8.781931877,-2.758120298
4.46399956,-1.446097851,9.423578262,-2.997540474
4.483990185,-0.881066203,9.643844604,-3.524264812
4.50398081,-0.019153614,9.758766174,-3.208230257
4.524002685,2.48996973,8.590395927,-2.30801034
4.543994873,4.5394063,6.780379295,-1.465251446
4.563985498,5.468356609,7.374141216,-0.478840351
4.584007373,4.960785866,8.791508675,-1.608903527
4.603997998,4.57771349,10.38125896,-3.677493811
4.623990185,4.290409565,10.51533413,-4.414907932
4.64398081,2.738966703,9.873687744,-4.299986362
4.664002685,1.072602391,8.561665535,-2.920926094
4.68399331,-0.076614454,8.6957407,-1.752555609
4.703983935,-0.239420176,8.044517517,-0.823605359
4.724007373,-0.047884032,7.058106422,1.417367458
4.743997998,0.009576807,8.65743351,-0.02873042
4.763988623,0.948103845,11.5975132,0.124498487
4.784010498,3.189076662,14.66209126,-0.957680702
4.804002685,-1.235408068,22.17988396,2.183511972
4.823991748,2.039859772,14.8823576,1.407790542
4.843983935,1.130063176,12.5647707,0.823605359
4.86400581,0.220266551,10.0269165,0.268150598
4.883996435,-1.417367458,8.063671112,0.287304193
4.903988623,-3.706224203,7.297526836,-2.920926094
4.924010498,-3.41892004,8.159439087,-2.767697096
4.944001123,-0.143652096,7.757213593,-1.388636947
4.963991748,1.063025594,7.632715225,-1.934514999
4.983982373,1.503558636,6.99106884,-2.461239338
5.00400581,1.905784607,6.68461132,-2.729389906
5.023994873,2.126051188,5.94719696,-2.662352324
5.04398706,0.881066203,5.995080948,-3.074155092
5.064008935,-1.340752959,6.91445446,-4.242525578
5.08399956,-3.581725836,8.312667847,-4.242525578
5.103990185,-5.765237808,9.758766174,-3.399766445
5.123982373,-5.937620163,11.61666679,-1.541865945
5.144004248,-5.114014626,12.27746677,-0.277727395
5.163994873,-3.265691042,11.49216843,-1.206677675
5.183985498,-3.217807055,9.155426979,-3.907337189
5.204007373,-2.317587137,6.91445446,-3.936067581
5.22399956,0.785298169,7.99663353,-0.306457818
5.243990185,4.434061527,9.988609314,-0.603338838
5.26398081,5.755661011,15.17923832,1.89620769
5.284002685,6.703764915,17.67878532,-0.89064306
5.30399331,2.940079689,13.47456741,-2.758120298
5.323985498,-0.526724398,10.45787334,-3.150769472
5.344007373,0.019153614,11.54962921,-3.361459255
5.363997998,4.443638325,11.63582039,-0.622492433
5.383988623,5.286397457,12.61265469,-1.877054095
5.40401206,3.524264812,10.95586681,-2.30801034
5.424002685,3.438073635,10.0460701,-3.648763418
5.44399331,5.305551052,5.94719696,-5.056553841
5.463983935,4.357447147,4.414907932,-4.108449936
5.48400581,1.465251446,4.845864296,-4.041412354
5.503996435,0.325611442,6.588842869,-1.704671621
5.52398706,-0.995987892,7.939172745,-1.302445769
5.544010498,-1.398213744,8.111555099,-2.11647439
5.564001123,-1.436521053,8.801085472,-2.825158119
5.583991748,-0.33518824,9.500192642,-3.830722809
5.603982373,1.139639974,9.289502144,-4.34787035
5.62400581,2.355894566,9.279925346,-3.734954596
5.643996435,3.361459255,10.11310768,-2.738966703
5.66398706,3.41892004,10.0269165,-3.447650433
5.684008935,2.710236311,10.95586681,-3.390189648
5.70399956,2.049436569,10.56321812,-3.658340216
5.723990185,0.909796655,9.088389397,-3.763684988
5.743982373,0.507570744,7.603984833,-3.514688015
5.764004248,0.814028561,6.234501362,-2.279279947
5.783994873,1.024718285,5.707777023,-0.478840351
5.803985498,0.536301196,6.91445446,0.067037649
