Time(s),X(rad/s),Y(rad/s),Z(rad/s)
0.01866418,0.465479314,-1.629788399,0.028099801
0.0386548,0.078190751,-1.505171895,0.437379509
0.05864699,0.035430186,-1.309695125,0.682947338
0.07866887,0.037873644,-0.690277696,0.707381964
0.09865949,0.085521132,-0.183259577,0.458148927
0.11865012,-0.151494578,0.359188765,0.19058995
0.13864074,-0.627969444,0.075747289,-0.070860371
0.15866418,-0.285884917,-1.293812513,0.014660765
0.1786548,0.201585531,-1.367116451,0.210137636
0.19864543,0.136833817,-0.16737707,0.299323976
0.21871105,-0.310319543,-0.227241874,0.142942458
0.23865793,-1.30480814,-0.233350515,-0.324980319
0.25864855,-1.825265288,-0.111177474,-0.753807724
0.27864074,-1.425759435,0.305432618,-0.726929605
0.29866262,-0.47036624,1.927890658,-0.134390354
0.31865324,-0.116064392,2.471560717,0.310319543
0.33864387,-0.428827405,1.987755537,0.004886922
0.35866574,-1.111774683,1.462411404,0.119729586
0.37865793,-0.890641511,2.070833206,0.651182354
0.39864855,-1.055575132,1.320690632,0.861319959
0.41867043,-0.929736912,0.784350991,0.963945329
0.43866105,-0.453262001,2.383596182,1.040914416
0.45865168,-0.493579119,3.026226282,1.396437883
0.47864387,-1.565036774,2.465452194,1.004262447
0.49866574,-1.698205352,3.07631731,0.619417369
0.51865637,-1.51983273,2.096489429,0.323758572
0.53864699,-1.481959105,1.066570759,0.248011291
0.55866887,-1.428202868,0.428827405,0.340862811
0.57866105,-1.508837104,0.324980319,0.493579119
0.59865168,-1.65910995,0.478918344,0.613308668
0.6186423,-1.51005888,0.739146948,0.810007274
0.63866418,-1.220508695,0.767246723,0.676838696
0.6586548,-0.637743294,0.691499472,0.278554559
0.67864543,-0.079412483,0.557109118,-0.252898216
0.69866887,0.136833817,0.47036624,-0.498466045
0.71865949,0.328645498,0.329867214,-0.609643519
0.73865012,0.926071703,-0.24678956,-0.77824229
0.75864074,1.855808616,-0.976162672,-1.159422159
0.77866418,2.216219187,-1.346346974,-1.694540143
0.7986548,1.849699974,-0.90408057,-2.368935347
0.81864543,1.276708364,-0.970053971,-2.519208193
0.8386673,1.996307611,-1.341460109,-0.535117924
0.85865793,3.034778595,-0.551000416,0.829554975
0.87865012,3.352428436,-1.55648458,0.916297853
