"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.976583332E-3,-1.685053408E-1,-1.330344230E-1,3.146893904E-2
1.694958331E-2,-2.498776615E-1,-1.457484514E-1,4.789945483E-2
2.692258335E-2,-2.675868869E-1,-2.499867082E-1,4.604723305E-2
3.689558333E-2,-2.575818598E-1,-3.441253901E-1,1.803118363E-2
4.686858336E-2,-2.947795689E-1,-3.774348795E-1,8.207722567E-4
5.684158334E-2,-3.906927109E-1,-4.044927657E-1,3.503249492E-3
6.681458332E-2,-5.258486867E-1,-4.434739947E-1,2.094748802E-2
7.678758336E-2,-6.511244178E-1,-4.649702609E-1,8.088863641E-2
8.676058333E-2,-7.081325650E-1,-5.049528480E-1,1.098608971E-1
9.673358331E-2,-7.428666353E-1,-5.063172579E-1,1.214725971E-1
1.067065833E-1,-8.019914627E-1,-4.548713267E-1,1.318061948E-1
1.166795833E-1,-8.616139889E-1,-4.118967950E-1,1.248111501E-1
1.266525833E-1,-9.061758518E-1,-3.921689093E-1,1.065434590E-1
1.366255833E-1,-9.087423682E-1,-3.946305811E-1,1.044042334E-1
1.465975833E-1,-8.671168685E-1,-4.253131449E-1,1.203829274E-1
1.565705833E-1,-7.933628559E-1,-4.443055093E-1,1.561114192E-1
1.665445833E-1,-6.961481571E-1,-4.585568607E-1,2.209860235E-1
1.765165833E-1,-5.883565545E-1,-4.724073112E-1,2.809045911E-1
1.864895833E-1,-5.000842214E-1,-4.744110703E-1,3.269525170E-1
1.964625833E-1,-4.434826374E-1,-4.907687306E-1,3.541968465E-1
2.064355834E-1,-4.332952499E-1,-5.253698826E-1,3.537015021E-1
2.164085833E-1,-4.625955820E-1,-5.599377751E-1,3.505300879E-1
2.263815833E-1,-5.056031942E-1,-5.858130455E-1,3.446799219E-1
2.363545834E-1,-5.206061602E-1,-6.077220440E-1,3.499391675E-1
2.463275833E-1,-5.302545428E-1,-6.266033053E-1,3.458546698E-1
2.563005833E-1,-5.305994153E-1,-5.672813654E-1,3.397611976E-1
2.662735833E-1,-5.052602291E-1,-4.747559428E-1,3.364524841E-1
2.762465833E-1,-4.659335315E-1,-3.584708273E-1,3.172632754E-1
2.862195834E-1,-4.119733572E-1,-2.255902886E-1,3.127098083E-1
2.961925833E-1,-3.613290787E-1,-9.336434305E-2,3.212830424E-1
3.061655833E-1,-3.208895028E-1,3.529589996E-2,3.401398361E-1
3.161385834E-1,-3.063849211E-1,1.564213485E-1,3.658194840E-1
3.261115833E-1,-2.922459245E-1,2.786540389E-1,3.759725094E-1
3.360845833E-1,-2.896330357E-1,3.835733533E-1,3.570422530E-1
3.460575833E-1,-2.958174050E-1,4.612109065E-1,3.180945814E-1
3.560305833E-1,-3.004531860E-1,5.134919882E-1,2.557748556E-1
3.660035834E-1,-2.681021690E-1,5.934047103E-1,1.884512007E-1
3.759765833E-1,-2.652879655E-1,5.798758268E-1,1.434283406E-1
3.859495833E-1,-2.902159393E-1,5.940883756E-1,1.432594955E-1
3.959225834E-1,-3.361199498E-1,6.772755980E-1,1.964924335E-1
4.058955833E-1,-3.704662025E-1,8.457801938E-1,2.732428908E-1
4.158685833E-1,-3.881551623E-1,8.113686442E-1,3.717315197E-1
4.258415833E-1,-4.171915948E-1,7.497923374E-1,4.457668662E-1
4.358145833E-1,-4.783447981E-1,7.415815592E-1,4.814055860E-1
4.457875834E-1,-5.226771235E-1,7.613211870E-1,4.823435545E-1
4.557605833E-1,-5.295228362E-1,7.210078835E-1,4.653455019E-1
4.657335833E-1,-5.153226256E-1,5.707065463E-1,4.336387217E-1
4.757065834E-1,-5.059833527E-1,4.111601114E-1,3.858608305E-1
4.856795833E-1,-5.219956040E-1,2.782896757E-1,3.448199332E-1
4.956525833E-1,-5.350903869E-1,2.300358117E-1,3.277907670E-1
5.056255833E-1,-5.499915481E-1,2.784789503E-1,3.333280385E-1
5.155985833E-1,-5.680102110E-1,3.480491340E-1,3.530646861E-1
5.255715833E-1,-5.848573446E-1,3.928022087E-1,3.872522116E-1
5.355445833E-1,-5.770368576E-1,4.228050113E-1,4.138755798E-1
5.455175833E-1,-5.581260324E-1,4.367237687E-1,4.159091711E-1
5.554905834E-1,-5.367793441E-1,4.625371695E-1,3.763734698E-1
5.654635833E-1,-5.093293786E-1,5.357946754E-1,2.999250293E-1
5.754365833E-1,-4.381897748E-1,6.213893890E-1,2.259765863E-1
5.854095833E-1,-2.951149046E-1,6.645696163E-1,2.035152316E-1
5.953815833E-1,-1.174170822E-1,6.985108852E-1,2.067357153E-1
6.053555833E-1,2.093945630E-2,7.458792329E-1,2.535391748E-1
6.153275833E-1,9.430859238E-2,7.664802670E-1,2.899249792E-1
6.253005833E-1,1.037550941E-1,7.010333538E-1,2.802206874E-1
6.352735833E-1,5.026312172E-2,6.086431742E-1,2.317381650E-1
6.452465833E-1,-6.502831727E-2,5.311574936E-1,1.618895829E-1
6.552195833E-1,-2.191147804E-1,5.205219984E-1,7.059009373E-2
6.651925833E-1,-3.587333858E-1,5.762643218E-1,-5.312864482E-2
6.751657916E-1,-4.667464793E-1,7.171958685E-1,-1.672482193E-1
6.851387917E-1,-5.279712081E-1,9.777768850E-1,-2.266172618E-1
6.951117917E-1,-5.434556007E-1,1.367790818E0,-2.008084953E-1
7.050847916E-1,-4.948459864E-1,1.845500946E0,-1.092937663E-1
7.150577917E-1,-3.871822059E-1,2.248136282E0,-8.975513279E-3
7.250307917E-1,-2.620487809E-1,2.390900612E0,4.235451669E-2
7.350037917E-1,-1.176634282E-1,2.370177269E0,2.489800192E-2
7.449767917E-1,8.962557465E-2,2.249695778E0,-1.597520895E-3
7.549497916E-1,3.434545398E-1,2.105729818E0,-2.214135975E-2
7.649227917E-1,4.843775630E-1,2.080869913E0,-8.259098977E-3
7.748957917E-1,4.868260920E-1,2.149937868E0,4.194255173E-2
7.848687916E-1,3.682286143E-1,2.265758753E0,9.314075857E-2
7.948417917E-1,1.936832368E-1,2.452965021E0,1.307050586E-1
8.048147917E-1,5.317884311E-2,2.718551874E0,1.498651654E-1
8.147877917E-1,2.799018845E-2,3.024699688E0,1.230743229E-1
8.247607917E-1,9.418971837E-2,3.300936937E0,6.631250679E-2
8.347337916E-1,1.973772645E-1,3.535635233E0,-3.951440100E-3
8.447067917E-1,2.616065741E-1,3.559323788E0,-1.489816010E-1
8.546797917E-1,1.856015027E-1,3.397491217E0,-4.191693068E-1
8.646527916E-1,-1.151901949E-2,3.246266365E0,-7.262029648E-1
8.746257917E-1,-2.714571953E-1,3.089614391E0,-9.685860276E-1
8.845987917E-1,-5.162509680E-1,2.874131203E0,-1.244944692E0
8.945717917E-1,-6.478733420E-1,2.734367609E0,-1.501569986E0
9.045447917E-1,-7.237513661E-1,2.622681618E0,-1.701977372E0
9.145177917E-1,-8.380441070E-1,2.477908373E0,-1.835697770E0
9.244907917E-1,-1.082901716E0,2.251942158E0,-1.875554919E0
9.344637917E-1,-1.398907781E0,1.988828301E0,-1.890186667E0
9.444367916E-1,-1.645856857E0,1.687764406E0,-1.962798238E0
9.544097917E-1,-1.698935628E0,1.321887136E0,-2.103772402E0
9.643827917E-1,-1.575199485E0,9.453300238E-1,-2.253809214E0
9.743557917E-1,-1.353992462E0,7.446631193E-1,-2.398220301E0
9.843287917E-1,-1.139354944E0,6.811329126E-1,-2.487168550E0
9.943017917E-1,-9.288769960E-1,5.653886199E-1,-2.482956171E0
1.004274792E0,-7.252408266E-1,2.618303001E-1,-2.363020658E0
1.014247792E0,-6.844330430E-1,3.244535923E-1,-2.002284288E0
1.024220792E0,-7.153467536E-1,-6.166322231E-1,-1.955357909E0
1.034192792E0,-7.437546849E-1,-1.220472932E0,-1.757276058E0
1.044165792E0,-8.937410116E-1,-1.686811924E0,-1.618978143E0
1.054138792E0,-1.274544597E0,-2.006190062E0,-1.526786447E0
1.064111792E0,-1.993638635E0,-1.881359100E0,-9.655971527E-1
1.074084792E0,-2.597941875E0,-2.039483547E0,-4.057129323E-1
1.084057792E0,-3.228483438E0,-2.431890249E0,-2.445450872E-1
1.094030792E0,-3.962306261E0,-2.800083160E0,-3.577218354E-1
1.104003792E0,-4.468598843E0,-2.966058016E0,-2.811293006E-1
1.113976792E0,-4.556583405E0,-2.741137266E0,-6.628807634E-2
1.123949792E0,-4.529222012E0,-2.390411854E0,4.288502038E-2
1.133922792E0,-4.281483650E0,-2.316858768E0,2.043711208E-2
1.143895792E0,-3.449912786E0,-2.759748936E0,-1.062095091E-1
1.153868792E0,-2.330933571E0,-3.656553984E0,-1.834950447E-1
1.163841792E0,-1.380777717E0,-3.370722532E0,-2.181917727E-1
1.173814792E0,-7.087362409E-1,-2.450625420E0,-2.121879458E-1
1.183787792E0,-4.133223891E-1,-1.166944623E0,-4.532865807E-2
1.193760792E0,-1.775297821E-1,-2.059621811E-1,1.221769378E-1
1.203733792E0,1.259155720E-1,2.077015638E-1,1.440737098E-1
1.213706792E0,4.506515861E-1,1.723692864E-1,7.177166641E-2
1.223679792E0,7.504404187E-1,-1.071457118E-1,-5.106371641E-2
1.233652792E0,4.653513432E-1,5.093144998E-2,-1.214653775E-1
1.243625792E0,5.135361105E-2,-6.304332614E-2,-1.203955933E-1
1.253598792E0,-1.988690160E-2,-6.068944335E-1,-2.015334964E-1
1.263571792E0,4.187956452E-1,-1.250174046E0,-4.219034016E-1
1.273544792E0,-4.247751087E-2,-7.089334726E-1,-2.336109430E-1
1.283517792E0,-5.454058647E-1,-2.469256222E-1,4.017718881E-2
1.293490792E0,-6.290540695E-1,3.548816219E-2,2.071316540E-1
1.303463792E0,-3.364112973E-1,3.363430500E-1,2.858661413E-1
1.313436792E0,2.027953565E-1,6.270271540E-1,3.057937026E-1
1.323409792E0,3.695183098E-1,9.297984838E-1,3.597756922E-1
1.333382792E0,4.035912156E-1,1.078395367E0,4.068545103E-1
1.343355792E0,2.690757513E-1,1.131308436E0,4.172213972E-1
1.353328792E0,-5.090300739E-2,1.115220904E0,3.880721629E-1
