"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.397249987E-3,-3.817661133E0,3.121009827E0,7.453151093E0
1.137024997E-2,-4.134103088E0,3.142115936E0,7.335795135E0
2.134325000E-2,-4.391717377E0,3.063229980E0,7.507188721E0
3.131624998E-2,-4.540957031E0,2.702480164E0,7.736811218E0
4.128924996E-2,-4.783752136E0,2.320624237E0,7.754474487E0
5.126225000E-2,-4.761897583E0,2.216291199E0,7.618856506E0
6.123524997E-2,-4.431833954E0,2.095492401E0,7.672145691E0
7.120824995E-2,-3.991300049E0,1.716181183E0,7.856562195E0
8.118124999E-2,-3.922592926E0,9.662406921E-1,8.039481812E0
9.115424997E-2,-3.398532715E0,-3.228785706E-1,7.904462585E0
1.011272500E-1,-2.730022888E0,-1.118025055E0,8.083340607E0
1.111002500E-1,-1.993255005E0,-1.364861755E0,8.598120117E0
1.210732500E-1,-1.900447998E0,-1.798360291E0,8.594677277E0
1.310462500E-1,-2.133363647E0,-1.862876129E0,8.868457947E0
1.410192500E-1,-2.589764557E0,-1.491498413E0,9.253157959E0
1.509922500E-1,-2.663261719E0,-9.554631042E-1,9.563312988E0
1.609652500E-1,-2.854114838E0,-4.884342957E-1,9.631421356E0
1.709382500E-1,-2.983595581E0,-3.285667419E-1,9.222172394E0
1.809112500E-1,-2.722688141E0,-3.710783386E-1,8.365354156E0
1.908842500E-1,-2.547851715E0,-1.172062683E-1,7.677534485E0
2.008572500E-1,-2.777025146E0,1.634600830E-1,7.500003662E0
2.108302500E-1,-3.323987732E0,5.745053101E-1,7.819140015E0
2.208032500E-1,-4.189787292E0,1.663341064E0,8.024063873E0
2.307762500E-1,-5.045557709E0,2.287992096E0,7.712112579E0
2.407492500E-1,-5.661975861E0,2.615660706E0,7.303462372E0
2.507222500E-1,-6.131699066E0,2.869832153E0,7.032376099E0
2.606952500E-1,-6.599326630E0,2.235601044E0,7.197782135E0
2.706682500E-1,-6.231840820E0,4.647834778E-1,9.309291229E0
2.806412500E-1,-4.641098785E0,-5.679190063E-1,1.165431473E1
2.906142500E-1,-4.177512817E0,-8.955876160E-1,1.136825958E1
3.005872500E-1,-4.300407257E0,-1.191222839E0,1.150327881E1
3.105602500E-1,-4.038302307E0,-1.069825287E0,1.055515045E1
3.205332500E-1,-3.899091797E0,-9.372010803E-1,9.726174316E0
3.305052500E-1,-3.466042328E0,-1.213825836E0,8.954678650E0
3.404782500E-1,-2.977907410E0,-1.799857178E0,8.249046021E0
3.504512500E-1,-2.400258636E0,-2.358046417E0,7.725285187E0
3.604242500E-1,-2.048639832E0,-3.047213287E0,7.481591949E0
3.703972500E-1,-2.123184814E0,-3.680695953E0,7.181166687E0
3.803702500E-1,-1.855242004E0,-3.754193115E0,7.231162720E0
3.903432500E-1,-1.598076782E0,-3.635639648E0,7.245981903E0
4.003162500E-1,-1.517394562E0,-3.617227936E0,7.458240509E0
4.102892500E-1,-1.857337646E0,-3.976031799E0,7.718249817E0
4.202622500E-1,-1.924547882E0,-4.445755005E0,8.239316254E0
4.302352500E-1,-1.564396820E0,-4.760251007E0,8.673413544E0
4.402082500E-1,-1.207987976E0,-5.051545258E0,9.037755890E0
4.501812500E-1,-1.187929688E0,-5.025649109E0,9.635013885E0
4.601542500E-1,-1.123264160E0,-4.724325714E0,1.065110092E1
4.701272500E-1,-1.111887817E0,-4.784201202E0,1.186477707E1
