"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.279718000E-3,1.388981819E0,5.730588913E0,6.600296974E0
6.250030000E-3,1.271799922E0,5.803315163E0,6.769509792E0
1.022034300E-2,1.121128082E0,5.883654594E0,6.886423111E0
1.419221800E-2,9.477112293E-1,5.975152016E0,6.994727612E0
1.816096800E-2,6.309583187E-1,6.119732857E0,7.226782799E0
2.213128000E-2,3.480115831E-1,6.276591301E0,7.490058899E0
2.610159300E-2,6.121494994E-2,6.463846684E0,7.746746063E0
3.007346800E-2,-1.472338289E-1,6.644168377E0,8.023170471E0
3.404221800E-2,-2.507207990E-1,6.776366711E0,8.236005783E0
3.801409300E-2,-2.635154128E-1,6.894189835E0,8.501829147E0
4.198440500E-2,-2.591004968E-1,6.973715782E0,8.690330505E0
4.595471800E-2,-2.560071945E-1,6.966303349E0,8.995552063E0
4.992659300E-2,-2.734465599E-1,6.907942295E0,9.219219208E0
5.389690500E-2,-2.433370799E-1,6.884939194E0,9.380233765E0
5.786721800E-2,-1.072889641E-1,6.869050980E0,9.374343872E0
6.183753000E-2,8.106767386E-2,6.863084316E0,9.110828400E0
6.580784300E-2,3.006255627E-1,6.808956623E0,8.645702362E0
6.977971800E-2,4.090445936E-1,6.652136326E0,8.189548492E0
7.374846800E-2,4.567753971E-1,6.442394733E0,7.792370319E0
7.772034300E-2,5.068141818E-1,6.222558975E0,7.321152687E0
8.169065500E-2,4.787541628E-1,6.067615509E0,7.079099178E0
8.566096800E-2,5.585672855E-1,5.884296417E0,6.817575455E0
8.963128000E-2,7.960241437E-1,5.725876808E0,6.358693123E0
9.360159300E-2,1.082466483E0,5.622236729E0,5.966331482E0
9.757190500E-2,1.396604896E0,5.487481594E0,5.611194611E0
1.015422180E-1,1.539567471E0,5.426142216E0,5.385412216E0
1.055125300E-1,1.544403791E0,5.485374451E0,5.214973450E0
1.094828430E-1,1.454285979E0,5.637052059E0,5.275470257E0
1.134547180E-1,1.312798262E0,5.799120426E0,5.470511436E0
1.174234680E-1,1.161819935E0,5.978541851E0,5.813255787E0
1.213953430E-1,9.794296026E-1,6.173468113E0,6.284032345E0
1.253656550E-1,8.121898174E-1,6.331753731E0,6.687196732E0
1.293359680E-1,6.555898786E-1,6.531957150E0,7.146002293E0
1.333062800E-1,5.368757844E-1,6.733424187E0,7.575254440E0
1.372765930E-1,3.459238410E-1,6.968218803E0,8.160205841E0
1.412484680E-1,1.411525607E-1,7.175365448E0,8.699284554E0
1.452187800E-1,2.994667366E-2,7.248129368E0,9.028400421E0
1.491890930E-1,3.198653460E-3,7.240248203E0,9.278823853E0
1.531594050E-1,8.942822367E-2,7.151011467E0,9.365819931E0
1.571297180E-1,2.500121295E-1,7.027374744E0,9.313099861E0
1.611000300E-1,4.573978484E-1,6.836499691E0,9.134932518E0
1.650703430E-1,6.445765495E-1,6.630492687E0,8.875018120E0
1.690422180E-1,8.309986591E-1,6.432070732E0,8.479304314E0
1.730109680E-1,9.457383752E-1,6.284712315E0,8.097017288E0
1.769828430E-1,1.050508618E0,6.131885529E0,7.668771267E0
1.809531550E-1,1.110584021E0,6.035428047E0,7.302468300E0
1.849234680E-1,1.122890115E0,5.995512009E0,7.031109333E0
1.888937800E-1,1.131231546E0,5.958621979E0,6.801400185E0
1.928640930E-1,1.144093275E0,5.974481583E0,6.624392033E0
1.968344050E-1,1.123033762E0,5.989440441E0,6.455294609E0
2.008062800E-1,1.116033196E0,6.043625832E0,6.329369068E0
2.047765930E-1,1.055383325E0,6.074874878E0,6.255915165E0
2.087453430E-1,9.565793276E-1,6.106028557E0,6.251432896E0
2.127172180E-1,7.997495532E-1,6.183715343E0,6.321420193E0
2.166875300E-1,6.162962914E-1,6.258500576E0,6.452469349E0
2.206594050E-1,3.358873725E-1,6.403234959E0,6.694848537E0
2.246297180E-1,1.229374707E-1,6.526938438E0,6.948289394E0
2.286000300E-1,-5.491340905E-2,6.678548813E0,7.216506958E0
2.325703430E-1,-1.828787029E-1,6.808065891E0,7.489723682E0
2.365406550E-1,-2.024345398E-1,6.929499626E0,7.702702045E0
2.405109680E-1,-1.487182379E-1,7.014091969E0,7.948893070E0
2.444828430E-1,-5.765237659E-2,7.050406933E0,8.123066902E0
2.484531550E-1,8.972510695E-2,7.018496990E0,8.268567085E0
2.524219050E-1,2.341912389E-1,6.955194473E0,8.395335197E0
2.563937800E-1,4.623873830E-1,6.904772282E0,8.479668617E0
2.603640930E-1,6.545268297E-1,6.841977119E0,8.514068604E0
2.643344050E-1,7.683184743E-1,6.801199436E0,8.504970551E0
2.683047180E-1,7.706839442E-1,6.738863945E0,8.394089699E0
2.722750300E-1,7.390134335E-1,6.645442009E0,8.189137459E0
2.762453430E-1,7.415992022E-1,6.530999184E0,7.945771694E0
2.802156550E-1,7.866485119E-1,6.384138584E0,7.629363060E0
2.841937800E-1,8.900205493E-1,6.207695961E0,7.296607494E0
2.881812800E-1,9.591075778E-1,6.078609943E0,7.074530602E0
2.921312800E-1,1.013025045E0,5.957501411E0,6.845692635E0
2.960984680E-1,1.020514131E0,5.900940895E0,6.685942173E0
3.000687800E-1,9.604195952E-1,5.888701439E0,6.579026699E0
3.040390930E-1,8.873486519E-1,5.916800499E0,6.546551704E0
3.080094050E-1,7.921743393E-1,5.977689266E0,6.610457897E0
3.119797180E-1,6.786029935E-1,6.055481911E0,6.794907093E0
3.159515930E-1,6.027833819E-1,6.143081188E0,7.036166191E0
3.199219050E-1,5.193406343E-1,6.230258942E0,7.338869572E0
3.238922180E-1,4.540268183E-1,6.316555023E0,7.572802544E0
3.278625300E-1,4.234385192E-1,6.387050152E0,7.710459709E0
3.318328430E-1,3.926203549E-1,6.462735653E0,7.837457657E0
3.358031550E-1,3.558549881E-1,6.492318153E0,7.917663097E0
3.397750300E-1,3.163027763E-1,6.550037861E0,8.038436890E0
3.437515930E-1,2.697307765E-1,6.607019901E0,8.129406929E0
3.477156550E-1,1.999158412E-1,6.672142029E0,8.198513031E0
3.516859680E-1,1.304744184E-1,6.729488373E0,8.294692039E0
3.556562800E-1,1.114357188E-1,6.766234398E0,8.330327988E0
3.596265930E-1,9.228210896E-2,6.815421104E0,8.329839706E0
3.635984680E-1,1.099896207E-1,6.828550816E0,8.263769150E0
3.675687800E-1,1.537939459E-1,6.800557613E0,8.150312424E0
3.715375300E-1,2.240781188E-1,6.717009068E0,7.973199368E0
3.755094050E-1,3.226521909E-1,6.614240646E0,7.798077583E0
3.794797180E-1,4.582980871E-1,6.482578754E0,7.604990005E0
3.834500300E-1,6.002646685E-1,6.317378998E0,7.486994267E0
