"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.402442000E-3,2.479760885E0,3.776125193E0,7.359239578E0
9.372754000E-3,2.520845413E0,3.834342718E0,7.363597393E0
1.334306700E-2,2.485286713E0,3.984650612E0,7.454615116E0
1.731337900E-2,2.453376770E0,4.150530815E0,7.571289539E0
2.128369200E-2,2.289661407E0,4.347755432E0,7.697665215E0
2.525556700E-2,2.134085894E0,4.492527962E0,7.826865673E0
2.922587900E-2,2.017976761E0,4.569573402E0,7.926924229E0
3.319619200E-2,1.852020383E0,4.630232811E0,8.020010948E0
3.716650400E-2,1.695745945E0,4.667936325E0,8.128286362E0
4.113681700E-2,1.565798283E0,4.681143284E0,8.227185249E0
4.510712900E-2,1.504420519E0,4.716998577E0,8.337721825E0
4.907744200E-2,1.500187635E0,4.758073807E0,8.460916519E0
5.304931700E-2,1.555714011E0,4.792023659E0,8.612853050E0
5.701962900E-2,1.675902843E0,4.831930161E0,8.759578705E0
6.098994200E-2,1.799606442E0,4.829095364E0,8.871810913E0
6.496025400E-2,1.931364298E0,4.806924820E0,8.956201553E0
6.893056700E-2,2.039103270E0,4.778366566E0,8.934155464E0
7.290087900E-2,2.169903278E0,4.737598419E0,8.839976311E0
7.687119200E-2,2.286328554E0,4.665245533E0,8.721684456E0
8.084306700E-2,2.340092659E0,4.582013607E0,8.605766296E0
8.481337900E-2,2.380746365E0,4.476161003E0,8.465016365E0
8.878369200E-2,2.415606022E0,4.386981964E0,8.320837021E0
9.275400400E-2,2.425019741E0,4.320375443E0,8.200351715E0
9.672587900E-2,2.407628536E0,4.287230015E0,8.068248749E0
1.006946290E-1,2.332546234E0,4.295465946E0,7.990015984E0
1.046649420E-1,2.247485161E0,4.343560696E0,7.911371708E0
1.086352540E-1,2.179221392E0,4.327490807E0,7.842792034E0
1.126071290E-1,2.185283661E0,4.279166698E0,7.775275230E0
1.165774420E-1,2.211773157E0,4.167069912E0,7.701217651E0
1.205477540E-1,2.248682022E0,4.067844391E0,7.692560673E0
1.245180670E-1,2.241288900E0,3.966263294E0,7.735291958E0
1.284883790E-1,2.219444036E0,3.921788692E0,7.804369450E0
1.324586920E-1,2.181510448E0,3.905891180E0,7.853747368E0
1.364290040E-1,2.143337250E0,3.955374479E0,7.916495323E0
1.404008790E-1,2.122728109E0,4.058689117E0,7.940657139E0
1.443711920E-1,2.124030590E0,4.191337585E0,7.993453979E0
1.483399420E-1,2.109377861E0,4.303443432E0,8.048213959E0
1.523118170E-1,2.072928429E0,4.358911991E0,8.157983780E0
1.562821290E-1,2.025733948E0,4.401060104E0,8.289242744E0
1.602524420E-1,1.985099554E0,4.420472145E0,8.388353348E0
1.642243170E-1,1.963235855E0,4.425471306E0,8.474937439E0
1.681946290E-1,1.946428418E0,4.387135029E0,8.530416489E0
1.721633790E-1,1.970954657E0,4.359199524E0,8.546026230E0
1.761352540E-1,2.043997049E0,4.329128265E0,8.579439163E0
1.801055670E-1,2.075610161E0,4.324502945E0,8.592090607E0
1.840758790E-1,2.125380516E0,4.268497467E0,8.581172943E0
1.880477540E-1,2.188482523E0,4.223544121E0,8.590730667E0
1.920165040E-1,2.236577034E0,4.200167179E0,8.611052513E0
1.959868170E-1,2.275746107E0,4.176790237E0,8.649627686E0
1.999586920E-1,2.298270702E0,4.182517052E0,8.690234184E0
2.039290040E-1,2.314513206E0,4.218497276E0,8.729249954E0
2.078993170E-1,2.320584774E0,4.252514362E0,8.795099258E0
2.118696290E-1,2.327891827E0,4.296768665E0,8.840082169E0
2.158399420E-1,2.305941820E0,4.348368168E0,8.896020889E0
2.198118170E-1,2.217883110E0,4.401241779E0,8.949257851E0
2.237821290E-1,2.127497196E0,4.432136536E0,8.959695816E0
2.277602540E-1,2.029832840E0,4.476621151E0,8.964656830E0
2.317227540E-1,1.920274258E0,4.516182423E0,8.955300331E0
2.356930670E-1,1.785528541E0,4.541953564E0,8.968498230E0
2.396633790E-1,1.654422164E0,4.552229881E0,8.980918884E0
2.436336920E-1,1.549096465E0,4.552124500E0,8.963412285E0
2.476040040E-1,1.452428102E0,4.569573402E0,8.904783249E0
2.515743170E-1,1.363727689E0,4.604681969E0,8.844391823E0
2.555461920E-1,1.305768967E0,4.634561539E0,8.776587486E0
2.595165040E-1,1.256764412E0,4.651464939E0,8.732334137E0
2.634868170E-1,1.252694249E0,4.641849518E0,8.685407639E0
2.674571290E-1,1.270938039E0,4.630539417E0,8.636795044E0
2.714274420E-1,1.271531701E0,4.592069149E0,8.592388153E0
2.753977540E-1,1.321388721E0,4.556778908E0,8.598373413E0
2.793680670E-1,1.378025889E0,4.519419670E0,8.622305870E0
2.833399420E-1,1.390284181E0,4.530969143E0,8.658170700E0
2.873102540E-1,1.388818979E0,4.541006088E0,8.674604416E0
2.912805670E-1,1.353193283E0,4.546723366E0,8.663935661E0
2.952508790E-1,1.308124781E0,4.553445816E0,8.655086517E0
2.992211920E-1,1.270248532E0,4.557592869E0,8.622545242E0
