"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.419406700E-2,-8.208283782E-2,5.248204991E-2,-1.349488646E-1
1.816437900E-2,-1.194503307E-1,5.963790044E-2,-1.519832760E-1
2.213469200E-2,-1.489114910E-1,5.471607298E-2,-1.619840115E-1
2.610656700E-2,-1.722639948E-1,4.291764647E-2,-1.626472324E-1
3.007687900E-2,-1.854237765E-1,3.019419685E-2,-1.531875432E-1
3.404719200E-2,-1.963669956E-1,1.527163107E-2,-1.338492930E-1
3.801750400E-2,-2.025454640E-1,-7.853981806E-4,-1.111949235E-1
4.198781700E-2,-2.044478655E-1,-1.717403904E-2,-8.196066320E-2
4.595812900E-2,-2.016378939E-1,-3.258529678E-2,-5.009094998E-2
4.992844200E-2,-1.944296807E-1,-4.534365237E-2,-2.010619268E-2
5.390031700E-2,-1.794547588E-1,-5.618214980E-2,7.574729156E-3
5.787062900E-2,-1.567480266E-1,-6.639232486E-2,3.014183603E-2
6.184094200E-2,-1.273217648E-1,-7.852236181E-2,4.431391135E-2
6.581125400E-2,-9.271188825E-2,-9.690067917E-2,5.131268129E-2
6.978156700E-2,-5.719443783E-2,-1.173384860E-1,5.178391933E-2
7.375187900E-2,-2.668608353E-2,-1.332209855E-1,4.408701509E-2
7.772219200E-2,-4.293509759E-3,-1.352630109E-1,3.228859231E-2
8.169406700E-2,1.085594762E-2,-1.245117858E-1,1.851794310E-2
8.566437900E-2,1.918116771E-2,-1.042310596E-1,-8.552113432E-4
8.963469200E-2,2.209586836E-2,-7.696902007E-2,-2.336995862E-2
9.360500400E-2,2.106612362E-2,-4.967207089E-2,-4.956734926E-2
9.757687900E-2,1.851794310E-2,-1.788962446E-2,-7.942993194E-2
1.015456290E-1,1.214749180E-2,1.523672417E-2,-1.108458638E-1
1.055159420E-1,2.059488557E-3,5.455899239E-2,-1.438849419E-1
1.094862540E-1,-7.347836159E-3,9.735446423E-2,-1.719149351E-1
1.134581290E-1,-1.747074537E-2,1.407084465E-1,-1.992293298E-1
1.174284420E-1,-2.958333120E-2,1.926494390E-1,-2.278876454E-1
1.213987540E-1,-4.223696887E-2,2.417455465E-1,-2.600366175E-1
1.253690670E-1,-5.892231688E-2,2.840523422E-1,-2.926742733E-1
1.293393790E-1,-7.442083955E-2,3.125361204E-1,-3.198490441E-1
1.333096920E-1,-8.976228535E-2,3.288549483E-1,-3.434982598E-1
1.372800040E-1,-1.033758521E-1,3.347541392E-1,-3.553839326E-1
1.412518790E-1,-1.168672442E-1,3.347890675E-1,-3.560820818E-1
1.452221920E-1,-1.327322870E-1,3.335847855E-1,-3.505319357E-1
1.491909420E-1,-1.480039209E-1,3.245614171E-1,-3.414038420E-1
1.531628170E-1,-1.634326279E-1,3.066892624E-1,-3.305828273E-1
1.571331290E-1,-1.764876992E-1,2.781182230E-1,-3.169343472E-1
1.611034420E-1,-1.824567169E-1,2.449045926E-1,-2.996730208E-1
1.650753170E-1,-1.820552945E-1,2.139599174E-1,-2.802824378E-1
1.690456290E-1,-1.759291887E-1,1.888795346E-1,-2.574535310E-1
1.730143790E-1,-1.675516069E-1,1.736079007E-1,-2.370506227E-1
1.769862540E-1,-1.567829251E-1,1.634500772E-1,-2.234370559E-1
1.809565670E-1,-1.482482702E-1,1.569050997E-1,-2.126683742E-1
1.849268790E-1,-1.409178823E-1,1.529257447E-1,-2.091078907E-1
1.888987540E-1,-1.344950646E-1,1.571494490E-1,-2.140471786E-1
1.928675040E-1,-1.280024499E-1,1.653350443E-1,-2.222676724E-1
1.968378170E-1,-1.189267337E-1,1.769589335E-1,-2.376440316E-1
2.008096920E-1,-1.082802266E-1,1.902234405E-1,-2.552020550E-1
2.047800040E-1,-9.768607467E-2,2.061757445E-1,-2.754478753E-1
2.087503170E-1,-8.468337357E-2,2.217789888E-1,-2.987829149E-1
2.127206290E-1,-7.059856504E-2,2.320240736E-1,-3.226415515E-1
2.166909420E-1,-5.579817668E-2,2.389006615E-1,-3.452610373E-1
2.206628170E-1,-3.974114731E-2,2.420597076E-1,-3.636567891E-1
2.246331290E-1,-2.637192421E-2,2.412219495E-1,-3.765896857E-1
2.286112540E-1,-1.490511186E-2,2.405587286E-1,-3.817733228E-1
2.325737540E-1,-4.694935866E-3,2.364571989E-1,-3.789109886E-1
2.365440670E-1,4.276056774E-3,2.278701812E-1,-3.698701859E-1
2.405143790E-1,1.143190637E-2,2.127032727E-1,-3.559249938E-1
2.444846920E-1,1.870992966E-2,1.918814927E-1,-3.348414302E-1
2.484550040E-1,2.394591644E-2,1.694191098E-1,-3.103544414E-1
2.524253170E-1,2.560397983E-2,1.533271670E-1,-2.853264213E-1
2.563971920E-1,2.347467840E-2,1.402546614E-1,-2.545562685E-1
2.603675040E-1,1.705186628E-2,1.303761005E-1,-2.254441828E-1
2.643378170E-1,7.993607782E-3,1.231329814E-1,-2.002590746E-1
2.683081290E-1,-2.775073517E-3,1.165705398E-1,-1.774301678E-1
2.722784420E-1,-1.146681327E-2,1.175828278E-1,-1.601688713E-1
2.762487540E-1,-1.855284907E-2,1.207069680E-1,-1.487544179E-1
2.802190670E-1,-2.174680308E-2,1.221206859E-1,-1.409702450E-1
2.841909420E-1,-2.228785492E-2,1.212829277E-1,-1.368338168E-1
2.881612540E-1,-2.001892589E-2,1.195550561E-1,-1.348441392E-1
2.921315670E-1,-1.731366664E-2,1.173035800E-1,-1.323657632E-1
2.961018790E-1,-1.314232964E-2,1.186649352E-1,-1.311265826E-1
3.000721920E-1,-1.010545623E-2,1.270076036E-1,-1.317199916E-1
3.040425040E-1,-8.848818950E-3,1.395565271E-1,-1.288402081E-1
3.080128170E-1,-1.062905509E-2,1.557880938E-1,-1.279500872E-1
3.119831290E-1,-1.200786512E-2,1.719149351E-1,-1.262047589E-1
3.159550040E-1,-1.432915311E-2,1.842544079E-1,-1.227490082E-1
3.199253170E-1,-1.507964451E-2,1.946914792E-1,-1.140223593E-1
3.238956290E-1,-1.392772701E-2,2.017775178E-1,-1.042136103E-1
3.278659420E-1,-1.179842558E-2,2.021265775E-1,-9.487609565E-2
3.318362540E-1,-1.066396199E-2,1.928937882E-1,-8.822639287E-2
3.358065670E-1,-7.644542027E-3,1.788787991E-1,-8.197811246E-2
3.397784420E-1,-1.448623254E-3,1.601688713E-1,-7.524114102E-2
3.437487540E-1,6.928957067E-3,1.410051435E-1,-6.761405617E-2
3.477190670E-1,1.830850355E-2,1.207767874E-1,-5.869542435E-2
3.516893790E-1,2.802998759E-2,1.061858311E-1,-5.003859103E-2
3.556596920E-1,3.570943698E-2,9.122835845E-2,-4.192280769E-2
3.596300040E-1,4.040437192E-2,8.086110651E-2,-3.769911081E-2
3.636003170E-1,4.164355621E-2,7.483971864E-2,-3.628539667E-2
3.675706290E-1,3.864159063E-2,7.403686643E-2,-3.637266159E-2
3.715409420E-1,3.335324302E-2,7.442083955E-2,-4.227187485E-2
3.755128170E-1,2.670353837E-2,7.511897385E-2,-4.907865822E-2
3.794831290E-1,1.879719645E-2,7.862707973E-2,-5.733406544E-2
3.834534420E-1,1.160643995E-2,8.630653471E-2,-6.745697558E-2
3.874237540E-1,2.059488557E-3,9.885545075E-2,-7.716100663E-2
3.913940670E-1,-1.034980267E-2,1.143016145E-1,-8.964011073E-2
3.953643790E-1,-2.232276089E-2,1.326450258E-1,-1.032711342E-1
3.993362540E-1,-3.131120652E-2,1.502204835E-1,-1.107411385E-1
4.033065670E-1,-3.412118554E-2,1.668534726E-1,-1.190140024E-1
4.072768790E-1,-3.183480725E-2,1.815840602E-1,-1.250877529E-1
4.112471920E-1,-2.281145379E-2,1.894903928E-1,-1.263792962E-1
