"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.427864800E-2,1.846209317E-1,-1.367290974E0,3.930830657E-1
1.824896100E-2,2.085319310E-1,-1.372404695E0,4.273613095E-1
2.221927300E-2,2.399129570E-1,-1.357639313E0,4.512025118E-1
2.618958600E-2,2.765299678E-1,-1.321877480E0,4.703487754E-1
3.016146100E-2,3.157300651E-1,-1.285138249E0,4.824264646E-1
3.413177300E-2,3.596948981E-1,-1.256113410E0,4.888841808E-1
3.810208600E-2,4.028918147E-1,-1.244332433E0,4.971919358E-1
4.207239800E-2,4.486543238E-1,-1.234366655E0,4.984485805E-1
4.604271100E-2,4.990943372E-1,-1.219409227E0,4.938234687E-1
5.001302300E-2,5.536533594E-1,-1.202880859E0,4.795117676E-1
5.398333600E-2,6.143907905E-1,-1.187713981E0,4.569795430E-1
5.795364800E-2,6.836628914E-1,-1.177887797E0,4.247433245E-1
6.192396100E-2,7.494618297E-1,-1.177433968E0,3.896971047E-1
6.589583600E-2,8.197287917E-1,-1.185287952E0,3.531673849E-1
6.986614800E-2,8.859291077E-1,-1.200716734E0,3.218038082E-1
7.383646100E-2,9.467189312E-1,-1.234261990E0,2.964616120E-1
7.780677300E-2,9.967401028E-1,-1.290094972E0,2.797588110E-1
8.177708600E-2,1.030110717E0,-1.365475774E0,2.740516067E-1
8.574739800E-2,1.044666767E0,-1.460718393E0,2.800904512E-1
8.971771100E-2,1.041263461E0,-1.560498834E0,2.953620553E-1
9.368802300E-2,1.011470675E0,-1.641255260E0,3.129026294E-1
9.765989800E-2,9.319360256E-1,-1.638550043E0,3.362900317E-1
1.016302110E-1,8.098851442E-1,-1.577585697E0,3.706730306E-1
1.056005230E-1,6.620906591E-1,-1.504124761E0,4.142887890E-1
1.095708360E-1,5.150291920E-1,-1.445830703E0,4.643273950E-1
1.135427110E-1,3.764151633E-1,-1.432234645E0,5.165127516E-1
1.175114610E-1,2.675240636E-1,-1.476112247E0,5.775468946E-1
1.214817730E-1,1.928065270E-1,-1.563727736E0,6.441661119E-1
1.254536480E-1,1.457524449E-1,-1.683247924E0,7.208733559E-1
1.294239610E-1,1.303237379E-1,-1.824898839E0,8.016646504E-1
1.333942730E-1,1.392598152E-1,-1.937332869E0,8.682314754E-1
1.373645860E-1,1.706408411E-1,-2.002922297E0,9.226159453E-1
1.413348980E-1,2.167698890E-1,-2.020916700E0,9.640325904E-1
1.453052110E-1,2.700373530E-1,-2.012626410E0,9.882403016E-1
1.492770860E-1,3.256435394E-1,-2.001124620E0,9.989042878E-1
1.532473980E-1,3.798883557E-1,-1.988348842E0,1.004995465E0
1.572177110E-1,4.244466126E-1,-1.979866624E0,1.010336161E0
1.611880230E-1,4.544313848E-1,-1.988191843E0,1.016392469E0
1.651583360E-1,4.699299037E-1,-2.008141041E0,1.023391247E0
1.691286480E-1,4.647986293E-1,-2.025262594E0,1.029587150E0
1.731005230E-1,4.395262599E-1,-2.027164936E0,1.035573602E0
1.770708360E-1,3.933448493E-1,-2.003742695E0,1.039832234E0
1.810395860E-1,3.293785453E-1,-1.950841784E0,1.038244009E0
1.850114610E-1,2.471909821E-1,-1.857239723E0,1.033165097E0
1.889817730E-1,1.484053433E-1,-1.730633616E0,1.020703435E0
1.929520860E-1,3.715806082E-2,-1.593136549E0,1.005257249E0
1.969223980E-1,-8.805186301E-2,-1.458205104E0,9.861633778E-1
2.008927110E-1,-2.180614322E-1,-1.330150366E0,9.628458023E-1
2.048645860E-1,-3.579844832E-1,-1.217436910E0,9.376432300E-1
2.088348980E-1,-5.065818429E-1,-1.099557400E0,9.041154385E-1
2.128052110E-1,-6.520375609E-1,-9.873850942E-1,8.679871559E-1
2.167755230E-1,-7.989943027E-1,-8.724551797E-1,8.281587362E-1
2.207458360E-1,-9.423556328E-1,-7.464947701E-1,7.811919451E-1
2.247161480E-1,-1.067966938E0,-5.988399386E-1,7.241196632E-1
2.286864610E-1,-1.185759187E0,-4.133812189E-1,6.459987164E-1
2.326567730E-1,-1.286621809E0,-1.937839091E-1,5.589416623E-1
2.366286480E-1,-1.379316211E0,5.578072369E-2,4.698251784E-1
2.406005230E-1,-1.469846487E0,3.142639697E-1,3.850370944E-1
2.445692730E-1,-1.552313328E0,5.627290606E-1,3.082949519E-1
2.485395860E-1,-1.629666328E0,8.181231022E-1,2.304707319E-1
2.525114610E-1,-1.697716713E0,1.048698545E0,1.565909386E-1
2.564802110E-1,-1.757145166E0,1.223807454E0,9.592329711E-2
2.604505230E-1,-1.826347470E0,1.365336180E0,4.082325101E-2
2.644208360E-1,-1.901745677E0,1.463807583E0,1.047197584E-4
2.683927110E-1,-1.990355968E0,1.534947276E0,-2.525491454E-2
2.723630230E-1,-2.085546255E0,1.591251612E0,-3.892084211E-2
2.763333360E-1,-2.193494797E0,1.633785248E0,-4.775220901E-2
2.803036480E-1,-2.313887596E0,1.677959561E0,-5.216789246E-2
2.842739610E-1,-2.435606956E0,1.721557856E0,-5.527457595E-2
2.882458360E-1,-2.565337181E0,1.763934493E0,-6.134832278E-2
2.922145860E-1,-2.690721750E0,1.794128656E0,-6.834709644E-2
2.961848980E-1,-2.796715498E0,1.807253480E0,-7.710864395E-2
3.001567730E-1,-2.895239353E0,1.806607723E0,-9.187413007E-2
3.041270860E-1,-2.970777273E0,1.793517828E0,-1.146681309E-1
3.080973980E-1,-3.024341345E0,1.737143636E0,-1.385616958E-1
3.120677110E-1,-3.035790682E0,1.661710501E0,-1.696110964E-1
3.160380230E-1,-2.998266220E0,1.616733432E0,-2.145707756E-1
3.200083360E-1,-2.910511017E0,1.550934434E0,-2.650108039E-1
3.239802110E-1,-2.797605753E0,1.381236076E0,-3.058689535E-1
3.279505230E-1,-2.655099630E0,1.119471669E0,-3.354871869E-1
3.319208360E-1,-2.448976278E0,8.437619805E-1,-3.654719293E-1
3.358911480E-1,-2.186600924E0,5.603379607E-1,-3.955788612E-1
3.398661480E-1,-1.877537966E0,1.932079494E-1,-4.190884531E-1
3.438317730E-1,-1.539659619E0,-3.659780920E-1,-4.369431734E-1
3.478020860E-1,-1.160591602E0,-9.797405601E-1,-4.479387403E-1
3.517739610E-1,-7.697949409E-1,-1.607308626E0,-4.210606813E-1
3.557442730E-1,-3.745476604E-1,-2.141641140E0,-3.116110861E-1
3.597145860E-1,2.426007576E-2,-2.516607761E0,-1.062905490E-1
3.636848980E-1,3.925420046E-1,-2.637384415E0,1.866978705E-1
3.676552110E-1,7.066663504E-1,-2.526835203E0,5.063723922E-1
3.716255230E-1,9.556375742E-1,-2.262295723E0,7.824834585E-1
3.755958360E-1,1.145529389E0,-1.909529805E0,9.760230184E-1
3.795661480E-1,1.305261970E0,-1.512362719E0,1.102506995E0
3.835380230E-1,1.432985067E0,-1.137884855E0,1.173995733E0
3.875083360E-1,1.532364130E0,-8.192750216E-1,1.208727717E0
3.914786480E-1,1.616227269E0,-5.209109783E-1,1.216424704E0
3.954489610E-1,1.688815475E0,-2.210634053E-1,1.200385094E0
3.994192730E-1,1.758017778E0,1.225221157E-1,1.158846259E0
4.033895860E-1,1.814601421E0,4.742583036E-1,1.104357123E0
4.073598980E-1,1.859927535E0,8.217708468E-1,1.046499372E0
4.113317730E-1,1.882581949E0,1.166473389E0,9.892351627E-1
4.153020860E-1,1.874675632E0,1.481784582E0,9.383239150E-1
4.192723980E-1,1.825317740E0,1.728905678E0,9.005200863E-1
4.232427110E-1,1.737056375E0,1.912235141E0,8.688423634E-1
4.272130230E-1,1.619508505E0,2.024756432E0,8.387703300E-1
4.311833360E-1,1.475920200E0,2.086750507E0,8.143531680E-1
4.351536480E-1,1.312993765E0,2.136858940E0,7.983484864E-1
4.391255230E-1,1.124445796E0,2.209551811E0,7.809475660E-1
4.430958360E-1,9.134878516E-1,2.277584791E0,7.593927383E-1
4.470661480E-1,7.037342191E-1,2.326663494E0,7.321132421E-1
4.510364610E-1,4.943994284E-1,2.349841595E0,7.007496953E-1
4.550067730E-1,2.866179645E-1,2.362634659E0,6.633821726E-1
4.589770860E-1,1.003913358E-1,2.381449461E0,6.173578501E-1
4.629489610E-1,-8.346164227E-2,2.400997162E0,5.674239993E-1
4.669192730E-1,-2.423389703E-1,2.403702259E0,5.136154890E-1
4.708895860E-1,-3.761009872E-1,2.387837410E0,4.556182027E-1
4.748598980E-1,-4.716228545E-1,2.353890657E0,3.978827000E-1
4.788302110E-1,-5.230228305E-1,2.306365252E0,3.458195329E-1
4.828005230E-1,-5.319240093E-1,2.250881433E0,3.007551432E-1
4.867708360E-1,-5.033704042E-1,2.220582485E0,2.634225488E-1
4.907411480E-1,-4.391597509E-1,2.232241154E0,2.399827689E-1
4.947114610E-1,-3.560646176E-1,2.281494379E0,2.383770645E-1
4.986833360E-1,-2.377312928E-1,2.352319956E0,2.498613298E-1
5.026536480E-1,-1.010371074E-1,2.421556950E0,2.742435932E-1
5.066239610E-1,4.174827412E-2,2.470478535E0,3.081378639E-1
5.105942730E-1,1.931206882E-1,2.492417336E0,3.436378837E-1
5.145645860E-1,3.600439727E-1,2.486238956E0,3.760835528E-1
5.185348980E-1,5.333377123E-1,2.473585367E0,3.893829584E-1
5.225067730E-1,6.904522777E-1,2.494040489E0,3.839375377E-1
5.264755230E-1,8.131139874E-1,2.583802938E0,3.770958483E-1
5.304473980E-1,8.977973461E-1,2.700286150E0,3.658559024E-1
5.344177110E-1,9.573479891E-1,2.833175421E0,3.422765136E-1
5.383880230E-1,9.936508536E-1,2.956971645E0,3.123441339E-1
5.423583360E-1,1.006880403E0,3.018843651E0,2.768441141E-1
5.463286480E-1,9.904743433E-1,2.968316317E0,2.400351316E-1
5.502989610E-1,9.467538595E-1,2.841291189E0,2.081654221E-1
5.542708360E-1,8.770803213E-1,2.690355301E0,1.790707856E-1
5.582411480E-1,8.048585653E-1,2.536818504E0,1.477072090E-1
5.622114610E-1,7.367907166E-1,2.347886801E0,1.208640486E-1
5.661817730E-1,6.675710082E-1,2.112913132E0,9.536478668E-2
5.701520860E-1,5.937086344E-1,1.851742029E0,6.883578748E-2
