"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.457952000E-3,1.477768302E0,3.333456516E0,7.283151627E0
6.428265000E-3,1.607907534E0,3.404382229E0,7.892006874E0
1.039857700E-2,1.610713482E0,3.476409674E0,8.590347290E0
1.436889000E-2,1.621698141E0,3.509631634E0,9.244558334E0
1.833920200E-2,1.995432973E0,3.385650158E0,9.693145752E0
2.230951500E-2,2.319569588E0,3.352667809E0,9.938753128E0
2.627982700E-2,2.476495028E0,3.274559259E0,1.025219250E1
3.025170200E-2,2.694693089E0,3.135590076E0,1.060868835E1
3.422201500E-2,2.873587847E0,3.036336184E0,1.089367485E1
3.819232700E-2,3.111284256E0,2.956676245E0,1.116353989E1
4.216264000E-2,3.445648909E0,2.882254839E0,1.127598190E1
4.613295200E-2,3.666030169E0,2.819469452E0,1.123902416E1
5.010326500E-2,3.822141886E0,2.742031336E0,1.103094959E1
5.407357700E-2,3.717582226E0,2.613568068E0,1.071628380E1
5.804389000E-2,3.070171118E0,2.444891930E0,1.006221676E1
6.201576500E-2,2.008036137E0,2.295522213E0,9.095217705E0
6.598607700E-2,1.104847431E0,2.274549007E0,8.217034340E0
6.995639000E-2,4.364246428E-1,2.371562004E0,7.347105980E0
7.392670200E-2,2.843641341E-1,2.557390451E0,6.715869427E0
7.789701500E-2,4.728644192E-1,2.735835314E0,6.356586456E0
8.186732700E-2,9.301090837E-1,2.937034130E0,6.143243790E0
8.583920200E-2,1.457656980E0,3.069414616E0,6.083475113E0
8.980951500E-2,2.136413336E0,3.169846535E0,6.176906109E0
9.377982700E-2,2.721805096E0,3.200348616E0,6.386791706E0
9.775014000E-2,3.144985199E0,3.129585505E0,6.601407528E0
1.017204520E-1,3.459851265E0,2.985818624E0,6.919760227E0
1.056907650E-1,3.527674198E0,2.850938797E0,7.343313694E0
1.096626400E-1,3.490363121E0,2.690096140E0,7.872058392E0
1.136313900E-1,3.389126539E0,2.535268068E0,8.270253181E0
1.176032650E-1,3.174615622E0,2.484070539E0,8.626768112E0
1.215735770E-1,2.868799448E0,2.514524698E0,9.030689240E0
1.255438900E-1,2.731937170E0,2.569045305E0,9.341945648E0
1.295142020E-1,2.571794033E0,2.669745684E0,9.581375122E0
1.334845150E-1,2.513998032E0,2.773778439E0,9.754131317E0
1.374548270E-1,2.521870136E0,2.813378334E0,9.805041313E0
1.414251400E-1,2.481714487E0,2.810926676E0,9.788234711E0
1.454017020E-1,2.395360708E0,2.725539923E0,9.874052048E0
1.493673270E-1,2.268477201E0,2.607410192E0,9.933667183E0
1.533376400E-1,2.076615810E0,2.461057425E0,9.884366035E0
1.573079520E-1,1.882426739E0,2.378849983E0,9.784297943E0
1.612782650E-1,1.666527271E0,2.287650108E0,9.625572205E0
1.652485770E-1,1.570941091E0,2.245186567E0,9.465945244E0
1.692204520E-1,1.532490253E0,2.186078548E0,9.315398216E0
1.731892020E-1,1.597545385E0,2.137849808E0,9.181313515E0
1.771610770E-1,1.681467056E0,2.115918875E0,9.138246536E0
1.811313900E-1,1.843362927E0,2.100433111E0,9.203838348E0
1.851017020E-1,2.027170420E0,2.043776751E0,9.318482399E0
1.890720150E-1,2.256381750E0,1.992856979E0,9.504798889E0
1.930423270E-1,2.555159092E0,1.896207809E0,9.910511017E0
1.970126400E-1,2.800804138E0,1.788009048E0,1.040426159E1
2.009845150E-1,3.018006086E0,1.623230457E0,1.090601921E1
2.049548270E-1,3.178523064E0,1.480622172E0,1.128412247E1
2.089251400E-1,3.310098886E0,1.407809734E0,1.142779255E1
2.128954520E-1,3.513586760E0,1.390619397E0,1.150946426E1
2.168657650E-1,3.615445852E0,1.428227544E0,1.142918205E1
2.208360770E-1,3.605801821E0,1.541731834E0,1.116459370E1
2.248063900E-1,3.420500278E0,1.632701874E0,1.083593655E1
2.287782650E-1,3.121100664E0,1.696531415E0,1.043827915E1
2.327470150E-1,2.811511040E0,1.811903119E0,1.002255917E1
2.367188900E-1,2.648417950E0,1.982782125E0,9.669021606E0
2.406892020E-1,2.616766691E0,2.106571674E0,9.448640823E0
2.446595150E-1,2.617015600E0,2.163343191E0,9.227511406E0
2.486298270E-1,2.652536154E0,2.145453691E0,9.131484985E0
2.526001400E-1,2.650840998E0,2.052156448E0,9.032375336E0
2.565970150E-1,2.567589760E0,1.981106043E0,8.931550026E0
2.605407650E-1,2.500801086E0,1.886123419E0,8.889603615E0
2.645188900E-1,2.471390963E0,1.853820801E0,8.884490013E0
2.684829520E-1,2.411928415E0,1.820656419E0,8.895215988E0
2.724532650E-1,2.311860323E0,1.812362790E0,8.963680267E0
2.764329520E-1,2.150826454E0,1.829409599E0,8.973965645E0
2.803938900E-1,2.069021225E0,1.769305468E0,8.752876282E0
2.843657650E-1,2.089046478E0,1.757353663E0,8.564872742E0
2.883360770E-1,2.168505192E0,1.802872181E0,8.512372971E0
2.923048270E-1,2.338570118E0,1.774764299E0,8.578462601E0
2.962767020E-1,2.562686443E0,1.689272046E0,8.705374718E0
3.002470150E-1,2.784657717E0,1.568527699E0,8.823945045E0
3.042173270E-1,2.970160484E0,1.419359326E0,9.010549545E0
3.081876400E-1,3.103594065E0,1.296613455E0,9.173708916E0
3.121579520E-1,3.171024323E0,1.219663858E0,9.308130264E0
3.161298270E-1,3.201047659E0,1.156504750E0,9.462440491E0
3.201001400E-1,3.179653168E0,1.141114831E0,9.637619019E0
3.240704520E-1,3.133243799E0,1.187878370E0,9.856420517E0
3.280407650E-1,3.191365480E0,1.081901431E0,9.902762413E0
3.320110770E-1,3.257761478E0,7.694677114E-1,9.857100487E0
3.359813900E-1,3.122096539E0,7.546140552E-1,9.840446472E0
3.399532650E-1,2.930655956E0,9.043187499E-1,9.792180061E0
3.439235770E-1,2.806875944E0,1.099934578E0,9.726760864E0
3.478923270E-1,2.854070425E0,1.232247710E0,9.671109200E0
3.518642020E-1,2.947223902E0,1.227986097E0,9.537436485E0
3.558345150E-1,2.963973761E0,1.244965672E0,9.192393303E0
3.598048270E-1,3.015650272E0,1.180839419E0,8.823829651E0
