"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.974157000E-3,-2.847330272E-1,-2.814168930E-1,2.103645355E-1
1.394446900E-2,-3.282440603E-1,-2.444682717E-1,2.182010561E-1
1.791478200E-2,-3.636742532E-1,-2.130174339E-1,2.257932425E-1
2.188509400E-2,-3.840596974E-1,-1.939758956E-1,2.313957512E-1
2.585540700E-2,-3.922278285E-1,-1.930683255E-1,2.369109988E-1
2.982571900E-2,-3.851941526E-1,-2.089333683E-1,2.419724464E-1
3.379603200E-2,-3.712838888E-1,-2.350609452E-1,2.487094104E-1
3.776790700E-2,-3.524692357E-1,-2.641555667E-1,2.545388043E-1
4.173821900E-2,-3.327993751E-1,-2.884680033E-1,2.593559325E-1
4.570853200E-2,-3.115761876E-1,-3.101450205E-1,2.642253935E-1
4.969134400E-2,-2.897770107E-1,-3.359758854E-1,2.665641308E-1
5.364915700E-2,-2.663372457E-1,-3.670776486E-1,2.631083727E-1
5.761946900E-2,-2.341882735E-1,-4.131194353E-1,2.564761341E-1
6.159134400E-2,-1.967509687E-1,-4.668232203E-1,2.442239225E-1
6.556165700E-2,-1.574636102E-1,-5.246459842E-1,2.285159528E-1
6.953196900E-2,-1.169894189E-1,-5.815611482E-1,2.105914205E-1
7.350228200E-2,-7.450810820E-2,-6.325422525E-1,1.926494390E-1
7.747259400E-2,-2.972295694E-2,-6.888639927E-1,1.775872558E-1
8.144290700E-2,1.460840553E-2,-7.437546253E-1,1.717054844E-1
8.541321900E-2,5.735151842E-2,-7.994655371E-1,1.736253500E-1
8.938353200E-2,9.421287477E-2,-8.501324058E-1,1.878148764E-1
9.335540700E-2,1.285260469E-1,-8.863654733E-1,2.100503743E-1
9.732571900E-2,1.520879865E-1,-9.101194143E-1,2.346769720E-1
1.012960320E-1,1.636420637E-1,-9.193172455E-1,2.571917176E-1
1.052663440E-1,1.640958488E-1,-9.176592231E-1,2.800729871E-1
1.092366570E-1,1.542696506E-1,-9.035220146E-1,3.007900417E-1
1.132069690E-1,1.404117346E-1,-8.825257421E-1,3.150842786E-1
1.171772820E-1,1.220508739E-1,-8.588241339E-1,3.212278485E-1
1.211491570E-1,1.056796834E-1,-8.329409361E-1,3.164980114E-1
1.251194690E-1,9.056513757E-2,-8.078081608E-1,2.988701761E-1
1.290897820E-1,8.269369602E-2,-7.919082642E-1,2.749940753E-1
1.330600940E-1,8.785987645E-2,-7.885223031E-1,2.421295196E-1
1.370304070E-1,1.368338168E-1,-7.974409461E-1,1.822996438E-1
1.410007190E-1,2.881189585E-1,-8.356462121E-1,6.702064537E-3
1.449710320E-1,4.025951028E-1,-8.933467865E-1,-8.319984376E-2
1.489413440E-1,4.544139206E-1,-9.039583802E-1,-4.412192479E-2
1.529132190E-1,5.619611144E-1,-9.745918512E-1,-7.892379165E-2
1.568835320E-1,6.326643825E-1,-1.102227807E0,-1.134289503E-1
1.608538440E-1,6.293133497E-1,-1.137675405E0,-6.391395628E-2
1.648241570E-1,6.222098470E-1,-1.084547639E0,-2.860594541E-2
1.687944690E-1,6.142337322E-1,-9.899507761E-1,-3.841469809E-2
1.727647820E-1,5.822069049E-1,-8.715301752E-1,-5.770058557E-2
1.767366570E-1,5.375439525E-1,-7.441036701E-1,-8.531169593E-2
1.807069690E-1,4.985009432E-1,-6.322978735E-1,-1.286133081E-1
1.846772820E-1,4.713087082E-1,-5.563062429E-1,-1.783028394E-1
1.886475940E-1,4.560894370E-1,-5.086587667E-1,-2.168920636E-1
1.926179070E-1,4.536110759E-1,-4.873657525E-1,-2.283065170E-1
1.965882190E-1,4.656189382E-1,-4.792499542E-1,-2.199812979E-1
2.005679070E-1,4.919385016E-1,-4.840670526E-1,-2.009572089E-1
2.045288440E-1,5.210855007E-1,-4.945215881E-1,-1.740093231E-1
2.084991570E-1,5.607219338E-1,-5.040161610E-1,-1.391201913E-1
2.124710320E-1,6.112492085E-1,-5.158146024E-1,-9.841911495E-2
2.164413440E-1,6.720215678E-1,-5.536358953E-1,-6.340780854E-2
2.204116570E-1,7.414333224E-1,-6.429443955E-1,-4.042182490E-2
2.243819690E-1,8.153828979E-1,-7.779281735E-1,-3.277728334E-2
2.283522820E-1,8.930850029E-1,-9.430886507E-1,-3.289945796E-2
2.323225940E-1,9.612051845E-1,-1.116661668E0,-3.398156166E-2
2.362944690E-1,1.020843029E0,-1.263112187E0,-3.157300502E-2
2.402647820E-1,1.074459553E0,-1.402878165E0,-1.890191622E-2
2.442350940E-1,1.114933729E0,-1.535331249E0,-8.063420653E-3
2.482054070E-1,1.139944315E0,-1.667766809E0,8.133234456E-3
2.521757190E-1,1.155198574E0,-1.787025213E0,2.982767671E-2
2.561460320E-1,1.161272287E0,-1.881517291E0,6.061528623E-2
2.601179070E-1,1.161342025E0,-1.950562477E0,9.679596126E-2
2.640866570E-1,1.155512691E0,-1.986184716E0,1.364847422E-1
2.680585320E-1,1.143731713E0,-1.991403222E0,1.747074574E-1
2.720288440E-1,1.131636620E0,-1.968225241E0,2.116037160E-1
2.759991570E-1,1.117342353E0,-1.920926809E0,2.480112910E-1
2.799694690E-1,1.099470139E0,-1.871376872E0,2.808583677E-1
2.839397820E-1,1.072853923E0,-1.828057885E0,3.119775951E-1
2.879100940E-1,1.033671260E0,-1.798684001E0,3.404439092E-1
2.918804070E-1,9.881007075E-1,-1.787723303E0,3.606373966E-1
2.958522820E-1,9.381144643E-1,-1.784564257E0,3.762929738E-1
2.998225940E-1,8.851960897E-1,-1.791877151E0,3.888069987E-1
3.037929070E-1,8.321205974E-1,-1.805822372E0,3.971845806E-1
3.077632190E-1,7.780677676E-1,-1.807846904E0,4.046371281E-1
3.117335320E-1,7.293556333E-1,-1.779014111E0,4.160515964E-1
3.157038440E-1,6.835582256E-1,-1.732064724E0,4.375365973E-1
3.196757190E-1,6.335195899E-1,-1.668918729E0,4.663345218E-1
3.236444690E-1,5.795540214E-1,-1.591949701E0,5.024279356E-1
3.276163440E-1,5.171410441E-1,-1.508959293E0,5.413662195E-1
3.315866570E-1,4.499807954E-1,-1.405583501E0,5.844758749E-1
3.355569690E-1,3.813195229E-1,-1.294039488E0,6.240250468E-1
3.395272820E-1,3.076840937E-1,-1.177154779E0,6.597693563E-1
3.434975940E-1,2.299471349E-1,-1.052782655E0,6.921277642E-1
3.474679070E-1,1.602910310E-1,-9.250768423E-1,7.198261619E-1
3.514397820E-1,1.020668522E-1,-7.923794985E-1,7.446796298E-1
3.554100940E-1,6.040584669E-2,-6.690021753E-1,7.616791129E-1
3.593804070E-1,3.403392062E-2,-5.592558384E-1,7.682415843E-1
3.633507190E-1,2.234021388E-2,-4.806636870E-1,7.624121904E-1
3.673210320E-1,2.892010473E-2,-4.479562044E-1,7.502123117E-1
3.712913440E-1,5.171410739E-2,-4.624773562E-1,7.303155661E-1
3.752632190E-1,8.100073040E-2,-5.269148946E-1,7.052526474E-1
3.792335320E-1,1.178271770E-1,-6.188414097E-1,6.783920527E-1
3.832038440E-1,1.572541595E-1,-7.346788645E-1,6.558772922E-1
3.871741570E-1,2.176250964E-1,-8.541117907E-1,6.439741254E-1
3.911444690E-1,2.881887555E-1,-9.900554419E-1,6.417924762E-1
3.951147820E-1,3.598694503E-1,-1.140031576E0,6.421240568E-1
3.990850940E-1,4.296127856E-1,-1.287843585E0,6.410070658E-1
4.030569690E-1,4.968428910E-1,-1.449338913E0,6.425254941E-1
4.070304070E-1,5.568647385E-1,-1.600798488E0,6.391569972E-1
4.109975940E-1,6.077061892E-1,-1.725921154E0,6.348111629E-1
4.149679070E-1,6.516885161E-1,-1.816678286E0,6.279694438E-1
4.189382190E-1,6.860365868E-1,-1.861288905E0,6.237632036E-1
4.229085320E-1,6.995279789E-1,-1.850642443E0,6.211626530E-1
4.268788440E-1,6.893526912E-1,-1.791266322E0,6.225938201E-1
4.308507190E-1,6.552140713E-1,-1.689635754E0,6.304827332E-1
4.348210320E-1,5.953143239E-1,-1.556118131E0,6.420367956E-1
4.387897820E-1,5.218534470E-1,-1.415479422E0,6.497162580E-1
4.427616570E-1,4.355818331E-1,-1.262256980E0,6.502224207E-1
4.467319690E-1,3.503050208E-1,-1.117412090E0,6.411815882E-1
4.507022820E-1,2.606125772E-1,-9.807004929E-1,6.204470992E-1
4.546725940E-1,1.645496339E-1,-8.579340577E-1,5.870414972E-1
4.586429070E-1,8.330456167E-2,-7.411889434E-1,5.489932895E-1
