Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.025830109,1.276870012,1.521237016,9.531808853
0.028315005,1.087537885,1.485344648,9.428618431
0.038265525,1.061216831,1.518844128,9.440582275
0.040750421,0.9870393276,1.485344648,9.299406052
0.043235369,0.9005986452,1.441974759,9.25394249
0.045720265,0.8144569993,1.382154226,9.189037323
0.048205109,0.7474579811,1.36061883,9.181859016
0.050690005,0.6346961856,1.298405409,9.208179474
0.0531749,0.5270192027,1.233799219,9.280263901
0.055659796,0.5222335458,1.168893814,9.368798256
0.058144744,0.4887340367,1.128215909,9.423832893
0.06062964,0.4671986103,1.080359459,9.490832329
0.063053338,0.4648058116,1.075573802,9.625128746
0.065538234,0.4815555513,1.020538807,9.684949875
0.06802313,0.4432703853,1.010967612,9.735198975
0.070508077,0.4169493318,1.015753269,9.756733894
0.072992973,0.3831507266,1.008574724,9.850353241
0.075477817,0.3687937856,0.9966106415,9.85992527
0.077962713,0.385543555,1.034895778,9.876674652
0.080447661,0.4145565331,1.022931695,9.912567139
0.082932505,0.4360919297,1.025324464,9.941280365
0.0854174,0.4863412082,1.022931695,9.974780083
0.087902296,0.5126622319,1.025324464,9.984351158
0.090387192,0.5341976285,1.089930773,9.950852394
0.092708911,0.6203392744,1.061216831,9.998708725
0.095193807,0.6227321029,1.118644595,9.955637932
0.097678702,0.6323033571,1.128215909,9.91017437
0.100163598,0.704387188,1.147358418,9.936494827
0.102648494,0.7642077208,1.209870934,9.936494827
0.10513339,0.8240283132,1.209870934,9.958030701
0.107618286,0.8312067389,1.252941728,9.965209007
0.110103182,0.8623134494,1.236191988,9.972387314
0.112588077,0.8886345029,1.250548959,9.998708725
0.115072921,0.8527421951,1.231406331,9.967601776
0.117557817,0.8120641708,1.233799219,9.996315956
0.120042765,0.804885745,1.248156071,10.00110149
0.122424484,0.8120641708,1.224227905,9.967601776
0.124909327,0.7929216027,1.200000525,9.917352676
0.127394275,0.7857431173,1.180858016,9.941280365
0.129879119,0.7259225845,1.176072359,9.926923752
0.132364015,0.6852445602,1.147358418,9.914959908
0.134848963,0.6708876491,1.133001566,9.907781601
0.137333859,0.665802896,1.147358418,9.912567139
0.139818755,0.665802896,1.125823021,9.895816803
0.142303598,0.6586244106,1.073180914,9.876674652
0.144788494,0.6562315822,1.104287624,9.855138779
0.14727339,0.6442674994,1.109073281,9.816853523
0.149758286,0.6610172391,1.147358418,9.812067986
0.152105109,0.665802896,1.161715388,9.83121109
0.154590005,0.6681957245,1.180858016,9.800104141
0.1570749,0.704387188,1.205085278,9.795318604
0.159559796,0.665802896,1.219442248,9.785747528
0.162044692,0.6490531564,1.200000525,9.78096199
0.164529588,0.6562315822,1.190429211,9.742377281
0.167014484,0.6538388133,1.233799219,9.735198975
0.16949938,0.6538388133,1.219442248,9.776176453
0.171984223,0.675673306,1.219442248,9.783354759
0.174469119,0.6681957245,1.219442248,9.754341125
0.176954015,0.7067800164,1.224227905,9.749555588
0.179438911,0.6828517914,1.219442248,9.749555588
0.181797973,0.6610172391,1.190429211,9.768997192
0.184282869,0.6876373887,1.224227905,9.807282448
0.186767765,0.7091727853,1.250548959,9.809675217
0.189252661,0.7402794957,1.284048438,9.824032784
0.191737557,0.7642077208,1.281655669,9.888638496
0.194222452,0.7833502889,1.31276238,9.936494827
0.196707348,0.7953144312,1.305583835,9.93170929
0.199192244,0.8192426562,1.367797256,9.958030701
0.201677088,0.8240283132,1.324726462,9.936494827
0.204161984,0.8718847632,1.36061883,9.948459625
0.20664688,0.879063189,1.365404367,9.993923187
0.209131775,0.9487541914,1.339083314,10.01306534
0.211486515,0.9870393276,1.327119231,10.05643559
0.213971411,0.9391828775,1.331904888,10.05165005
0.216456307,0.9053842425,1.36061883,10.01306534
0.21894115,0.9340981245,1.358225942,9.993923187
0.221426098,0.8958129883,1.310369492,10.01067257
0.223910994,0.8670991063,1.31276238,9.98913765
0.22639589,0.8814560175,1.327119231,10.02024364
0.228880786,0.8527421951,1.229013562,10.01545811
0.23136563,0.855134964,1.274477124,10.04925728
0.233850525,0.8623134494,1.291226864,10.04686451
0.236335421,0.8575277925,1.257727385,9.986744881
0.238820317,0.8527421951,1.293619752,9.967601776
0.241179952,0.8814560175,1.274477124,9.977172852
0.243664848,0.8862416744,1.31276238,9.938887596
0.246149744,0.9005986452,1.372582912,9.926923752
0.24863464,0.941575706,1.317547917,9.914959908
0.251119536,0.9269196987,1.348654628,9.893424034
0.253604432,0.9487541914,1.449153185,9.876674652
0.256089327,0.9631111026,1.439581871,9.895816803
0.258574223,0.9535398483,1.480558991,9.867103577
0.261059067,0.9583254457,1.53080833,9.862318039
0.263543963,0.9125627279,1.497308731,9.821640015
0.266028859,0.931705296,1.521237016,9.814460754
0.268513755,0.9535398483,1.540379524,9.759127617
0.270870473,0.9101698995,1.516451359,9.754341125
0.273355369,0.8599206209,1.511665702,9.759127617
0.275840265,0.8383852243,1.487737536,9.71605587
0.278325161,0.8168498278,1.473380566,9.632308006
0.280810057,0.8024929166,1.492523074,9.617950439
0.283294952,0.7666005492,1.494915962,9.641879082
0.285779848,0.7235297561,1.490130305,9.591629982
0.288264744,0.6876373887,1.463510156,9.617950439
0.290749588,0.6634100676,1.391725421,9.661021233
0.293234484,0.6828517914,1.382154226,9.682557106
0.29571938,0.6442674994,1.410868049,9.728020668
0.298204275,0.5916253924,1.403689623,9.708877563
0.300563494,0.6227321029,1.394118309,9.701699257
0.30304839,0.6275177598,1.334297776,9.754341125
0.305533286,0.6203392744,1.384546995,9.706484795
0.308018182,0.6107679605,1.372582912,9.701699257
0.310503025,0.589232564,1.355833173,9.680164337
0.312987973,0.5676971674,1.36061883,9.672985077
0.315472817,0.5988038778,1.363011599,9.704092026
0.317957765,0.613160789,1.334297776,9.756733894
0.320442609,0.5916253924,1.341476202,9.763913155
0.322927505,0.5868397355,1.317547917,9.792925835
0.3254124,0.5940182209,1.310369492,9.821640015
0.327897296,0.5653043389,1.305583835,9.845567703
0.330254848,0.6059823632,1.303191066,9.85992527
0.332739744,0.6155536175,1.250548959,9.838389397
0.33522464,0.6299105883,1.238584876,9.821640015
0.337709536,0.6394818425,1.272084355,9.843174934
0.340194432,0.6634100676,1.229013562,9.914959908
0.342679327,0.6586244106,1.202393413,9.85274601
0.345164223,0.6562315822,1.21704936,9.864710808
0.347649119,0.6610172391,1.209870934,9.914959908
0.350133963,0.6900302172,1.183250785,9.886245728
0.352618859,0.699601531,1.176072359,9.926923752
0.355103755,0.7402794957,1.171286702,9.914959908
0.35758865,0.7259225845,1.161715388,9.934102058
0.359944744,0.7307082415,1.133001566,9.91017437
0.36242964,0.7115656137,1.168893814,9.876674652
0.364914536,0.7067800164,1.142572761,9.862318039
0.367399432,0.704387188,1.147358418,9.845567703
0.369884327,0.7091727853,1.144965649,9.835996628
0.372369223,0.6924230456,1.140179992,9.783354759
0.374854119,0.7187440991,1.156929731,9.771389961
0.377339015,0.699601531,1.190429211,9.732806206
0.379823859,0.728315413,1.207478166,9.713663101
0.382308755,0.7354938388,1.226620674,9.69452095
0.38479365,0.7378866673,1.212263823,9.661021233
0.387278546,0.7331010103,1.185643673,9.634700775
0.389636307,0.7067800164,1.240977645,9.649057388
0.392121202,0.6876373887,1.240977645,9.617950439
0.394606098,0.6876373887,1.248156071,9.577272415
0.397090994,0.665802896,1.260120273,9.608379364
