Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
66.83066978,-1.398903966,9.577272415,-0.3209373355
66.83314405,-1.422832131,9.56770134,-0.2778665423
66.83561827,-1.465902925,9.577272415,-0.2826521695
66.83809248,-1.463510156,9.570094109,-0.2826521695
66.8405667,-1.470688581,9.548559189,-0.280259341
66.84304092,-1.502094388,9.558130264,-0.2898306549
66.84551649,-1.518844128,9.536594391,-0.3017947674
66.84799071,-1.518844128,9.594022751,-0.2850449979
66.85046493,-1.545165181,9.51745224,-0.2682952285
66.85293915,-1.533201098,9.510273933,-0.3113660514
66.85541337,-1.571486235,9.541379929,-0.2754737139
66.85788759,-1.600200176,9.529416084,-0.318544507
66.86036186,-1.62652123,9.51745224,-0.375972271
66.86283608,-1.636092424,9.527023315,-0.4169493318
66.8653103,-1.650449395,9.498010635,-0.3807578981
66.86778452,-1.660020709,9.490832329,-0.3879363835
66.87025873,-1.698305845,9.51745224,-0.4025924206
66.87273295,-1.746461391,9.53898716,-0.4097708762
66.87520712,-1.72223413,9.500701904,-0.4073780477
66.87768134,-1.736590981,9.591629982,-0.4432703853
66.88015556,-1.794317842,9.605986595,-0.4313062727
66.88262978,-1.770389676,9.605986595,-0.4576273263
66.88510399,-1.77996099,9.677771568,-0.4624129832
66.88757821,-1.79671073,9.708877563,-0.4600201547
66.89005248,-1.789532185,9.739984512,-0.4695914388
66.8925267,-1.73898387,9.790533066,-0.4648058116
66.89500092,-1.710269928,9.807282448,-0.4695914388
66.89747514,-1.707877159,9.828818321,-0.4815555513
66.89994936,-1.633699656,9.862318039,-0.4432703853
66.90242358,-1.62652123,9.883852959,-0.4863412082
66.90489806,-1.62652123,9.871889114,-0.4552344978
66.90737228,-1.612164259,9.929316521,-0.4576273263
66.90984649,-1.624128342,9.917352676,-0.4432703853
66.91232071,-1.564307809,9.907781601,-0.3951148391
66.91479498,-1.597807288,9.867103577,-0.3951148391
66.9172692,-1.56191504,9.857531548,-0.375972271
66.91974342,-1.533201098,9.879067421,-0.347258389
66.92221764,-1.487737536,9.888638496,-0.2970091105
66.92469186,-1.48295188,9.867103577,-0.3424727321
66.92716608,-1.470688581,9.85992527,-0.3400799036
66.9296403,-1.425225019,9.85992527,-0.3376871049
66.93211452,-1.422832131,9.847960472,-0.3209373355
66.93458759,-1.413260818,9.845567703,-0.36161533
66.93706181,-1.379761338,9.867103577,-0.3448655605
66.93953603,-1.317547917,9.83121109,-0.36161533
66.94201024,-1.250548959,9.819247246,-0.3496512175
66.94448452,-1.233799219,9.800104141,-0.3927220106
66.94695873,-1.248156071,9.761520386,-0.4097708762
66.94943295,-1.209870934,9.768997192,-0.3975076675
66.95190717,-1.180858016,9.737591743,-0.3879363835
66.95438139,-1.152144074,9.732806206,-0.3903291821
66.95685561,-1.087537885,9.728020668,-0.4193421602
66.95932983,-1.061216831,9.72323513,-0.4241278172
66.96180405,-1.042074203,9.69452095,-0.4504488707
66.96427936,-1.027717352,9.682557106,-0.3879363835
66.96675358,-1.006181955,9.672985077,-0.3592225015
66.9692278,-0.9487541914,9.713663101,-0.3520440459
66.97170202,-0.8958129883,9.72323513,-0.36161533
66.97417629,-0.8527421951,9.696913719,-0.3065803945
66.97665051,-0.8096713424,9.701699257,-0.3257229924
66.97912472,-0.7618148923,9.718449593,-0.332901448
66.98159894,-0.7761718631,9.737591743,-0.2754737139
66.98407316,-0.7594220638,9.776176453,-0.280259341
66.98654738,-0.665802896,9.771389961,-0.2682952285
66.9890216,-0.665802896,9.771389961,-0.256331116
66.99149582,-0.6370890141,9.78096199,-0.2730808854
66.99396993,-0.6035895348,9.783354759,-0.280259341
66.99644415,-0.5509474277,9.845567703,-0.2922234535
66.99891837,-0.5294120312,9.814460754,-0.3113660514
67.00139259,-0.5054838061,9.816853523,-0.308973223
67.00386686,-0.4815555513,9.857531548,-0.3352942765
67.00634108,-0.4384847581,9.864710808,-0.3352942765
67.0088153,-0.4145565331,9.862318039,-0.3664009571
67.01128952,-0.3879363835,9.88146019,-0.3879363835
67.01376373,-0.371186614,9.895816803,-0.4169493318
67.01623795,-0.3161516786,9.876674652,-0.4217349887
67.01871217,-0.3113660514,9.835996628,-0.4648058116
67.02118639,-0.332901448,9.826425552,-0.4959124923
67.02364816,-0.3281157911,9.867103577,-0.4815555513
67.02612238,-0.3281157911,9.814460754,-0.5437689424
67.0285966,-0.3161516786,9.824032784,-0.584446907
67.03107082,-0.3281157911,9.763913155,-0.6251249313
67.03354509,-0.3161516786,9.742377281,-0.6275177598
67.03601931,-0.3257229924,9.71605587,-0.6107679605
67.03849353,-0.3568296731,9.713663101,-0.675673306
67.04096774,-0.3951148391,9.66580677,-0.6876373887
67.04344196,-0.4313062727,9.649057388,-0.6708876491
67.04591618,-0.5150550604,9.608379364,-0.675673306
67.0483904,-0.5437689424,9.56770134,-0.6466603279
67.05086462,-0.5653043389,9.562915802,-0.6299105883
67.05335873,-0.5988038778,9.48843956,-0.6538388133
67.05583295,-0.6251249313,9.503094673,-0.6299105883
67.05830717,-0.6514459848,9.464510918,-0.5868397355
67.06078139,-0.7354938388,9.40947628,-0.5868397355
67.06325566,-0.7331010103,9.416654587,-0.6179464459
67.06572988,-0.7929216027,9.452547073,-0.5653043389
67.0682041,-0.8312067389,9.442975044,-0.5796613097
67.07067832,-0.8599206209,9.428618431,-0.5629115105
67.07315254,-0.8886345029,9.4812603,-0.5389832854
67.07562676,-0.9870393276,9.51745224,-0.5150550604
67.07810097,-0.9918249846,9.495617867,-0.5054838061
67.08057519,-0.9966106415,9.543772697,-0.5030909777
67.08304222,-0.9966106415,9.558130264,-0.4791627228
67.08551644,-1.027717352,9.601201057,-0.4624129832
67.08799066,-1.063609719,9.661021233,-0.4360919297
67.09046488,-1.061216831,9.653842926,-0.4432703853
67.09293915,-1.080359459,9.692128181,-0.4145565331
67.09541337,-1.092323542,9.71605587,-0.4193421602
67.09788759,-1.085145116,9.754341125,-0.4121637046
67.10036181,-1.118644595,9.763913155,-0.4265206456
67.10283603,-1.156929731,9.778569221,-0.4289134443
67.10531024,-1.116251707,9.792925835,-0.4289134443
67.10778446,-1.137787223,9.783354759,-0.3903291821
67.11025868,-1.101894855,9.792925835,-0.399900496
67.11273202,-1.113858938,9.756733894,-0.4049852192
67.11520623,-1.164108157,9.797711372,-0.3903291821
67.11768045,-1.171286702,9.788140297,-0.4073780477
67.12015467,-1.147358418,9.759127617,-0.4145565331
67.12262894,-1.180858016,9.74477005,-0.385543555
67.12510316,-1.200000525,9.720842361,-0.3927220106
67.12757738,-1.207478166,9.701699257,-0.4241278172
67.1300516,-1.236191988,9.711270332,-0.4025924206
67.13252582,-1.284048438,9.708877563,-0.3735794425
67.13500004,-1.298405409,9.672985077,-0.3783650696
67.13747426,-1.298405409,9.663414001,-0.375972271
67.13994847,-1.322333574,9.684949875,-0.3831507266
67.14242311,-1.363011599,9.675378799,-0.3424727321
67.14489733,-1.410868049,9.675378799,-0.3161516786
67.14737155,-1.413260818,9.66580677,-0.3209373355
67.14984577,-1.425225019,9.701699257,-0.3592225015
67.15232004,-1.434796333,9.74477005,-0.3113660514
67.15479426,-1.465902925,9.737591743,-0.3209373355
67.15726847,-1.446760416,9.720842361,-0.3305086195
67.15974269,-1.470688581,9.74477005,-0.3568296731
67.16221691,-1.504487276,9.77378273,-0.3927220106
67.16469113,-1.514058471,9.804889679,-0.3879363835
67.16716535,-1.494915962,9.807282448,-0.4456632137
67.16963957,-1.485344648,9.840782166,-0.4600201547
67.17211571,-1.509272933,9.867103577,-0.5126622319
67.17458993,-1.494915962,9.862318039,-0.5150550604
67.17706415,-1.478166223,9.895816803,-0.5820540786
67.17953837,-1.48295188,9.864710808,-0.6179464459
67.18201264,-1.478166223,9.876674652,-0.704387188
67.18448686,-1.473380566,9.862318039,-0.7426723242
67.18696108,-1.444367528,9.855138779,-0.7737790346
67.1894353,-1.449153185,9.816853523,-0.8216354847
67.19190952,-1.453938842,9.763913155,-0.883848846
67.19438373,-1.468295813,9.751948357,-0.8862416744
67.19685795,-1.504487276,9.735198975,-0.8694919348
67.19933217,-1.490130305,9.699306488,-0.8766704202
67.20180316,-1.490130305,9.663414001,-0.8359923959
67.20427738,-1.492523074,9.584450722,-0.7642077208
67.2067516,-1.526022673,9.555737495,-0.728315413
67.20922582,-1.533201098,9.522237778,-0.6370890141
67.21170009,-1.533201098,9.495617867,-0.5820540786
67.21417431,-1.533201098,9.442975044,-0.5389832854
67.21664853,-1.542772412,9.466903687,-0.536590457
67.21912274,-1.526022673,9.447761536,-0.4911268353
67.22159696,-1.559522152,9.433403969,-0.4959124923
67.22407118,-1.57866478,9.390333176,-0.4863412082
67.2265454,-1.559522152,9.378369331,-0.4863412082
67.22901962,-1.549950838,9.395118713,-0.5150550604
67.23149441,-1.533201098,9.40229702,-0.5078766346
67.23396863,-1.518844128,9.40947628,-0.5150550604
67.23644285,-1.487737536,9.366405487,-0.5054838061
67.23891707,-1.504487276,9.392725945,-0.5054838061
67.24139134,-1.497308731,9.426225662,-0.5126622319
67.24386556,-1.48295188,9.462118149,-0.5437689424
67.24633978,-1.48295188,9.464510918,-0.5198407173
67.24881399,-1.490130305,9.4812603,-0.4935196638
67.25128821,-1.475773335,9.510273933,-0.4935196638
67.25376243,-1.468295813,9.522237778,-0.4791627228
67.25623665,-1.458724499,9.574879646,-0.4983053207
67.25871087,-1.439581871,9.591629982,-0.4983053207
67.26118504,-1.422832131,9.605986595,-0.4767699242
67.26365926,-1.389332652,9.613164902,-0.4863412082
67.26613347,-1.403689623,9.613164902,-0.4743770957
67.26860769,-1.406082392,9.639486313,-0.4624129832
67.27108196,-1.410868049,9.680164337,-0.4743770957
67.27355618,-1.391725421,9.69452095,-0.5222335458
67.27603035,-1.379761338,9.687342644,-0.5413761139
67.27850462,-1.365404367,9.696913719,-0.4983053207
67.28097884,-1.372582912,9.701699257,-0.5006981492
67.28345306,-1.343868971,9.713663101,-0.5485545993
67.28592728,-1.346261859,9.71605587,-0.5389832854
67.28840149,-1.377368569,9.706484795,-0.5629115105
67.29087587,-1.336690545,9.692128181,-0.589232564
67.29335009,-1.348654628,9.692128181,-0.6299105883
67.29582431,-1.389332652,9.644271851,-0.613160789
67.29829853,-1.358225942,9.689735413,-0.6394818425
67.3007728,-1.389332652,9.701699257,-0.6203392744
67.30324702,-1.391725421,9.658628464,-0.6876373887
67.30572123,-1.401296735,9.649057388,-0.7187440991
67.30819545,-1.398903966,9.66580677,-0.7211369276
67.31066967,-1.406082392,9.641879082,-0.7163512707
67.31314389,-1.396511078,9.663414001,-0.7091727853
67.31561811,-1.384546995,9.651450157,-0.7211369276
67.31809233,-1.451546073,9.639486313,-0.7067800164
67.320568,-1.430010676,9.639486313,-0.675673306
67.32304222,-1.394118309,9.653842926,-0.6708876491
67.32551644,-1.410868049,9.672985077,-0.6900302172
67.32799066,-1.420439363,9.677771568,-0.6610172391
67.33046493,-1.458724499,9.677771568,-0.6538388133
67.33293915,-1.446760416,9.684949875,-0.6562315822
67.33541337,-1.461117268,9.658628464,-0.6346961856
67.33788759,-1.463510156,9.701699257,-0.6538388133
67.34036181,-1.453938842,9.728020668,-0.6059823632
