"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.909150003E-2,-8.785895258E-2,5.557928681E-1,-5.713795498E-2
2.915350004E-2,-1.844562590E-1,3.965711594E-1,-4.042300209E-2
3.921650001E-2,-2.048811018E-1,1.965030581E-1,-1.923888549E-2
4.927950003E-2,-1.621340960E-1,3.752467223E-3,-4.123850726E-3
5.934250000E-2,-1.111444160E-1,-1.630277336E-1,2.560417168E-3
6.940450001E-2,-7.901857793E-2,-2.849025726E-1,6.331721321E-3
7.946750004E-2,-9.324704856E-2,-3.642586470E-1,-1.175487041E-2
8.953050000E-2,-1.474645585E-1,-4.147725701E-1,-6.271248311E-2
9.959350002E-2,-2.200077325E-1,-4.422222972E-1,-1.373361200E-1
1.096565000E-1,-2.916754484E-1,-4.255131781E-1,-2.207327932E-1
1.197185000E-1,-3.437242508E-1,-3.785856366E-1,-3.058255911E-1
1.297815000E-1,-3.865450323E-1,-2.862837613E-1,-3.925975561E-1
1.398445000E-1,-4.235685766E-1,-1.656138152E-1,-4.713844955E-1
1.499075000E-1,-4.706118405E-1,-6.385975331E-2,-5.486498475E-1
1.599705000E-1,-5.392300487E-1,-3.064693883E-2,-6.508254409E-1
1.700325000E-1,-6.192327142E-1,-8.540903777E-2,-7.646048665E-1
1.800955000E-1,-6.895846725E-1,-2.264457941E-1,-8.720570803E-1
1.901585000E-1,-7.372907400E-1,-3.951781988E-1,-9.423519373E-1
2.002215000E-1,-7.414721847E-1,-5.804002285E-1,-9.746944308E-1
2.102835000E-1,-6.759875417E-1,-8.100989461E-1,-9.614129663E-1
2.203465000E-1,-5.570779443E-1,-1.084923625E0,-9.347181916E-1
2.304095000E-1,-4.097950459E-1,-1.333251357E0,-9.772443175E-1
2.404725000E-1,-2.307629883E-1,-1.419709086E0,-1.008441567E0
2.505355000E-1,-8.464130759E-2,-1.626364708E0,-1.012507677E0
2.605975000E-1,-4.046867602E-3,-1.750434995E0,-1.006234050E0
2.706605000E-1,-8.291281760E-2,-1.246882796E0,-6.344032288E-1
2.807235000E-1,-1.358884275E-1,-4.931312501E-1,-1.837018132E-1
2.907865000E-1,-2.084190845E-1,3.181781173E-1,3.016473055E-1
3.008489584E-1,-3.663780689E-1,8.414192200E-1,7.078587413E-1
3.109119583E-1,-5.178601146E-1,9.136813283E-1,7.851947546E-1
3.209749584E-1,-5.478813648E-1,4.921947718E-1,5.344807506E-1
3.310379583E-1,-5.091686845E-1,-2.977935784E-2,1.753536165E-1
3.411009584E-1,-6.061460972E-1,-3.797136545E-1,-1.291442364E-1
3.511629584E-1,-8.505765796E-1,-7.206158638E-1,-3.106018603E-1
3.612259583E-1,-1.061396122E0,-1.131228924E0,-4.163682461E-1
3.712889584E-1,-1.129540324E0,-1.430179954E0,-4.736731648E-1
3.813519584E-1,-1.035598874E0,-1.473805785E0,-5.576362610E-1
3.914139583E-1,-8.031542301E-1,-1.247862935E0,-6.780701876E-1
4.014769584E-1,-5.541689396E-1,-8.432714343E-1,-7.992155552E-1
4.115399584E-1,-3.329174221E-1,-6.798796654E-1,-6.878989935E-1
4.216029583E-1,-3.530344069E-1,-3.501777053E-1,-3.447365463E-1
4.316659584E-1,-4.926109314E-1,-2.422047704E-1,4.462669417E-2
4.417279583E-1,-5.698734522E-1,-7.052408457E-1,3.176926076E-1
4.517909584E-1,-5.848577619E-1,-1.094438076E0,4.319406450E-1
4.618539584E-1,-5.644113421E-1,-1.143288136E0,3.327650726E-1
4.719169583E-1,-5.433495045E-1,-1.134205103E0,9.084446728E-2
4.819799584E-1,-4.180563390E-1,-1.153443813E0,1.397524867E-2
4.920419584E-1,-2.403012514E-1,-8.046979308E-1,1.371039003E-1
5.021049583E-1,-1.952341795E-1,-5.023031235E-1,8.016525209E-2
5.121679584E-1,-2.130981535E-1,-4.745738506E-1,-4.067562893E-2
5.222309583E-1,-2.010854334E-1,-5.532657504E-1,-1.173272654E-1
5.322929583E-1,-1.254874319E-1,-8.189550042E-1,-1.847544014E-1
5.423559584E-1,-2.168841809E-1,-1.078438282E0,-1.817759275E-1
5.524189583E-1,-5.325544477E-1,-1.190640807E0,-1.299641877E-1
5.624819584E-1,-8.916585445E-1,-1.230829000E0,-8.971262723E-2
5.725449584E-1,-1.101721644E0,-9.247830510E-1,-5.312862247E-2
5.826069583E-1,-9.261057377E-1,-3.948733807E-1,3.286751360E-2
5.926699584E-1,-4.582287967E-1,-1.874434650E-1,2.113301903E-1
6.027329583E-1,6.054406986E-2,2.143784240E-2,3.699094355E-1
6.127959584E-1,5.248600841E-1,4.007646441E-1,4.522298574E-1
6.228579584E-1,8.808307052E-1,7.856452465E-1,4.112113118E-1
6.329209583E-1,1.162629008E0,1.156147361E0,3.056570590E-1
6.429839584E-1,1.356473565E0,1.358898520E0,1.402886063E-1
6.530469584E-1,1.313282132E0,1.506010771E0,-4.655716568E-2
6.631099583E-1,8.172454238E-1,9.600782990E-1,-2.873926759E-1
6.731719584E-1,3.621851206E-1,2.571390271E-1,-3.580931127E-1
6.832349583E-1,-6.438883394E-2,-1.925745904E-1,-4.275872111E-1
6.932979584E-1,-4.644032717E-1,-4.886987507E-1,-4.162353575E-1
7.033609584E-1,-7.878164649E-1,-5.809897780E-1,-3.894282281E-1
7.134229583E-1,-9.654380679E-1,-6.142286062E-1,-4.281398952E-1
7.234859584E-1,-9.787719846E-1,-5.725935102E-1,-4.644907117E-1
7.335489584E-1,-8.488461971E-1,-5.236223936E-1,-4.662581682E-1
7.436119583E-1,-6.277782321E-1,-3.567553461E-1,-4.283078611E-1
7.536749584E-1,-3.501649797E-1,-1.499295235E-1,-3.698765934E-1
7.637369584E-1,-4.985870793E-2,6.709440798E-2,-3.189795911E-1
7.737999583E-1,1.569664776E-1,1.705152094E-1,-2.987335920E-1
7.838629584E-1,1.912845075E-1,2.310110480E-1,-3.411846459E-1
7.939259583E-1,2.461777031E-1,5.298483372E-1,-3.055675924E-1
8.039879584E-1,3.164784908E-1,7.264740467E-1,-3.000796139E-1
8.140509584E-1,3.679556251E-1,9.775273204E-1,-2.569239438E-1
8.241139583E-1,4.034939110E-1,1.244952083E0,-2.099108845E-1
8.341769584E-1,4.335789979E-1,1.448354483E0,-1.930390596E-1
8.442399583E-1,4.436135292E-1,1.565222025E0,-2.175334841E-1
8.543019583E-1,4.168721437E-1,1.725013614E0,-2.255081683E-1
8.643649584E-1,3.475956023E-1,1.895150781E0,-1.761331707E-1
8.744279583E-1,2.592901289E-1,2.073373795E0,-9.387722611E-2
8.844909584E-1,1.818805784E-1,2.230873823E0,-1.491450146E-2
8.945529584E-1,1.144986674E-1,2.368079185E0,2.240580879E-2
9.046159583E-1,6.754048169E-2,2.479709148E0,2.295894735E-2
9.146789584E-1,2.797661908E-2,2.578540325E0,-9.224019945E-3
9.247419584E-1,-1.562145725E-2,2.653571606E0,-6.909321249E-2
9.348049583E-1,-2.948148735E-2,2.128758669E0,-1.602768153E-1
9.448669584E-1,-1.839948893E-1,1.937324166E0,-2.153328806E-1
9.549299583E-1,-3.752750456E-1,1.649776578E0,-2.772633135E-1
9.649929584E-1,-5.345381498E-1,1.351712465E0,-3.283328712E-1
9.750559584E-1,-7.177889347E-1,1.106595635E0,-4.030369222E-1
9.851179583E-1,-8.346101046E-1,9.454392195E-1,-4.553701878E-1
9.951809584E-1,-8.817772865E-1,8.964610100E-1,-4.214409292E-1
1.005243958E0,-8.980896473E-1,9.661487341E-1,-3.143706620E-1
1.015306958E0,-9.223457575E-1,1.136051416E0,-2.033053637E-1
1.025369958E0,-9.625435472E-1,1.334232211E0,-1.182155013E-1
1.035431958E0,-1.015751243E0,1.503337026E0,-5.121473595E-2
1.045494958E0,-1.074086905E0,1.645148277E0,-2.117081732E-2
