"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.180416661E-3,1.672023010E0,5.379962311E0,7.591014404E0
1.216741666E-2,1.747466125E0,5.588329010E0,7.201973419E0
2.215341665E-2,1.765578461E0,5.580096130E0,7.460934906E0
3.214041665E-2,1.622625732E0,5.417534180E0,8.175997925E0
4.212741664E-2,1.326092377E0,5.222789154E0,8.709488525E0
5.211341666E-2,9.913883972E-1,5.184618530E0,8.932075653E0
6.210041666E-2,8.406518555E-1,5.187312927E0,8.890462189E0
7.208741666E-2,8.292755127E-1,5.158123627E0,8.616681519E0
8.207341665E-2,9.151968384E-1,5.182223511E0,8.335715790E0
9.206041665E-2,1.003363495E0,5.261259155E0,8.043074341E0
1.020474166E-1,1.019829254E0,5.310955811E0,7.843389587E0
1.120334167E-1,1.039288788E0,5.302124176E0,7.838599548E0
1.220204167E-1,1.026714935E0,5.294340363E0,7.968529358E0
1.320074167E-1,9.385482788E-1,5.275479584E0,8.148904266E0
1.419934166E-1,8.660989380E-1,5.256020050E0,8.323441315E0
1.519804166E-1,8.918453979E-1,5.229525146E0,8.365354156E0
1.619674167E-1,1.018482056E0,5.233866119E0,8.298443298E0
1.719534167E-1,1.040037231E0,5.258415070E0,8.187074890E0
1.819404167E-1,1.066981201E0,5.236710205E0,8.156688080E0
1.919274167E-1,1.100212097E0,5.220992889E0,8.140821075E0
2.019134166E-1,1.064436493E0,5.223986664E0,8.045619049E0
2.119004166E-1,1.078507233E0,5.230572968E0,7.896678772E0
2.218874167E-1,1.192869415E0,5.228776703E0,7.834557953E0
2.318734167E-1,1.263223114E0,5.199138336E0,7.873626709E0
2.418604167E-1,1.249002686E0,5.215454407E0,7.917635193E0
2.518464166E-1,1.240021362E0,5.219346313E0,7.899672546E0
2.618334166E-1,1.194216614E0,5.244344330E0,7.827971649E0
2.718204166E-1,1.090033264E0,5.233267365E0,7.810607758E0
2.818064167E-1,9.886940002E-1,5.225184174E0,7.810308380E0
2.917934167E-1,8.559201050E-1,5.239853668E0,7.761659546E0
3.017804167E-1,8.328680420E-1,5.190007324E0,7.638166351E0
3.117664166E-1,8.003855896E-1,5.085075531E0,7.395820313E0
3.217534166E-1,8.204438782E-1,5.170248413E0,6.985523529E0
3.317404166E-1,1.024319916E0,5.226830750E0,6.351891174E0
3.417264167E-1,1.293310547E0,5.170996857E0,5.735173645E0
3.517134167E-1,1.412612457E0,5.273683319E0,5.546565857E0
3.617004167E-1,1.524878998E0,5.464087372E0,5.605243835E0
3.716864166E-1,1.312321014E0,5.349425812E0,5.637726288E0
3.816734166E-1,1.007405090E0,4.967420197E0,6.124663696E0
3.916604166E-1,5.574407959E-1,4.660109253E0,6.608457642E0
4.016464167E-1,5.351371765E-1,4.306843872E0,6.868167572E0
4.116334167E-1,9.713301086E-1,4.083059235E0,7.240593109E0
4.216204167E-1,1.356778564E0,4.121828613E0,7.614216156E0
4.316064166E-1,1.616937561E0,4.130061493E0,8.103099518E0
4.415934166E-1,1.807790680E0,4.076472931E0,8.821006622E0
4.515804166E-1,1.885479126E0,3.944896545E0,9.666149139E0
4.615664167E-1,1.796713715E0,3.744313660E0,1.037193146E1
4.715534167E-1,1.716929626E0,3.671265564E0,1.088296875E1
4.815404167E-1,1.695374451E0,3.683989105E0,1.107292374E1
4.915264166E-1,1.805994415E0,3.726800079E0,1.080902252E1
5.015142083E-1,1.862876129E0,3.720064087E0,1.013721954E1
5.115012083E-1,1.780247955E0,3.696263580E0,9.444460144E0
5.214872083E-1,1.702858887E0,3.811224518E0,9.005572815E0
5.314742083E-1,1.546134796E0,3.857328644E0,8.781488800E0
5.414612083E-1,1.344803467E0,3.725303192E0,8.735085297E0
5.514472083E-1,1.243613892E0,3.528013458E0,8.759334869E0
5.614342083E-1,1.147064667E0,3.295097809E0,8.847202148E0
5.714202083E-1,9.648934937E-1,3.016976166E0,8.890611877E0
5.814072083E-1,6.830296326E-1,2.860102386E0,9.096284180E0
5.913942083E-1,8.924441528E-1,2.904110870E0,1.002555176E1
6.013802083E-1,1.186582489E0,2.859803009E0,1.107142685E1
6.113672083E-1,9.828561401E-1,2.817291412E0,1.159339142E1
6.213542083E-1,8.364605713E-1,2.846031647E0,1.172601562E1
6.313402083E-1,8.514294434E-1,2.817890167E0,1.143053009E1
6.413272083E-1,8.331674194E-1,2.779569855E0,1.078133011E1
6.513142083E-1,1.244212646E0,2.717299347E0,1.023212219E1
6.613002083E-1,1.559157715E0,2.672841797E0,9.581125946E0
6.712872083E-1,2.347268829E0,2.687062225E0,8.691825256E0
6.812742083E-1,3.261417847E0,2.922522583E0,7.516619110E0
6.912602083E-1,3.874093781E0,3.288062439E0,6.355783081E0
7.012472083E-1,3.720363464E0,3.701951752E0,5.491181030E0
7.112342083E-1,3.550766144E0,4.337080994E0,4.758754120E0
7.212202083E-1,3.658242645E0,5.025948486E0,4.047583008E0
7.312072083E-1,3.493884430E0,5.549110565E0,3.722608795E0
7.411942083E-1,2.780018921E0,5.841452637E0,4.045786743E0
7.511802083E-1,2.327060852E0,5.713169403E0,5.301675110E0
7.611672083E-1,3.679049377E0,4.968767395E0,7.510781250E0
7.711542083E-1,3.854933624E0,4.374802551E0,7.659721527E0
7.811402083E-1,4.005969543E0,4.884043579E0,7.077432404E0
7.911272083E-1,4.395459595E0,5.570366364E0,6.324797516E0
8.011142083E-1,5.267546082E0,5.772595825E0,5.054688721E0
8.111002083E-1,6.183341675E0,6.188580780E0,4.267475739E0
8.210872083E-1,7.309300232E0,6.391109619E0,4.311484222E0
8.310742083E-1,8.304281158E0,6.022575989E0,4.942871246E0
8.410602083E-1,9.080267487E0,5.657934265E0,5.823939056E0
8.510472083E-1,9.804760895E0,5.165608063E0,6.682703247E0
8.610342083E-1,9.951605530E0,4.502037964E0,7.286098480E0
8.710202083E-1,9.498946838E0,3.976630554E0,7.530091095E0
8.810072083E-1,9.019942932E0,3.547472992E0,7.424560547E0
8.909932083E-1,8.130791931E0,3.238964539E0,6.764433289E0
9.009802083E-1,7.034172363E0,3.169209595E0,5.742508392E0
