"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.716041667E-2,-1.204676032E-1,-1.355305500E-2,-8.032160252E-2
2.714741667E-2,-2.244086415E-1,1.416128278E-1,-1.105551347E-1
3.713341666E-2,-2.170343548E-1,2.098450363E-1,-1.096984670E-1
4.712041665E-2,-1.326726079E-1,1.853748560E-1,-8.192276210E-2
5.710741665E-2,-2.264695987E-2,1.120866239E-1,-5.130803213E-2
6.709341667E-2,6.612791121E-2,1.159756444E-2,-2.250115201E-2
7.708041667E-2,1.224115193E-1,-7.782024145E-2,-9.473145008E-3
8.706741667E-2,1.231947541E-1,-1.237011850E-1,-1.630388759E-2
9.705341666E-2,6.979411095E-2,-9.948232770E-2,-2.189266309E-2
1.070404167E-1,-7.013052702E-3,-2.203654125E-2,-2.456834167E-2
1.170274167E-1,-7.278523594E-2,5.875092745E-2,-2.689716592E-2
1.270134167E-1,-1.044994891E-1,1.058723629E-1,-1.912952401E-2
1.370004167E-1,-9.591476619E-2,1.151547134E-1,-3.928534687E-3
1.469874167E-1,-6.862694770E-2,9.211251140E-2,1.193058956E-2
1.569734167E-1,-4.193253815E-2,7.563931495E-2,1.728713699E-2
1.669604167E-1,-3.063434176E-2,5.807656795E-2,1.781683974E-2
1.769474167E-1,-1.745205000E-2,2.932495810E-2,1.423992589E-2
1.869334167E-1,-8.022338152E-4,1.027137227E-2,1.206891704E-2
1.969204167E-1,9.887645952E-3,4.245962948E-3,1.097067632E-2
2.069074167E-1,-2.166948095E-2,1.768347621E-2,1.540057920E-2
2.168934167E-1,-7.226023078E-2,4.098806530E-2,1.278895047E-2
2.268804167E-1,-1.158718839E-1,7.891786844E-2,7.834405638E-3
2.368664167E-1,-1.490204930E-1,1.147176251E-1,4.286963958E-4
2.468534167E-1,-1.703476310E-1,1.332532316E-1,-9.530726820E-3
2.568404167E-1,-1.771281362E-1,1.048780084E-1,-2.429911867E-2
2.668264167E-1,-1.635010093E-1,3.169221431E-2,-4.237372428E-2
2.768134167E-1,-1.234012023E-1,-8.925592899E-2,-6.264941394E-2
2.868004167E-1,-6.246381253E-2,-2.345292419E-1,-8.722799271E-2
2.967864167E-1,-8.115855046E-3,-3.746731281E-1,-1.047103852E-1
3.067734167E-1,2.496326715E-2,-5.010738969E-1,-1.222694069E-1
3.167604167E-1,3.344056662E-3,-6.192476153E-1,-1.596264690E-1
3.267464167E-1,-1.057866886E-1,-7.287893295E-1,-2.272379994E-1
3.367334167E-1,-3.157187998E-1,-7.449522614E-1,-3.099380732E-1
3.467204167E-1,-4.852721393E-1,-8.097283244E-1,-3.978918791E-1
3.567064167E-1,-6.265529394E-1,-8.828290701E-1,-5.432612896E-1
3.666934167E-1,-7.352802157E-1,-9.496831894E-1,-6.786897182E-1
3.766804167E-1,-7.777256370E-1,-9.761953354E-1,-8.071414828E-1
3.866664167E-1,-8.172677159E-1,-1.030839205E0,-7.831080556E-1
3.966534167E-1,-8.998314142E-1,-9.582224488E-1,-7.035895586E-1
4.066404167E-1,-1.031289577E0,-7.697888613E-1,-6.352195740E-1
4.166264167E-1,-1.214369655E0,-4.996338189E-1,-5.847616792E-1
4.266134167E-1,-1.399987102E0,-2.672269642E-1,-5.542325377E-1
4.366004167E-1,-1.515168667E0,-1.033246070E-1,-5.323317051E-1
4.465864167E-1,-1.515553474E0,-5.196981598E-3,-5.134578943E-1
4.565734167E-1,-1.396166444E0,1.634055376E-2,-4.812123477E-1
4.665604167E-1,-1.184226036E0,-1.901637204E-2,-4.333809018E-1
4.765464167E-1,-8.944439888E-1,-4.766551405E-2,-3.882940114E-1
4.865334167E-1,-6.020595431E-1,-1.152139306E-1,-3.698204458E-1
4.965212083E-1,-3.661256731E-1,-2.729245722E-1,-3.800121844E-1
5.065072083E-1,-2.255424410E-1,-4.881269038E-1,-3.862607777E-1
5.164942083E-1,-1.833249629E-1,-6.574276090E-1,-3.832330108E-1
5.264812083E-1,-1.886616796E-1,-6.860486269E-1,-3.639794290E-1
5.364672083E-1,-2.378002703E-1,-5.760497451E-1,-3.076361716E-1
5.464542083E-1,-3.229479194E-1,-3.949201703E-1,-1.998060942E-1
5.564402083E-1,-4.418776035E-1,-1.179122925E-1,-4.482073337E-2
5.664272083E-1,-6.020867229E-1,2.015999258E-1,1.664097607E-1
5.764142083E-1,-7.389165759E-1,3.886459172E-1,3.900669813E-1
5.864002083E-1,-6.913607717E-1,3.405774534E-1,5.206452608E-1
5.963872083E-1,-4.091469049E-1,8.591046929E-2,5.284697413E-1
6.063742083E-1,5.411236361E-2,-4.387759566E-1,5.219995975E-1
6.163602083E-1,6.551840305E-1,-1.111965060E0,4.948244095E-1
6.263472083E-1,1.310096264E0,-1.790812016E0,4.665541649E-1
6.363342083E-1,1.894926310E0,-2.421288967E0,4.837103486E-1
6.463202083E-1,2.366852999E0,-2.939103127E0,5.060467720E-1
6.563072083E-1,2.767888546E0,-3.184863091E0,5.550329089E-1
6.662942083E-1,2.952316523E0,-3.234253407E0,5.910188556E-1
6.762802083E-1,2.824763536E0,-3.138802767E0,5.705233812E-1
6.862672083E-1,2.449305773E0,-2.799190044E0,5.413018465E-1
6.962542083E-1,1.956333637E0,-2.270249605E0,5.533611774E-1
7.062402083E-1,1.405430317E0,-1.747508883E0,5.970021486E-1
7.162272083E-1,8.279386163E-1,-1.329025030E0,6.272485256E-1
7.262142083E-1,2.893795669E-1,-1.142304063E0,6.113851070E-1
7.362002083E-1,-8.731639385E-2,-1.092301130E0,6.178396940E-1
7.461872083E-1,-2.140974998E-1,-1.435466528E0,6.641315818E-1
7.561742083E-1,5.794174969E-3,-2.126079798E0,6.163322330E-1
7.661602083E-1,3.942196667E-1,-2.683886766E0,5.838086605E-1
7.761472083E-1,7.429855466E-1,-3.015458822E0,5.982198119E-1
7.861342083E-1,8.519418836E-1,-3.104894876E0,6.397755146E-1
7.961202083E-1,5.877195597E-1,-2.975645065E0,6.819163561E-1
8.061072083E-1,1.054743603E-1,-2.669345617E0,7.455376983E-1
8.160942083E-1,-4.669141471E-1,-2.280092716E0,6.969970465E-1
8.260802083E-1,-1.008325219E0,-2.006559610E0,5.484347343E-1
8.360672083E-1,-1.435978889E0,-1.935975909E0,2.968347967E-1
8.460542083E-1,-1.755613089E0,-2.039278269E0,-1.048734784E-1
8.560402083E-1,-2.018131495E0,-2.166480303E0,-5.932316780E-1
8.660272083E-1,-2.187623978E0,-2.232243299E0,-1.026669383E0
8.760142083E-1,-2.219683409E0,-2.368917227E0,-1.344450831E0
8.860002083E-1,-2.147350550E0,-2.558767080E0,-1.526286483E0
8.959872083E-1,-2.094767809E0,-2.485674143E0,-1.574478984E0
9.059732083E-1,-2.193989754E0,-1.911983967E0,-1.439195156E0
9.159602083E-1,-2.515112638E0,-1.074416637E0,-1.124607921E0
9.259472083E-1,-3.043129683E0,-2.587934434E-1,-7.824687958E-1
9.359332083E-1,-3.701694489E0,4.304076135E-1,-5.098775029E-1
9.459202083E-1,-4.386649132E0,8.290506005E-1,-2.915579379E-1
9.559072083E-1,-4.989249706E0,9.363703132E-1,-1.387538165E-1
9.658932083E-1,-5.435273647E0,8.967459798E-1,-5.641419813E-2
9.758802083E-1,-5.683632851E0,7.832069993E-1,-7.817702740E-2
9.858672083E-1,-5.721312523E0,4.018508196E-1,-1.931315809E-1
9.958532083E-1,-5.574664116E0,-1.266373396E-1,-4.052374661E-1
1.005840208E0,-5.250096798E0,-4.998841584E-1,-6.358467340E-1
1.015827208E0,-4.059553146E0,-1.043651775E-1,-6.373996735E-1
1.025813208E0,-2.805181265E0,7.848159969E-2,-6.264780164E-1
1.035800208E0,-1.920338035E0,-7.954619080E-2,-5.423797369E-1
1.045787208E0,-1.536305189E0,-4.593236446E-1,-5.933462977E-1
