"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.570249955E-3,1.460662537E0,3.226240997E0,7.191345520E0
1.256424992E-2,1.213676147E0,3.524570618E0,7.443121948E0
2.255825000E-2,6.685098267E-1,3.877087555E0,8.243058472E0
3.255224996E-2,-1.637594604E-1,4.168381805E0,9.116342468E0
4.254624993E-2,-8.300239563E-1,4.198169861E0,9.233848114E0
5.254025001E-2,-9.867480469E-1,4.039350128E0,9.056317291E0
6.253424997E-2,-8.014334106E-1,3.813020782E0,9.014404449E0
7.252724993E-2,-5.325924683E-1,3.583398285E0,9.162446594E0
8.252125001E-2,-2.139051819E-1,3.318748627E0,8.982670441E0
9.251524997E-2,1.543290710E-1,3.115171967E0,8.567583618E0
1.025092499E-1,4.104464722E-1,3.078498230E0,8.188871155E0
1.125032500E-1,5.020559692E-1,3.203338623E0,8.225095825E0
1.224972500E-1,4.927752686E-1,3.118614807E0,8.581654358E0
1.324912499E-1,4.421804810E-1,2.915936279E0,9.278904419E0
1.424842500E-1,2.582130432E-1,2.885250092E0,9.771829376E0
1.524782500E-1,-2.739303589E-2,2.981949005E0,1.008437943E1
1.624722499E-1,-9.804611206E-2,3.144810333E0,1.058209442E1
1.724662499E-1,-4.281097412E-2,3.229534149E0,1.083147583E1
1.824602500E-1,-2.350112915E-1,2.997217255E0,1.041713745E1
1.924542499E-1,-5.565426636E-1,2.483784943E0,9.605525208E0
2.024482499E-1,-7.244934082E-1,2.233505402E0,9.028774567E0
2.124412500E-1,-6.474037170E-1,2.668650513E0,8.935518494E0
2.224352499E-1,-5.550457764E-1,3.369044037E0,9.200916595E0
2.324292499E-1,-4.908293152E-1,3.710783386E0,9.671837311E0
2.424232500E-1,-7.915539551E-1,3.791615295E0,1.020218445E1
2.524172500E-1,-1.280287628E0,3.746708679E0,1.048135391E1
2.624112499E-1,-1.401984558E0,3.606450348E0,1.012823822E1
2.724052500E-1,-1.299747162E0,3.424578552E0,9.494156799E0
2.823982500E-1,-1.382974091E0,3.254382477E0,8.907676392E0
2.923922499E-1,-1.552721100E0,2.961291962E0,8.572373657E0
3.023862500E-1,-1.694775696E0,2.662513275E0,8.594377899E0
3.123802500E-1,-1.612746277E0,2.467169495E0,9.002579041E0
3.223742499E-1,-1.538650360E0,2.523751831E0,9.480684814E0
3.323682500E-1,-1.617087250E0,2.604284363E0,9.468260651E0
3.423622500E-1,-1.831591187E0,2.595901794E0,9.570647736E0
3.523552499E-1,-2.062710571E0,2.761756897E0,9.664502563E0
3.623492500E-1,-1.877395935E0,2.699187012E0,9.292226715E0
3.723432500E-1,-1.713786163E0,2.625540161E0,8.414002991E0
3.823372499E-1,-1.209634552E0,2.633473663E0,7.993227997E0
3.923312500E-1,-1.421893158E0,2.710862732E0,7.861202545E0
4.023252500E-1,-1.545536041E0,2.757415924E0,8.100105743E0
4.123182499E-1,-1.793570251E0,2.994822235E0,8.555758209E0
4.223122500E-1,-2.110461273E0,2.940634918E0,8.801846466E0
4.323062500E-1,-1.692829742E0,2.626138916E0,9.161847839E0
4.423002499E-1,-7.949967957E-1,2.465672607E0,9.978100433E0
4.522942499E-1,-6.325845337E-1,2.369273071E0,1.058344162E1
4.622882500E-1,-1.244362335E0,2.145488434E0,1.055934174E1
4.722822499E-1,-1.521585846E0,2.040406952E0,1.007315277E1
4.822752499E-1,-1.377884674E0,2.121987305E0,9.183103638E0
4.922692500E-1,-1.218915253E0,2.273172913E0,8.675209808E0
5.022632499E-1,-1.512305145E0,2.358944550E0,8.714278564E0
5.122572499E-1,-1.757046204E0,2.590363312E0,9.032367096E0
5.222512500E-1,-1.786684570E0,2.866539001E0,9.232351227E0
5.322452500E-1,-1.761387177E0,2.822231140E0,9.179211731E0
5.422392499E-1,-2.022144928E0,2.567011871E0,9.196126556E0
5.522322500E-1,-2.346370697E0,2.312990112E0,9.194330292E0
5.622262500E-1,-2.420466614E0,2.123184814E0,9.012009430E0
5.722202499E-1,-2.130369873E0,2.090852051E0,9.019793243E0
5.822142500E-1,-2.004032593E0,2.085163879E0,9.172625427E0
5.922082500E-1,-2.315385132E0,2.008523254E0,9.521699524E0
6.022022499E-1,-2.388283539E0,1.836830292E0,9.803264008E0
6.121962500E-1,-2.226320343E0,1.732347565E0,1.012404694E1
6.221892500E-1,-2.187850342E0,1.747466125E0,1.035037628E1
6.321832499E-1,-2.223326569E0,1.738634491E0,1.023481659E1
6.421772500E-1,-2.267484741E0,1.612596588E0,9.665101318E0
6.521712500E-1,-2.161505127E0,1.378782806E0,9.116492157E0
6.621652499E-1,-2.173779602E0,1.292861481E0,8.867110748E0
6.721592500E-1,-2.242786102E0,1.323996735E0,8.751700745E0
6.821532500E-1,-1.814975739E0,1.270408173E0,8.775351563E0
6.921462499E-1,-1.587897949E0,1.187330933E0,8.994346161E0
7.021402500E-1,-2.091450806E0,1.100062408E0,9.212592316E0
7.121342500E-1,-2.637365570E0,1.034498749E0,9.263037415E0
7.221282499E-1,-2.978655853E0,1.222807159E0,9.461374969E0
7.321222500E-1,-2.833008728E0,1.484013977E0,8.993448029E0
7.421162500E-1,-2.559228058E0,1.477876740E0,8.144862671E0
7.521102499E-1,-2.473157043E0,1.523382111E0,7.758366394E0
7.621032500E-1,-2.509232025E0,1.703008575E0,7.137607269E0
7.720972500E-1,-2.912493439E0,1.693129120E0,7.013814697E0
7.820912499E-1,-3.072211304E0,8.313711548E-1,7.360194397E0
7.920852499E-1,-3.372935944E0,9.671388245E-1,8.202193451E0
8.020792500E-1,-3.306025085E0,1.160985718E0,9.513466644E0
8.120732500E-1,-3.468886414E0,8.476872253E-1,1.090856552E1
8.220672499E-1,-3.313359833E0,5.031037903E-1,1.181088913E1
8.320602500E-1,-3.100652161E0,2.222877502E-1,1.149818939E1
8.420540000E-1,-2.718496857E0,8.981323242E-2,1.051129166E1
8.520480000E-1,-2.553090820E0,4.966671753E-1,9.030570831E0
8.620419999E-1,-2.866688690E0,1.170715485E0,7.928412781E0
8.720360000E-1,-3.231031036E0,1.589095459E0,7.490423584E0
8.820300000E-1,-3.475472717E0,1.579216003E0,7.086114349E0
8.920229999E-1,-3.501967621E0,1.450783081E0,6.380182343E0
9.020170000E-1,-2.826721802E0,1.572480011E0,5.170847168E0
9.120110000E-1,-2.454296265E0,1.685944061E0,3.887116699E0
9.220049999E-1,-2.795885925E0,1.856888580E0,3.103945312E0
9.319989999E-1,-3.197800140E0,2.428549805E0,2.703677673E0
9.419930000E-1,-3.209924927E0,2.975811768E0,2.402354279E0
9.519869999E-1,-3.066223755E0,3.260370026E0,1.550176392E0
9.619809999E-1,-3.014431458E0,3.054248657E0,-2.989283752E-1
9.719740000E-1,-2.930007019E0,2.008074188E0,-1.041983185E0
9.819679999E-1,-3.266806641E0,2.975811768E-1,7.978408813E-2
9.919619999E-1,-3.057242432E0,-1.716330872E0,1.940115509E0
1.001956000E0,-3.469934235E0,-2.144590302E0,3.406615906E0
1.011950000E0,-2.732567596E0,-2.525099030E0,5.132526855E0
1.021944000E0,-1.953138428E0,-2.955454102E0,5.613177338E0
1.031937000E0,-2.009720764E0,-3.214864655E0,5.672005005E0
1.041931000E0,-1.315913544E0,-3.658991089E0,5.750890961E0
1.051925000E0,-1.701062622E0,-4.219275970E0,5.303321686E0
1.061919000E0,-4.066443787E0,-3.923491058E0,6.237978058E0
1.071913000E0,-6.909781036E0,-3.156935120E0,8.270152130E0
1.081907000E0,-7.905211029E0,-3.124452667E0,9.580527191E0
1.091901000E0,-6.355783081E0,-4.436174927E0,9.723928986E0
1.101894000E0,-4.944817200E0,-5.894741821E0,1.006402176E1
1.111888000E0,-4.023483124E0,-6.702013092E0,9.748477936E0
1.121882000E0,-3.966601410E0,-6.442153473E0,9.385632477E0
1.131876000E0,-4.971761169E0,-5.132077789E0,8.888815613E0
1.141870000E0,-6.333329773E0,-4.145629120E0,8.634494476E0
1.151864000E0,-6.683002625E0,-4.274960175E0,8.879385223E0
1.161858000E0,-6.691085815E0,-4.038152618E0,9.366322632E0
1.171851000E0,-7.353907471E0,-3.888763275E0,9.754315796E0
1.181845000E0,-7.534432068E0,-3.765419769E0,9.434580688E0
1.191839000E0,-7.680079193E0,-3.102747803E0,8.756790161E0
1.201833000E0,-7.491471405E0,-2.723137207E0,7.622449036E0
1.211827000E0,-6.953041077E0,-2.878065033E0,6.349346466E0
1.221821000E0,-6.407874756E0,-3.334166565E0,5.640420685E0
1.231815000E0,-6.765930176E0,-3.809428253E0,4.773722992E0
1.241808000E0,-7.921976166E0,-3.336711273E0,6.861431580E0
1.251802000E0,-8.245752869E0,-3.049458618E0,9.048383789E0
1.261796000E0,-7.052883453E0,-4.823719025E0,1.014560211E1
1.271790000E0,-6.053711243E0,-6.316265259E0,1.102457428E1
1.281784000E0,-5.212909698E0,-6.645430756E0,1.187974594E1
1.291778000E0,-4.555626526E0,-6.970704346E0,9.694739685E0
1.301772000E0,-5.071902924E0,-6.599626007E0,7.320826263E0
1.311765000E0,-5.023852844E0,-6.188580780E0,5.680686951E0
1.321759000E0,-5.078788605E0,-6.594087524E0,3.711382141E0
1.331753000E0,-4.438120880E0,-7.725734253E0,2.675835571E0
1.341747000E0,-2.784060516E0,-9.816436615E0,2.895578613E0
1.351741000E0,-1.212478638E0,-1.119686600E1,3.599864044E0
1.361735000E0,-2.688409424E-1,-1.213301926E1,3.777245178E0
1.371729000E0,7.090754700E-1,-1.254226822E1,3.960314484E0
1.381722000E0,6.415658569E-1,-1.301064423E1,3.759881287E0
1.391716000E0,1.636097717E-1,-1.379201935E1,3.989354095E0
1.401710000E0,-1.204096069E0,-1.442131073E1,4.665947113E0
1.411704000E0,-3.896547089E0,-1.433299438E1,5.356461182E0
