"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.388722500E-2,-2.269674093E-2,-1.531369239E-1,-1.997895725E-2
1.890714300E-2,3.934718203E-3,-1.403537840E-1,-1.571782306E-2
2.392714400E-2,2.097885869E-2,-1.339621544E-1,-1.358732209E-2
2.894714800E-2,6.891572475E-2,-1.169178784E-1,-7.195685990E-3
3.396714800E-2,1.093957722E-1,-1.147873774E-1,-2.934684511E-3
3.898714300E-2,1.477453262E-1,-1.222441941E-1,2.610000083E-4
4.400714300E-2,1.807685494E-1,-1.328968257E-1,4.522001836E-3
4.902714700E-2,2.031390071E-1,-1.403537840E-1,7.717819419E-3
5.404714700E-2,2.159222811E-1,-1.446147859E-1,1.197895408E-2
5.906710400E-2,2.180527747E-1,-1.403537840E-1,1.730527356E-2
6.408710400E-2,2.116611451E-1,-1.350274682E-1,2.050095797E-2
6.910710300E-2,1.967475116E-1,-1.254400164E-1,2.156627364E-2
7.412710300E-2,1.786379218E-1,-1.147873774E-1,1.943577453E-2
7.914710300E-2,1.605284661E-1,-1.105263755E-1,1.197895408E-2
8.416710300E-2,1.424189955E-1,-1.094610542E-1,2.610000083E-4
8.918710800E-2,1.243095472E-1,-1.137221903E-1,-1.465263870E-2
9.420710800E-2,1.125915945E-1,-1.243748292E-1,-2.956627682E-2
9.922703100E-2,1.019389555E-1,-1.424842924E-1,-4.447991773E-2
1.042470400E-1,9.448213130E-2,-1.616590619E-1,-5.406736955E-2
1.092670400E-1,9.767795354E-2,-1.787032038E-1,-6.045887247E-2
1.142870450E-1,9.980845451E-2,-1.840295196E-1,-6.152419001E-2
1.193070450E-1,9.980845451E-2,-1.680505574E-1,-5.939368904E-2
1.243270250E-1,9.554731846E-2,-1.424842924E-1,-5.939368904E-2
1.293470250E-1,8.702531457E-2,-1.158526912E-1,-5.300205201E-2
1.343670400E-1,7.743786275E-2,-8.815578371E-2,-5.300205201E-2
1.393870400E-1,6.252422184E-2,-6.472000480E-2,-5.193686858E-2
1.444070110E-1,4.334944859E-2,-4.234941676E-2,-5.193686858E-2
1.494270110E-1,1.884835772E-2,-2.104414068E-2,-5.619787052E-2
1.544470160E-1,-9.913603775E-3,-8.041837718E-4,-6.152419001E-2
1.594670160E-1,-4.506733268E-2,1.304413844E-2,-6.791582704E-2
1.644870490E-1,-8.128637820E-2,1.197895408E-2,-7.537264377E-2
1.695070490E-1,-1.217662916E-1,6.652635522E-3,-7.963364571E-2
1.745270440E-1,-1.643769741E-1,-8.041837718E-4,-8.282946050E-2
1.795469670E-1,-2.123138458E-1,-3.999868408E-3,-8.815578371E-2
1.845669820E-1,-2.634465396E-1,-2.934684511E-3,-9.348209947E-2
1.895869820E-1,-3.188402057E-1,-8.041837718E-4,-9.774323553E-2
1.946069860E-1,-3.752992153E-1,6.652635522E-3,-1.030695513E-1
1.996269860E-1,-4.306929111E-1,1.837045699E-2,-1.105263755E-1
2.046470150E-1,-4.818255901E-1,3.115359508E-2,-1.233095154E-1
2.096670150E-1,-5.276319385E-1,4.287154973E-2,-1.414189637E-1
2.146870250E-1,-5.681120157E-1,4.819786921E-2,-1.616590619E-1
2.197070250E-1,-5.979394317E-1,5.032837018E-2,-1.840295196E-1
2.247270730E-1,-6.096573472E-1,4.819786921E-2,-2.085306048E-1
2.297470730E-1,-6.043310761E-1,4.180623218E-2,-2.298358828E-1
2.347670630E-1,-5.915477872E-1,2.689259313E-2,-2.458148450E-1
2.397870630E-1,-5.819603205E-1,8.783136494E-3,-2.522064745E-1
2.448070480E-1,-5.734383464E-1,6.652635522E-3,-2.500759661E-1
2.498270480E-1,-5.606551766E-1,4.500205070E-2,-2.426190227E-1
2.548470330E-1,-5.308277607E-1,7.909059525E-2,-2.234443873E-1
2.598670330E-1,-4.701077640E-1,6.098100543E-2,-2.000084668E-1
2.648869760E-1,-3.902128637E-1,1.517463848E-2,-1.776380092E-1
2.699069760E-1,-3.049917519E-1,-4.767573252E-2,-1.488757879E-1
2.749269760E-1,-2.282927930E-1,-1.190485135E-1,-1.179831922E-1
2.799469760E-1,-1.686379761E-1,-1.904211491E-1,-9.135159850E-2
2.849670240E-1,-1.324190646E-1,-2.447496504E-1,-7.963364571E-2
2.899870240E-1,-1.185706109E-1,-2.745769322E-1,-7.430732995E-2
2.950069800E-1,-1.143094748E-1,-2.735117376E-1,-6.472000480E-2
3.000269800E-1,-1.164399758E-1,-2.383580208E-1,-4.128423333E-2
3.050470000E-1,-1.217662916E-1,-1.723116934E-1,-1.039150357E-2
3.100670000E-1,-1.228316128E-1,-7.004632801E-2,2.582727559E-2
3.150870280E-1,-1.196357906E-1,3.861054778E-2,6.417682022E-2
3.201070280E-1,-1.111136600E-1,1.270274669E-1,1.003958732E-1
3.251270230E-1,-1.068526581E-1,1.781601459E-1,1.259621531E-1
3.301470230E-1,-1.164399758E-1,1.920084655E-1,1.376800984E-1
3.351670140E-1,-1.441368908E-1,1.760295182E-1,1.366147846E-1
3.401870140E-1,-1.824864298E-1,1.408759207E-1,1.323537827E-1
3.452070140E-1,-2.325537950E-1,8.654741198E-2,1.259621531E-1
3.502270150E-1,-2.836864889E-1,3.008841164E-2,1.302232742E-1
3.552469380E-1,-3.273623586E-1,-3.702309728E-2,1.430064142E-1
3.602669230E-1,-3.571897745E-1,-1.126568764E-1,1.685726941E-1
3.652869230E-1,-3.710380793E-1,-1.925516576E-1,1.984001100E-1
3.703069330E-1,-3.774297237E-1,-2.617937922E-1,2.260970175E-1
3.753269330E-1,-3.763645291E-1,-3.171876073E-1,2.463369668E-1
3.803468990E-1,-3.752992153E-1,-3.395580649E-1,2.548591197E-1
3.853668990E-1,-3.731687069E-1,-3.182528019E-1,2.527286112E-1
3.903868990E-1,-3.657117784E-1,-2.511411607E-1,2.516632974E-1
3.954068990E-1,-3.561244607E-1,-1.584632397E-1,2.495327890E-1
4.004269180E-1,-3.433413208E-1,-5.300205201E-2,2.623159289E-1
4.054469180E-1,-3.390803039E-1,3.647991270E-2,2.846865356E-1
4.104669280E-1,-3.497328162E-1,9.400423616E-2,3.038612902E-1
4.154869280E-1,-3.731687069E-1,1.259621531E-1,3.209054470E-1
4.205069100E-1,-4.083223045E-1,1.259621531E-1,3.304928839E-1
4.255269100E-1,-4.477371871E-1,1.174400076E-1,3.443412185E-1
4.305468860E-1,-4.850214124E-1,1.259621531E-1,3.741686344E-1
4.355668860E-1,-5.116530061E-1,1.579200625E-1,4.146486819E-1
4.405868280E-1,-5.180446506E-1,1.781601459E-1,4.434107542E-1
4.456068280E-1,-4.967392385E-1,1.568547338E-1,4.434107542E-1
4.506268140E-1,-4.402803481E-1,1.302232742E-1,4.476718903E-1
4.556468140E-1,-3.614507616E-1,9.826523811E-2,4.508677125E-1
4.606668510E-1,-2.719685435E-1,3.008841164E-2,4.423455894E-1
4.656868510E-1,-1.899432540E-1,-6.152419001E-2,4.327582717E-1
4.707068560E-1,-1.153747886E-1,-1.499411017E-1,4.135834873E-1
4.757268560E-1,-7.489474118E-2,-2.617937922E-1,3.762992620E-1
4.807468460E-1,-6.743792444E-2,-4.631287158E-1,3.166444302E-1
4.857668460E-1,-8.874320239E-2,-7.688595057E-1,2.644464374E-1
4.907868280E-1,-1.111136600E-1,-1.035175443E0,2.452717870E-1
4.958068280E-1,-1.398758888E-1,-1.227988243E0,2.399453372E-1
5.008268460E-1,-1.888779402E-1,-1.294034719E0,2.378148437E-1
5.058468460E-1,-2.677075267E-1,-1.223727226E0,1.696380079E-1
5.108668460E-1,-3.742339015E-1,-9.840428829E-1,4.180623218E-2
5.158868460E-1,-4.988698661E-1,-6.974868774E-1,-1.009389237E-1
5.209068460E-1,-6.064614058E-1,-5.110656023E-1,-2.106611133E-1
5.259268510E-1,-6.650510430E-1,-4.428887665E-1,-2.628591061E-1
5.309468510E-1,-6.543984413E-1,-3.960170746E-1,-2.905558944E-1
5.359668560E-1,-5.670468211E-1,-2.756422460E-1,-3.001433313E-1
5.409868560E-1,-4.221709073E-1,-1.360926479E-1,-2.799033821E-1
5.460068650E-1,-2.485327572E-1,-3.915359825E-2,-1.904211491E-1
5.510267880E-1,-6.850311160E-2,3.008841164E-2,-4.341473430E-2
5.560467740E-1,1.200484112E-1,1.142441928E-1,1.227663308E-1
5.610667740E-1,2.979475558E-1,2.111832500E-1,2.623159289E-1
5.660867600E-1,4.492149949E-1,2.804255188E-1,3.198402524E-1
5.711067600E-1,5.525456667E-1,2.612507343E-1,3.070569932E-1
5.761267600E-1,6.047436595E-1,1.110485047E-1,2.601854205E-1
5.811467600E-1,6.196573377E-1,-1.403537840E-1,1.898779720E-1
5.861667650E-1,6.196573377E-1,-4.279749990E-1,1.057221889E-1
5.911867650E-1,6.249836087E-1,-7.017478943E-1,3.008841164E-2
5.962067790E-1,6.452237368E-1,-9.286490679E-1,-1.997895725E-2
6.012267790E-1,6.697247028E-1,-1.076720834E0,-4.661054909E-2
6.062467650E-1,6.899646521E-1,-1.133179784E0,-6.258950382E-2
6.112667650E-1,6.995521188E-1,-1.112939715E0,-6.791582704E-2
6.162867410E-1,6.931604743E-1,-1.000021815E0,-7.430732995E-2
6.213067410E-1,6.739858389E-1,-7.933605909E-1,-7.963364571E-2
6.263267360E-1,6.505498886E-1,-4.705856740E-1,-7.217682898E-2
6.313467360E-1,6.185919642E-1,-1.115915552E-1,-5.939368904E-2
6.363667460E-1,5.855689049E-1,1.888127923E-1,-4.874105006E-2
6.413867460E-1,5.621330142E-1,4.231708050E-1,-4.128423333E-2
6.464067310E-1,5.450887084E-1,6.149184108E-1,-3.382727876E-2
6.514266550E-1,5.333709121E-1,7.747079730E-1,-2.743577771E-2
6.564466700E-1,5.386972427E-1,9.046701193E-1,-1.678313874E-2
6.614666700E-1,5.642634630E-1,1.012261748E0,-7.195685990E-3
6.664866500E-1,6.100699902E-1,1.094287276E0,2.391500864E-3
6.715066500E-1,6.643983722E-1,1.145420074E0,3.456817707E-3
6.765266500E-1,7.219226956E-1,1.158203006E0,-8.261003532E-3
6.815466460E-1,7.698595524E-1,1.114527225E0,-3.169677779E-2
6.865666460E-1,7.943606377E-1,1.005870342E0,-6.578519195E-2
6.915866220E-1,7.975564599E-1,8.535375595E-1,-1.211790144E-1
6.966066220E-1,7.773163915E-1,6.798993945E-1,-1.968127936E-1
7.016266260E-1,7.421627641E-1,5.009350777E-1,-2.799033821E-1
7.066466260E-1,7.059437037E-1,3.464718461E-1,-3.555370271E-1
7.116666410E-1,6.793121099E-1,2.420759648E-1,-4.151918590E-1
7.166866410E-1,6.569415331E-1,1.866821498E-1,-4.556719065E-1
7.217066410E-1,6.303099394E-1,1.707032025E-1,-4.673898518E-1
7.267266410E-1,5.908952355E-1,1.877474636E-1,-4.482150674E-1
7.317466360E-1,5.450887084E-1,2.303580195E-1,-3.928214014E-1
7.367666360E-1,4.950213432E-1,2.996001542E-1,-3.001433313E-1
7.417866410E-1,4.470844865E-1,3.976045251E-1,-1.840295196E-1
7.468066410E-1,4.161918759E-1,4.945434332E-1,-5.939368904E-2
7.518266500E-1,4.204528928E-1,5.520677567E-1,5.672000349E-2
7.568466500E-1,4.545412958E-1,5.541982651E-1,1.493979245E-1
7.618666550E-1,4.982171655E-1,5.328930020E-1,2.111832500E-1
7.668865780E-1,5.131309628E-1,5.254361629E-1,2.452717870E-1
7.719065640E-1,4.715855718E-1,5.669814348E-1,2.601854205E-1
7.769265640E-1,3.863644898E-1,6.500721574E-1,2.559242845E-1
7.819466020E-1,2.894254327E-1,7.459458709E-1,2.271621972E-1
7.869666020E-1,2.063348293E-1,8.045353889E-1,1.707032025E-1
7.919866020E-1,1.434843242E-1,8.056005836E-1,1.014610529E-1
7.970065830E-1,9.554731846E-2,7.374237180E-1,3.221891075E-2
8.020265830E-1,7.424204051E-2,6.585941315E-1,-5.619787052E-2
8.070465830E-1,6.785054505E-2,5.659162402E-1,-1.392884701E-1
8.120665830E-1,6.145890430E-2,4.817603230E-1,-1.936169714E-1
8.170866020E-1,4.334944859E-2,4.327582717E-1,-2.266400605E-1
8.221066020E-1,8.195719682E-3,3.826907575E-1,-2.490106523E-1
8.271265920E-1,-2.482737601E-2,3.581896722E-1,-2.532717884E-1
8.321465920E-1,-3.334937990E-2,3.762992620E-1,-2.383580208E-1
