"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.726299000E-3,-3.260902643E0,4.723760128E0,5.956773758E0
6.198223000E-3,-3.392583847E0,4.687847137E0,6.069301128E0
7.693584000E-3,-3.394978046E0,4.678270340E0,6.100425720E0
9.707745000E-3,-3.390189648E0,4.647145271E0,6.186617374E0
1.169138700E-2,-3.447650433E0,4.565742493E0,6.358999729E0
1.367503000E-2,-3.617638826E0,4.400542736E0,6.718130112E0
1.565867200E-2,-3.861847401E0,4.177882195E0,7.319074631E0
1.764231500E-2,-4.003105164E0,3.995922565E0,8.054094315E0
1.962595700E-2,-3.876212597E0,3.969586372E0,8.611943245E0
2.164011800E-2,-3.579331636E0,4.050989151E0,9.119514465E0
2.362376000E-2,-3.308786631E0,4.206612587E0,9.651026726E0
2.560740300E-2,-3.119644880E0,4.350264549E0,9.995792389E0
2.759104500E-2,-2.980781078E0,4.417302132E0,1.012986755E1
2.960520600E-2,-2.882618904E0,4.438849926E0,1.028309631E1
3.161936600E-2,-2.817975283E0,4.462791920E0,1.034534550E1
3.363352600E-2,-2.743755102E0,4.460397720E0,1.043393135E1
3.564768600E-2,-2.643198729E0,4.443638325E0,1.032379818E1
3.763132900E-2,-2.590526342E0,4.460397720E0,1.002931118E1
3.964548900E-2,-2.604891539E0,4.489128113E0,9.689333916E0
4.165964900E-2,-2.650381327E0,4.534617901E0,9.385271072E0
4.364329100E-2,-2.647987127E0,4.592078686E0,9.064447403E0
4.562693400E-2,-2.679111719E0,4.654327869E0,8.659827232E0
4.761057700E-2,-2.894589901E0,4.752490520E0,8.082824707E0
4.962473700E-2,-3.325546265E0,4.848258495E0,7.544129372E0
5.160837900E-2,-3.768473387E0,4.917690277E0,7.101202011E0
5.359202200E-2,-4.067748547E0,4.951209068E0,6.751648903E0
5.557566500E-2,-4.232948780E0,4.955997467E0,6.502651691E0
5.755930700E-2,-4.335899353E0,4.934449673E0,6.397306919E0
5.957346700E-2,-4.376600742E0,4.867412090E0,6.435614109E0
6.155711000E-2,-4.326322556E0,4.774038315E0,6.545747280E0
6.357127000E-2,-4.264073372E0,4.695029736E0,6.768408298E0
6.552439500E-2,-4.259284973E0,4.623203278E0,7.084442616E0
6.753855500E-2,-4.292803764E0,4.551377296E0,7.412448406E0
6.955271500E-2,-4.335899353E0,4.472368717E0,7.757213593E0
7.156687500E-2,-4.376600742E0,4.386177540E0,8.070854187E0
7.355051800E-2,-4.412513733E0,4.299986362E0,8.372523308E0
7.553416100E-2,-4.462791920E0,4.199429989E0,8.755595207E0
7.751780300E-2,-4.570530891E0,4.101267338E0,9.327810287E0
7.950144600E-2,-4.685452938E0,4.022258759E0,9.979032516E0
8.151560600E-2,-4.917690277E0,4.010287762E0,1.064222622E1
8.349924900E-2,-5.269638062E0,4.079719543E0,1.139640045E1
8.548289100E-2,-5.547365189E0,4.249708176E0,1.204762268E1
8.746653400E-2,-5.513846397E0,4.505887508E0,1.231816769E1
8.945017600E-2,-5.228936672E0,4.793191910E0,1.233253288E1
