"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.228741000E-3,4.490089715E-1,3.004045784E-1,2.721750736E-1
7.754620000E-3,4.490089715E-1,3.004045784E-1,2.721750736E-1
9.768780000E-3,4.490089715E-1,3.004045784E-1,2.721750736E-1
1.172190500E-2,4.490089715E-1,3.004045784E-1,2.721750736E-1
1.370554700E-2,4.490089715E-1,3.004045784E-1,2.721750736E-1
1.568919000E-2,4.490089715E-1,3.004045784E-1,2.721750736E-1
1.767283200E-2,4.490089715E-1,3.004045784E-1,2.721750736E-1
1.965647500E-2,4.490089715E-1,3.004045784E-1,2.721750736E-1
2.167063500E-2,4.490089715E-1,3.004045784E-1,2.721750736E-1
2.368479500E-2,4.490089715E-1,3.004045784E-1,2.721750736E-1
2.563792000E-2,4.490089715E-1,3.004045784E-1,2.721750736E-1
2.765208100E-2,4.490089715E-1,3.004045784E-1,2.721750736E-1
2.966624100E-2,4.490089715E-1,3.004045784E-1,2.721750736E-1
3.168040100E-2,4.490089715E-1,3.004045784E-1,2.721750736E-1
3.369456100E-2,4.490089715E-1,3.004045784E-1,2.721750736E-1
3.570872100E-2,4.490089715E-1,3.004045784E-1,2.721750736E-1
3.769236400E-2,-3.675162494E-1,-1.817873836E0,-1.211205721E0
3.970652400E-2,-3.669835925E-1,-2.044242382E0,-1.767806411E0
4.172068400E-2,-3.190467060E-1,-2.027198315E0,-1.812014818E0
4.370432700E-2,-2.689792812E-1,-1.962217093E0,-1.832787514E0
4.565745200E-2,-2.237055302E-1,-1.840244293E0,-1.850364327E0
4.767161200E-2,-1.704423130E-1,-1.688444138E0,-1.835450649E0
4.968577200E-2,-1.214401498E-1,-1.503620744E0,-1.833852768E0
5.163889700E-2,-6.711166352E-2,-1.298024774E0,-1.812014818E0
5.362254000E-2,-7.989482954E-3,-1.078047633E0,-1.783252716E0
5.560618200E-2,5.858954415E-2,-8.575378656E-1,-1.745968461E0
5.758982500E-2,1.278317273E-1,-6.418218613E-1,-1.704423189E0
5.960398500E-2,2.034655064E-1,-4.356931746E-1,-1.662877798E0
6.161814500E-2,2.972087860E-1,-2.269013226E-1,-1.608016729E0
6.363230500E-2,3.973436356E-1,-3.036003746E-2,-1.549427152E0
6.558543000E-2,5.107942820E-1,1.507349163E-1,-1.489772320E0
6.759959000E-2,6.247776151E-1,3.126551211E-1,-1.424791217E0
6.961375000E-2,7.494135499E-1,4.500742257E-1,-1.353418469E0
7.162791100E-2,8.756473660E-1,5.693838596E-1,-1.287372112E0
7.358103600E-2,1.001348615E0,6.567355394E-1,-1.218662500E0
7.556467800E-2,1.135039330E0,6.940197945E-1,-1.144093990E0
7.754832100E-2,1.265001535E0,6.828345060E-1,-1.087102413E0
7.953196300E-2,1.393365860E0,6.151902080E-1,-1.032241225E0
8.154612400E-2,1.511610270E0,4.756405652E-1,-9.880327582E-1
8.356028400E-2,1.626658797E0,3.073287904E-1,-9.550095797E-1
8.551340900E-2,1.737446308E0,1.768338978E-1,-9.310411215E-1
8.749705100E-2,1.854092836E0,8.735168725E-2,-9.118663669E-1
8.948069400E-2,1.974467635E0,2.077265643E-2,-8.905611038E-1
9.149485400E-2,2.095907927E0,-3.888215125E-2,-8.825715780E-1
9.350901400E-2,2.212021589E0,-1.012001261E-1,-8.841695189E-1
9.552317400E-2,2.323874474E0,-1.459412277E-1,-8.937568665E-1
9.753733400E-2,2.427205086E0,-1.629854590E-1,-9.235842824E-1
9.955149500E-2,2.524676800E0,-1.667138934E-1,-9.571400881E-1
1.015656550E-1,2.606169462E0,-1.741707325E-1,-1.000815988E0
1.035492970E-1,2.679672718E0,-1.970739216E-1,-1.045024395E0
1.055329400E-1,2.745186567E0,-2.226402760E-1,-1.096689701E0
1.075471000E-1,2.799515009E0,-2.652508616E-1,-1.147289872E0
1.095612600E-1,2.852778196E0,-3.174487948E-1,-1.208542466E0
1.115449030E-1,2.895921469E0,-3.957457542E-1,-1.269795179E0
1.135285450E-1,2.936933994E0,-4.687163532E-1,-1.331047893E0
