"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.504894000E-3,-1.759738207E0,-1.477222443E0,8.566453934E0
5.854748000E-3,-1.580173135E0,-1.386242747E0,8.573636055E0
7.533214000E-3,-1.539471745E0,-1.364694953E0,8.611943245E0
9.547375000E-3,-1.458068848E0,-1.319205165E0,8.695740700E0
1.153101700E-2,-1.379060149E0,-1.247379065E0,8.743624687E0
1.351466000E-2,-1.302445769E0,-1.144428372E0,8.753201485E0
1.549830200E-2,-1.273715258E0,-1.039083481E0,8.777143478E0
1.748194500E-2,-1.273715258E0,-9.576807022E-1,8.789113998E0
1.946558700E-2,-1.268926859E0,-8.786720037E-1,8.760383606E0
2.144923000E-2,-1.297657371E0,-7.876923680E-1,8.731653214E0
2.343287300E-2,-1.364694953E0,-7.086837292E-1,8.693346024E0
2.544703300E-2,-1.414973259E0,-6.368576288E-1,8.583212852E0
2.743067500E-2,-1.486799240E0,-5.698199868E-1,8.427590370E0
2.941431800E-2,-1.589749932E0,-5.147533417E-1,8.274360657E0
3.139796100E-2,-1.683123827E0,-4.836287498E-1,8.140285492E0
3.338160300E-2,-1.766920805E0,-4.644751251E-1,8.025363922E0
3.539576300E-2,-1.867477298E0,-4.525041282E-1,7.927201748E0
3.737940600E-2,-1.963245392E0,-4.477157295E-1,7.864952564E0
3.936304800E-2,-2.047042370E0,-4.429273009E-1,7.824251175E0
4.134669100E-2,-2.109291792E0,-4.548983276E-1,7.831433773E0
4.336085100E-2,-2.157175779E0,-4.644751251E-1,7.864952564E0
4.537501100E-2,-2.205059767E0,-4.764461517E-1,7.915230751E0
4.735865400E-2,-2.233790159E0,-4.860229492E-1,7.967903137E0
4.937281400E-2,-2.257732153E0,-4.955997467E-1,8.027758598E0
5.132593900E-2,-2.286462545E0,-5.051765442E-1,8.097189903E0
5.334009900E-2,-2.317587137E0,-5.243301988E-1,8.176198959E0
5.535425900E-2,-2.358288765E0,-5.482721925E-1,8.259995461E0
5.736841900E-2,-2.389413357E0,-5.722141862E-1,8.343792915E0
5.938258000E-2,-2.406172752E0,-5.937620401E-1,8.413225174E0
6.139674000E-2,-2.408566952E0,-6.177040339E-1,8.473079681E0
6.338038200E-2,-2.418143749E0,-6.416460276E-1,8.530540466E0
6.536402500E-2,-2.427720547E0,-6.775590777E-1,8.568847656E0
6.737818500E-2,-2.456450939E0,-7.302315235E-1,8.568847656E0
6.939234500E-2,-2.439691544E0,-7.757213712E-1,8.556877136E0
7.140650500E-2,-2.403778553E0,-8.140285611E-1,8.544905663E0
7.342066600E-2,-2.372653961E0,-8.523358107E-1,8.544905663E0
7.543482600E-2,-2.346317768E0,-9.002198577E-1,8.525752068E0
7.741846800E-2,-2.339135170E0,-9.528923035E-1,8.465897560E0
7.940211100E-2,-2.377442360E0,-1.036689281E0,8.334216118E0
8.138575300E-2,-2.384624958E0,-1.142034173E0,8.164227486E0
8.339991400E-2,-2.387019157E0,-1.206677675E0,7.991845131E0
8.541407400E-2,-2.437297344E0,-1.240196466E0,7.805097580E0
8.739771600E-2,-2.489969730E0,-1.264138460E0,7.627926826E0
8.938135900E-2,-2.466027737E0,-1.297657371E0,7.565677166E0
9.136500200E-2,-2.446874142E0,-1.321599364E0,7.623138428E0
9.337916200E-2,-2.437297344E0,-1.331176162E0,7.757213593E0
9.536280400E-2,-2.451662540E0,-1.357512355E0,7.912836552E0
9.737696400E-2,-2.473210335E0,-1.383848548E0,7.989450932E0
9.942164200E-2,-2.458845139E0,-1.419761658E0,8.008605003E0
1.014052850E-1,-2.456450939E0,-1.441309452E0,8.061277390E0
1.034194450E-1,-2.477998734E0,-1.441309452E0,8.188169479E0
1.054336050E-1,-2.509123325E0,-1.431732655E0,8.341399193E0
1.074172480E-1,-2.485181332E0,-1.424550056E0,8.518569946E0
1.094008900E-1,-2.451662540E0,-1.405396342E0,8.729259491E0
1.113845330E-1,-2.454056740E0,-1.395819545E0,8.911218643E0
1.133681750E-1,-2.470816135E0,-1.393425345E0,9.057265282E0
1.153518180E-1,-2.473210335E0,-1.403002143E0,9.155426979E0
1.173659780E-1,-2.461239338E0,-1.400607944E0,9.239224434E0
1.193496210E-1,-2.403778553E0,-1.407790542E0,9.366117477E0
1.213332630E-1,-2.365471363E0,-1.429338455E0,9.411606789E0
1.233474230E-1,-2.351106167E0,-1.446097851E0,9.390059471E0
1.253310660E-1,-2.291250944E0,-1.470039845E0,9.373299599E0
1.273452260E-1,-2.205059767E0,-1.501164436E0,9.366117477E0
1.293593860E-1,-2.128445387E0,-1.537077546E0,9.351752281E0
1.313430290E-1,-2.070984364E0,-1.570596337E0,9.337387085E0
1.333266710E-1,-2.020706177E0,-1.599326730E0,9.315838814E0
1.353103140E-1,-1.972822189E0,-1.625662923E0,9.291896820E0
1.372939570E-1,-1.927332401E0,-1.640028119E0,9.284713745E0
1.392775990E-1,-1.896207690E0,-1.647210717E0,9.279925346E0
1.412917590E-1,-1.874659896E0,-1.649604917E0,9.294290543E0
1.432754020E-1,-1.869871497E0,-1.661576033E0,9.303867340E0
1.452895620E-1,-1.874659896E0,-1.687912226E0,9.287108421E0
1.472732050E-1,-1.862688899E0,-1.721431017E0,9.267954826E0
1.492568470E-1,-1.848323703E0,-1.747767210E0,9.232041359E0
1.512404900E-1,-1.833958507E0,-1.783680320E0,9.184157372E0
1.532241320E-1,-1.819593310E0,-1.821987510E0,9.150638580E0
1.552382930E-1,-1.807622313E0,-1.845929503E0,9.107542992E0
1.572219350E-1,-1.798045516E0,-1.874659896E0,9.074024200E0
1.592055780E-1,-1.790862918E0,-1.912967205E0,9.045293808E0
1.611892200E-1,-1.802833915E0,-1.956062794E0,9.004592896E0
1.631728630E-1,-1.826775908E0,-2.013523579E0,8.942343712E0
1.651565050E-1,-1.845929503E0,-2.073378563E0,8.901641846E0
1.671706660E-1,-1.862688899E0,-2.116474390E0,8.887276649E0
1.691848260E-1,-1.872265697E0,-2.157175779E0,8.882488251E0
1.711989860E-1,-1.877054095E0,-2.205059767E0,8.880094528E0
1.732131460E-1,-1.874659896E0,-2.250549555E0,8.884882927E0
1.752273060E-1,-1.860294700E0,-2.298433542E0,8.904036522E0
1.772109490E-1,-1.855506301E0,-2.336740971E0,8.942343712E0
1.792251090E-1,-1.857900500E0,-2.360682964E0,8.997409821E0
1.812087520E-1,-1.848323703E0,-2.370259762E0,9.057265282E0
1.831923940E-1,-1.831564307E0,-2.379836559E0,9.114726067E0
1.852065540E-1,-1.810016513E0,-2.391807556E0,9.174580574E0
