"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.281526300E-2,-1.369445801E0,9.636627197E0,1.875930786E0
3.775911100E-2,-1.364654541E0,9.691696167E0,1.902267456E0
4.273347600E-2,-1.323959351E0,9.639022827E0,1.866363525E0
4.767732300E-2,-1.316772461E0,9.595932007E0,1.854385376E0
5.265168900E-2,-1.345504761E0,9.528884888E0,1.878326416E0
5.759553600E-2,-1.395782471E0,9.533676147E0,1.801712036E0
6.256990200E-2,-1.422119141E0,9.528884888E0,1.825653076E0
6.751374900E-2,-1.429306030E0,9.524093628E0,1.816085815E0
7.248811400E-2,-1.458038330E0,9.507339478E0,1.787353516E0
7.743196200E-2,-1.450851440E0,9.524093628E0,1.772979736E0
8.240632700E-2,-1.484359741E0,9.514526367E0,1.808898926E0
8.735017500E-2,-1.501129150E0,9.485794067E0,1.780166626E0
9.232454000E-2,-1.450851440E0,9.476211548E0,1.842422485E0
9.726838800E-2,-1.388595581E0,9.447479248E0,1.832839966E0
1.022427530E-1,-1.333526611E0,9.442687988E0,1.804107666E0
1.071866010E-1,-1.271286011E0,9.447479248E0,1.758621216E0
1.121304480E-1,-1.252136230E0,9.471420288E0,1.808898926E0
1.171048140E-1,-1.314376831E0,9.481002808E0,1.804107666E0
1.220486610E-1,-1.367050171E0,9.459457397E0,1.859176636E0
1.269925090E-1,-1.374237061E0,9.497756958E0,1.854385376E0
1.319973920E-1,-1.405364990E0,9.483398438E0,1.878326416E0
1.369717570E-1,-1.438873291E0,9.536071777E0,1.804107666E0
1.419156050E-1,-1.422119141E0,9.528884888E0,1.701156616E0
1.468899700E-1,-1.453247070E0,9.512130737E0,1.571868896E0
1.518338180E-1,-1.453247070E0,9.504943848E0,1.550323486E0
1.568081830E-1,-1.455642700E0,9.550430298E0,1.535964966E0
1.617520300E-1,-1.438873291E0,9.610290527E0,1.617355347E0
1.666958780E-1,-1.362258911E0,9.636627197E0,1.662857056E0
