"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.100247360E-1,1.004028320E-1,2.822875977E-2,1.135406494E-1
1.149991010E-1,1.100006104E-1,2.716064453E-2,1.252593994E-1
1.199429480E-1,1.249084473E-1,2.183532715E-2,1.444396973E-1
1.248867960E-1,1.398162842E-1,1.332092285E-2,1.593475342E-1
1.298916790E-1,1.558074951E-1,1.011657715E-2,1.806488037E-1
1.348660440E-1,1.771087646E-1,9.063720703E-3,2.008972168E-1
1.398098920E-1,1.952209473E-1,9.063720703E-3,2.232666016E-1
1.447842570E-1,2.122650146E-1,9.063720703E-3,2.509613037E-1
1.497281050E-1,2.229156494E-1,7.995605469E-3,2.743988037E-1
1.547024700E-1,2.303771973E-1,4.791259766E-3,2.999572754E-1
1.596463180E-1,2.378234863E-1,-1.602172852E-3,3.319244385E-1
1.645901650E-1,2.484741211E-1,-3.723144531E-3,3.617401123E-1
1.695340130E-1,2.591400146E-1,-2.655029297E-3,3.926391602E-1
1.744778610E-1,2.729797363E-1,2.670288086E-3,4.214019775E-1
1.794522260E-1,2.815093994E-1,9.063720703E-3,4.469604492E-1
1.844265910E-1,2.921600342E-1,1.225280762E-2,4.725341797E-1
1.893704390E-1,2.964172363E-1,2.670288086E-3,4.981079102E-1
1.943448040E-1,2.985534668E-1,-7.980346680E-3,5.119476318E-1
1.992886520E-1,3.028106689E-1,-1.544189453E-2,5.119476318E-1
2.042630170E-1,3.081359863E-1,-1.651000977E-2,5.023651123E-1
2.092068640E-1,3.198547363E-1,-6.927490234E-3,4.831848145E-1
2.141507120E-1,3.390350342E-1,4.791259766E-3,4.512329102E-1
2.190945600E-1,3.614044189E-1,1.864624023E-2,4.192657471E-1
2.240994430E-1,3.848266602E-1,2.610778809E-2,3.905029297E-1
2.290432900E-1,4.018707275E-1,2.397155762E-2,3.670654297E-1
2.340176550E-1,4.104003906E-1,1.651000977E-2,3.532257080E-1
2.389615030E-1,4.167938232E-1,1.545715332E-2,3.404388428E-1
2.439358680E-1,4.167938232E-1,1.225280762E-2,3.351135254E-1
2.488797160E-1,4.135894775E-1,5.859375000E-3,3.287200928E-1
2.538540810E-1,4.178619385E-1,-1.602172852E-3,3.159332275E-1
2.587979290E-1,4.242553711E-1,-1.118469238E-2,3.063507080E-1
2.637722940E-1,4.380950928E-1,-1.651000977E-2,2.957000732E-1
2.687161420E-1,4.540710449E-1,-1.757812500E-2,2.882385254E-1
2.736905070E-1,4.657897949E-1,-9.048461914E-3,2.861175537E-1
2.786648720E-1,4.775085449E-1,2.670288086E-3,2.882385254E-1
2.836087200E-1,4.902954102E-1,1.438903809E-2,2.957000732E-1
2.885525680E-1,5.030822754E-1,2.078247070E-2,3.084869385E-1
2.935269330E-1,5.115966797E-1,2.290344238E-2,3.308563232E-1
2.985012980E-1,5.190582275E-1,4.634094238E-2,3.521575928E-1
3.034451460E-1,5.148010254E-1,1.134490967E-1,3.596191406E-1
3.083889930E-1,4.892272949E-1,2.263793945E-1,3.319244385E-1
3.133328410E-1,4.700622559E-1,2.775115967E-1,2.903747559E-1
3.182766890E-1,4.764404297E-1,2.966766357E-1,2.584228516E-1
3.232815710E-1,4.977569580E-1,3.115997314E-1,2.498931885E-1
3.282254190E-1,5.222473145E-1,3.062744141E-1,2.605438232E-1
3.331692670E-1,5.499572754E-1,2.849578857E-1,2.850494385E-1
3.381131140E-1,5.797729492E-1,2.721710205E-1,3.223266602E-1
3.430874800E-1,6.032104492E-1,2.721710205E-1,3.585510254E-1
3.480618450E-1,6.149291992E-1,2.775115967E-1,3.937072754E-1
3.530362100E-1,6.191864014E-1,2.924194336E-1,4.224700928E-1
3.579800580E-1,6.128082275E-1,3.265075684E-1,4.373779297E-1
3.629239050E-1,6.042785645E-1,3.733825684E-1,4.448394775E-1
3.678982710E-1,5.925598145E-1,4.181213379E-1,4.405822754E-1
3.728421180E-1,5.904235840E-1,4.553985596E-1,4.235382080E-1
3.778164840E-1,6.042785645E-1,4.916229248E-1,4.011688232E-1
3.827603310E-1,6.319732666E-1,5.225219727E-1,3.745269775E-1
3.877346960E-1,6.692657471E-1,5.459442139E-1,3.479003906E-1
3.926785440E-1,7.118682861E-1,5.544738770E-1,3.287200928E-1
3.976529090E-1,7.523498535E-1,5.608673096E-1,3.095550537E-1
4.025967570E-1,7.843017578E-1,5.672607422E-1,2.988891602E-1
4.075711220E-1,8.173370361E-1,5.789794922E-1,2.925109863E-1
4.125149700E-1,7.587432861E-1,7.089385986E-1,2.978363037E-1
4.174893350E-1,5.361022949E-1,9.102783203E-1,3.170013428E-1
4.224637000E-1,4.626007080E-1,7.803039551E-1,3.042297363E-1
4.274075480E-1,5.850982666E-1,6.215820312E-1,2.722625732E-1
