"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.841243700E-2,-3.847442627E0,3.387756348E0,8.412109375E0
3.338680300E-2,-3.845046997E0,3.430862427E0,8.548583984E0
3.836116800E-2,-3.758865356E0,3.435638428E0,8.505477905E0
4.330501600E-2,-3.691818237E0,3.406906128E0,8.507873535E0
4.824886300E-2,-3.603240967E0,3.368606567E0,8.558151245E0
5.319271100E-2,-3.500289917E0,3.368606567E0,8.517456055E0
5.816707600E-2,-3.392547607E0,3.315933228E0,8.572525024E0
6.311092400E-2,-3.303955078E0,3.251296997E0,8.608428955E0
6.805477100E-2,-3.236923218E0,3.179458618E0,8.596466064E0
7.302913700E-2,-3.248901367E0,3.129180908E0,8.658706665E0
7.800350200E-2,-3.280014038E0,3.095672607E0,8.797576904E0
8.294734900E-2,-3.332687378E0,3.066940308E0,8.962768555E0
8.792171500E-2,-3.356628418E0,3.086090088E0,9.072906494E0
9.286556200E-2,-3.387756348E0,3.074111938E0,9.070510864E0
9.783992800E-2,-3.368606567E0,2.973556519E0,9.020233154E0
1.028142930E-1,-3.433242798E0,2.952011108E0,8.883758545E0
1.077886580E-1,-3.483520508E0,2.990325928E0,8.790390015E0
1.127325060E-1,-3.538589478E0,2.935256958E0,8.819122314E0
1.177068710E-1,-3.605636597E0,2.896942139E0,8.850250244E0
1.226812360E-1,-3.696609497E0,2.868225098E0,8.931655884E0
1.276250840E-1,-3.773223877E0,2.906524658E0,9.041778564E0
1.325689320E-1,-3.835479736E0,2.911315918E0,9.139938354E0
1.375432970E-1,-3.904907227E0,2.947219849E0,9.283599854E0
1.424871440E-1,-3.890533447E0,2.942443848E0,9.400909424E0
1.474615100E-1,-3.890533447E0,2.949615479E0,9.523010254E0
1.524053570E-1,-3.919265747E0,3.011871338E0,9.573287964E0
1.573797230E-1,-3.924057007E0,3.062149048E0,9.578079224E0
1.623235700E-1,-3.890533447E0,3.112426758E0,9.525405884E0
1.672674180E-1,-3.720550537E0,3.016662598E0,9.594848633E0
1.722112660E-1,-3.196228027E0,2.705413818E0,9.836654663E0
1.771856310E-1,-3.754074097E0,3.169891357E0,9.961151123E0
1.821599960E-1,-3.521835327E0,3.167495728E0,9.343444824E0
1.871038440E-1,-3.619995117E0,3.342269897E0,9.034606934E0
1.920476910E-1,-3.806747437E0,3.509857178E0,8.629974365E0
1.969915390E-1,-3.995880127E0,3.588867188E0,8.493515015E0
2.019659040E-1,-4.082077026E0,3.493103027E0,8.491119385E0
2.069097520E-1,-3.991104126E0,3.256072998E0,8.759262085E0
2.118841170E-1,-3.880966187E0,3.088485718E0,9.034606934E0
2.168584820E-1,-3.854629517E0,3.011871338E0,9.115997314E0
2.218023300E-1,-3.883361816E0,3.007080078E0,9.022628784E0
2.267766950E-1,-3.971939087E0,3.095672607E0,8.878982544E0
2.317205430E-1,-4.000671387E0,3.122009277E0,8.804763794E0
2.366949080E-1,-4.098831177E0,3.239318848E0,8.615615845E0
2.416692730E-1,-4.185028076E0,3.291992188E0,8.395355225E0
2.466131210E-1,-4.295166016E0,3.299179077E0,8.201416016E0
2.515569690E-1,-4.285583496E0,3.394943237E0,7.921295166E0
2.565313340E-1,-4.218551636E0,3.543380737E0,7.696243286E0
2.615056990E-1,-4.185028076E0,3.679855347E0,7.593292236E0
2.664495470E-1,-4.165878296E0,3.818710327E0,7.528640747E0
2.714239120E-1,-4.086868286E0,3.854629517E0,7.540618896E0
2.763677600E-1,-3.974334717E0,3.825897217E0,7.669906616E0
2.813421250E-1,-3.708587646E0,3.732528687E0,7.950027466E0
2.862859730E-1,-3.414093018E0,3.672668457E0,8.131988525E0
2.912298200E-1,-3.031021118E0,3.641540527E0,8.797576904E0
2.962041850E-1,-2.511474609E0,3.550567627E0,9.839050293E0
3.011480330E-1,-2.465988159E0,3.548171997E0,8.752090454E0
3.061223980E-1,-2.643157959E0,3.639144897E0,8.313949585E0
3.110662460E-1,-2.973556519E0,3.665481567E0,8.340286255E0
3.160100940E-1,-3.655914307E0,3.806747437E0,8.419296265E0
3.209844590E-1,-4.417266846E0,3.940826416E0,8.591674805E0
3.259283070E-1,-4.939193726E0,3.904907227E0,8.862213135E0
3.308721540E-1,-5.130737305E0,3.749282837E0,8.922073364E0
3.358160020E-1,-5.523391724E0,3.787597656E0,8.797576904E0
3.407903670E-1,-6.442764282E0,3.165100098E0,8.469573975E0
3.457342150E-1,-6.574447632E0,3.081298828E0,8.364227295E0
3.507085800E-1,-6.663024902E0,3.253677368E0,8.342681885E0
3.556829450E-1,-6.751617432E0,3.248901367E0,8.060165405E0
3.606267930E-1,-6.665420532E0,3.280014038E0,7.684265137E0
3.656011580E-1,-6.670211792E0,3.447616577E0,7.535827637E0
3.705755230E-1,-6.634292603E0,3.720550537E0,7.428085327E0
3.755498890E-1,-6.406845093E0,3.897720337E0,7.461608887E0
3.804937360E-1,-6.160247803E0,4.031799316E0,7.195846558E0
3.854375840E-1,-5.956741333E0,4.161087036E0,6.872634888E0
3.903814320E-1,-5.683792114E0,4.249679565E0,6.602096558E0
3.953252790E-1,-5.192993164E0,4.493881226E0,6.233383179E0
4.002996440E-1,-4.347839355E0,4.726119995E0,6.147186279E0
4.052740100E-1,-3.789978027E0,4.853012085E0,6.242965698E0
4.102178570E-1,-3.641540527E0,4.872161865E0,6.130432129E0
4.151922230E-1,-3.636749268E0,4.960754395E0,6.120849609E0
4.201360700E-1,-3.713363647E0,5.070877075E0,6.288452148E0
4.250799180E-1,-3.955184937E0,5.305511475E0,6.446472168E0
4.300542830E-1,-4.189819336E0,5.695770264E0,6.374649048E0
4.350286480E-1,-4.304733276E0,6.016586304E0,6.544631958E0
4.399724960E-1,-4.467544556E0,6.296707153E0,6.628433228E0
4.449468610E-1,-4.723724365E0,6.550506592E0,6.523086548E0
4.498907090E-1,-4.826675415E0,6.718093872E0,6.487167358E0
4.548345570E-1,-4.572891235E0,6.909637451E0,6.623641968E0
4.598089220E-1,-4.522613525E0,6.940750122E0,6.597305298E0
4.647527690E-1,-4.584854126E0,6.526550293E0,6.367462158E0
4.696966170E-1,-4.467544556E0,5.676620483E0,6.245361328E0
4.746709820E-1,-4.328674316E0,5.190597534E0,6.116073608E0
4.796148300E-1,-4.347839355E0,5.226501465E0,6.092132568E0
4.845891950E-1,-4.314315796E0,5.305511475E0,6.465621948E0
4.895330430E-1,-4.113204956E0,5.343826294E0,7.033050537E0
4.945074080E-1,-4.149108887E0,5.374954224E0,7.100082397E0
4.994512560E-1,-4.340652466E0,5.470718384E0,6.915725708E0
5.044256210E-1,-4.618377686E0,5.657455444E0,6.886993408E0
5.093694690E-1,-4.742874146E0,5.777175903E0,7.011505127E0
5.143438340E-1,-4.587249756E0,5.803512573E0,7.241348267E0
5.193181990E-1,-4.498672485E0,5.920822144E0,7.248519897E0
5.242620470E-1,-4.393325806E0,6.090820312E0,7.126419067E0
5.292364120E-1,-4.189819336E0,6.181793213E0,6.913330078E0
5.341802600E-1,-4.043762207E0,6.129119873E0,6.561386108E0
5.391546250E-1,-4.082077026E0,6.119537354E0,6.137619019E0
5.440984730E-1,-4.194610596E0,6.109970093E0,5.701873779E0
5.490728380E-1,-4.340652466E0,6.169815063E0,5.558212280E0
5.540166850E-1,-4.450790405E0,6.148269653E0,5.797637939E0
5.589605330E-1,-4.613586426E0,6.107574463E0,5.958053589E0
5.639348980E-1,-4.836242676E0,6.136306763E0,6.075363159E0
5.688787460E-1,-4.975112915E0,6.172210693E0,6.195083618E0
5.738531110E-1,-5.068481445E0,6.217712402E0,6.451263428E0
5.788274760E-1,-5.070877075E0,6.275161743E0,6.621246338E0
5.837713240E-1,-4.987091064E0,6.373321533E0,6.465621948E0
5.887151720E-1,-4.795547485E0,6.454727173E0,6.362670898E0
5.936895370E-1,-4.575286865E0,6.481063843E0,6.393798828E0
5.986333850E-1,-4.515426636E0,6.521774292E0,6.415344238E0
6.036077500E-1,-4.536972046E0,6.634292603E0,6.477584839E0
6.085515980E-1,-4.510635376E0,6.833023071E0,6.367462158E0
6.135259630E-1,-4.383743286E0,7.031738281E0,6.252532959E0
6.184698100E-1,-4.256851196E0,7.333404541E0,6.137619019E0
6.234136580E-1,-4.091659546E0,7.589584351E0,5.814392090E0
6.283880230E-1,-4.036590576E0,7.726058960E0,5.596527100E0
6.333318710E-1,-4.005462646E0,7.752395630E0,5.404983521E0
6.383367540E-1,-4.046157837E0,7.685348511E0,5.275695801E0
6.432806010E-1,-4.208969116E0,7.484237671E0,5.237396240E0
6.482244490E-1,-4.436416626E0,7.275939941E0,5.316406250E0
6.531682970E-1,-4.661468506E0,7.036529541E0,5.479217529E0
6.581731800E-1,-4.910476685E0,6.789916992E0,5.606109619E0
6.631170270E-1,-5.118759155E0,6.550506592E0,5.737777710E0
6.680608750E-1,-5.398880005E0,6.536132812E0,5.862289429E0
6.730047230E-1,-5.724502563E0,6.734848022E0,5.931716919E0
6.779790880E-1,-5.961517334E0,6.969482422E0,6.204650879E0
6.829229350E-1,-5.753234863E0,6.821044922E0,6.369857788E0
6.878973010E-1,-5.446777344E0,6.885681152E0,6.283660889E0
6.928411480E-1,-5.288757324E0,6.971878052E0,6.116073608E0
6.978155140E-1,-5.020599365E0,7.161026001E0,5.917343140E0
7.027593610E-1,-4.905685425E0,7.192138672E0,5.991561890E0
7.077337260E-1,-4.625564575E0,7.204116821E0,5.843124390E0
7.126775740E-1,-4.462753296E0,7.110748291E0,5.689895630E0
7.176519390E-1,-4.146713257E0,7.060470581E0,5.517517090E0
7.225957870E-1,-4.082077026E0,6.974273682E0,5.397811890E0
7.275701520E-1,-3.916870117E0,7.139480591E0,4.978820801E0
7.325140000E-1,-4.199386597E0,7.101165771E0,4.011566162E0
7.374883650E-1,-4.517822266E0,7.034133911E0,2.919815063E0
7.424322130E-1,-4.637527466E0,7.034133911E0,2.658843994E0
7.474065780E-1,-4.687805176E0,7.129898071E0,2.816864014E0
7.523809430E-1,-4.941589355E0,7.410018921E0,2.452941895E0
7.573553080E-1,-5.037368774E0,7.522552490E0,2.057891846E0
7.622991560E-1,-4.920043945E0,7.390869141E0,2.041137695E0
7.672430040E-1,-4.809906006E0,7.295089722E0,2.191970825E0
7.722173690E-1,-4.917648315E0,7.127502441E0,2.510406494E0
7.771917340E-1,-5.173828125E0,6.912017822E0,3.049102783E0
7.821355820E-1,-5.379730225E0,6.675003052E0,3.520751953E0
7.870794300E-1,-5.389312744E0,6.531341553E0,3.884674072E0
7.920232770E-1,-5.111587524E0,6.493041992E0,4.162399292E0
7.969671250E-1,-4.776397705E0,6.634292603E0,4.250991821E0
8.019414900E-1,-4.503448486E0,6.880905151E0,4.205490112E0
8.068853380E-1,-4.455566406E0,7.165817261E0,4.124084473E0
8.118597030E-1,-4.570495605E0,7.390869141E0,4.140853882E0
8.168035510E-1,-4.740478516E0,7.503387451E0,4.136062622E0
8.217779160E-1,-4.917648315E0,7.580001831E0,4.186340332E0
8.267217640E-1,-5.061309814E0,7.558456421E0,4.069030762E0
8.316961290E-1,-5.228897095E0,7.558456421E0,4.035507202E0
8.366704940E-1,-5.451553345E0,7.539306641E0,4.066635132E0
8.416143420E-1,-5.640701294E0,7.460296631E0,4.160003662E0
8.465581890E-1,-5.724502563E0,7.395660400E0,4.186340332E0
8.515325550E-1,-5.710128784E0,7.359741211E0,4.138458252E0
8.565069200E-1,-5.621551514E0,7.311859131E0,4.057052612E0
8.614812850E-1,-5.494659424E0,7.242431641E0,3.966079712E0
8.664251330E-1,-5.166656494E0,7.184967041E0,3.805664062E0
8.713689800E-1,-4.714141846E0,7.093978882E0,3.551879883E0
8.763433460E-1,-4.412475586E0,6.993423462E0,3.326828003E0
8.812871930E-1,-4.323883057E0,7.003005981E0,3.271759033E0
8.862310410E-1,-4.129959106E0,6.967086792E0,3.271759033E0
8.912054060E-1,-3.749282837E0,6.902450562E0,3.274154663E0
8.961492540E-1,-3.280014038E0,6.780349731E0,3.326828003E0
9.010931010E-1,-2.920883179E0,6.619934082E0,3.398651123E0
9.060674670E-1,-2.722167969E0,6.514587402E0,3.503997803E0
9.110113140E-1,-2.760482788E0,6.397277832E0,3.676376343E0
9.159856800E-1,-2.949615479E0,6.291931152E0,3.824813843E0
9.209295270E-1,-3.251281738E0,6.375717163E0,3.949310303E0
9.259038920E-1,-3.641540527E0,6.694152832E0,4.083389282E0
9.308477400E-1,-3.928848267E0,7.070037842E0,4.241409302E0
9.358221050E-1,-4.216156006E0,7.424377441E0,4.365905762E0
9.407659530E-1,-4.515426636E0,7.694931030E0,4.437728882E0
9.457403180E-1,-4.807525635E0,7.963073730E0,4.602935791E0
9.506841660E-1,-4.953567505E0,8.125885010E0,4.825592041E0
9.556585310E-1,-4.939193726E0,8.149826050E0,5.033889771E0
9.606023790E-1,-4.867370605E0,8.085189819E0,5.187118530E0
9.655767440E-1,-4.797943115E0,8.063629150E0,5.270919800E0
9.705205920E-1,-4.833862305E0,8.121093750E0,5.400207520E0
9.754949570E-1,-4.867370605E0,8.214477539E0,5.433715820E0
9.804388050E-1,-4.884140015E0,8.331787109E0,5.450485229E0
9.854131700E-1,-4.951171875E0,8.446701050E0,5.491180420E0
9.903570170E-1,-5.015808105E0,8.437133789E0,5.479217529E0
9.953313830E-1,-4.958358765E0,8.341369629E0,5.445693970E0
1.000275230E0,-4.829071045E0,8.257568359E0,5.251754761E0
1.005249596E0,-4.853012085E0,8.161804199E0,5.108108521E0
1.010193443E0,-5.111587524E0,7.998992920E0,5.024307251E0
1.015167808E0,-5.461135864E0,7.874496460E0,4.684341431E0
1.020111656E0,-5.863357544E0,7.826614380E0,4.373092651E0
1.025086021E0,-6.143478394E0,7.812240601E0,3.975646973E0
1.030029869E0,-6.248825073E0,7.838577271E0,3.468078613E0
1.035004234E0,-6.315872192E0,7.915191650E0,3.008392334E0
1.039978599E0,-6.560073853E0,8.058853149E0,2.723480225E0
1.044922447E0,-6.844985962E0,8.164184570E0,2.637298584E0
1.049866295E0,-7.024551392E0,8.295867920E0,2.565460205E0
1.054840660E0,-6.950332642E0,8.439529419E0,2.500823975E0
1.059815025E0,-6.629501343E0,8.518539429E0,2.570251465E0
1.064758873E0,-6.126724243E0,8.662185669E0,2.598983765E0
1.069733238E0,-5.628723145E0,8.777114868E0,2.632507324E0
1.074677086E0,-5.267211914E0,8.810623169E0,2.752212524E0
1.079651451E0,-5.097213745E0,8.892028809E0,2.938964844E0
1.084595299E0,-4.939193726E0,8.983001709E0,3.147262573E0
1.089569664E0,-4.853012085E0,8.978225708E0,3.240631104E0
1.094513512E0,-4.848220825E0,8.947097778E0,3.271759033E0
1.099487877E0,-4.884140015E0,8.868087769E0,3.286117554E0
1.104431724E0,-4.927230835E0,8.698104858E0,3.257385254E0
1.109406090E0,-4.994262695E0,8.508956909E0,3.073043823E0
1.114349937E0,-5.075668335E0,8.324600220E0,2.742630005E0
1.119324303E0,-5.298324585E0,8.101943970E0,2.467300415E0
1.124298668E0,-5.643096924E0,7.893646240E0,2.024383545E0
1.129242516E0,-6.054901123E0,7.728454590E0,1.598205566E0
1.134186363E0,-6.425994873E0,7.649444580E0,1.112182617E0
1.139160728E0,-6.739639282E0,7.685348511E0,5.878601074E-1
1.144104576E0,-6.868927002E0,7.682952881E0,3.723754883E-1
1.149048424E0,-6.746826172E0,7.848159790E0,2.550659180E-1
1.153992271E0,-6.416427612E0,8.209686279E0,-1.543426514E-1
1.158966637E0,-6.018981934E0,8.444320679E0,-2.668762207E-1
1.163910484E0,-5.580841064E0,8.611907959E0,-9.927368164E-2
1.168854332E0,-5.161865234E0,8.736404419E0,8.506774902E-2
1.173828697E0,-4.960754395E0,8.760345459E0,3.508300781E-1
1.178803062E0,-4.963134766E0,8.777114868E0,7.913665771E-1
1.183746910E0,-5.054122925E0,8.836959839E0,1.114578247E0
1.188690758E0,-5.233688354E0,8.956665039E0,1.361175537E0
1.193665123E0,-5.535354614E0,8.971038818E0,1.538360596E0
1.198608971E0,-6.007019043E0,8.908782959E0,1.389907837E0
1.203583336E0,-6.672607422E0,8.793869019E0,1.289352417E0
1.208527183E0,-7.144256592E0,8.587966919E0,1.002059937E0
1.213501549E0,-7.244812012E0,8.365310669E0,4.011077881E-1
1.218475914E0,-7.122711182E0,8.154617310E0,-3.099670410E-1
1.223419762E0,-7.053283691E0,7.955902100E0,-3.985595703E-1
1.228363609E0,-6.991027832E0,7.781112671E0,-5.637512207E-1
1.233337974E0,-6.797103882E0,7.582397461E0,-1.203002930E0
1.238312340E0,-6.447540283E0,7.366928101E0,-1.538192749E0
1.243256187E0,-6.112365723E0,7.091583252E0,-1.607620239E0
1.248200035E0,-5.896881104E0,6.825836182E0,-1.758468628E0
1.253174400E0,-5.726898193E0,6.667816162E0,-1.720153809E0
1.258118248E0,-5.544937134E0,6.538528442E0,-1.856628418E0
1.263092613E0,-5.394104004E0,6.598388672E0,-2.194213867E0
1.268036461E0,-5.329452515E0,6.732452393E0,-2.246871948E0
1.273010826E0,-5.403671265E0,6.940750122E0,-2.222930908E0
1.277954674E0,-5.485076904E0,7.156234741E0,-2.187026978E0
1.282929039E0,-5.614364624E0,7.331008911E0,-2.124771118E0
1.287872887E0,-5.683792114E0,7.510574341E0,-2.076889038E0
1.292847252E0,-5.714920044E0,7.632675171E0,-1.940414429E0
1.297821617E0,-5.645492554E0,7.678161621E0,-1.712966919E0
1.302765465E0,-5.437194824E0,7.711685181E0,-1.428054810E0
1.307709312E0,-5.183410645E0,7.680557251E0,-1.167098999E0
1.312683678E0,-4.826675415E0,7.546493530E0,-1.159912109E0
1.317658043E0,-4.481903076E0,7.417205811E0,-1.341873169E0
1.322632408E0,-4.115600586E0,7.412414551E0,-9.683685303E-1
1.327606773E0,-3.758865356E0,7.350158691E0,-7.768402100E-1
1.332520103E0,-3.521835327E0,7.354949951E0,-7.241668701E-1
1.337463951E0,-3.335083008E0,7.381286621E0,-5.733337402E-1
1.342407799E0,-3.217773438E0,7.347763062E0,-6.738891602E-1
1.347412682E0,-3.119613647E0,7.338195801E0,-7.648620605E-1
1.352356529E0,-3.066940308E0,7.381286621E0,-5.924835205E-1
1.357330894E0,-3.093276978E0,7.405227661E0,-5.709381104E-1
1.362274742E0,-3.212982178E0,7.484237671E0,-6.284027100E-1
1.367218590E0,-3.368606567E0,7.613525391E0,-6.643066406E-1
1.372162437E0,-3.555358887E0,7.788299561E0,-7.528991699E-1
1.377136803E0,-3.715759277E0,7.917587280E0,-8.295135498E-1
1.382111168E0,-3.897720337E0,8.125885010E0,-7.864227295E-1
1.387055016E0,-4.017425537E0,8.343750000E0,-6.978302002E-1
1.391998863E0,-4.038986206E0,8.638244629E0,-5.278472900E-1
1.396973228E0,-4.029403687E0,8.942306519E0,-4.512329102E-1
1.401947594E0,-3.981521606E0,9.212844849E0,-4.177093506E-1
1.406891441E0,-3.933639526E0,9.473815918E0,-3.027801514E-1
1.411835289E0,-3.868988037E0,9.605499268E0,-3.942871094E-2
1.416779137E0,-3.811538696E0,9.648590088E0,3.077392578E-1
1.421753502E0,-3.744491577E0,9.698867798E0,7.027740479E-1
1.426727867E0,-3.715759277E0,9.713241577E0,1.124160767E0
1.431671715E0,-3.818710327E0,9.720428467E0,1.409072876E0
1.436615562E0,-4.015045166E0,9.763519287E0,1.495254517E0
1.441589928E0,-4.228118896E0,9.785064697E0,1.557510376E0
1.446533775E0,-4.374176025E0,9.789855957E0,1.574264526E0
1.451508141E0,-4.429229736E0,9.694091797E0,1.488082886E0
1.456482506E0,-4.424453735E0,9.593536377E0,1.291748047E0
1.461426353E0,-4.328674316E0,9.555221558E0,1.076278687E0
1.466370201E0,-4.168273926E0,9.550430298E0,9.014892578E-1
1.471344566E0,-4.012649536E0,9.524093628E0,7.027740479E-1
1.476318932E0,-3.883361816E0,9.385238647E0,6.572875977E-1
1.481262779E0,-3.715759277E0,9.157791138E0,8.560028076E-1
1.486206627E0,-3.414093018E0,8.839355469E0,9.924774170E-1
1.491180992E0,-3.074111938E0,8.549652100E0,1.069091797E0
1.496124840E0,-2.777236938E0,8.473037720E0,9.086761475E-1
1.501099205E0,-2.597671509E0,8.525711060E0,5.567321777E-1
1.506043053E0,-2.482742310E0,8.702880859E0,1.688690186E-1
1.511017418E0,-2.394165039E0,8.913574219E0,-5.139160156E-2
1.515961266E0,-2.351074219E0,9.119476318E0,5.395507812E-2
1.520935631E0,-2.336700439E0,9.313415527E0,3.963165283E-1
1.525879478E0,-2.372619629E0,9.433120728E0,7.506561279E-1
1.530853844E0,-2.454025269E0,9.512130737E0,1.085845947E0
1.535797691E0,-2.590484619E0,9.533676147E0,1.274993896E0
1.540772057E0,-2.695831299E0,9.636627197E0,1.409072876E0
1.545715904E0,-2.724563599E0,9.777877808E0,1.425827026E0
1.550690269E0,-2.813156128E0,9.880828857E0,1.258239746E0
1.555634117E0,-2.971160889E0,9.967025757E0,1.049942017E0
1.560608482E0,-3.124389648E0,1.001969910E1,9.014892578E-1
1.565552330E0,-3.296783447E0,1.012265015E1,7.745971680E-1
1.570526695E0,-3.447616577E0,1.020166016E1,5.830688477E-1
1.575501060E0,-3.519439697E0,1.027108765E1,3.891296387E-1
1.580444908E0,-3.519439697E0,1.029263306E1,4.011077881E-1
1.585388756E0,-3.457183838E0,1.024475098E1,4.849090576E-1
1.590332603E0,-3.335083008E0,1.015377808E1,6.213684082E-1
1.595306969E0,-3.167495728E0,1.007955933E1,7.578430176E-1
1.600250816E0,-2.963989258E0,1.011067200E1,8.799438477E-1
1.605225182E0,-2.748504639E0,1.013223267E1,9.541625977E-1
1.610169029E0,-2.568939209E0,1.014179993E1,1.057113647E0
1.615143394E0,-2.406127930E0,1.014898682E1,1.105010986E0
1.620087242E0,-2.355850220E0,1.017053223E1,1.195983887E0
1.625061607E0,-2.410919189E0,1.016813660E1,1.296539307E0
1.630005455E0,-2.497116089E0,1.016094971E1,1.322875977E0
1.634979820E0,-2.619216919E0,1.020166016E1,1.315689087E0
1.639923668E0,-2.798782349E0,1.032855225E1,1.291748047E0
1.644898033E0,-3.074111938E0,1.043150330E1,1.176834106E0
1.649841881E0,-3.356628418E0,1.053445435E1,1.097824097E0
1.654816246E0,-3.586471558E0,1.068049622E1,1.047546387E0
1.659790611E0,-3.775619507E0,1.079542542E1,1.049942017E0
1.664734459E0,-3.924057007E0,1.081217957E1,1.035568237E0
1.669708824E0,-4.036590576E0,1.077148438E1,1.016418457E0
1.674652672E0,-4.173049927E0,1.073556519E1,9.852905273E-1
1.679627037E0,-4.321502686E0,1.062782288E1,9.182586670E-1
1.684570885E0,-4.443603516E0,1.052008057E1,8.895263672E-1
1.689545250E0,-4.580062866E0,1.042910767E1,8.177032471E-1
1.694489098E0,-4.675842285E0,1.034770203E1,7.339019775E-1
1.699432945E0,-4.706970215E0,1.023039246E1,6.668701172E-1
1.704376793E0,-4.738082886E0,1.017053223E1,5.950317383E-1
1.709351158E0,-4.769210815E0,1.004843140E1,4.849090576E-1
1.714325523E0,-4.800338745E0,9.947875977E0,4.992675781E-1
1.719299889E0,-4.893707275E0,9.907165527E0,3.891296387E-1
1.724274254E0,-5.006240845E0,9.816192627E0,3.508300781E-1
1.729248619E0,-5.061309814E0,9.732391357E0,3.699798584E-1
1.734161949E0,-5.080459595E0,9.679718018E0,2.694244385E-1
1.739136314E0,-5.068481445E0,9.694091797E0,2.694244385E-1
1.744080162E0,-5.044540405E0,9.670150757E0,2.215423584E-1
1.749024010E0,-4.960754395E0,9.670150757E0,2.023925781E-1
1.753967857E0,-4.805130005E0,9.629440308E0,2.694244385E-1
1.758942223E0,-4.606399536E0,9.583953857E0,4.106903076E-1
1.763886070E0,-4.414871216E0,9.531280518E0,4.944763184E-1
1.768860435E0,-4.213760376E0,9.500152588E0,5.232086182E-1
1.773834801E0,-4.132354736E0,9.428329468E0,5.447540283E-1
1.778809166E0,-4.101226807E0,9.397201538E0,5.998229980E-1
1.783753014E0,-4.137145996E0,9.354110718E0,5.806732178E-1
1.788696861E0,-4.237701416E0,9.332565308E0,5.184173584E-1
1.793640709E0,-4.355010986E0,9.296646118E0,4.394226074E-1
1.798615074E0,-4.417266846E0,9.315795898E0,3.460388184E-1
1.803558922E0,-4.503448486E0,9.224822998E0,2.598571777E-1
1.808533287E0,-4.477111816E0,9.064407349E0,2.761840820E-2
1.813507652E0,-4.496276855E0,8.947097778E0,-1.782836914E-1
1.818451500E0,-4.474731445E0,8.841751099E0,-1.878662109E-1
1.823395348E0,-4.431625366E0,8.693313599E0,-1.112518311E-1
1.828369713E0,-4.290374756E0,8.518539429E0,-6.816101074E-2
1.833344078E0,-4.137145996E0,8.336578369E0,3.958129883E-2
1.838287926E0,-3.883361816E0,8.135467529E0,3.239440918E-2
1.843262291E0,-3.653518677E0,7.996597290E0,-4.899597168E-2
