"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.064055270E-1,3.203277588E-1,1.911621094E-1,1.603240967E-1
1.113798930E-1,3.086090088E-1,1.996765137E-1,1.592559814E-1
1.163237400E-1,2.936859131E-1,1.986083984E-1,1.528625488E-1
1.212981050E-1,2.787780762E-1,1.922149658E-1,1.422119141E-1
1.262419530E-1,2.606658936E-1,1.773071289E-1,1.358184814E-1
1.312163180E-1,2.510833740E-1,1.549377441E-1,1.273040771E-1
1.361601660E-1,2.457580566E-1,1.378936768E-1,1.230316162E-1
1.411040140E-1,2.436218262E-1,1.336364746E-1,1.251678467E-1
1.460478610E-1,2.468261719E-1,1.293792725E-1,1.262359619E-1
1.509917090E-1,2.521514893E-1,1.197814941E-1,1.262359619E-1
1.559355570E-1,2.628021240E-1,1.006164551E-1,1.273040771E-1
1.609099220E-1,2.755889893E-1,6.439208984E-2,1.347503662E-1
1.658537700E-1,2.979583740E-1,-1.976013184E-2,1.613922119E-1
1.708281350E-1,3.373718262E-1,-1.401367188E-1,2.263641357E-1
1.757719820E-1,3.735809326E-1,-1.124420166E-1,2.711029053E-1
1.807463480E-1,4.076690674E-1,3.137207031E-2,2.892150879E-1
1.857207130E-1,4.183349609E-1,1.347045898E-1,3.030700684E-1
1.906950780E-1,4.119415283E-1,1.442871094E-1,3.115844727E-1
1.956694430E-1,3.980865479E-1,1.165924072E-1,3.147888184E-1
2.006132910E-1,3.703918457E-1,8.676147461E-2,3.169097900E-1
2.055876560E-1,3.320465088E-1,6.864929199E-2,3.211822510E-1
2.105315040E-1,2.915649414E-1,5.906677246E-2,3.233032227E-1
2.155058690E-1,2.564086914E-1,5.053710938E-2,3.201141357E-1
2.204497170E-1,2.287139893E-1,4.095458984E-2,3.041381836E-1
2.253935640E-1,2.010192871E-1,1.858520508E-2,2.828216553E-1
2.303679300E-1,1.807708740E-1,-5.950927734E-4,2.529907227E-1
2.353117770E-1,1.658630371E-1,-1.663208008E-3,2.242431641E-1
2.402861430E-1,1.541442871E-1,1.858520508E-2,1.997375488E-1
2.452299900E-1,1.541442871E-1,7.397460938E-2,1.763000488E-1
2.502043550E-1,1.658630371E-1,1.528015137E-1,1.496734619E-1
2.551482030E-1,1.871643066E-1,2.422943115E-1,1.251678467E-1
2.601225680E-1,2.180633545E-1,3.403015137E-1,9.640502930E-2
2.650664160E-1,2.585449219E-1,4.404296875E-1,6.871032715E-2
2.700407810E-1,3.054046631E-1,4.819793701E-1,6.231689453E-2
2.749846290E-1,3.618621826E-1,5.544128418E-1,6.124877930E-2
2.799589940E-1,4.407043457E-1,7.397613525E-1,3.781127930E-2
2.849028420E-1,5.301818848E-1,9.155426025E-1,1.602172852E-3
2.898772070E-1,6.090087891E-1,1.054016113E0,-4.101562500E-2
2.948210550E-1,6.729278564E-1,1.165878296E0,-9.640502930E-2
2.997649020E-1,7.176666260E-1,1.247894287E0,-1.549987793E-1
3.047392680E-1,7.549438477E-1,1.326736450E0,-2.061309814E-1
3.096831150E-1,7.858428955E-1,1.401290894E0,-2.423553467E-1
3.146269630E-1,8.156738281E-1,1.480133057E0,-2.700500488E-1
3.195708110E-1,8.455047607E-1,1.568542480E0,-2.977447510E-1
3.245451760E-1,8.710632324E-1,1.668685913E0,-3.307647705E-1
3.294890230E-1,8.913116455E-1,1.772003174E0,-3.691101074E-1
3.344633890E-1,9.008941650E-1,1.883865356E0,-4.031982422E-1
3.394072360E-1,9.030303955E-1,1.994644165E0,-4.330291748E-1
3.443816020E-1,8.955688477E-1,2.091583252E0,-4.586029053E-1
3.493254490E-1,8.763885498E-1,2.175750732E0,-4.735107422E-1
3.542998140E-1,8.529510498E-1,2.230072021E0,-4.830932617E-1
3.592436620E-1,8.156738281E-1,2.250320435E0,-4.830932617E-1
3.642180270E-1,7.602844238E-1,2.220489502E0,-4.735107422E-1
3.691618750E-1,6.920928955E-1,2.144851685E0,-4.522094727E-1
3.741362400E-1,6.058197021E-1,2.038330078E0,-4.309082031E-1
3.790800880E-1,5.067443848E-1,1.906234741E0,-4.085235596E-1
3.840239360E-1,3.991546631E-1,1.750701904E0,-3.893585205E-1
3.889983010E-1,2.915649414E-1,1.576004028E0,-3.627319336E-1
3.939726660E-1,1.807708740E-1,1.397033691E0,-3.307647705E-1
3.989165140E-1,7.424926758E-2,1.222335815E0,-2.924194336E-1
4.038908790E-1,-3.547668457E-2,1.051895142E0,-2.519378662E-1
4.088347270E-1,-1.398773193E-1,8.675994873E-1,-2.018737793E-1
