Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
14.00,0.59,9.33,-0.56
14.00,0.55,9.34,-0.60
14.00,0.51,9.36,-0.67
14.00,0.48,9.36,-0.73
14.01,0.53,9.34,-0.77
14.01,0.55,9.31,-0.77
14.01,0.51,9.27,-0.81
14.01,0.47,9.25,-0.82
14.01,0.50,9.24,-0.82
14.02,0.52,9.21,-0.79
14.02,0.51,9.16,-0.82
14.02,0.50,9.12,-0.86
14.02,0.56,9.08,-0.84
14.03,0.62,9.03,-0.83
14.03,0.63,9.03,-0.78
14.03,0.67,9.08,-0.76
14.03,0.78,9.09,-0.73
14.04,0.88,9.09,-0.70
14.04,0.91,9.11,-0.68
14.04,1.00,9.18,-0.63
14.04,1.06,9.28,-0.54
14.04,1.16,9.35,-0.42
14.05,1.26,9.43,-0.33
14.05,1.34,9.52,-0.25
14.05,1.44,9.60,-0.14
14.05,1.49,9.73,-0.04
14.06,1.56,9.84,0.07
14.06,1.59,9.95,0.12
14.06,1.60,10.03,0.16
14.06,1.61,10.14,0.17
14.06,1.66,10.22,0.22
14.07,1.75,10.27,0.31
14.07,1.77,10.31,0.31
14.07,1.80,10.35,0.32
14.07,1.83,10.37,0.29
14.08,1.84,10.35,0.25
14.08,1.88,10.33,0.18
14.08,1.93,10.31,0.11
14.08,1.98,10.26,0.03
14.09,2.03,10.21,-0.03
14.09,2.11,10.13,-0.07
14.09,2.18,10.06,-0.15
14.09,2.23,10.01,-0.22
14.09,2.30,9.94,-0.29
14.10,2.34,9.92,-0.38
14.10,2.40,9.86,-0.43
14.10,2.46,9.84,-0.46
14.10,2.48,9.81,-0.50
14.11,2.51,9.77,-0.50
14.11,2.53,9.73,-0.52
14.11,2.51,9.73,-0.52
14.11,2.50,9.71,-0.55
14.12,2.47,9.68,-0.55
14.12,2.47,9.67,-0.57
14.12,2.45,9.70,-0.54
14.12,2.45,9.67,-0.56
14.12,2.38,9.69,-0.55
14.13,2.32,9.68,-0.56
14.13,2.29,9.67,-0.58
14.13,2.26,9.72,-0.57
14.13,2.22,9.72,-0.58
14.14,2.16,9.72,-0.55
14.14,2.12,9.74,-0.57
14.14,2.06,9.74,-0.56
14.14,1.96,9.76,-0.56
14.15,1.93,9.74,-0.55
14.15,1.92,9.73,-0.58
14.15,1.86,9.72,-0.60
14.15,1.77,9.73,-0.64
14.15,1.71,9.75,-0.69
14.16,1.67,9.72,-0.70
14.16,1.64,9.68,-0.70
14.16,1.63,9.65,-0.73
14.16,1.58,9.63,-0.76
14.17,1.54,9.59,-0.83
14.17,1.48,9.56,-0.91
14.17,1.39,9.56,-0.97
14.17,1.31,9.56,-1.01
14.18,1.27,9.54,-1.06
14.18,1.21,9.54,-1.11
14.18,1.11,9.54,-1.17
14.18,1.09,9.46,-1.23
14.18,1.05,9.43,-1.29
14.19,0.99,9.43,-1.36
14.19,0.94,9.41,-1.41
14.19,0.88,9.39,-1.41
14.19,0.82,9.39,-1.44
14.20,0.82,9.36,-1.42
14.20,0.78,9.38,-1.42
14.20,0.76,9.35,-1.42
14.20,0.71,9.37,-1.40
14.21,0.73,9.37,-1.38
14.21,0.73,9.34,-1.39
14.21,0.75,9.32,-1.37
14.21,0.79,9.31,-1.38
14.21,0.81,9.33,-1.38
14.22,0.80,9.35,-1.41
14.22,0.85,9.33,-1.36
14.22,0.91,9.33,-1.36
14.22,0.92,9.33,-1.33
14.23,0.96,9.33,-1.27
14.23,1.00,9.35,-1.21
14.23,1.03,9.34,-1.17
14.23,1.06,9.32,-1.13
14.24,1.08,9.29,-1.10
14.24,1.09,9.28,-1.11
14.24,1.06,9.27,-1.10
14.24,1.08,9.26,-1.11
14.24,1.13,9.26,-1.11
14.25,1.15,9.25,-1.11
14.25,1.16,9.23,-1.09
14.25,1.16,9.26,-1.10
14.25,1.16,9.26,-1.12
14.26,1.21,9.23,-1.11
14.26,1.25,9.23,-1.13
14.26,1.30,9.20,-1.11
14.26,1.34,9.23,-1.10
14.26,1.37,9.20,-1.09
14.27,1.37,9.20,-1.10
14.27,1.39,9.20,-1.10
14.27,1.38,9.21,-1.10
14.27,1.38,9.21,-1.14
14.28,1.37,9.22,-1.19
14.28,1.37,9.24,-1.21
14.28,1.37,9.23,-1.23
14.28,1.37,9.22,-1.24
14.29,1.37,9.21,-1.25
14.29,1.38,9.21,-1.27
14.29,1.35,9.19,-1.31
14.29,1.38,9.18,-1.37
14.29,1.37,9.18,-1.42
14.30,1.40,9.17,-1.45
14.30,1.39,9.17,-1.46
14.30,1.41,9.18,-1.47
14.30,1.43,9.19,-1.49
14.31,1.46,9.19,-1.51
14.31,1.49,9.21,-1.57
14.31,1.49,9.26,-1.62
14.31,1.48,9.30,-1.65
14.32,1.48,9.34,-1.66
14.32,1.49,9.38,-1.68
14.32,1.46,9.40,-1.68
14.32,1.48,9.43,-1.68
14.32,1.47,9.44,-1.70
14.33,1.48,9.43,-1.68
14.33,1.50,9.42,-1.64
14.33,1.53,9.40,-1.61
14.33,1.58,9.35,-1.61
14.34,1.57,9.33,-1.63
14.34,1.59,9.26,-1.66
14.34,1.62,9.23,-1.67
14.34,1.60,9.21,-1.70
14.35,1.60,9.22,-1.71
14.35,1.58,9.22,-1.73
14.35,1.57,9.21,-1.74
14.35,1.54,9.21,-1.77
14.35,1.54,9.22,-1.79
14.36,1.51,9.24,-1.85
14.36,1.53,9.27,-1.90
14.36,1.55,9.28,-1.95
14.36,1.54,9.26,-1.95
14.37,1.53,9.24,-1.93
14.37,1.53,9.22,-1.82
14.37,1.52,9.15,-1.68
14.37,1.52,9.09,-1.52
14.38,1.52,9.01,-1.39
14.38,1.52,8.92,-1.29
14.38,1.53,8.85,-1.17
14.38,1.50,8.80,-1.10
14.38,1.53,8.77,-1.02
14.39,1.53,8.72,-0.96
14.39,1.53,8.66,-0.91
14.39,1.49,8.60,-0.85
14.39,1.48,8.57,-0.87
14.40,1.44,8.54,-0.87
14.40,1.41,8.50,-0.91
14.40,1.39,8.47,-0.86
14.40,1.38,8.40,-0.88
14.41,1.39,8.33,-0.88
14.41,1.43,8.27,-0.88
14.41,1.45,8.23,-0.92
14.41,1.50,8.17,-1.00
14.41,1.51,8.14,-1.09
14.42,1.51,8.13,-1.25
14.42,1.53,8.11,-1.39
14.42,1.56,8.11,-1.52
14.42,1.55,8.12,-1.65
14.43,1.60,8.15,-1.80
14.43,1.61,8.14,-1.83
14.43,1.64,8.14,-1.80
14.43,1.66,8.11,-1.74
14.44,1.70,8.07,-1.58
14.44,1.76,8.06,-1.50
14.44,1.75,8.03,-1.44
14.44,1.76,8.04,-1.42
14.44,1.81,8.06,-1.46
14.45,1.86,8.07,-1.43
14.45,1.91,8.11,-1.47
14.45,1.97,8.14,-1.49
14.45,1.96,8.21,-1.46
14.46,1.99,8.26,-1.41
14.46,2.10,8.27,-1.30
14.46,2.10,8.29,-1.22
14.46,2.12,8.30,-1.10
14.46,2.17,8.36,-0.93
14.47,2.23,8.38,-0.82
14.47,2.27,8.42,-0.69
14.47,2.39,8.43,-0.61
14.47,2.51,8.39,-0.54
14.48,2.66,8.33,-0.52
14.48,2.58,8.36,-0.47
14.48,2.38,8.51,-0.45
14.48,2.35,8.59,-0.35
14.49,2.43,8.61,-0.17
14.49,2.51,8.59,-0.08
14.49,2.61,8.62,-0.01
14.49,2.59,8.67,-0.13
14.49,2.48,8.65,-0.24
14.50,2.43,8.59,-0.34
14.50,2.33,8.50,-0.37
14.50,2.29,8.38,-0.25
14.50,2.26,8.16,-0.15
14.51,2.17,7.94,-0.09
14.51,1.99,7.75,-0.08
14.51,1.79,7.57,-0.14
14.51,1.65,7.37,-0.35
14.52,1.53,7.18,-0.64
14.52,1.40,6.98,-0.93
14.52,1.35,6.84,-1.17
14.52,1.31,6.76,-1.37
14.52,1.28,6.74,-1.48
14.53,1.25,6.78,-1.63
14.53,1.31,6.84,-1.79
14.53,1.35,6.91,-2.02
14.53,1.42,6.99,-2.18
14.54,1.44,7.06,-2.26
14.54,1.54,7.08,-2.27
14.54,1.61,7.14,-2.29
14.54,1.68,7.19,-2.34
14.55,1.77,7.24,-2.43
14.55,1.87,7.32,-2.53
14.55,1.98,7.42,-2.55
14.55,2.11,7.54,-2.45
14.55,2.27,7.62,-2.38
14.56,2.36,7.72,-2.31
14.56,2.50,7.81,-2.21
14.56,2.55,7.91,-2.14
14.56,2.66,8.03,-2.05
14.57,2.74,8.10,-1.99
14.57,2.83,8.17,-1.98
14.57,2.90,8.23,-1.93
14.57,2.91,8.27,-1.87
14.58,2.91,8.34,-1.75
14.58,2.88,8.35,-1.62
14.58,2.87,8.32,-1.40
14.58,2.85,8.28,-1.19
14.58,2.81,8.24,-1.06
14.59,2.76,8.18,-0.91
14.59,2.69,8.16,-0.87
14.59,2.59,8.15,-0.82
14.59,2.55,8.13,-0.85
14.60,2.53,8.10,-0.84
14.60,2.43,8.07,-0.80
14.60,2.33,8.02,-0.77
14.60,2.10,8.03,-0.67
14.61,1.92,8.03,-0.85
14.61,1.75,8.02,-1.04
14.61,1.56,7.98,-1.31
14.61,1.42,7.96,-1.53
14.61,1.29,8.00,-1.54
14.62,1.21,8.07,-1.35
14.62,1.14,8.11,-1.33
14.62,1.10,8.19,-1.38
14.62,1.03,8.30,-1.61
14.63,1.03,8.37,-1.80
14.63,1.05,8.46,-1.91
14.63,1.16,8.56,-1.90
14.63,1.29,8.61,-1.86
14.64,1.57,8.63,-1.78
14.64,1.77,8.61,-1.73
14.64,1.96,8.62,-1.65
14.64,2.16,8.66,-1.48
14.64,2.33,8.77,-1.40
14.65,2.42,8.90,-1.33
14.65,2.46,9.12,-1.09
14.65,2.45,9.43,-0.92
14.65,2.42,9.83,-0.78
14.66,2.41,10.17,-0.67
14.66,2.36,10.59,-0.55
14.66,2.23,11.02,-0.42
14.66,2.11,11.37,-0.34
14.66,2.03,11.69,-0.23
14.67,1.84,12.00,-0.15
14.67,1.70,12.24,-0.18
14.67,1.64,12.43,-0.25
14.67,1.60,12.53,-0.45
14.68,1.47,12.60,-0.73
14.68,1.32,12.70,-0.82
14.68,1.17,12.81,-1.19
14.68,1.06,12.95,-1.41
14.69,0.93,13.10,-1.58
14.69,0.82,13.24,-1.78
14.69,0.71,13.41,-2.02
14.69,0.66,13.49,-2.31
14.69,0.59,13.57,-2.57
14.70,0.62,13.65,-2.83
14.70,0.63,13.75,-3.08
14.70,0.63,13.86,-3.27
14.70,0.51,13.97,-3.50
14.71,0.42,13.99,-3.86
14.71,0.36,14.11,-4.04
14.71,0.41,14.28,-4.07
14.71,0.40,14.41,-4.25
14.72,0.40,14.47,-4.38
14.72,0.40,14.53,-4.46
14.72,0.42,14.57,-4.50
14.72,0.38,14.61,-4.44
14.72,0.42,14.65,-4.48
14.73,0.42,14.71,-4.58
14.73,0.49,14.68,-4.76
14.73,0.59,14.66,-5.05
14.73,0.65,14.72,-5.24
14.74,0.71,14.78,-5.43
14.74,0.75,14.98,-5.51
14.74,0.85,15.11,-5.63
14.74,0.83,15.25,-5.81
14.75,0.78,15.38,-5.82
14.75,0.64,15.47,-5.80
14.75,0.54,15.49,-5.79
14.75,0.49,15.40,-5.78
14.75,0.31,15.40,-5.69
14.76,0.06,15.33,-5.64
14.76,-0.23,15.21,-5.52
14.76,-0.49,15.12,-5.36
14.76,-0.55,14.91,-5.12
14.77,-0.69,14.67,-4.93
14.77,-0.74,14.36,-4.77
14.77,-0.81,14.05,-4.70
14.77,-0.77,13.67,-4.56
14.78,-0.71,13.29,-4.37
14.78,-0.59,12.90,-4.35
14.78,-0.53,12.52,-4.31
14.78,-0.47,12.12,-4.32
14.78,-0.28,11.69,-4.42
14.79,-0.03,11.21,-4.36
14.79,0.15,10.79,-4.45
14.79,0.31,10.57,-4.48
14.79,0.52,10.38,-4.58
14.80,0.78,10.29,-4.67
14.80,1.05,10.27,-4.70
14.80,1.31,10.34,-4.77
14.80,1.65,10.39,-4.80
14.81,1.93,10.53,-4.79
14.81,2.12,10.61,-4.79
14.81,2.32,10.69,-4.81
14.81,2.53,10.66,-4.81
14.81,2.64,10.62,-4.80
14.82,2.73,10.60,-4.70
14.82,2.93,10.45,-4.58
14.82,3.01,10.25,-4.48
14.82,3.02,10.01,-4.37
14.83,3.07,9.75,-4.26
14.83,3.15,9.44,-4.15
14.83,3.17,9.18,-4.08
14.83,3.08,8.86,-4.01
14.84,2.95,8.58,-3.92
14.84,2.85,8.31,-3.81
14.84,2.76,8.04,-3.77
14.84,2.64,7.75,-3.74
14.84,2.53,7.49,-3.68
14.85,2.43,7.25,-3.65
14.85,2.24,7.02,-3.69
14.85,2.03,6.82,-3.70
14.85,1.82,6.68,-3.73
14.86,1.64,6.58,-3.78
14.86,1.45,6.43,-3.84
14.86,1.29,6.32,-3.87
14.86,1.04,6.26,-3.91
14.87,0.84,6.18,-4.03
14.87,0.59,6.12,-4.09
14.87,0.38,6.07,-4.16
14.87,0.20,6.03,-4.17
14.87,0.09,5.96,-4.16
14.88,-0.05,5.90,-4.19
14.88,-0.21,5.85,-4.21
14.88,-0.33,5.79,-4.26
14.88,-0.48,5.76,-4.20
14.89,-0.60,5.71,-4.16
14.89,-0.68,5.70,-4.12
14.89,-0.70,5.67,-3.99
14.89,-0.74,5.63,-3.91
14.89,-0.78,5.62,-3.84
14.90,-0.85,5.62,-3.78
14.90,-0.87,5.62,-3.72
14.90,-0.86,5.58,-3.73
14.90,-0.89,5.55,-3.73
14.91,-0.92,5.54,-3.72
14.91,-0.90,5.49,-3.63
14.91,-0.84,5.42,-3.59
14.91,-0.75,5.37,-3.70
14.92,-0.71,5.34,-3.72
14.92,-0.66,5.34,-3.69
14.92,-0.56,5.34,-3.62
14.92,-0.47,5.29,-3.55
14.92,-0.40,5.26,-3.53
14.93,-0.29,5.21,-3.47
14.93,-0.17,5.14,-3.46
14.93,-0.06,5.06,-3.43
14.93,0.01,5.01,-3.35
14.94,0.12,4.94,-3.21
14.94,0.24,4.82,-3.14
14.94,0.32,4.73,-3.06
14.94,0.40,4.63,-3.01
14.95,0.49,4.54,-2.91
14.95,0.58,4.47,-2.82
14.95,0.61,4.42,-2.73
14.95,0.66,4.37,-2.63
14.95,0.68,4.30,-2.52
14.96,0.68,4.26,-2.42
14.96,0.67,4.23,-2.33
14.96,0.70,4.22,-2.32
14.96,0.67,4.20,-2.24
14.97,0.63,4.18,-2.16
14.97,0.61,4.19,-2.14
14.97,0.58,4.21,-2.11
14.97,0.52,4.24,-2.06
14.98,0.52,4.26,-2.00
14.98,0.48,4.31,-1.92
14.98,0.48,4.39,-1.84
14.98,0.48,4.42,-1.79
14.98,0.46,4.49,-1.75
14.99,0.42,4.59,-1.76
14.99,0.38,4.68,-1.76
14.99,0.39,4.76,-1.68
14.99,0.34,4.86,-1.69
15.00,0.34,4.93,-1.70
15.00,0.33,5.07,-1.74
15.00,0.30,5.17,-1.80
15.00,0.26,5.31,-1.85
15.01,0.28,5.48,-1.87
15.01,0.39,5.64,-1.97
15.01,0.50,5.79,-2.07
15.01,0.53,5.93,-2.10
15.01,0.55,6.10,-2.17
15.02,0.56,6.32,-2.15
15.02,0.64,6.48,-2.18
15.02,0.71,6.70,-2.28
15.02,0.86,6.84,-2.31
15.03,0.91,6.98,-2.41
15.03,0.99,7.14,-2.48
15.03,1.05,7.29,-2.60
15.03,1.06,7.53,-2.59
15.04,1.15,7.70,-2.67
15.04,1.25,7.86,-2.68
15.04,1.28,8.03,-2.65
15.04,1.31,8.24,-2.67
15.04,1.30,8.43,-2.66
15.05,1.32,8.57,-2.63
15.05,1.35,8.72,-2.60
15.05,1.35,8.84,-2.64
15.05,1.29,9.03,-2.61
15.06,1.25,9.21,-2.60
15.06,1.30,9.28,-2.66
15.06,1.33,9.35,-2.71
15.06,1.33,9.38,-2.73
15.07,1.28,9.35,-2.80
15.07,1.16,9.39,-2.93
15.07,1.05,9.41,-3.04
15.07,1.04,9.35,-3.14
15.07,0.98,9.26,-3.23
15.08,0.98,9.13,-3.35
15.08,0.99,9.00,-3.44
15.08,1.04,8.84,-3.48
15.08,1.05,8.68,-3.52
15.09,1.04,8.49,-3.58
15.09,1.04,8.31,-3.63
15.09,1.10,8.10,-3.69
15.09,1.11,7.88,-3.66
15.09,1.14,7.65,-3.66
15.10,1.13,7.43,-3.73
15.10,1.17,7.21,-3.71
15.10,1.17,6.97,-3.71
15.10,1.21,6.76,-3.74
15.11,1.23,6.57,-3.72
15.11,1.22,6.40,-3.74
15.11,1.22,6.26,-3.78
15.11,1.18,6.09,-3.76
15.12,1.18,5.99,-3.73
15.12,1.20,5.89,-3.75
15.12,1.16,5.84,-3.78
15.12,1.12,5.81,-3.76
15.12,1.14,5.78,-3.72
15.13,1.08,5.79,-3.71
15.13,1.05,5.83,-3.69
15.13,1.03,5.86,-3.65
15.13,1.03,5.88,-3.66
15.14,1.01,5.94,-3.69
15.14,0.98,6.01,-3.68
15.14,0.95,6.06,-3.71
15.14,0.93,6.10,-3.72
15.15,0.97,6.08,-3.79
15.15,0.89,6.09,-3.88
15.15,0.79,6.10,-4.04
15.15,0.65,6.18,-4.19
15.15,0.53,6.20,-4.38
15.16,0.31,6.36,-4.54
15.16,0.00,6.66,-4.78
15.16,-0.29,7.04,-4.97
15.16,-0.48,7.51,-5.02
15.17,-0.56,8.08,-5.09
15.17,-0.77,8.76,-5.32
15.17,-0.84,9.58,-5.39
15.17,-0.94,10.50,-5.51
15.18,-0.95,11.51,-5.60
15.18,-0.90,12.54,-5.60
15.18,-0.80,13.50,-5.39
15.18,-0.63,14.33,-4.81
15.18,-0.60,15.09,-4.20
15.19,-0.25,15.51,-3.49
15.19,-0.13,15.79,-2.84
15.19,-0.03,15.91,-2.42
15.19,0.09,15.93,-2.28
15.20,0.43,15.89,-2.34
15.20,0.18,16.03,-2.58
15.20,-0.03,16.19,-2.97
15.20,0.07,16.43,-3.37
15.21,-0.01,16.86,-3.53
15.21,-0.26,17.38,-3.52
15.21,-0.52,17.80,-3.31
15.21,-0.59,18.12,-2.76
15.21,-0.55,18.29,-2.00
15.22,-0.59,18.30,-1.25
15.22,-0.74,18.11,-0.53
15.22,-0.57,17.56,0.17
15.22,-0.49,16.89,0.78
15.23,-0.34,16.09,1.30
15.23,-0.32,15.24,1.57
15.23,-0.37,14.37,1.68
15.23,-0.52,13.51,1.47
15.24,-0.68,12.79,1.12
15.24,-0.84,12.20,0.68
15.24,-1.04,11.69,0.19
15.24,-1.13,11.36,-0.10
15.24,-1.14,11.07,-0.38
15.25,-1.12,10.72,-0.64
15.25,-0.99,10.40,-0.83
15.25,-0.81,10.08,-1.01
15.25,-0.59,9.84,-1.13
15.26,-0.37,9.73,-1.24
15.26,-0.17,9.68,-1.35
15.26,0.00,9.67,-1.37
15.26,0.16,9.68,-1.28
15.27,0.27,9.76,-1.06
15.27,0.37,9.79,-0.79
15.27,0.53,9.75,-0.47
15.27,0.71,9.68,-0.07
15.27,0.86,9.57,0.37
15.28,0.96,9.49,0.72
15.28,0.99,9.48,0.82
15.28,1.09,9.57,0.68
15.28,1.12,9.91,0.28
15.29,1.27,10.46,-0.23
15.29,1.43,11.24,-0.77
15.29,1.66,12.26,-1.27
15.29,1.91,13.62,-1.76
15.29,2.23,15.21,-2.36
15.30,2.72,16.98,-2.91
15.30,3.35,18.72,-3.46
15.30,4.01,20.31,-3.97
15.30,4.60,21.85,-4.36
15.31,5.01,23.09,-4.59
15.31,5.38,23.80,-4.65
15.31,5.45,23.98,-4.63
15.31,5.25,23.45,-4.51
15.32,4.75,22.09,-4.19
15.32,4.16,19.98,-3.51
15.32,3.81,17.52,-2.54
15.32,3.67,15.21,-1.52
15.32,3.59,13.20,-0.61
15.33,3.26,11.72,0.08
15.33,2.88,10.61,0.41
15.33,2.56,9.84,0.55
15.33,2.35,9.38,0.63
15.34,2.18,9.07,0.60
15.34,2.04,8.85,0.40
15.34,1.89,8.72,0.11
15.34,1.66,8.71,-0.13
15.35,1.43,8.77,-0.31
15.35,1.19,8.89,-0.39
15.35,1.03,9.06,-0.43
15.35,0.98,9.21,-0.57
15.35,0.99,9.43,-0.78
15.36,1.00,9.67,-1.00
15.36,1.00,9.94,-1.22
15.36,1.05,10.15,-1.45
15.36,1.09,10.40,-1.67
15.37,1.12,10.56,-1.89
15.37,1.10,10.72,-2.12
15.37,1.06,10.84,-2.31
15.37,1.10,10.89,-2.42
15.38,1.21,10.87,-2.46
15.38,1.36,10.82,-2.44
15.38,1.47,10.71,-2.50
15.38,1.60,10.61,-2.47
15.38,1.69,10.52,-2.50
15.39,1.72,10.45,-2.47
15.39,1.76,10.30,-2.50
15.39,1.81,10.05,-2.53
15.39,1.82,9.84,-2.53
15.40,1.84,9.62,-2.58
15.40,1.89,9.48,-2.56
15.40,1.89,9.38,-2.53
15.40,1.81,9.27,-2.43
15.41,1.75,9.15,-2.30
15.41,1.72,9.08,-2.06
15.41,1.61,9.00,-1.75
15.41,1.52,8.93,-1.55
15.41,1.42,8.76,-1.40
15.42,1.34,8.56,-1.35
15.42,1.33,8.36,-1.21
15.42,1.32,8.17,-1.04
15.42,1.23,8.13,-0.77
15.43,1.15,8.18,-0.61
15.43,1.08,8.35,-0.42
15.43,1.05,8.65,-0.31
15.43,1.02,8.95,-0.30
15.44,1.05,9.10,-0.39
15.44,1.04,9.25,-0.47
15.44,1.09,9.28,-0.63
15.44,1.20,9.23,-0.73
15.44,1.18,9.11,-0.93
15.45,1.20,8.97,-1.09
15.45,1.18,8.78,-1.25
15.45,1.20,8.65,-1.27
15.45,1.29,8.50,-1.23
15.46,1.32,8.32,-1.25
15.46,1.38,8.18,-1.18
15.46,1.45,8.05,-1.14
15.46,1.55,7.93,-1.14
15.47,1.67,7.76,-1.13
15.47,1.72,7.64,-1.21
15.47,1.79,7.57,-1.27
15.47,1.85,7.53,-1.43
15.47,1.92,7.48,-1.59
15.48,1.87,7.52,-1.74
15.48,1.79,7.56,-1.91
15.48,1.74,7.60,-2.05
15.48,1.65,7.64,-2.20
15.49,1.58,7.61,-2.29
15.49,1.55,7.61,-2.35
15.49,1.56,7.61,-2.50
15.49,1.45,7.62,-2.55
15.49,1.37,7.66,-2.57
15.50,1.31,7.69,-2.59
15.50,1.24,7.71,-2.59
15.50,1.16,7.72,-2.57
15.50,1.13,7.71,-2.52
15.51,1.13,7.69,-2.51
15.51,1.15,7.62,-2.51
