Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
21.00,-0.42,9.18,0.33
21.00,-0.56,8.20,0.35
21.00,-0.67,7.37,0.35
21.00,-0.77,6.72,0.41
21.00,-0.86,6.27,0.47
21.01,-1.02,6.02,0.51
21.01,-1.04,5.86,0.66
21.01,-1.11,5.85,0.83
21.01,-1.24,5.98,0.93
21.02,-1.24,6.10,1.16
21.02,-1.28,6.34,1.35
21.02,-1.22,6.50,1.51
21.02,-1.09,6.68,1.63
21.03,-0.89,6.89,1.70
21.03,-0.74,7.11,1.73
21.03,-0.58,7.37,1.68
21.03,-0.33,7.60,1.64
21.03,-0.12,7.76,1.48
21.04,0.10,7.91,1.38
21.04,0.31,8.00,1.27
21.04,0.46,8.09,1.21
21.04,0.65,8.12,1.08
21.05,0.78,8.18,1.05
21.05,0.80,8.24,1.02
21.05,0.87,8.34,1.01
21.05,0.89,8.39,1.00
21.06,0.85,8.51,0.98
21.06,0.78,8.56,1.03
21.06,0.69,8.68,1.02
21.06,0.66,8.78,1.02
21.06,0.70,8.87,0.94
21.07,0.70,9.06,0.80
21.07,0.71,9.18,0.59
21.07,0.69,9.32,0.41
21.07,0.71,9.42,0.23
21.08,0.69,9.53,0.04
21.08,0.62,9.65,-0.14
21.08,0.59,9.75,-0.33
21.08,0.56,9.89,-0.50
21.09,0.51,10.06,-0.66
21.09,0.37,10.32,-0.69
21.09,0.20,10.60,-0.59
21.09,0.16,10.83,-0.54
21.09,0.04,11.04,-0.62
21.10,-0.10,11.24,-0.61
21.10,-0.15,11.32,-0.55
21.10,-0.18,11.31,-0.47
21.10,-0.25,11.22,-0.43
21.11,-0.36,11.17,-0.51
21.11,-0.47,11.06,-0.66
21.11,-0.50,10.83,-0.72
21.11,-0.64,10.67,-0.71
21.12,-0.75,10.46,-0.60
21.12,-0.89,10.28,-0.37
21.12,-1.01,10.11,-0.24
21.12,-1.02,9.95,-0.09
21.12,-1.08,9.84,0.01
21.13,-1.11,9.77,0.03
21.13,-1.13,9.75,-0.02
21.13,-1.08,9.71,-0.05
21.13,-0.94,9.65,-0.06
21.14,-0.84,9.59,-0.09
21.14,-0.84,9.57,-0.11
21.14,-0.85,9.59,-0.20
21.14,-0.81,9.64,-0.27
21.14,-0.69,9.67,-0.30
21.15,-0.51,9.62,-0.29
21.15,-0.38,9.67,-0.31
21.15,-0.31,9.75,-0.27
21.15,-0.20,9.76,-0.22
21.16,-0.10,9.81,-0.18
21.16,0.01,9.78,-0.18
21.16,0.06,9.78,-0.30
21.16,0.18,9.80,-0.21
21.17,0.24,9.80,-0.19
21.17,0.29,9.85,-0.22
21.17,0.35,9.86,-0.31
21.17,0.38,9.89,-0.45
21.17,0.42,9.93,-0.56
21.18,0.46,9.98,-0.60
21.18,0.64,10.02,-0.56
21.18,0.76,9.99,-0.62
21.18,0.76,10.06,-0.65
21.19,0.70,10.12,-0.51
21.19,0.69,10.17,-0.30
21.19,0.73,10.21,-0.25
21.19,0.76,10.25,-0.27
21.20,0.75,10.33,-0.12
21.20,0.78,10.39,-0.09
21.20,0.82,10.43,-0.03
21.20,0.91,10.41,0.05
21.20,1.03,10.35,0.07
21.21,1.04,10.33,0.15
21.21,1.03,10.32,0.13
21.21,1.06,10.23,-0.06
21.21,1.02,10.19,-0.09
21.22,1.07,10.09,-0.10
21.22,1.10,9.99,-0.10
21.22,1.09,9.95,-0.16
21.22,1.12,9.86,-0.21
21.23,1.13,9.75,-0.24
21.23,1.12,9.69,-0.32
21.23,1.10,9.63,-0.35
21.23,1.04,9.57,-0.39
21.23,1.03,9.53,-0.40
21.24,0.99,9.43,-0.42
21.24,0.94,9.37,-0.47
