Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
19.00,-0.39,0.25,-0.55
19.00,-0.39,0.24,-0.54
19.00,-0.40,0.22,-0.52
19.00,-0.41,0.21,-0.51
19.01,-0.42,0.22,-0.50
19.01,-0.44,0.22,-0.49
19.01,-0.45,0.23,-0.48
19.01,-0.45,0.23,-0.46
19.02,-0.46,0.23,-0.46
19.02,-0.46,0.24,-0.45
19.02,-0.47,0.24,-0.45
19.02,-0.46,0.25,-0.45
19.02,-0.46,0.25,-0.45
19.03,-0.45,0.25,-0.46
19.03,-0.43,0.25,-0.46
19.03,-0.42,0.25,-0.47
19.03,-0.40,0.25,-0.47
19.04,-0.37,0.24,-0.47
19.04,-0.34,0.23,-0.47
19.04,-0.31,0.22,-0.49
19.04,-0.29,0.20,-0.49
19.05,-0.25,0.18,-0.50
19.05,-0.22,0.17,-0.50
19.05,-0.19,0.16,-0.49
19.05,-0.16,0.16,-0.48
19.05,-0.14,0.15,-0.47
19.06,-0.12,0.13,-0.46
19.06,-0.10,0.13,-0.46
19.06,-0.08,0.14,-0.46
19.06,-0.06,0.14,-0.47
19.07,-0.05,0.14,-0.47
19.07,-0.03,0.14,-0.45
19.07,-0.01,0.15,-0.44
19.07,0.00,0.15,-0.42
19.08,0.01,0.16,-0.40
19.08,0.03,0.17,-0.39
19.08,0.04,0.18,-0.36
19.08,0.05,0.19,-0.34
19.08,0.07,0.20,-0.31
19.09,0.08,0.22,-0.29
19.09,0.09,0.22,-0.26
19.09,0.10,0.23,-0.23
19.09,0.12,0.23,-0.21
19.10,0.15,0.23,-0.18
19.10,0.17,0.22,-0.15
19.10,0.19,0.22,-0.14
19.10,0.23,0.21,-0.12
19.10,0.26,0.20,-0.10
19.11,0.30,0.18,-0.09
19.11,0.34,0.17,-0.08
19.11,0.38,0.16,-0.07
19.11,0.41,0.14,-0.06
19.12,0.45,0.13,-0.05
19.12,0.49,0.11,-0.04
19.12,0.52,0.08,-0.03
19.12,0.55,0.06,-0.01
19.13,0.58,0.04,0.00
19.13,0.61,0.02,0.02
19.13,0.64,0.00,0.03
19.13,0.66,-0.02,0.04
19.13,0.69,-0.05,0.06
19.14,0.71,-0.07,0.07
19.14,0.74,-0.09,0.08
19.14,0.78,-0.12,0.10
19.14,0.80,-0.15,0.12
19.15,0.84,-0.18,0.13
19.15,0.87,-0.21,0.15
19.15,0.91,-0.25,0.17
19.15,0.94,-0.28,0.19
19.16,0.98,-0.32,0.20
19.16,1.02,-0.35,0.22
19.16,1.06,-0.39,0.24
19.16,1.10,-0.43,0.25
19.16,1.14,-0.46,0.27
19.17,1.19,-0.50,0.29
19.17,1.24,-0.54,0.31
19.17,1.29,-0.57,0.33
19.17,1.34,-0.61,0.34
19.18,1.39,-0.64,0.37
19.18,1.44,-0.67,0.39
19.18,1.49,-0.71,0.42
19.18,1.55,-0.74,0.44
19.19,1.60,-0.76,0.47
19.19,1.65,-0.79,0.49
19.19,1.71,-0.82,0.52
19.19,1.77,-0.85,0.55
19.19,1.82,-0.87,0.58
19.20,1.87,-0.90,0.61
19.20,1.92,-0.92,0.64
