Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
16.00,2.32,8.98,0.03
16.00,2.23,9.11,-0.04
16.00,2.20,9.10,-0.01
16.00,2.20,9.09,-0.04
16.01,2.19,9.11,-0.01
16.01,2.13,9.13,-0.05
16.01,2.12,9.11,-0.08
16.01,2.11,9.11,-0.08
16.01,2.09,9.10,-0.10
16.02,2.09,9.11,-0.12
16.02,2.09,9.13,-0.11
16.02,2.09,9.12,-0.13
16.02,2.15,9.05,-0.21
16.03,2.05,9.10,-0.23
16.03,1.97,9.16,-0.26
16.03,1.98,9.23,-0.22
16.03,2.02,9.18,-0.19
16.04,1.97,9.20,-0.20
16.04,2.02,9.18,-0.19
16.04,2.02,9.24,-0.20
16.04,2.05,9.22,-0.19
16.04,2.10,9.25,-0.16
16.05,2.08,9.33,-0.14
16.05,2.08,9.33,-0.19
16.05,2.09,9.38,-0.17
16.05,2.12,9.37,-0.20
16.06,2.13,9.32,-0.26
16.06,2.10,9.36,-0.23
16.06,2.18,9.30,-0.27
16.06,2.25,9.26,-0.25
16.07,2.18,9.40,-0.28
16.07,2.16,9.43,-0.24
16.07,2.29,9.39,-0.21
16.07,2.33,9.40,-0.19
16.07,2.32,9.39,-0.20
16.08,2.30,9.41,-0.19
16.08,2.38,9.36,-0.24
16.08,2.35,9.38,-0.27
16.08,2.38,9.42,-0.24
16.09,2.41,9.47,-0.25
16.09,2.61,9.44,-0.20
16.09,2.64,9.43,-0.25
16.09,2.64,9.38,-0.30
16.10,2.60,9.42,-0.31
16.10,2.67,9.43,-0.24
16.10,2.71,9.43,-0.24
16.10,2.76,9.41,-0.26
16.10,2.71,9.41,-0.35
16.11,2.67,9.45,-0.34
16.11,2.73,9.40,-0.26
16.11,2.79,9.37,-0.26
16.11,2.76,9.41,-0.29
16.12,2.76,9.35,-0.29
16.12,2.72,9.41,-0.26
16.12,2.77,9.37,-0.16
16.12,2.81,9.36,-0.19
16.12,2.81,9.33,-0.19
16.13,2.73,9.36,-0.21
16.13,2.73,9.31,-0.18
16.13,2.76,9.28,-0.13
16.13,2.72,9.31,-0.15
16.14,2.73,9.35,-0.14
16.14,2.78,9.35,-0.13
16.14,2.75,9.35,-0.11
16.14,2.70,9.38,-0.07
16.15,2.66,9.38,-0.06
16.15,2.63,9.40,-0.05
16.15,2.60,9.40,-0.07
16.15,2.56,9.43,-0.09
16.15,2.49,9.45,-0.07
16.16,2.42,9.47,-0.08
16.16,2.38,9.43,-0.07
16.16,2.35,9.39,-0.05
16.16,2.29,9.37,-0.09
16.17,2.27,9.34,-0.11
16.17,2.23,9.32,-0.11
16.17,2.20,9.31,-0.14
16.17,2.18,9.28,-0.13
16.18,2.12,9.27,-0.08
16.18,2.07,9.25,-0.09
16.18,2.04,9.22,-0.05
16.18,2.03,9.18,-0.02
16.18,2.01,9.14,0.02
16.19,1.97,9.10,0.04
16.19,1.95,9.08,0.07
16.19,1.92,9.04,0.07
16.19,1.92,9.03,0.10
16.20,1.92,9.01,0.10
16.20,1.91,9.01,0.18
16.20,1.89,8.96,0.22
16.20,1.84,8.96,0.26
16.21,1.83,8.95,0.29
16.21,1.82,8.92,0.34
16.21,1.82,8.93,0.35
16.21,1.78,8.96,0.36
16.21,1.76,8.98,0.37
16.22,1.73,8.97,0.37
16.22,1.78,8.95,0.38
16.22,1.78,8.99,0.48
16.22,1.73,9.02,0.45
16.23,1.71,9.06,0.48
16.23,1.79,9.08,0.58
16.23,1.78,9.13,0.63
16.23,1.80,9.20,0.66
16.24,1.77,9.24,0.72
16.24,1.71,9.31,0.77
16.24,1.72,9.36,0.81
16.24,1.73,9.38,0.85
16.24,1.72,9.43,0.91
16.25,1.68,9.47,0.94
16.25,1.62,9.52,0.97
16.25,1.63,9.53,0.96
16.25,1.60,9.62,1.03
16.26,1.54,9.66,1.03
16.26,1.46,9.73,1.08
16.26,1.51,9.78,1.15
16.26,1.53,9.87,1.24
16.27,1.52,9.91,1.27
16.27,1.56,10.02,1.29
16.27,1.58,10.10,1.32
16.27,1.74,10.21,1.43
16.27,1.81,10.29,1.50
16.28,1.77,10.51,1.55
16.28,1.76,10.69,1.65
16.28,1.86,10.68,1.74
16.28,1.87,10.72,1.72
16.29,1.85,10.75,1.72
16.29,1.85,10.78,1.72
16.29,1.88,10.68,1.66
16.29,1.76,10.75,1.51
16.30,1.79,10.69,1.47
16.30,1.69,10.74,1.48
16.30,1.70,10.67,1.43
16.30,1.66,10.68,1.35
16.30,1.65,10.58,1.27
16.31,1.63,10.53,1.10
16.31,1.63,10.53,0.93
16.31,1.66,10.52,0.87
16.31,1.69,10.45,0.76
16.32,1.63,10.43,0.54
16.32,1.71,10.40,0.42
16.32,1.71,10.44,0.27
16.32,1.66,10.49,0.16
16.32,1.71,10.52,0.03
16.33,1.81,10.49,-0.15
16.33,1.86,10.57,-0.17
16.33,2.03,10.62,-0.21
16.33,1.97,10.81,-0.16
16.34,1.99,11.06,-0.02
16.34,2.21,11.15,0.19
16.34,2.26,11.24,0.29
16.34,2.30,11.45,0.39
16.35,2.37,11.62,0.54
16.35,2.44,11.76,0.76
16.35,2.51,11.94,1.06
16.35,2.61,12.14,1.32
16.35,2.69,12.26,1.49
16.36,2.82,12.37,1.70
16.36,2.85,12.53,1.82
16.36,2.92,12.61,1.95
16.36,2.98,12.75,2.09
16.37,3.05,12.83,2.10
16.37,3.19,12.89,2.05
16.37,3.28,12.91,1.89
16.37,3.29,13.03,1.78
16.38,3.27,13.18,1.67
16.38,3.35,13.30,1.53
16.38,3.42,13.38,1.35
16.38,3.43,13.53,1.17
16.38,3.47,13.65,0.98
16.39,3.49,13.75,0.85
16.39,3.55,13.83,0.67
16.39,3.57,13.85,0.56
16.39,3.55,13.89,0.43
16.40,3.57,13.89,0.33
16.40,3.58,13.92,0.27
16.40,3.56,13.93,0.20
16.40,3.54,13.90,0.17
16.41,3.52,13.87,0.15
16.41,3.56,13.85,0.14
16.41,3.54,13.89,0.19
16.41,3.55,13.89,0.16
16.41,3.55,13.87,0.21
16.42,3.51,13.89,0.22
16.42,3.46,13.90,0.24
16.42,3.44,13.89,0.24
16.42,3.40,13.91,0.22
16.43,3.40,13.92,0.21
16.43,3.35,13.92,0.19
16.43,3.30,13.94,0.17
16.43,3.21,13.96,0.17
16.44,3.16,13.97,0.16
16.44,3.05,13.97,0.14
16.44,2.94,13.92,0.09
16.44,2.79,13.86,0.05
16.44,2.64,13.84,0.02
16.45,2.53,13.75,0.02
16.45,2.41,13.73,0.08
16.45,2.30,13.66,0.12
16.45,2.18,13.60,0.12
16.46,2.06,13.53,0.11
16.46,1.97,13.44,0.12
16.46,1.89,13.35,0.09
16.46,1.78,13.28,0.04
16.47,1.69,13.17,0.04
16.47,1.58,13.08,0.02
16.47,1.51,12.98,0.00
16.47,1.45,12.87,-0.01
16.47,1.37,12.75,-0.01
16.48,1.29,12.64,0.01
16.48,1.25,12.53,0.05
16.48,1.17,12.42,0.04
16.48,1.18,12.27,0.06
16.49,1.15,12.15,0.08
16.49,1.13,12.02,0.13
16.49,1.07,11.93,0.14
16.49,1.07,11.79,0.18
16.50,1.00,11.67,0.25
16.50,0.96,11.57,0.30
16.50,1.00,11.47,0.40
16.50,1.06,11.34,0.45
16.50,1.05,11.22,0.47
16.51,1.05,11.11,0.44
16.51,1.02,10.97,0.39
16.51,1.05,10.82,0.27
16.51,1.05,10.71,0.13
16.52,1.01,10.64,-0.06
16.52,1.03,10.53,-0.29
16.52,0.99,10.47,-0.51
