Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
25.34,3.48,14.20,-7.74
25.34,3.40,13.74,-7.80
25.34,3.36,13.57,-7.79
25.34,3.21,13.69,-7.79
25.35,3.01,13.95,-7.69
25.35,2.77,14.33,-7.74
25.35,2.55,14.76,-7.66
25.35,2.28,15.17,-7.45
25.36,1.98,15.59,-7.24
25.36,1.77,15.92,-6.86
25.36,1.50,16.20,-6.31
25.36,1.26,16.41,-5.73
25.36,0.96,16.51,-4.97
25.37,0.59,16.57,-4.23
25.37,0.05,16.48,-3.41
25.37,-0.55,16.29,-2.57
25.37,-1.17,15.99,-1.78
25.38,-1.74,15.56,-1.25
25.38,-2.28,15.02,-0.78
25.38,-2.83,14.49,-0.50
25.38,-3.24,13.83,-0.22
25.39,-3.57,13.05,0.01
25.39,-3.65,12.18,0.12
25.39,-3.66,11.33,0.33
25.39,-3.35,10.37,0.50
25.39,-2.92,9.47,0.64
25.40,-2.21,8.57,0.75
25.40,-1.46,7.78,0.78
25.40,-0.92,7.20,0.75
25.40,-0.71,6.82,0.66
25.41,-0.66,6.64,0.43
25.41,-0.69,6.51,0.14
25.41,-0.74,6.41,-0.16
25.41,-0.81,6.37,-0.41
25.42,-0.88,6.39,-0.75
25.42,-0.74,6.37,-1.05
25.42,-0.52,6.36,-1.25
25.42,-0.30,6.39,-1.45
25.42,-0.06,6.43,-1.58
25.43,0.20,6.48,-1.68
25.43,0.42,6.51,-1.70
25.43,0.66,6.55,-1.62
25.43,0.86,6.60,-1.46
25.44,1.03,6.58,-1.34
25.44,1.19,6.58,-1.21
25.44,1.28,6.61,-1.10
25.44,1.29,6.60,-0.97
25.45,1.20,6.65,-0.86
25.45,1.19,6.69,-0.57
25.45,1.19,6.70,-0.40
25.45,1.15,6.78,-0.26
25.45,1.13,6.86,-0.13
25.46,0.99,7.03,-0.05
25.46,0.91,7.19,-0.02
25.46,0.92,7.34,0.05
25.46,0.87,7.50,0.09
25.47,0.74,7.66,0.20
25.47,0.57,7.83,0.33
25.47,0.49,8.00,0.46
25.47,0.29,8.18,0.60
25.48,0.16,8.35,0.74
25.48,0.01,8.52,1.00
25.48,-0.14,8.70,1.35
25.48,-0.33,8.90,1.64
25.48,-0.52,9.13,2.03
25.49,-0.67,9.34,2.41
25.49,-0.89,9.61,2.75
25.49,-1.08,9.90,3.02
25.49,-1.24,10.17,3.31
25.50,-1.30,10.45,3.61
25.50,-1.27,10.68,3.62
25.50,-1.33,10.92,3.74
25.50,-1.44,11.15,3.87
25.51,-1.65,11.36,3.75
25.51,-1.92,11.50,3.41
25.51,-2.18,11.60,3.08
25.51,-2.36,11.68,2.88
25.51,-2.55,11.73,2.68
25.52,-2.79,11.77,2.52
25.52,-3.05,11.81,2.35
25.52,-3.29,11.81,2.15
25.52,-3.47,11.74,1.90
25.53,-3.63,11.65,1.64
25.53,-3.75,11.51,1.45
25.53,-3.87,11.34,1.22
25.53,-3.94,11.09,1.03
25.54,-4.01,10.90,0.82
25.54,-4.00,10.64,0.63
25.54,-3.99,10.41,0.40
25.54,-3.87,10.20,0.25
25.54,-3.64,9.93,0.11
25.55,-3.38,9.69,-0.02
25.55,-3.06,9.48,-0.18
25.55,-2.74,9.29,-0.31
25.55,-2.46,9.14,-0.47
25.56,-2.19,9.02,-0.61
25.56,-1.92,8.92,-0.71
25.56,-1.71,8.85,-0.82
25.56,-1.53,8.84,-0.96
25.56,-1.38,8.84,-0.98
25.57,-1.31,8.85,-0.96
25.57,-1.17,8.85,-0.92
25.57,-1.11,8.87,-0.79
25.57,-0.94,8.86,-0.66
25.58,-0.87,8.86,-0.47
25.58,-0.84,8.86,-0.32
25.58,-0.79,8.84,-0.16
25.58,-0.69,8.79,0.01
25.59,-0.65,8.77,0.20
25.59,-0.53,8.71,0.44
25.59,-0.53,8.70,0.64
25.59,-0.46,8.61,0.79
25.59,-0.42,8.54,1.00
25.60,-0.47,8.56,1.31
25.60,-0.51,8.59,1.61
25.60,-0.54,8.63,1.86
25.60,-0.58,8.70,2.07
25.61,-0.68,8.83,2.18
25.61,-0.81,8.99,2.29
25.61,-0.99,9.19,2.42
25.61,-1.03,9.38,2.50
25.62,-1.06,9.61,2.55
25.62,-1.14,9.83,2.54
25.62,-1.16,10.03,2.49
25.62,-1.12,10.22,2.35
25.62,-1.08,10.41,2.19
25.63,-0.99,10.57,2.05
25.63,-0.86,10.77,1.83
25.63,-0.66,10.88,1.60
25.63,-0.44,10.96,1.34
25.64,-0.24,11.01,1.02
25.64,-0.04,11.03,0.74
25.64,0.17,11.06,0.48
25.64,0.37,11.04,0.26
25.65,0.54,11.05,0.07
25.65,0.68,11.00,-0.08
25.65,0.85,10.93,-0.20
25.65,1.06,10.82,-0.29
25.65,1.23,10.71,-0.41
25.66,1.38,10.57,-0.50
25.66,1.54,10.43,-0.57
25.66,1.68,10.29,-0.66
25.66,1.82,10.18,-0.72
25.67,1.92,10.06,-0.78
