Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
27.14,-0.15,0.21,-0.22
27.14,-0.17,0.24,-0.22
27.15,-0.20,0.27,-0.22
27.15,-0.22,0.31,-0.22
27.15,-0.24,0.36,-0.22
27.15,-0.27,0.41,-0.22
27.16,-0.29,0.45,-0.22
27.16,-0.31,0.50,-0.22
27.16,-0.33,0.54,-0.23
27.16,-0.35,0.59,-0.22
27.16,-0.37,0.62,-0.22
27.17,-0.40,0.66,-0.22
27.17,-0.42,0.68,-0.22
27.17,-0.44,0.71,-0.21
27.17,-0.45,0.72,-0.21
27.18,-0.47,0.74,-0.21
27.18,-0.49,0.74,-0.21
27.18,-0.50,0.75,-0.21
27.18,-0.51,0.74,-0.21
27.19,-0.52,0.74,-0.22
27.19,-0.52,0.73,-0.22
27.19,-0.53,0.72,-0.23
27.19,-0.53,0.71,-0.24
27.19,-0.53,0.69,-0.25
27.20,-0.53,0.68,-0.26
27.20,-0.53,0.66,-0.27
27.20,-0.53,0.64,-0.28
27.20,-0.52,0.61,-0.29
27.21,-0.52,0.60,-0.29
27.21,-0.51,0.58,-0.30
27.21,-0.51,0.56,-0.31
27.21,-0.50,0.54,-0.32
27.22,-0.50,0.53,-0.32
27.22,-0.49,0.52,-0.33
27.22,-0.48,0.51,-0.33
27.22,-0.47,0.50,-0.34
27.22,-0.47,0.49,-0.35
27.23,-0.46,0.49,-0.35
27.23,-0.45,0.49,-0.35
27.23,-0.44,0.48,-0.35
27.23,-0.44,0.48,-0.36
27.24,-0.44,0.48,-0.36
27.24,-0.44,0.49,-0.36
27.24,-0.44,0.50,-0.37
27.24,-0.44,0.52,-0.38
27.25,-0.45,0.53,-0.38
27.25,-0.45,0.54,-0.39
27.25,-0.45,0.54,-0.40
27.25,-0.45,0.53,-0.40
27.25,-0.45,0.52,-0.40
27.26,-0.45,0.51,-0.40
27.26,-0.44,0.50,-0.40
27.26,-0.44,0.50,-0.40
27.26,-0.44,0.49,-0.40
27.27,-0.44,0.49,-0.40
27.27,-0.44,0.49,-0.40
27.27,-0.44,0.48,-0.40
27.27,-0.44,0.48,-0.40
27.27,-0.44,0.48,-0.40
27.28,-0.44,0.48,-0.40
27.28,-0.44,0.47,-0.39
27.28,-0.44,0.47,-0.39
27.28,-0.45,0.47,-0.38
27.29,-0.45,0.46,-0.38
27.29,-0.45,0.46,-0.37
27.29,-0.44,0.45,-0.37
27.29,-0.44,0.44,-0.36
27.30,-0.44,0.44,-0.35
27.30,-0.44,0.43,-0.35
27.30,-0.44,0.42,-0.35
27.30,-0.43,0.41,-0.35
27.30,-0.43,0.39,-0.34
27.31,-0.43,0.38,-0.34
27.31,-0.43,0.37,-0.34
27.31,-0.43,0.36,-0.34
27.31,-0.44,0.35,-0.33
27.32,-0.44,0.35,-0.34
27.32,-0.44,0.34,-0.34
27.32,-0.44,0.34,-0.34
27.32,-0.44,0.34,-0.34
27.33,-0.44,0.34,-0.35
27.33,-0.44,0.35,-0.35
27.33,-0.44,0.35,-0.35
27.33,-0.44,0.35,-0.35
27.33,-0.43,0.36,-0.35
27.34,-0.42,0.36,-0.35
27.34,-0.42,0.37,-0.35
27.34,-0.40,0.37,-0.35
27.34,-0.39,0.37,-0.36
27.35,-0.38,0.37,-0.36
27.35,-0.36,0.36,-0.36
27.35,-0.35,0.36,-0.36
27.35,-0.34,0.35,-0.36
27.36,-0.32,0.35,-0.36
27.36,-0.30,0.33,-0.36
27.36,-0.29,0.32,-0.36
27.36,-0.28,0.31,-0.37
27.36,-0.27,0.29,-0.37
27.37,-0.26,0.28,-0.37
27.37,-0.25,0.27,-0.37
27.37,-0.24,0.26,-0.37
27.37,-0.23,0.24,-0.37
27.38,-0.22,0.23,-0.37
27.38,-0.21,0.22,-0.37
27.38,-0.20,0.21,-0.37
27.38,-0.19,0.20,-0.37
27.39,-0.17,0.19,-0.37
27.39,-0.16,0.19,-0.38
27.39,-0.15,0.18,-0.38
27.39,-0.14,0.18,-0.38
27.39,-0.13,0.18,-0.38
27.40,-0.13,0.18,-0.37
27.40,-0.12,0.18,-0.37
27.40,-0.12,0.18,-0.36
27.40,-0.12,0.18,-0.36
27.41,-0.12,0.18,-0.35
27.41,-0.13,0.18,-0.34
27.41,-0.13,0.18,-0.33
27.41,-0.13,0.17,-0.32
27.42,-0.13,0.17,-0.31
27.42,-0.14,0.16,-0.29
27.42,-0.14,0.15,-0.28
27.42,-0.15,0.13,-0.27
27.42,-0.16,0.12,-0.25
27.43,-0.17,0.11,-0.24
27.43,-0.18,0.10,-0.23
27.43,-0.19,0.09,-0.21
27.43,-0.20,0.08,-0.20
27.44,-0.22,0.07,-0.18
27.44,-0.23,0.06,-0.17
27.44,-0.24,0.05,-0.15
27.44,-0.25,0.04,-0.14
27.45,-0.26,0.03,-0.12
27.45,-0.27,0.02,-0.10
27.45,-0.28,0.01,-0.09
27.45,-0.29,0.01,-0.07
27.45,-0.30,0.01,-0.06
27.46,-0.31,0.00,-0.05
27.46,-0.31,-0.01,-0.03
27.46,-0.32,-0.01,-0.02
27.46,-0.33,-0.02,0.00
27.47,-0.34,-0.03,0.00
27.47,-0.35,-0.04,0.02
27.47,-0.36,-0.05,0.03
27.47,-0.37,-0.06,0.04
27.47,-0.38,-0.06,0.05
27.48,-0.38,-0.06,0.06
27.48,-0.38,-0.06,0.07
27.48,-0.38,-0.06,0.08
27.48,-0.38,-0.05,0.09
27.49,-0.38,-0.03,0.10
27.49,-0.38,-0.02,0.11
27.49,-0.37,-0.01,0.12
27.49,-0.36,0.00,0.12
27.50,-0.35,0.01,0.12
27.50,-0.35,0.01,0.13
27.50,-0.34,0.01,0.13
27.50,-0.32,0.01,0.13
27.50,-0.31,0.00,0.13
27.51,-0.29,0.00,0.13
27.51,-0.28,-0.01,0.13
27.51,-0.26,-0.02,0.13
27.51,-0.25,-0.03,0.12
27.52,-0.24,-0.05,0.11
27.52,-0.22,-0.06,0.11
27.52,-0.21,-0.07,0.10
27.52,-0.19,-0.08,0.09
27.53,-0.18,-0.10,0.08
27.53,-0.15,-0.12,0.07
27.53,-0.12,-0.14,0.05
27.53,-0.09,-0.15,0.04
27.53,-0.06,-0.17,0.03
27.54,-0.03,-0.18,0.02
27.54,0.01,-0.18,0.01
